user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/21294657_1863838993934148_1415560047542403072_n.jpg,http://picbear.com/media/1595373271174738668_5516615122,October 18 2017 - 11:56,September 03 2017 - 04:48,<p>..........</p>,0,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/21296798_113948899281374_3306374598802538496_n.jpg,http://picbear.com/media/1595372791253998533_5516615122,October 18 2017 - 11:56,September 03 2017 - 04:47,<p>.......</p>,0,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18808849_2053434261550805_9041833201001037824_n.jpg,http://picbear.com/media/1527533044196953416_5516615122,October 18 2017 - 11:56,June 01 2017 - 14:22,<p>......</p>,2,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18879689_1772307019727937_6492315548666298368_n.jpg,http://picbear.com/media/1527532290824431960_5516615122,October 18 2017 - 11:56,June 01 2017 - 14:21,<p>......</p>,1,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18812533_1706057019699897_5913654338588246016_n.jpg,http://picbear.com/media/1527532156967363895_5516615122,October 18 2017 - 11:56,June 01 2017 - 14:20,<p>......</p>,1,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18812161_771355926369040_7327099501284425728_n.jpg,http://picbear.com/media/1527531935432553046_5516615122,October 18 2017 - 11:56,June 01 2017 - 14:20,<p>.....</p>,2,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18879195_1567376086620174_3546480510647664640_n.jpg,http://picbear.com/media/1526166230279865852_5516615122,October 18 2017 - 11:56,May 30 2017 - 17:06,<p>.....</p>,2,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18722398_489847788013062_442159130707230720_n.jpg,http://picbear.com/media/1526163745473531323_5516615122,October 18 2017 - 11:56,May 30 2017 - 17:01,<p>....</p>,0,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18808971_234759060353483_2748890450826887168_n.jpg,http://picbear.com/media/1526163440782515610_5516615122,October 18 2017 - 11:56,May 30 2017 - 17:01,<p>......</p>,1,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18812766_835657829924835_2231939674455146496_n.jpg,http://picbear.com/media/1526163287111433596_5516615122,October 18 2017 - 11:56,May 30 2017 - 17:01,<p>.......</p>,1,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18812318_453149581729271_690706074923171840_n.jpg,http://picbear.com/media/1526163152423957399_5516615122,October 18 2017 - 11:56,May 30 2017 - 17:00,<p>........</p>,0,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18723065_1330896183613569_2039467191895588864_n.jpg,http://picbear.com/media/1526162989743652891_5516615122,October 18 2017 - 11:56,May 30 2017 - 17:00,<p>.....</p>,2,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18722726_1164580403669706_7506125003880923136_n.jpg,http://picbear.com/media/1526152082724669825_5516615122,October 18 2017 - 11:56,May 30 2017 - 16:38,<p>.....</p>,1,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18646312_169648973568112_2386057961622470656_n.jpg,http://picbear.com/media/1525254099401187923_5516615122,October 18 2017 - 11:57,May 29 2017 - 10:54,<p>.....</p>,0,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18646490_1338477596237403_1193020839700725760_n.jpg,http://picbear.com/media/1524170789749092786_5516615122,October 18 2017 - 11:57,May 27 2017 - 23:02,<p>....</p>,5,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18645036_305884139835355_1583008860929523712_n.jpg,http://picbear.com/media/1523838568064377650_5516615122,October 18 2017 - 11:57,May 27 2017 - 12:02,<p>.....</p>,1,0
October 18 2017 - 11:56,https://scontent.cdninstagram.com/t51.2885-15/e35/18721826_290596934684015_2328386961837916160_n.jpg,http://picbear.com/media/1523837633883920666_5516615122,October 18 2017 - 11:57,May 27 2017 - 12:00,<p>.....</p>,1,0
