user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639285_1732499620125493_8874102152427995136_n.jpg,http://picbear.com/media/1631815919659309864_6187027942,October 25 2017 - 15:24,October 23 2017 - 11:33,<p>💗</p>,13,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710514_1886621671666938_7941767397889802240_n.jpg,http://picbear.com/media/1631084987151134339_6187027942,October 25 2017 - 15:24,October 22 2017 - 11:21,<p>Pokémon 😸💛⚡</p>,21,5
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708927_1720159671327808_7468429875515228160_n.jpg,http://picbear.com/media/1630688700996114810_6187027942,October 25 2017 - 15:24,October 21 2017 - 22:14,<p>👀</p>,15,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580334_709008582625834_8148032661114322944_n.jpg,http://picbear.com/media/1627693352182712722_6187027942,October 25 2017 - 15:24,October 17 2017 - 19:03,<p>Eyes 👀 ✍</p>,21,1
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500075_1957418047874717_6512428953527910400_n.jpg,http://picbear.com/media/1627691807848522291_6187027942,October 25 2017 - 15:24,October 17 2017 - 19:00,<p>Harley Quinn 🔫😍</p>,20,1
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.3.480.480/22582031_291746968008416_3622266948047339520_n.jpg,http://picbear.com/media/1627690185273547567_6187027942,October 25 2017 - 15:24,October 17 2017 - 18:56,<p>Draw dream ✏☁</p>,17,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430426_908233685997884_8435712203415355392_n.jpg,http://picbear.com/media/1626137157043193372_6187027942,October 25 2017 - 15:24,October 15 2017 - 15:31,<p>❣ 📖</p>,19,4
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.20.480.480/22429732_704985683041174_8255882987883724800_n.jpg,http://picbear.com/media/1625261557235451874_6187027942,October 25 2017 - 15:24,October 14 2017 - 10:31,<p>Dream 🌌💭🌠</p>,19,2
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352494_131839190898465_2064683644970074112_n.jpg,http://picbear.com/media/1624072437238845894_6187027942,October 25 2017 - 15:24,October 12 2017 - 19:09,<p>Love 🌌💗</p>,21,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22426872_1714139911954294_6144598982111789056_n.jpg,http://picbear.com/media/1624070710535997324_6187027942,October 25 2017 - 15:24,October 12 2017 - 19:05,<p>Automne 🍁🍂</p>,19,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22344560_134336987205079_3932267903537119232_n.jpg,http://picbear.com/media/1621951738525098908_6187027942,October 25 2017 - 15:24,October 09 2017 - 20:55,"<p>Inktober <a href=""http://picbear.com/tag/9"" title=""posts tagged as 9"">#9</a>  Hurler!✏</p>",16,1
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344387_122828535050311_8594655770375618560_n.jpg,http://picbear.com/media/1621894914211843345_6187027942,October 25 2017 - 15:24,October 09 2017 - 19:02,<p>Till the end of the world💗</p>,15,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427656_174012859822785_6886995774421336064_n.jpg,http://picbear.com/media/1621894232662728586_6187027942,October 25 2017 - 15:25,October 09 2017 - 19:01,<p>What's your favorite coulour ? Mine it's blue💙</p>,10,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c90.0.899.899/22277615_141341413150796_3180071743909789696_n.jpg,http://picbear.com/media/1621252543384133316_6187027942,October 25 2017 - 15:25,October 08 2017 - 21:46,<p>Kids💗👧👶</p>,24,2
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c118.0.843.843/22280461_498728073855930_2839027701107392512_n.jpg,http://picbear.com/media/1621171975669839110_6187027942,October 25 2017 - 15:25,October 08 2017 - 19:06,<p>Love💗</p>,22,1
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280538_175002489731336_994947887290908672_n.jpg,http://picbear.com/media/1621125819426274211_6187027942,October 25 2017 - 15:25,October 08 2017 - 17:34,<p>Harley Quinn ✏</p>,20,0
October 25 2017 - 15:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278151_1942580442689100_318355302535659520_n.jpg,http://picbear.com/media/1621120498213474909_6187027942,October 25 2017 - 15:25,October 08 2017 - 17:24,<p>Sleep☁🌛</p>,20,1
