user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099402_156189298319258_6296153929717645312_n.jpg,http://picbear.com/media/1639215701254390763_4154167758,November 07 2017 - 03:01,November 02 2017 - 16:36,"<p><a href=""http://picbear.com/tag/iphone7plusclicks"" title=""posts tagged as iphone7plusclicks"">#iphone7plusclicks</a>📱📸 <a href=""http://picbear.com/tag/dioluv"" title=""posts tagged as dioluv"">#dioluv</a> 😍#instaolic <a href=""http://picbear.com/tag/photographylover"" title=""posts tagged as photographylover"">#photographylover</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> 😇</p>",69,0
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c7.0.706.706/20347206_1607920372560952_7339483528381333504_n.jpg,http://picbear.com/media/1568995117887403985_4154167758,November 07 2017 - 03:01,July 28 2017 - 19:20,<p>#_feel_high 👽👦🎭✌_#</p>,37,0
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17126140_1408905842473587_7484942740573126656_n.jpg,http://picbear.com/media/1465610483162865649_4154167758,November 07 2017 - 03:01,March 08 2017 - 03:53,,85,5
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/16465456_1758187604509927_1873491792809164800_n.jpg,http://picbear.com/media/1453095221763218799_4154167758,November 07 2017 - 03:01,February 18 2017 - 21:27,<p>Unforgettable day in Valparai lot of fun nd njoy the day with my buddies....😎😎😉</p>,63,2
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16583545_187072898443871_621134549690089472_n.jpg,http://picbear.com/media/1450177693975279825_4154167758,November 07 2017 - 03:01,February 14 2017 - 20:51,<p>If you want to be  Happy Learn to live alone....!!!</p>,69,0
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16585483_581904698672232_271262339049717760_n.jpg,http://picbear.com/media/1447981907900317871_4154167758,November 07 2017 - 03:01,February 11 2017 - 20:08,<p>Fun overload with my frñdß.....😍😘😎✌✌</p>,101,6
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13745110_224925241296025_4598344840688697344_n.jpg,http://picbear.com/media/1411036110214480433_4154167758,November 07 2017 - 03:01,December 22 2016 - 20:43,,73,1
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15538134_349518078744619_3708454726791069696_n.jpg,http://picbear.com/media/1405565830688031772_4154167758,November 07 2017 - 03:01,December 15 2016 - 07:35,<p>Summa oru pic  Pc:Arul Moses EC:no editzz</p>,54,1
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15337064_719266054908470_5576647711072976896_n.jpg,http://picbear.com/media/1402333293706601758_4154167758,November 07 2017 - 03:01,December 10 2016 - 20:32,<p>Pc:Arul Moses EC: Naveen I don't be care for anything....</p>,41,0
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15305999_1822452328029942_5150951971695362048_n.jpg,http://picbear.com/media/1395043490258657180_4154167758,November 07 2017 - 03:01,November 30 2016 - 19:09,,39,0
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15048219_549967358530672_2787105566588141568_n.jpg,http://picbear.com/media/1391021738859935188_4154167758,November 07 2017 - 03:01,November 25 2016 - 05:58,<p>Pc:Sunil Krish EC:me</p>,41,2
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15099500_1841482329416153_5429150618503610368_n.jpg,http://picbear.com/media/1385323235894614218_4154167758,November 07 2017 - 03:01,November 17 2016 - 09:17,"<p>PC:Arul Moses EC:no editzz Luv is not about the Words😋 , Luv is not about the Sex 💏 , Luv is not about the msg's or phn calls📱 , Luv is not about the Gifts or Presents 💌 , Luv is not about the looks or money u have 💸 , Luv is not about the Age or colour of ur Skin 👥 , Luv is not about the Hugs or Kisses u give 💑 , Luv is not To Use Boy as Security 😞 , Luv is not To Use Girl for Satisfaction 😖 , Luv is not a Game to play 😡 , Luv is not a fame to have 😣 . Luv is the Beautiful feeling between the 2 Souls 💑 , which never end even though ur Body burn's into Ash🔥nd Ur Heart crushed into pieces 💔  ## insta pic ## insta Love ## insta mode...😀✌</p>",25,2
November 07 2017 - 03:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15043757_1306723639347315_6374850598302384128_n.jpg,http://picbear.com/media/1384460782721739028_4154167758,November 07 2017 - 03:01,November 16 2016 - 04:43,<p>PC:Arul Moses  EC:no editzz</p>,27,2
