user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/22858456_303176030163166_3760916326382567424_n.jpg,http://picbear.com/media/1635664620945395458_263508703,November 07 2017 - 05:24,October 28 2017 - 19:00,<p>💛 Prague is always a good idea 💛</p>,240,5
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c26.0.1028.1028/22429832_308163279592123_144897434764443648_n.jpg,http://picbear.com/media/1625699720126884062_263508703,November 07 2017 - 05:24,October 15 2017 - 01:02,"<p>Me ha dolido pagar 4€ por una cerveza pero, oye, la ciudad preciosa. 🇦🇹</p>",278,5
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c150.0.779.779/22220775_699536376907332_4818131403990368256_n.jpg,http://picbear.com/media/1620328046137296004_263508703,November 07 2017 - 05:24,October 07 2017 - 15:09,<p>🌻🌻🌻🌻</p>,269,5
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c111.0.858.858/22071574_120525101991996_8767627808626180096_n.jpg,http://picbear.com/media/1617689780594587249_263508703,November 07 2017 - 05:24,October 03 2017 - 23:47,"<p>I wish somebody would have told me that someday these will be the good old days. Maybe these are the moments. Maybe I've been missin' what it's about, been scared of the future, thinkin' about the past while missin' out on now. We've come so far, I guess I'm proud. And I ain't worried 'bout the wrinkles 'round my smile. I've got some scars, I've been around. I've felt some pain, I've seen some things, but I'm here now. Those good old days. ⏳ . . . . <a href=""http://picbear.com/tag/bratislava"" title=""posts tagged as bratislava"">#bratislava</a> <a href=""http://picbear.com/tag/slovakia"" title=""posts tagged as slovakia"">#slovakia</a></p>",247,3
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c192.0.695.695/22069896_1084110281692358_879197045489926144_n.jpg,http://picbear.com/media/1615437343003330680_263508703,November 07 2017 - 05:24,September 30 2017 - 21:12,"<p>🌇🌌✨ . . . <a href=""http://picbear.com/tag/prague"" title=""posts tagged as prague"">#prague</a> <a href=""http://picbear.com/tag/czechrepublic"" title=""posts tagged as czechrepublic"">#czechrepublic</a></p>",261,3
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c149.0.725.725/21909312_1899276713725302_6915088120417353728_n.jpg,http://picbear.com/media/1611039065713236110_263508703,November 07 2017 - 05:24,September 24 2017 - 19:34,"<p>5th time in Brashitlava 😶 . . . . <a href=""http://picbear.com/tag/bratislava"" title=""posts tagged as bratislava"">#bratislava</a> <a href=""http://picbear.com/tag/eslovakia"" title=""posts tagged as eslovakia"">#eslovakia</a></p>",253,6
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c216.0.648.648/21689406_115890889126257_764984248657510400_n.jpg,http://picbear.com/media/1603389494170256994_263508703,November 07 2017 - 05:24,September 14 2017 - 06:15,<p>No sé si estoy más feliz porque por fin he acabado el TFG o porque en una semana me voy de España 🎉🎉</p>,369,19
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20968569_778704585634013_4111123428507910144_n.jpg,http://picbear.com/media/1585768196015465921_263508703,November 07 2017 - 05:24,August 20 2017 - 22:45,<p>⚡ We were wild and fluorescent ⚡</p>,513,0
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20766626_1405671676215736_7324966384302030848_n.jpg,http://picbear.com/media/1580911963936746566_263508703,November 07 2017 - 05:24,August 14 2017 - 05:56,<p>Tienes en los ojos 🌻🌻 y cuando me miras soy la estrella que más brilla ✨✨</p>,632,2
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c155.0.770.770/20634165_1132723916829030_5309142867111837696_n.jpg,http://picbear.com/media/1575922752087347385_263508703,November 07 2017 - 05:24,August 07 2017 - 08:44,"<p>🌅 Sorry if you're starstruck, blame it on the stardust 🌅</p>",604,4
November 07 2017 - 05:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398925_1485805608135951_8197640791808540672_n.jpg,http://picbear.com/media/1569320088947712207_263508703,November 07 2017 - 05:24,July 29 2017 - 06:05,"<p>◾ But here I am, next to you. The sky's more blue in Tapia de la Ribera ◾</p>",591,8
