user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22426820_1605094166180819_2632568898066579456_n.jpg,http://picbear.com/media/1625155013851981633_2040656890,November 07 2017 - 03:24,October 14 2017 - 06:59,<p>so beautiful creation of god</p>,92,16
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576378_330028697456985_8970172869963153408_n.jpg,http://picbear.com/media/1601242754608211063_2040656890,November 07 2017 - 03:24,September 11 2017 - 07:10,,129,18
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041803_115716969090616_8348878757943050240_n.jpg,http://picbear.com/media/1589419838631570748_2040656890,November 07 2017 - 03:24,August 25 2017 - 23:40,<p>😎</p>,157,10
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759467_110913479609151_9175471546502742016_n.jpg,http://picbear.com/media/1580579391926464866_2040656890,November 07 2017 - 03:24,August 13 2017 - 18:56,<p>Thanks all</p>,128,19
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20394173_1395007820594813_7717641233991991296_n.jpg,http://picbear.com/media/1566688623034038678_2040656890,November 07 2017 - 03:24,July 25 2017 - 14:57,<p>😘😎</p>,165,17
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20213951_105072503500752_1415297281443233792_n.jpg,http://picbear.com/media/1563080816925690699_2040656890,November 07 2017 - 03:24,July 20 2017 - 15:29,<p>Kuasa tuhan bisa menciptakan seisi dunia subahanallah</p>,167,14
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985983_245883609250306_8155465406962728960_n.jpg,http://picbear.com/media/1559446023944153053_2040656890,November 07 2017 - 03:24,July 15 2017 - 15:07,<p>Relax</p>,140,15
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19764763_271254913354179_5824920696504975360_n.jpg,http://picbear.com/media/1554807897493654353_2040656890,November 07 2017 - 03:24,July 09 2017 - 05:32,,149,9
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19761170_155263338355144_2249952312028037120_n.jpg,http://picbear.com/media/1551540303227618222_2040656890,November 07 2017 - 03:24,July 04 2017 - 17:20,<p>❤</p>,144,9
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19436707_314232018999639_541023329331445760_n.jpg,http://picbear.com/media/1546535301123899221_2040656890,November 07 2017 - 03:24,June 27 2017 - 19:36,<p>Alhamdulillah akhirnya bisa jga kesana</p>,149,11
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19436328_186497858548715_7665987917180829696_n.jpg,http://picbear.com/media/1544744932027491986_2040656890,November 07 2017 - 03:24,June 25 2017 - 08:19,<p>Happy eid mubarak🙏</p>,141,8
November 07 2017 - 03:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18581435_133339987225029_7084580414819401728_n.jpg,http://picbear.com/media/1523230604489136229_2040656890,November 07 2017 - 03:24,May 26 2017 - 15:54,<p>Our family congratulate the fasting. Forgive me body and soul</p>,365,15
