user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149313_747868075415296_6263539343936192512_n.jpg,http://picbear.com/media/1592674218598763038_1536663458,October 18 2017 - 17:10,August 30 2017 - 11:26,,133,20
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11101976_635913396545624_1513363798_n.jpg,http://picbear.com/media/963656126685384526_1536663458,October 18 2017 - 17:10,April 15 2015 - 14:19,"<p>Azadmora <a href=""http://picbear.com/tag/marivan"" title=""posts tagged as marivan"">#marivan</a> <a href=""http://picbear.com/tag/zeribar"" title=""posts tagged as zeribar"">#zeribar</a></p>",153,6
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11015600_904016522995216_1118511887_n.jpg,http://picbear.com/media/950119645182299402_1536663458,October 18 2017 - 17:10,March 27 2015 - 21:05,"<p>امروز زریبار مریوان <a href=""http://picbear.com/tag/7"" title=""posts tagged as 7"">#7</a>/1/94 <a href=""http://picbear.com/tag/marivan"" title=""posts tagged as marivan"">#marivan</a>  عکس از احسان <a href=""http://picbear.com/tag/xalki"" title=""posts tagged as xalki"">#xalki</a>_kurdistan</p>",144,3
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11055916_537432849732215_1378770433_n.jpg,http://picbear.com/media/948725032903118044_1536663458,October 18 2017 - 17:10,March 25 2015 - 22:54,,134,4
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11084876_795140013902988_477299908_n.jpg,http://picbear.com/media/946177031819103248_1536663458,October 18 2017 - 17:10,March 22 2015 - 10:31,,111,6
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11085014_720743431378102_212471853_n.jpg,http://picbear.com/media/946176455404293125_1536663458,October 18 2017 - 17:10,March 22 2015 - 10:30,<p>Azad mora</p>,115,4
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/10963784_1429026994062326_619342505_n.jpg,http://picbear.com/media/945627932405403398_1536663458,October 18 2017 - 17:10,March 21 2015 - 16:20,"<p><a href=""http://picbear.com/tag/مریوان"" title=""posts tagged as مریوان"">#مریوان</a> <a href=""http://picbear.com/tag/marivan"" title=""posts tagged as marivan"">#marivan</a></p>",108,1
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11049352_232737593563522_646380192_n.jpg,http://picbear.com/media/945626686109912807_1536663458,October 18 2017 - 17:10,March 21 2015 - 16:18,"<p>امروز کوهنوردی جاتون خالی <a href=""http://picbear.com/tag/1"" title=""posts tagged as 1"">#1</a>/1/94</p>",96,6
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/10952604_829748533739921_2077604200_n.jpg,http://picbear.com/media/945125844755811497_1536663458,October 18 2017 - 17:10,March 20 2015 - 23:43,<p>من و خواهرزادم..دوهویی</p>,101,9
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11055430_1455018614758695_413632975_n.jpg,http://picbear.com/media/944965536485609299_1536663458,October 18 2017 - 17:10,March 20 2015 - 18:24,<p>Azad mora</p>,106,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e15/11084652_1592643994355434_1910151744_n.jpg,http://picbear.com/media/946619931967229455_1536663458,October 18 2017 - 17:10,March 23 2015 - 01:11,"<p>مریوان ساعت 3و 40دقیقه  <a href=""http://picbear.com/tag/marivan"" title=""posts tagged as marivan"">#marivan</a> 3/1/94</p>",93,2
