user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23417290_135834050406072_6588946239742541824_n.jpg,http://picbear.com/media/1642384047501910404_23387322,November 07 2017 - 05:09,November 07 2017 - 01:30,"<p>Hehe 👏#nightout <a href=""http://picbear.com/tag/yes"" title=""posts tagged as yes"">#yes</a></p>",9,1
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c2.0.1076.1076/23347348_126577978028687_5759825064065236992_n.jpg,http://picbear.com/media/1641991379915460012_23387322,November 07 2017 - 05:09,November 06 2017 - 12:30,"<p><a href=""http://picbear.com/gonsuelaa"" title=""gonsuelaa instagram profile"">@gonsuelaa</a> and cutie Gino  #❤️</p>",26,2
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161612_137111763677906_92177527249829888_n.jpg,http://picbear.com/media/1641926442971171849_23387322,November 07 2017 - 05:09,November 06 2017 - 10:21,"<p>👯@gonsuelaa  <a href=""http://picbear.com/tag/nightout"" title=""posts tagged as nightout"">#nightout</a> <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a></p>",18,0
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161637_1506455142771539_6298976569339674624_n.jpg,http://picbear.com/media/1640685954343565560_23387322,November 07 2017 - 05:09,November 04 2017 - 17:17,"<p>💋 <a href=""http://picbear.com/tag/beachparty"" title=""posts tagged as beachparty"">#beachparty</a></p>",39,5
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23098738_150181085595606_237946672871636992_n.jpg,http://picbear.com/media/1639054502350743759_23387322,November 07 2017 - 05:09,November 02 2017 - 11:15,"<p>Moonie la moo moons this afternoon is so beautiful at cotton tree beach 😍😍 <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/moon"" title=""posts tagged as moon"">#moon</a> <a href=""http://picbear.com/tag/afternoon"" title=""posts tagged as afternoon"">#afternoon</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a></p>",19,2
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22858258_148777619189277_3051313993084829696_n.jpg,http://picbear.com/media/1636724498337902434_23387322,November 07 2017 - 05:09,October 30 2017 - 06:06,"<p>Mostly true in most situations <a href=""http://picbear.com/tag/true"" title=""posts tagged as true"">#true</a> <a href=""http://picbear.com/tag/liveyourlife"" title=""posts tagged as liveyourlife"">#liveyourlife</a> <a href=""http://picbear.com/tag/yes"" title=""posts tagged as yes"">#yes</a></p>",17,0
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22802330_614550822267496_1560542316500877312_n.jpg,http://picbear.com/media/1634968665207947057_23387322,November 07 2017 - 05:09,October 27 2017 - 19:57,"<p><a href=""http://picbear.com/freedomkitemag"" title=""freedomkitemag instagram profile"">@freedomkitemag</a> shoot 😁 If your into kitesurfing or maybe like watching people fly around occasionally face planting into water follow <a href=""http://picbear.com/freedomkitemag"" title=""freedomkitemag instagram profile"">@freedomkitemag</a> 📸 <a href=""http://picbear.com/djolliej"" title=""djolliej instagram profile"">@djolliej</a> <a href=""http://picbear.com/tag/photoshoot"" title=""posts tagged as photoshoot"">#photoshoot</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/freedomkitemag"" title=""posts tagged as freedomkitemag"">#freedomkitemag</a> <a href=""http://picbear.com/tag/freedom"" title=""posts tagged as freedom"">#freedom</a> <a href=""http://picbear.com/tag/kitesurfing"" title=""posts tagged as kitesurfing"">#kitesurfing</a> <a href=""http://picbear.com/tag/bikini"" title=""posts tagged as bikini"">#bikini</a></p>",98,18
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860618_2019196348369648_118072615221854208_n.jpg,http://picbear.com/media/1634641950459970980_23387322,November 07 2017 - 05:09,October 27 2017 - 09:08,"<p>😈 who needs a Halloween costume when you've got natural facials like mine <a href=""http://picbear.com/tag/isntshelovely"" title=""posts tagged as isntshelovely"">#isntshelovely</a> <a href=""http://picbear.com/tag/halloween"" title=""posts tagged as halloween"">#halloween</a></p>",51,2
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22793719_121812545179865_6845758861404536832_n.jpg,http://picbear.com/media/1633989142735937673_23387322,November 07 2017 - 05:09,October 26 2017 - 11:31,"<p>😍 🌞🌞 That weather though  _____ <a href=""http://picbear.com/tag/sunny"" title=""posts tagged as sunny"">#sunny</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a></p>",55,7
November 07 2017 - 05:08,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794306_1838482159796042_4376485251292069888_n.jpg,http://picbear.com/media/1633172709315663099_23387322,November 07 2017 - 05:09,October 25 2017 - 08:29,<p>😁</p>,102,9
