user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c125.0.390.390/23101809_1702097616528360_7462216964803395584_n.jpg,http://picbear.com/media/1639198503274384161_5394670227,November 07 2017 - 02:40,November 02 2017 - 16:01,<p>همه دانسته و نا دانسته جاسوسند دستشان حلقه دار است و تو را میبوسند ...🌵🌵🌵</p>,105,38
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c68.0.413.413/22709601_172972299949389_9077906962032623616_n.jpg,http://picbear.com/media/1632245845724712370_5394670227,November 07 2017 - 02:40,October 24 2017 - 01:48,<p>زنان یک جامعه را محدود کنید ، آنها را توسری خور و حقیر کنید ، تمسخرشان کنید ¡!¡ من تضمین میدهم چنین جامعه ای ، هزار سال هم که بگذرد ، پیشرفت نخواهد کرد. 👤 وینستون چرچیل...〰حالو روزه الانه کشورمون 😧😳</p>,110,31
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637215_128925254383189_4152550187669127168_n.jpg,http://picbear.com/media/1630479285435596490_5394670227,November 07 2017 - 02:40,October 21 2017 - 15:18,<p>تازمانی که نسلی از زنان ازاده به وجود نیایند 〰♥🌵نسلی از مردان بزرگ را نخواهیم دید〰🌵🌵</p>,118,32
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c95.0.530.530/22582410_921471328001915_2992372726657712128_n.jpg,http://picbear.com/media/1628492996574299613_5394670227,November 07 2017 - 02:40,October 18 2017 - 21:31,<p>اینه ایرانمون..♥مرگ واعدام حقیقت♥</p>,110,37
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21820256_876810452477116_875639193366167552_n.jpg,http://picbear.com/media/1605070873822399688_5394670227,November 07 2017 - 02:40,September 16 2017 - 13:56,<p>رفیق من امشب بد مستم ..یازیاد خوردم یاکم جمبم اصلا پله تگری زدنو رد کردم نمیدونم کجاامو باخودم ..چند چندم خیلی خوردم ولی هنوزنمردم این الکلاا هنوز منو نکشتن ... ایرادم اینه پیک خالیه جلوم میگم هنوز نخوردم.</p>,151,34
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c81.0.447.447/21436309_130243700945135_7420183335353188352_n.jpg,http://picbear.com/media/1602927613100354545_5394670227,November 07 2017 - 02:40,September 13 2017 - 14:58,<p>دخترو پسر فرقی نداره ..رفیق حرمت داره</p>,130,26
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372367_469599316744940_8851384979477757952_n.jpg,http://picbear.com/media/1595635281627939448_5394670227,November 07 2017 - 02:40,September 03 2017 - 13:29,<p>〰♥〰♥〰حرف حق</p>,158,38
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c16.0.687.687/21042493_168635803687050_704149816480890880_n.jpg,http://picbear.com/media/1593706108332080925_5394670227,November 07 2017 - 02:40,August 31 2017 - 21:36,<p>دمه دنیا گرم بدونه گارانتی داره سرویسمون میکنه 😔</p>,177,30
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.74.1080.1080/21042206_316461028822855_1515282569610919936_n.jpg,http://picbear.com/media/1589334073032275606_5394670227,November 07 2017 - 02:40,August 25 2017 - 20:50,<p>بوسه هایت را به مِی آغشته کردی 〰 از لبت هرچه مینوشم 〰 حریص پیک آخر میشوم〰♥♥</p>,200,39
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042751_149379615648370_5099412462927609856_n.jpg,http://picbear.com/media/1589171133608023075_5394670227,November 07 2017 - 02:40,August 25 2017 - 15:26,<p>مرده تکرار نشدنیه تاریخ پدره ایران کوروش بزرگ ....</p>,193,22
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.40.320.320/20905495_261642337665994_9017025091942219776_n.jpg,http://picbear.com/media/1584494146125592106_5394670227,November 07 2017 - 02:40,August 19 2017 - 04:34,<p>باسه بچه 20 ساله که دلیلی نداشت جایه دافو درکه.. تو بندخط بشماره دلیلی نداشت که باهمه سر شاخ بشه به طنابی چنگ بزنه که سیم خارداره.... 👑اسطوره شاهین👑</p>,212,26
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759858_1403199946441120_4126485225150611456_n.jpg,http://picbear.com/media/1580491642161501862_5394670227,November 07 2017 - 02:40,August 13 2017 - 16:01,<p>از خودتان انسانیت به جای بگذارید نه انسان.،تولیدمثل را هر جانوری بلد است🙏</p>,250,56
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20478911_1773276789368994_8936082288605659136_n.jpg,http://picbear.com/media/1571009617847144278_5394670227,November 07 2017 - 02:40,July 31 2017 - 14:02,,263,57
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19933261_485029375176462_2955912268245630976_n.jpg,http://picbear.com/media/1557289691135498927_5394670227,November 07 2017 - 02:40,July 12 2017 - 15:43,,242,17
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18251871_108971149675562_5927537455300345856_n.jpg,http://picbear.com/media/1508067326761772997_5394670227,November 07 2017 - 02:40,May 05 2017 - 17:47,<p>جنگلهای جلفا</p>,295,10
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18161382_1447995578594378_7109014612615364608_n.jpg,http://picbear.com/media/1503866583490072105_5394670227,November 07 2017 - 02:40,April 29 2017 - 22:41,,300,22
November 07 2017 - 02:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18160721_1036638073104933_7497508221448355840_n.jpg,http://picbear.com/media/1503865697946717183_5394670227,November 07 2017 - 02:40,April 29 2017 - 22:39,<p>من با اینا شکر ابمو پنهون نکردم اون که میدونستم نوشتمو داد زدم ..تومجوز میگیری چون به من فوش دادی اما بدون که بازیچه دسته اینا شدی ...اسطوره شاهین🙏</p>,266,35
