user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280088_1945739195674112_1099452211198427136_n.jpg,http://picbear.com/media/1642493176295390956_5964152086,November 07 2017 - 02:45,November 07 2017 - 05:07,,5,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164415_280682059119917_5378214793159114752_n.jpg,http://picbear.com/media/1642454227124483421_5964152086,November 07 2017 - 02:45,November 07 2017 - 03:50,<p>Just 1 mistake with them stumps and your cast net is gone... 😬</p>,9,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279838_435671716835233_7367590103604002816_n.jpg,http://picbear.com/media/1641749051266656258_5964152086,November 07 2017 - 02:45,November 06 2017 - 04:29,<p>I caught a snake today... 🙄</p>,23,1
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164027_155365071874782_5743480243897761792_n.jpg,http://picbear.com/media/1641632886737443425_5964152086,November 07 2017 - 02:45,November 06 2017 - 00:38,,19,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161405_175872292967606_8839313557280522240_n.jpg,http://picbear.com/media/1640970845412576323_5964152086,November 07 2017 - 02:45,November 05 2017 - 02:43,,11,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23160915_290968568081311_8325751389846241280_n.jpg,http://picbear.com/media/1640854267551390799_5964152086,November 07 2017 - 02:45,November 04 2017 - 22:51,,14,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101766_130873177618993_3422410321489297408_n.jpg,http://picbear.com/media/1640817694621525737_5964152086,November 07 2017 - 02:45,November 04 2017 - 21:38,,8,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279632_128257551172481_5081884284780806144_n.jpg,http://picbear.com/media/1640677263006862920_5964152086,November 07 2017 - 02:45,November 04 2017 - 16:59,,19,5
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161620_143223176318958_6014868227920756736_n.jpg,http://picbear.com/media/1640598703760082881_5964152086,November 07 2017 - 02:45,November 04 2017 - 14:23,,19,0
November 07 2017 - 02:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101394_347555348988760_7764737869674971136_n.jpg,http://picbear.com/media/1638781188188901845_5964152086,November 07 2017 - 02:45,November 02 2017 - 02:12,,8,0
