user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582452_1838989286115350_356768003972399104_n.jpg,http://picbear.com/media/1628422588421507854_1905823324,October 25 2017 - 16:35,October 18 2017 - 19:12,<p>🙏</p>,45,8
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22500343_141347223152107_3886684380537552896_n.jpg,http://picbear.com/media/1628240696397050708_1905823324,October 25 2017 - 16:35,October 18 2017 - 13:10,,30,1
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22581851_2139392566288337_9066431896044437504_n.jpg,http://picbear.com/media/1628214686452787313_1905823324,October 25 2017 - 16:35,October 18 2017 - 12:18,<p>Mabuk bli luh...</p>,30,0
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582042_174825753070848_4428304151977394176_n.jpg,http://picbear.com/media/1628054849261587270_1905823324,October 25 2017 - 16:35,October 18 2017 - 07:01,<p>Jalur sebelas karangasem.🍴🍖</p>,26,0
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582270_525856801081050_6747299334598950912_n.jpg,http://picbear.com/media/1626565028336892453_1905823324,October 25 2017 - 16:35,October 16 2017 - 05:41,<p>🐷</p>,42,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22500056_393731907713741_5573291992995069952_n.jpg,http://picbear.com/media/1625138170114112902_1905823324,October 25 2017 - 16:35,October 14 2017 - 06:26,<p>Nyumbang 💉💉</p>,39,0
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22427644_292494671266490_1011304935230275584_n.jpg,http://picbear.com/media/1624458679008334513_1905823324,October 25 2017 - 16:35,October 13 2017 - 07:56,<p>Di suatu sudut di rs bali jimbaran😭</p>,31,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22071420_840446262781909_3930210292079788032_n.jpg,http://picbear.com/media/1615221585798938215_1905823324,October 25 2017 - 16:35,September 30 2017 - 14:03,"<p>Senyum yg slalu menemani hari"" ku😙😙😙</p>",49,3
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21827861_722464314603771_530542161725227008_n.jpg,http://picbear.com/media/1607997983591414521_1905823324,October 25 2017 - 16:35,September 20 2017 - 14:51,<p>Segerrr😆😆😆</p>,37,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479956_295820090826651_7586930488523096064_n.jpg,http://picbear.com/media/1600757901285145612_1905823324,October 25 2017 - 16:35,September 10 2017 - 15:07,"<p>Cerita Hari ini,Dari proses tangkapan hingga menikmati.🍗🍗</p>",32,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21296786_1665606516783705_5958075935495290880_n.jpg,http://picbear.com/media/1595614332094428437_1905823324,October 25 2017 - 16:35,September 03 2017 - 12:47,<p>Pang maan gen kone pesu mlm mingguan.😀😀😁😁</p>,35,5
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041698_495874897413470_203504127534170112_n.jpg,http://picbear.com/media/1588909009883275500_1905823324,October 25 2017 - 16:35,August 25 2017 - 06:45,<p>Menu hari ini🍗🍗🍗</p>,35,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.78.630.630/20987558_1884766061549957_7252883308223135744_n.jpg,http://picbear.com/media/1586603283736628145_1905823324,October 25 2017 - 16:35,August 22 2017 - 02:24,<p>Di bongkol gunung agung</p>,58,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20759298_1381228471930947_8704380906204299264_n.jpg,http://picbear.com/media/1580248747392404576_1905823324,October 25 2017 - 16:36,August 13 2017 - 07:59,<p>Ne gen ane ngidang ngubadin sakit tiange.🎣🎣🎣</p>,40,1
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20686593_134820797119642_9006991438453407744_n.jpg,http://picbear.com/media/1574388366614886693_1905823324,October 25 2017 - 16:36,August 05 2017 - 05:55,<p>😙💖</p>,40,3
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20633509_626321670825587_1696523257424904192_n.jpg,http://picbear.com/media/1574387064820241448_1905823324,October 25 2017 - 16:36,August 05 2017 - 05:53,,56,0
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.66.528.528/20346971_1595979383776892_2712198545217159168_n.jpg,http://picbear.com/media/1566725996639696814_1905823324,October 25 2017 - 16:36,July 25 2017 - 16:11,<p>😙😙😙</p>,53,0
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225923_1317229188397831_1165375432296497152_n.jpg,http://picbear.com/media/1563921804967794674_1905823324,October 25 2017 - 16:36,July 21 2017 - 19:20,<p>Hbd syank😙😙😙🎉🎉🎉🎉🎊🎊</p>,45,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19534603_1048625915271926_5574827383673847808_n.jpg,http://picbear.com/media/1545766877133262394_1905823324,October 25 2017 - 16:36,June 26 2017 - 18:09,<p>Pang maan gen mai.😊</p>,47,0
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.69.552.552/19227336_1488824804494518_9203492127890210816_n.jpg,http://picbear.com/media/1537441780298132326_1905823324,October 25 2017 - 16:36,June 15 2017 - 06:29,<p>Tampang 3 thun yg lalu.wktu masih ABG.😊😊😘😘😘😘</p>,31,3
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18809397_1888673291384503_44473312608256000_n.jpg,http://picbear.com/media/1527590643056485151_1905823324,October 25 2017 - 16:36,June 01 2017 - 16:16,"<p>Tetap tersenyum n slalu smangat demi sebuah cita""  Love you slalu😘😘😘@nikadekyulianti</p>",55,2
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.130.1043.1043/18581076_265153800555144_4432518193499602944_n.jpg,http://picbear.com/media/1519628337940877862_1905823324,October 25 2017 - 16:36,May 21 2017 - 16:37,"<p>Makasi slalu setia menemaniku,senang maupun susah. Love u😘😘😘😘 synk <a href=""http://picbear.com/nikadekyulianti"" title=""nikadekyulianti instagram profile"">@nikadekyulianti</a></p>",77,13
October 25 2017 - 16:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.97.780.780/18251358_1959308664298607_137075371605491712_n.jpg,http://picbear.com/media/1506580971407156067_1905823324,October 25 2017 - 16:36,May 03 2017 - 16:34,<p>Smua karena mu😙</p>,47,2
