user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c257.0.565.565/22710977_303167636757208_1681908845221249024_n.jpg,http://picbear.com/media/1633456453737304632_5362533788,October 25 2017 - 15:59,October 25 2017 - 17:53,<p>Bazen hissedebileceğim her şeyi hissetmiş olduğumu ve bundan sonra da asla yeni bir şey hissedemeyeceğimi düşünüyorum. Her (2013)</p>,17,0
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22710857_349280712163977_2189741010886590464_n.jpg,http://picbear.com/media/1633340832093676446_5362533788,October 25 2017 - 15:59,October 25 2017 - 14:03,"<p>Primal Fear, başrolerinde Richard Gere ve Edward Norton'ın oynadığı, yönetmenliğini Gregory Hoblit’in üstlendiği 1996 yapımı Hollywood filmi. Türkiye'de İlk Korku adıyla vizyona girmiştir.  Imdb 7,7/10 . . . <a href=""http://picbear.com/tag/bugeceninfilmi"" title=""posts tagged as bugeceninfilmi"">#bugeceninfilmi</a> <a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a> <a href=""http://picbear.com/tag/lovemovie"" title=""posts tagged as lovemovie"">#lovemovie</a> <a href=""http://picbear.com/tag/film"" title=""posts tagged as film"">#film</a> <a href=""http://picbear.com/tag/filmönerileri"" title=""posts tagged as filmönerileri"">#filmönerileri</a> <a href=""http://picbear.com/tag/drama"" title=""posts tagged as drama"">#drama</a></p>",92,2
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c95.0.377.377/22709230_117242092372302_880282040128241664_n.jpg,http://picbear.com/media/1632181943516130471_5362533788,October 25 2017 - 15:59,October 23 2017 - 23:41,"<p>Sende sessiz kalma yeteneği var, Watson. Bu da seni paha biçilmez bir arkadaş kılıyor. -Sherlock Holmes</p>",393,1
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22710766_217769998762008_9100627549481861120_n.jpg,http://picbear.com/media/1631981859394370667_5362533788,October 25 2017 - 15:59,October 23 2017 - 17:03,"<p>Zodiac, 2007 ABD yapımı gerilim filmi. 1960'lı yılların sonundan itibaren Amerika Birleşik Devletleri'nin batı sahillerinde seri cinayetler işleyen ve kendine Zodiac takma adını koyan katili yakalama öyküsüne dayanmaktadır.  Imdb 7,7/10 2 saat 42 dakika (Keşke daha kısa olsaymış) . . . <a href=""http://picbear.com/tag/bugeceninfilmi"" title=""posts tagged as bugeceninfilmi"">#bugeceninfilmi</a> <a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a> <a href=""http://picbear.com/tag/lovemovie"" title=""posts tagged as lovemovie"">#lovemovie</a> <a href=""http://picbear.com/tag/film"" title=""posts tagged as film"">#film</a> <a href=""http://picbear.com/tag/zodiac"" title=""posts tagged as zodiac"">#zodiac</a></p>",194,7
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c202.0.675.675/22637713_2049785271908102_4738676467519455232_n.jpg,http://picbear.com/media/1630108901986161626_5362533788,October 25 2017 - 15:59,October 21 2017 - 03:02,"<p>Marslı, Ridley Scott tarafından yönetilen 2015 yapımı bilim kurgu türündeki ABD filmi. Drew Goddard tarafından yazılan senaryo, Andy Weir tarafından 2011'de yazılan aynı adlı romandan uyarlandı.  Imdb 8/10 . . . <a href=""http://picbear.com/tag/bugeceninfilmi"" title=""posts tagged as bugeceninfilmi"">#bugeceninfilmi</a> <a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a> <a href=""http://picbear.com/tag/lovemovie"" title=""posts tagged as lovemovie"">#lovemovie</a> <a href=""http://picbear.com/tag/filmonerisi"" title=""posts tagged as filmonerisi"">#filmonerisi</a> <a href=""http://picbear.com/tag/themartian"" title=""posts tagged as themartian"">#themartian</a> <a href=""http://picbear.com/tag/marslı"" title=""posts tagged as marslı"">#marslı</a> <a href=""http://picbear.com/tag/drama"" title=""posts tagged as drama"">#drama</a></p>",198,3
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c183.0.714.714/22581866_1482121161884080_402470583465410560_n.jpg,http://picbear.com/media/1629734474295317132_5362533788,October 25 2017 - 15:59,October 20 2017 - 14:38,<p>İnsanlar basit işçiliğin değerini küçümsüyorlar. Orada özgürlük vardır. Dünyanın en mutlu insanlarından bazıları günün sonunda evlerine ter kokarak dönüyor. Aman Tanrım! (2003)</p>,278,1
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.71.636.636/22581004_1504419152978149_3674048005775818752_n.jpg,http://picbear.com/media/1629726132026017470_5362533788,October 25 2017 - 15:59,October 20 2017 - 14:21,"<p>Koruma, yönetmenliğini Ousmane Sembene’ in yaptığı 2004 yapımı drama filmi.  Imdb 7,7/10 . . . <a href=""http://picbear.com/tag/bugeceninfilmi"" title=""posts tagged as bugeceninfilmi"">#bugeceninfilmi</a> <a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a> <a href=""http://picbear.com/tag/filmönerisi"" title=""posts tagged as filmönerisi"">#filmönerisi</a> <a href=""http://picbear.com/tag/moolaade"" title=""posts tagged as moolaade"">#moolaade</a> <a href=""http://picbear.com/tag/koruma"" title=""posts tagged as koruma"">#koruma</a> <a href=""http://picbear.com/tag/drama"" title=""posts tagged as drama"">#drama</a> <a href=""http://picbear.com/tag/lovemovie"" title=""posts tagged as lovemovie"">#lovemovie</a></p>",83,0
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22639040_130682444351437_8714225671326400512_n.jpg,http://picbear.com/media/1629124573118586975_5362533788,October 25 2017 - 15:59,October 19 2017 - 18:26,"<p>Amy Lou Adams, beş kez Akademi Ödülü'ne aday gösterilmiş Amerikalı oyuncu.  Arrival, Sıkıysa Yakala, Nocturnal Animals, Aşka Yolculuk, Düzenbaz, Dövüşçü, Batman v Superman, The Master gibi filmlerde yer almıştır. . . . Sizin en sevdiğiniz filmi hangisi ?</p>",211,10
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22582359_705434899651027_926836741132779520_n.jpg,http://picbear.com/media/1628285045826806045_5362533788,October 25 2017 - 15:59,October 18 2017 - 14:38,"<p>Baby Driver (Tam Gaz), yönetmenliğini Edgar Wright’ın üstlendiği 2017 yapımı suç-gerilim filmi. Imdb 7,9/10 (Bu ımdb puanının altını doldurduğunu düşünmüyorum.) . . . <a href=""http://picbear.com/tag/bugeceninfilmi"" title=""posts tagged as bugeceninfilmi"">#bugeceninfilmi</a> <a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a> <a href=""http://picbear.com/tag/lovemovie"" title=""posts tagged as lovemovie"">#lovemovie</a> <a href=""http://picbear.com/tag/film"" title=""posts tagged as film"">#film</a> <a href=""http://picbear.com/tag/babydriver"" title=""posts tagged as babydriver"">#babydriver</a></p>",176,5
October 25 2017 - 15:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22582746_1860646067584189_6628804416717717504_n.jpg,http://picbear.com/media/1627701558262623400_5362533788,October 25 2017 - 15:59,October 17 2017 - 19:19,"<p>Kadınlar kendilerini hatırlayacak mıyım diye sorduklarında “Evet” diyordum. Ama asla unutamadığım kadın, bunu bana hiç sormayandı. Malena (2000)</p>",241,0
