user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279338_127724671247488_5042555526949371904_n.jpg,http://picbear.com/media/1641675856206894055_2245357248,November 07 2017 - 05:03,November 06 2017 - 02:03,<p>Y ganamos los mejores .. 💙💛💙</p>,4,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164474_1748049888546791_1211703367617740800_n.jpg,http://picbear.com/media/1639599818215996632_2245357248,November 07 2017 - 05:03,November 03 2017 - 05:19,<p>Cortando semana con ellas ..</p>,6,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637561_1671529529533082_6200064657923768320_n.jpg,http://picbear.com/media/1630622630447830911_2245357248,November 07 2017 - 05:03,October 21 2017 - 20:03,<p>Feliz cumple regiiii @regina.aguero</p>,9,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637145_375380289557314_1121494017721237504_n.jpg,http://picbear.com/media/1629263137864610672_2245357248,November 07 2017 - 05:03,October 19 2017 - 23:02,<p>Mi cumple .. me olvide de sacar fotos 😂</p>,9,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22426973_464580243942474_4794753029414846464_n.jpg,http://picbear.com/media/1624985777174553317_2245357248,November 07 2017 - 05:03,October 14 2017 - 01:23,<p>Esto si que es una belleza .. no se aprecia tan bien .. pero es espectacular !!</p>,7,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21690445_1471779769796239_7238274354922913792_n.jpg,http://picbear.com/media/1603981491011659074_2245357248,November 07 2017 - 05:03,September 15 2017 - 01:51,<p>Le traje compañia a mi bebé ❤</p>,8,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.103.1080.1080/21433810_116284029079678_7371944547607117824_n.jpg,http://picbear.com/media/1599617379481825817_2245357248,November 07 2017 - 05:03,September 09 2017 - 01:21,<p>Me lo merezco 😁😂 previa delpo nadal ..</p>,6,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21433445_1402806163169514_510497128448000000_n.jpg,http://picbear.com/media/1598978957029277961_2245357248,November 07 2017 - 05:03,September 08 2017 - 04:12,<p>Cuando la anciedad se apodera de vos .. y te salvan los chocolatitos de la mira que guardaste en la heladera !! 😁😂</p>,5,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227100_342674479489851_4318516880856842240_n.jpg,http://picbear.com/media/1595426252793047104_2245357248,November 07 2017 - 05:03,September 03 2017 - 06:34,<p>Asadete !! 😊 a ultimo momento !!</p>,8,2
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21149555_1964156793859892_4075589862693011456_n.jpg,http://picbear.com/media/1594281943909657856_2245357248,November 07 2017 - 05:03,September 01 2017 - 16:40,<p>BUEN VIERNES ... disfrutando de la claridad de la mañana acompañado de unos ricos mates ..</p>,7,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.87.720.720/21149229_127733297868930_749039521873526784_n.jpg,http://picbear.com/media/1593562578662770854_2245357248,November 07 2017 - 05:03,August 31 2017 - 16:51,<p>Donde esta santiago ?? Y preguntarme eso no me hace K ni peronista solo me hace ser humana .. xq este pibe puede ser mi hermano mi sobrino  mi primo amigo .. o tu hermano o tu sobrino o tu hijo .. aparicion con vida para santiago !!</p>,2,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21224446_145874462572975_4653833696439173120_n.jpg,http://picbear.com/media/1592826430109886202_2245357248,November 07 2017 - 05:03,August 30 2017 - 16:28,"<p>Mi vida no es perfecta,pero tiene momentos maravillosos .. buen dia !!</p>",8,2
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.63.540.540/21224912_1904473409814263_6995807486670274560_n.jpg,http://picbear.com/media/1592448343853527296_2245357248,November 07 2017 - 05:03,August 30 2017 - 03:57,<p>Donde esta santiago ?</p>,1,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041092_331638340581707_1576157980070510592_n.jpg,http://picbear.com/media/1589572202839012878_2245357248,November 07 2017 - 05:03,August 26 2017 - 04:43,<p>Llego el delivery .. 🤗😊</p>,8,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21040937_2185365275023519_3716761481304342528_n.jpg,http://picbear.com/media/1585718846160736280_2245357248,November 07 2017 - 05:03,August 20 2017 - 21:07,<p>No  crezcas .. es una trampa !!</p>,11,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20478982_769439483217852_503672451184459776_n.jpg,http://picbear.com/media/1570013943622863784_2245357248,November 07 2017 - 05:03,July 30 2017 - 05:04,<p>Feliz cumple mi negro lindo !! Te quiero muchooo !! Que grande ya estass !! 😑</p>,11,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.73.584.584/20393979_160079727886259_413441278559125504_n.jpg,http://picbear.com/media/1567646686044948795_2245357248,November 07 2017 - 05:03,July 26 2017 - 22:41,<p>Hoy cocine para mis bellas sobrinas ..</p>,6,1
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225590_1977205635826332_8658370502110216192_n.jpg,http://picbear.com/media/1564988309871972871_2245357248,November 07 2017 - 05:03,July 23 2017 - 06:39,<p>Chan</p>,5,0
November 07 2017 - 05:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19533931_108267353137450_7431565445364187136_n.jpg,http://picbear.com/media/1547535518534502165_2245357248,November 07 2017 - 05:03,June 29 2017 - 04:43,<p>Feliz cumple viejita !! Te quiero con el alma !! Mi deseo es siempre verte sonreír !! Gracias por enseñarme con tus ejemplos a ser cada dia mejor persona !!</p>,15,2
