user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161106_141766066457404_4569280444809347072_n.jpg,http://picbear.com/media/1641359856445320139_2520315396,November 07 2017 - 02:51,November 05 2017 - 15:36,"<p>ホワイトワインの香り🍷 <a href=""http://picbear.com/tag/modern"" title=""posts tagged as modern"">#modern</a> notes <a href=""http://picbear.com/tag/ﾘｰﾄﾞﾃﾞｨﾌｭｰｻﾞｰ"" title=""posts tagged as ﾘｰﾄﾞﾃﾞｨﾌｭｰｻﾞｰ"">#ﾘｰﾄﾞﾃﾞｨﾌｭｰｻﾞｰ</a> <a href=""http://picbear.com/tag/ワインコレクション"" title=""posts tagged as ワインコレクション"">#ワインコレクション</a> <a href=""http://picbear.com/tag/部屋中よいかおり"" title=""posts tagged as 部屋中よいかおり"">#部屋中よいかおり</a> <a href=""http://picbear.com/tag/一人暮らし気分味わう"" title=""posts tagged as 一人暮らし気分味わう"">#一人暮らし気分味わう</a></p>",48,0
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857679_473684806348942_8766016594594758656_n.jpg,http://picbear.com/media/1637790225885339662_2520315396,November 07 2017 - 02:51,October 31 2017 - 17:23,"<p>ﾊｯﾋﾟｰﾊﾛｳｨﾝにマッスル軍団と遭遇💪 <a href=""http://picbear.com/tag/来年こそは仮装"" title=""posts tagged as 来年こそは仮装"">#来年こそは仮装</a> <a href=""http://picbear.com/tag/仮装部門で1位をいただきたい"" title=""posts tagged as 仮装部門で1位をいただきたい"">#仮装部門で1位をいただきたい</a> <a href=""http://picbear.com/tag/ポリスやらナースやら露出がすごい"" title=""posts tagged as ポリスやらナースやら露出がすごい"">#ポリスやらナースやら露出がすごい</a> <a href=""http://picbear.com/tag/露出が全て"" title=""posts tagged as 露出が全て"">#露出が全て</a> <a href=""http://picbear.com/tag/なんなら全部脱ぎたい"" title=""posts tagged as なんなら全部脱ぎたい"">#なんなら全部脱ぎたい</a> #workhard.seeresults!</p>",99,8
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793957_1566816246691087_4956806217121923072_n.jpg,http://picbear.com/media/1635661479057356418_2520315396,November 07 2017 - 02:51,October 28 2017 - 18:54,"<p>ハロウィンの仮装したいと思うけど、結局毎年なにもしないよね🎃 <a href=""http://picbear.com/tag/むしろこれが仮装なのか"" title=""posts tagged as むしろこれが仮装なのか"">#むしろこれが仮装なのか</a> <a href=""http://picbear.com/tag/これでうろちょろしたら"" title=""posts tagged as これでうろちょろしたら"">#これでうろちょろしたら</a> <a href=""http://picbear.com/tag/捕まるよね"" title=""posts tagged as 捕まるよね"">#捕まるよね</a> <a href=""http://picbear.com/tag/悪い意味でキャーていわれる"" title=""posts tagged as 悪い意味でキャーていわれる"">#悪い意味でキャーていわれる</a> <a href=""http://picbear.com/tag/一か八かだね"" title=""posts tagged as 一か八かだね"">#一か八かだね</a> <a href=""http://picbear.com/tag/とりあえず"" title=""posts tagged as とりあえず"">#とりあえず</a><a href=""http://picbear.com/tag/あちこち筋肉痛"" title=""posts tagged as あちこち筋肉痛"">#あちこち筋肉痛</a> <a href=""http://picbear.com/tag/筋繊維が喜んでる"" title=""posts tagged as 筋繊維が喜んでる"">#筋繊維が喜んでる</a> <a href=""http://picbear.com/tag/ベストボディに向けて"" title=""posts tagged as ベストボディに向けて"">#ベストボディに向けて</a> <a href=""http://picbear.com/tag/4年間の集大成"" title=""posts tagged as 4年間の集大成"">#4年間の集大成</a> #workhard.seeresultu!!</p>",83,0
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22710309_1532612593484476_9008163560798289920_n.jpg,http://picbear.com/media/1634149490623549506_2520315396,November 07 2017 - 02:52,October 26 2017 - 16:50,"<p>人に健康指導するまえに、まず自分自身の体を作らねば 知識と体で説得力のある始動者に <a href=""http://picbear.com/tag/国家試験勉強"" title=""posts tagged as 国家試験勉強"">#国家試験勉強</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/workout"" title=""posts tagged as workout"">#workout</a>  #workhard.seeresults!!</p>",73,3
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22580904_122953855046126_7388665697104035840_n.jpg,http://picbear.com/media/1628389965450956548_2520315396,November 07 2017 - 02:52,October 18 2017 - 18:07,"<p>白一色に一目惚れ👟 <a href=""http://picbear.com/tag/puma"" title=""posts tagged as puma"">#puma</a> <a href=""http://picbear.com/tag/ブレイズエヴォニット"" title=""posts tagged as ブレイズエヴォニット"">#ブレイズエヴォニット</a> <a href=""http://picbear.com/tag/カメラほちぃ"" title=""posts tagged as カメラほちぃ"">#カメラほちぃ</a> <a href=""http://picbear.com/tag/work"" title=""posts tagged as work"">#work</a> hard.see results!</p>",65,0
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c205.0.670.670/22429987_1948205885435041_8964962159805071360_n.jpg,http://picbear.com/media/1626098100663890234_2520315396,November 07 2017 - 02:52,October 15 2017 - 14:13,"<p>どの一眼レフにしよぅ📷 基準がわからない <a href=""http://picbear.com/tag/200万画素の"" title=""posts tagged as 200万画素の"">#200万画素の</a>、画素ってなに？ <a href=""http://picbear.com/tag/一眼レフとミラーレスの違いがわからない"" title=""posts tagged as 一眼レフとミラーレスの違いがわからない"">#一眼レフとミラーレスの違いがわからない</a> <a href=""http://picbear.com/tag/10万以内で買えるかな"" title=""posts tagged as 10万以内で買えるかな"">#10万以内で買えるかな</a> <a href=""http://picbear.com/tag/とりあえず"" title=""posts tagged as とりあえず"">#とりあえず</a>、鍛えよ <a href=""http://picbear.com/tag/携帯の画面のようにバキバキになりたい"" title=""posts tagged as 携帯の画面のようにバキバキになりたい"">#携帯の画面のようにバキバキになりたい</a></p>",66,19
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158874_1509540745797550_2110097070084849664_n.jpg,http://picbear.com/media/1619459882258308560_2520315396,November 07 2017 - 02:52,October 06 2017 - 10:24,"<p>いつもと変わらぬ毎日 今月は飲み会たくさんある🍻 果たして二日酔いになれるのか <a href=""http://picbear.com/tag/維持期"" title=""posts tagged as 維持期"">#維持期</a> <a href=""http://picbear.com/tag/チェスト"" title=""posts tagged as チェスト"">#チェスト</a><a href=""http://picbear.com/tag/トライセップス"" title=""posts tagged as トライセップス"">#トライセップス</a> <a href=""http://picbear.com/tag/体づくりに終わりはない"" title=""posts tagged as 体づくりに終わりはない"">#体づくりに終わりはない</a> #workhard.seerusults!!</p>",89,4
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22071574_312978269110742_8939146069166522368_n.jpg,http://picbear.com/media/1615891970054552200_2520315396,November 07 2017 - 02:52,October 01 2017 - 12:15,"<p>4ヶ月の減量終了👍 体重75キロ→57キロ ウエスト87.5→68 体脂肪率14％→5％ 来年の大会は4％で望みたい <a href=""http://picbear.com/tag/ベストボディジャパン"" title=""posts tagged as ベストボディジャパン"">#ベストボディジャパン</a> <a href=""http://picbear.com/tag/フィットネス"" title=""posts tagged as フィットネス"">#フィットネス</a> <a href=""http://picbear.com/tag/少し維持してからの暴飲暴食"" title=""posts tagged as 少し維持してからの暴飲暴食"">#少し維持してからの暴飲暴食</a> #workhard.seerusults!!</p>",120,21
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479902_142663299672539_8450870242514567168_n.jpg,http://picbear.com/media/1602299593175864192_2520315396,November 07 2017 - 02:52,September 12 2017 - 18:10,"<p>減量終了まで残り18日💪 <a href=""http://picbear.com/tag/75キロ"" title=""posts tagged as 75キロ"">#75キロ</a>→59キロ <a href=""http://picbear.com/tag/あと2キロは落としたい"" title=""posts tagged as あと2キロは落としたい"">#あと2キロは落としたい</a> <a href=""http://picbear.com/tag/長いようで短い4ヶ月"" title=""posts tagged as 長いようで短い4ヶ月"">#長いようで短い4ヶ月</a> <a href=""http://picbear.com/tag/そろそろ終わる"" title=""posts tagged as そろそろ終わる"">#そろそろ終わる</a> <a href=""http://picbear.com/tag/スッパムーチョたべたい"" title=""posts tagged as スッパムーチョたべたい"">#スッパムーチョたべたい</a> <a href=""http://picbear.com/tag/体脂肪いくつやろ"" title=""posts tagged as 体脂肪いくつやろ"">#体脂肪いくつやろ</a> <a href=""http://picbear.com/tag/みなさんも"" title=""posts tagged as みなさんも"">#みなさんも</a> 減量はほどほどに #workhard.seeresultu!!</p>",89,15
November 07 2017 - 02:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c154.0.750.750/21042109_140409739891473_1758090449676926976_n.jpg,http://picbear.com/media/1588460047690874055_2520315396,November 07 2017 - 02:52,August 24 2017 - 15:53,"<p>家族旅行(星家一同)🚄👜 <a href=""http://picbear.com/tag/総勢40人"" title=""posts tagged as 総勢40人"">#総勢40人</a> <a href=""http://picbear.com/tag/始めて見る人たちばかり"" title=""posts tagged as 始めて見る人たちばかり"">#始めて見る人たちばかり</a> <a href=""http://picbear.com/tag/挨拶は大事"" title=""posts tagged as 挨拶は大事"">#挨拶は大事</a> <a href=""http://picbear.com/tag/坂東はえいじ"" title=""posts tagged as 坂東はえいじ"">#坂東はえいじ</a>～ <a href=""http://picbear.com/tag/ホテルにジムあったので"" title=""posts tagged as ホテルにジムあったので"">#ホテルにジムあったので</a> <a href=""http://picbear.com/tag/筋トレしちゃった"" title=""posts tagged as 筋トレしちゃった"">#筋トレしちゃった</a> <a href=""http://picbear.com/tag/旅行まできて筋トレ"" title=""posts tagged as 旅行まできて筋トレ"">#旅行まできて筋トレ</a> <a href=""http://picbear.com/tag/さすがですね"" title=""posts tagged as さすがですね"">#さすがですね</a></p>",115,2
