user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161093_1513552852054474_7355658035915653120_n.jpg,http://picbear.com/media/1640732716806036770_2154771585,November 06 2017 - 20:47,November 04 2017 - 18:50,"<p>""C'est irréel cette amitié fusionnelle""🖤</p>",83,6
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/22427123_1145668315566891_2862727008524173312_n.jpg,http://picbear.com/media/1625582691377586214_2154771585,November 06 2017 - 20:47,October 14 2017 - 21:09,<p>❤️</p>,87,13
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.800.800/21041626_112551862786358_1921912992111263744_n.jpg,http://picbear.com/media/1587712162360937020_2154771585,November 06 2017 - 20:47,August 23 2017 - 15:07,<p>💛</p>,94,1
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20214501_108030086526862_1531178647300341760_n.jpg,http://picbear.com/media/1563746714670032917_2154771585,November 06 2017 - 20:47,July 21 2017 - 13:32,<p>🌄📸</p>,59,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/19424787_1676038592704914_6919129302390800384_n.jpg,http://picbear.com/media/1542883197897211264_2154771585,November 06 2017 - 20:47,June 22 2017 - 18:40,<p>🖤</p>,88,3
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18513818_128039234429683_4489965245099409408_n.jpg,http://picbear.com/media/1519565189481427749_2154771585,November 06 2017 - 20:47,May 21 2017 - 14:31,"<p>""À nos envies, sans mépris, que cette amitié dure à vie! "" 🖤 <a href=""http://picbear.com/tag/likeforlike"" title=""posts tagged as likeforlike"">#likeforlike</a></p>",66,1
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.113.902.902/17881501_1612720542092412_3005293281069236224_n.jpg,http://picbear.com/media/1491168452987560563_2154771585,November 06 2017 - 20:47,April 12 2017 - 10:12,<p>🇬🇧</p>,74,2
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/17587407_403608566685552_8980840241581522944_n.jpg,http://picbear.com/media/1483362466117695510_2154771585,November 06 2017 - 20:47,April 01 2017 - 15:43,<p>🇬🇧</p>,58,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.84.673.673/17266286_271054913336611_3079132590750302208_n.jpg,http://picbear.com/media/1472754195262487043_2154771585,November 06 2017 - 20:47,March 18 2017 - 00:26,<p>🎡</p>,72,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/12531162_253659358310930_1897592537_n.jpg,http://picbear.com/media/1219057132022319785_2154771585,November 06 2017 - 20:47,April 01 2016 - 23:35,<p>🌸mon alliée🌸</p>,54,2
