user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637320_1974217739492478_2015864589962444800_n.jpg,http://picbear.com/media/1630182378524925097_402381896,November 06 2017 - 17:11,October 21 2017 - 05:28,<p>Game was lit 🔥🔥</p>,34,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157441_1940156039642025_4152331638258270208_n.jpg,http://picbear.com/media/1617412820257026247_402381896,November 06 2017 - 17:11,October 03 2017 - 14:37,<p>Just because why not.</p>,27,1
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.102.917.917/21147507_794776987368571_1063692841772908544_n.jpg,http://picbear.com/media/1592475079522291143_402381896,November 06 2017 - 17:11,August 30 2017 - 04:50,"<p>I made it to the website YAYAYAYAYA <a href=""http://picbear.com/tag/therockagency"" title=""posts tagged as therockagency"">#therockagency</a> <a href=""http://picbear.com/tag/childmodel"" title=""posts tagged as childmodel"">#childmodel</a></p>",24,2
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968641_1512919935466048_2275373016567250944_n.jpg,http://picbear.com/media/1586721597259471378_402381896,November 06 2017 - 17:11,August 22 2017 - 06:19,<p>This speaks for itself</p>,34,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905613_806731839505463_9008933931902304256_n.jpg,http://picbear.com/media/1586283401945816162_402381896,November 06 2017 - 17:11,August 21 2017 - 15:48,<p>I've never thought about how important this eclipse is. The last time we had one was 38 years ago! I'm going to enjoy this</p>,24,1
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20185005_460570824323232_921229601198309376_n.jpg,http://picbear.com/media/1565457647381463730_402381896,November 06 2017 - 17:11,July 23 2017 - 22:11,<p>Great breakfast</p>,29,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184830_268802750267819_7442393143816749056_n.jpg,http://picbear.com/media/1564156136143571885_402381896,November 06 2017 - 17:11,July 22 2017 - 03:06,<p>See you guys another time it really was a great experience having you Leo and jr. I love you guys a lot 😭😭</p>,31,8
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984635_1725419657751725_7471829668547526656_n.jpg,http://picbear.com/media/1560392637898653319_402381896,November 06 2017 - 17:11,July 16 2017 - 22:28,"<p>Can't wait to go back to the place where I got this knife. <a href=""http://picbear.com/tag/arizona"" title=""posts tagged as arizona"">#arizona</a></p>",22,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984364_1534482096600022_5259203542899490816_n.jpg,http://picbear.com/media/1560391967976047186_402381896,November 06 2017 - 17:11,July 16 2017 - 22:27,<p>He completely hates me at this point 😂😂😂😂👌</p>,19,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20066828_1985593941669604_1094819659472961536_n.jpg,http://picbear.com/media/1558866827748351270_402381896,November 06 2017 - 17:11,July 14 2017 - 19:57,<p>I have nothing to say</p>,20,2
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c109.0.532.532/19986146_335876926833784_9081768433984471040_n.jpg,http://picbear.com/media/1558865765423576333_402381896,November 06 2017 - 17:11,July 14 2017 - 19:55,<p>🤷‍♂️</p>,15,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19761367_1933808160233619_342075496378400768_n.jpg,http://picbear.com/media/1549700294677690905_402381896,November 06 2017 - 17:11,July 02 2017 - 04:24,<p>I saw this and I just can't!! 😂😂😂😂😂😂😂👌</p>,37,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.117.937.937/19424742_1444865512239266_2515674804690878464_n.jpg,http://picbear.com/media/1543097342022228478_402381896,November 06 2017 - 17:11,June 23 2017 - 01:45,<p>Hhhhmmmmm</p>,21,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19379659_490395367968486_2695309423844261888_n.jpg,http://picbear.com/media/1540611979026403536_402381896,November 06 2017 - 17:11,June 19 2017 - 15:28,"<p>Oh Mackenzie, I honestly don't  know where I would be without you, probably somewhere without matching clothes. Mackenzie you mean the world to me and we've been through so much together. You and I have made many memories throughout the year we've been together and I have to say I love you. You're cute, funny, and smart, I've trusted you with many things I probably shouldn't have, but I'm trusting you with my heart and it's worked out so far. Thank you and I love you. Happy 1 year anniversary!</p>",45,8
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.80.1080.1080/19228212_1426348547486514_9188656035244539904_n.jpg,http://picbear.com/media/1540611074851996573_402381896,November 06 2017 - 17:11,June 19 2017 - 15:26,"<p>Happy birthday Mackenzie! Your 15 and can start driving, what a scary thought oh gosh, anyway I would sing you happy birthday but I sound like a cat on a chalk board. You and I have only been growing and are able to get on the rides of six flags now. You mean so much to me. I honestly don't know that else to say other than happy birthday!🎉🎉</p>",39,1
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19121041_1367073263339746_1730107152900554752_n.jpg,http://picbear.com/media/1538021082099323280_402381896,November 06 2017 - 17:11,June 16 2017 - 01:40,"<p>Only took a half hour with <a href=""http://picbear.com/mackenzie_aldridge"" title=""mackenzie_aldridge instagram profile"">@mackenzie_aldridge</a></p>",58,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19051315_255198821626055_8467764960229851136_n.jpg,http://picbear.com/media/1535178765596190732_402381896,November 06 2017 - 17:11,June 12 2017 - 03:33,"<p><a href=""http://picbear.com/mavrickparrot"" title=""mavrickparrot instagram profile"">@mavrickparrot</a> <a href=""http://picbear.com/maverickbyloganpaul"" title=""maverickbyloganpaul instagram profile"">@maverickbyloganpaul</a> <a href=""http://picbear.com/tag/beamaverick"" title=""posts tagged as beamaverick"">#beamaverick</a></p>",19,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18721791_214090282434959_6483925617816371200_n.jpg,http://picbear.com/media/1523647601840545795_402381896,November 06 2017 - 17:11,May 27 2017 - 05:42,<p>Fun fire tonight</p>,33,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18513601_1694768113896613_1791725897645031424_n.jpg,http://picbear.com/media/1518290672893258761_402381896,November 06 2017 - 17:11,May 19 2017 - 20:19,<p>Let's see if I can get my vehicle</p>,30,1
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18252624_207615466417842_4378588758769926144_n.jpg,http://picbear.com/media/1507274435333655164_402381896,November 06 2017 - 17:11,May 04 2017 - 15:32,"<p><a href=""http://picbear.com/tag/beamaverick"" title=""posts tagged as beamaverick"">#beamaverick</a></p>",19,0
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18096215_1962876503945010_3436443040502251520_n.jpg,http://picbear.com/media/1502277339668967582_402381896,November 06 2017 - 17:11,April 27 2017 - 18:03,<p>Meet Leo and junior</p>,34,1
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17881478_1866982023558235_2008411348530102272_n.jpg,http://picbear.com/media/1489895671237596006_402381896,November 06 2017 - 17:12,April 10 2017 - 16:03,<p>Happy birthday Stefania! You've been a great friend throughout the past 3 years and I've made many memories with you! I'm glad to be your neighbor and your black ops bud! Happy birthday! 🔥🔥🎉🎉🎉🎉🎉</p>,36,7
November 06 2017 - 17:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17819296_1251922824861355_3939424903895187456_n.jpg,http://picbear.com/media/1489212020757826456_402381896,November 06 2017 - 17:12,April 09 2017 - 17:25,<p>It's so nice outside for once</p>,27,0
