user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22708642_749097271954117_8739874919665369088_n.jpg,http://picbear.com/media/1631088578329305999_1195099059,October 23 2017 - 11:41,October 22 2017 - 11:28,"<p>- 안티젠트리피케이션 워크샵 ‘맥파이와의 대화’ 맥파이와 맥주와 젠트리피케이션에 대한 이야기를 나누었던 시간.  맥파이가 변화해 온 과정과 맥파이가 가진 철학에 대해 들으니 정말 ‘맥파이스럽다’ 라는 생각이 들었다. (유명한 빵집 체인을 가진 sp*에서 함께하자는 제안을 거절한 것까지도) 경리단 길에서 뜨는 집이 되고, 그 지역을 젠트리파이(gentrify)하게 된 당사자여서, 이번 워크샵에 참여하는 것에 고민이 많았다고 하지만 이런 문제에 대해 관심을 가지고 행동하는 모습, 그게 바로 크래프트맨쉽!</p>",35,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c77.0.925.925/22636822_397045330711696_8473835604444971008_n.jpg,http://picbear.com/media/1629680928861290624_1195099059,October 23 2017 - 11:41,October 20 2017 - 12:52,"<p>- comfortably가 들어가긴 하지만, 1인이 1년을 사는데 필요한 금액이 1억3541만원, 침실 하나 있는 집의 월세가 396만원. 샌프란시스코의 미친물가를 생각하면, 서울에서의 삶은 괜찮은 편이다라고 위로해 본다.</p>",18,3
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c122.0.836.836/22637420_886462061529994_648527318528032768_n.jpg,http://picbear.com/media/1629671335842250065_1195099059,October 23 2017 - 11:41,October 20 2017 - 12:33,"<p>- 보스톤에서 시작해서 뉴욕, 다섯시간 비행으로 라스베가스로 이동, 그랜드서클을 3일간 1606.12km를 운전하며 돌고, 라스베가스로 돌아와서, 1시간 30분 날아 마지막 여행지인 샌프란시스코. 그리고, (일주일 전) 돌아온 서울. 고되었지만, 중독성 있는 들뜸으로 3주를 보내고. 이젠 열심히 사는 일에 집중해야 할 때.</p>",32,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22352530_1761307444172942_7297004931729326080_n.jpg,http://picbear.com/media/1625357913935734000_1195099059,October 23 2017 - 11:41,October 14 2017 - 13:43,"<p>- 걷다가 우연히 눈에 띈집에 들어가 굴과 소프트 쉘 버거를 먹었다. 캬! 낮술에 딱!  <a href=""http://picbear.com/tag/빨간거는초고추장이아니라칵테일소스"" title=""posts tagged as 빨간거는초고추장이아니라칵테일소스"">#빨간거는초고추장이아니라칵테일소스</a></p>",22,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22427393_1959044081021798_6921828539012481024_n.jpg,http://picbear.com/media/1624646927205377242_1195099059,October 23 2017 - 11:41,October 13 2017 - 14:10,"<p>- AT&amp;T; Park은 10시와 12시30분 두번의 투어가 있다. 일인 택스포함 22달러이다. 구장 곳곳을 다니면서 설명을 듣는데, 1시간 반 가량 걸린듯 하다. 야구팬인 남편따라 가게 되었지만. 꽤 재미가 있었다. 샌프란시스코 구장은 바닷가 옆에 있어서, 바다를 보며 그냥 앉아 맥주만 마셔도 좋겠다는 생각이 들었다. 보스톤, 피츠버그 구장처럼 도시형 구장이라 크기가 작은 편이지만, 건물 자체가 참 아름다웠다.</p>",30,4
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c165.0.749.749/22344037_123934161693562_4650258767525445632_n.jpg,http://picbear.com/media/1623132846677956769_1195099059,October 23 2017 - 11:41,October 11 2017 - 12:02,"<p>- 샌프란시스코 왔으니 <a href=""http://picbear.com/tag/던저니스크랩"" title=""posts tagged as 던저니스크랩"">#던저니스크랩</a></p>",28,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22280955_2017207455179597_6514596460313444352_n.jpg,http://picbear.com/media/1623128664889658226_1195099059,October 23 2017 - 11:41,October 11 2017 - 11:53,"<p>- 롯데, 아니구요 😁 <a href=""http://picbear.com/tag/sanfranciscogiants"" title=""posts tagged as sanfranciscogiants"">#sanfranciscogiants</a><a href=""http://picbear.com/tag/atandtpark"" title=""posts tagged as atandtpark"">#atandtpark</a></p>",37,7
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22427212_135095403784262_8177110062154645504_n.jpg,http://picbear.com/media/1622844516019185689_1195099059,October 23 2017 - 11:41,October 11 2017 - 02:29,<p>- 지하철에 익숙한 나는 샌프란시스코의 대중교통 수단이 많이 낯설다. 이런길을 건너는 것도.</p>,23,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c109.0.861.861/22280505_582592761911389_3215281263032139776_n.jpg,http://picbear.com/media/1622333621991986168_1195099059,October 23 2017 - 11:41,October 10 2017 - 09:34,"<p>- 내일 나파밸리를 가려고 예약을 해뒀다. 투어 업체에서 전화가 온 걸 놓쳐서, 혹시나 하는 마음에 전화를 했더니, 나파 주변에 불이 나서 캔슬을 해주겠다했다. 수요일엔 투어가 가능하냐고 물었더니, 부정적이라며 뉴스를 확인해보라고 한다. 아...엄청난 불이 났다. 주민들이 대피하고 사망자도 나왔다. 우리가 샌프란시스코에 온 주목적이 나파밸리 와인 투어여서 순간 멍했지만, 어쩔수 없는 건 어쩔수 없는 것. 다른 방식으로 남은 여행을 즐겨보기로 했다. 나파와 소노마 주변에 더이상 큰 피해가 없기를 바란다.</p>",21,4
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22351589_502520206791187_2479696610976595968_n.jpg,http://picbear.com/media/1621912834759763805_1195099059,October 23 2017 - 11:41,October 09 2017 - 19:38,"<p>- <a href=""http://picbear.com/tag/ileftmyheartinsanfrancisco"" title=""posts tagged as ileftmyheartinsanfrancisco"">#ileftmyheartinsanfrancisco</a>  그래서, 샌프란시스코 여기저기에서 하트를 발견할 수 있다</p>",13,4
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22278231_291168258050534_6948887593186492416_n.jpg,http://picbear.com/media/1621909601639363774_1195099059,October 23 2017 - 11:41,October 09 2017 - 19:31,"<p>- 뉴욕과 달리 밝고 사랑스러운 도시다 말투도 느긋하고 부드럽다 <a href=""http://picbear.com/tag/샌프란시스코"" title=""posts tagged as 샌프란시스코"">#샌프란시스코</a><a href=""http://picbear.com/tag/haightandashbury"" title=""posts tagged as haightandashbury"">#haightandashbury</a></p>",17,3
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22352518_1483811541701319_6195732436081442816_n.jpg,http://picbear.com/media/1620880314597508449_1195099059,October 23 2017 - 11:41,October 08 2017 - 09:26,"<p>- 샌프란시스코의 각도  <a href=""http://picbear.com/tag/샌프란시스코"" title=""posts tagged as 샌프란시스코"">#샌프란시스코</a><a href=""http://picbear.com/tag/언덕"" title=""posts tagged as 언덕"">#언덕</a><a href=""http://picbear.com/tag/바람의도시"" title=""posts tagged as 바람의도시"">#바람의도시</a></p>",21,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c123.0.833.833/22277960_354650694960885_6456671615076794368_n.jpg,http://picbear.com/media/1620875448802329035_1195099059,October 23 2017 - 11:41,October 08 2017 - 09:17,"<p>- 잠만 자고 가기엔 아까웠던 호텔에서의 뷰 <a href=""http://picbear.com/tag/byevegas"" title=""posts tagged as byevegas"">#byevegas</a><a href=""http://picbear.com/tag/leavinglasvegas"" title=""posts tagged as leavinglasvegas"">#leavinglasvegas</a></p>",36,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c147.0.786.786/22280561_1754127541557101_6249162714006945792_n.jpg,http://picbear.com/media/1620869753172359451_1195099059,October 23 2017 - 11:41,October 08 2017 - 09:05,"<p>- <a href=""http://picbear.com/tag/그랜드캐년"" title=""posts tagged as 그랜드캐년"">#그랜드캐년</a></p>",16,3
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22351838_1735305683445173_2487228866922283008_n.jpg,http://picbear.com/media/1620863210276161014_1195099059,October 23 2017 - 11:41,October 08 2017 - 08:52,"<p>- 다시 올 때까지 <a href=""http://picbear.com/tag/bye"" title=""posts tagged as bye"">#bye</a><a href=""http://picbear.com/tag/goodbye"" title=""posts tagged as goodbye"">#goodbye</a></p>",21,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22344712_2092591360963915_8332439895171661824_n.jpg,http://picbear.com/media/1620428055950438003_1195099059,October 23 2017 - 11:41,October 07 2017 - 18:28,"<p>- <a href=""http://picbear.com/tag/sunrise"" title=""posts tagged as sunrise"">#sunrise</a></p>",27,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22344134_1932538023679357_8057039943542767616_n.jpg,http://picbear.com/media/1620427117139475831_1195099059,October 23 2017 - 11:41,October 07 2017 - 18:26,"<p>- 해가 지고, 달이 뜨는 것을 동시에 볼 수 있음에 놀랐다 <a href=""http://picbear.com/tag/moonrise"" title=""posts tagged as moonrise"">#moonrise</a></p>",27,4
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22220899_1096405870490364_2808016074430218240_n.jpg,http://picbear.com/media/1619703640157753330_1195099059,October 23 2017 - 11:41,October 06 2017 - 18:29,<p>- 모든 객실과 식당이 모뉴멘트 밸리를 향하고 있어서 어느 공간에서든 멋진 뷰를 볼 수 있다</p>,17,2
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221013_124369858266245_9184756853479833600_n.jpg,http://picbear.com/media/1619312138411834819_1195099059,October 23 2017 - 11:41,October 06 2017 - 05:31,"<p>- 이거 실화다 그리고 저건 달이다  <a href=""http://picbear.com/tag/이거실화냐"" title=""posts tagged as 이거실화냐"">#이거실화냐</a><a href=""http://picbear.com/tag/모뉴멘트밸리"" title=""posts tagged as 모뉴멘트밸리"">#모뉴멘트밸리</a><a href=""http://picbear.com/tag/더뷰호텔"" title=""posts tagged as 더뷰호텔"">#더뷰호텔</a></p>",19,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22159081_123377208382702_2296141541380456448_n.jpg,http://picbear.com/media/1619308135946865883_1195099059,October 23 2017 - 11:41,October 06 2017 - 05:23,"<p>- 이거 실화다 <a href=""http://picbear.com/tag/앤텔로프캐년"" title=""posts tagged as 앤텔로프캐년"">#앤텔로프캐년</a><a href=""http://picbear.com/tag/이거실화냐"" title=""posts tagged as 이거실화냐"">#이거실화냐</a></p>",25,3
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22280554_692495117627048_6513600431627698176_n.jpg,http://picbear.com/media/1619301991794743828_1195099059,October 23 2017 - 11:41,October 06 2017 - 05:11,"<p>- 모든 포인트에서 각각 다른 모습을 보여 준 <a href=""http://picbear.com/tag/브라이스캐년"" title=""posts tagged as 브라이스캐년"">#브라이스캐년</a></p>",24,2
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22157801_1296389587138419_7150602209711882240_n.jpg,http://picbear.com/media/1618572107233366850_1195099059,October 23 2017 - 11:41,October 05 2017 - 05:00,"<p>- 새벽 6시에 라스베가스 호텔에서 나와서, 자이언캐년과 브라이스 캐년을 거쳐 페이지까지 가는게 오늘의 일정 <a href=""http://picbear.com/tag/그랜드서클여행1일차"" title=""posts tagged as 그랜드서클여행1일차"">#그랜드서클여행1일차</a></p>",17,2
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22158855_151959882069485_7238335579681718272_n.jpg,http://picbear.com/media/1618566939884513738_1195099059,October 23 2017 - 11:41,October 05 2017 - 04:50,"<p>- 뉴욕에서 5시간을 날아, 베이스 캠프가 될 라스베가스에 왔다. 탑승을 기다리면서 젊은 남자애 하나가 라스베가스 가는 거 기분이 어떠냐 묻길래, ""What am I gonna do?""하며 서로 씁쓸하게 미소를 주고 받았다. 만달레이 베이 호텔 그 방은 여전히 창이 깨진 채, 주변엔 경찰과 취재진들로 북적이고 있었다. <a href=""http://picbear.com/tag/rip"" title=""posts tagged as rip"">#rip</a></p>",14,2
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.103.827.827/22157636_1527064800717703_3061220923563573248_n.jpg,http://picbear.com/media/1618558538970436306_1195099059,October 23 2017 - 11:41,October 05 2017 - 04:33,"<p>- 뉴욕, 마지막 날 치얼스 <a href=""http://picbear.com/tag/rooftopbar"" title=""posts tagged as rooftopbar"">#rooftopbar</a> <a href=""http://picbear.com/tag/theskylark"" title=""posts tagged as theskylark"">#theskylark</a></p>",43,6
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c217.0.646.646/22157935_504996496512549_5406850804705394688_n.jpg,http://picbear.com/media/1618542984134005128_1195099059,October 23 2017 - 11:42,October 05 2017 - 04:03,<p>- 미국스럽지않게 음식이 아주 조금씩 나온다. 토마토 스프에 잘 구운 치즈가 올라간 음식과 돼지 등뼈 척수와 잼을 토스트 위에 올려 먹는 음식이 인상적이었다. 대체적으로 이탈리안과 태국 음식이 조금씩 섞인 듯한 느낌#beautyandessex</p>,13,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c34.0.1012.1012/22158554_144788592799449_6577117551917006848_n.jpg,http://picbear.com/media/1618536659366772494_1195099059,October 23 2017 - 11:42,October 05 2017 - 03:50,<p>- 주얼리 가게 안으로 들어가서 뒤쪽 문을 열면 아름다운 레스토랑이 나온다#beautyandessex</p>,18,1
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22158801_315031372303631_4576551064232263680_n.jpg,http://picbear.com/media/1618535811848882285_1195099059,October 23 2017 - 11:42,October 05 2017 - 03:48,<p>- 주얼리 가게 안으로 들어가서 뒤쪽 문을 열면 아름다운 레스토랑이 나온다#beautyandessex</p>,18,2
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22277687_157653754825151_4711002026136305664_n.jpg,http://picbear.com/media/1617968376036997927_1195099059,October 23 2017 - 11:42,October 04 2017 - 09:01,<p>- 뉴욕은 가을이 제일 아름답다</p>,26,2
October 23 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22158649_126046881390059_642165020263710720_n.jpg,http://picbear.com/media/1617962475272062671_1195099059,October 23 2017 - 11:42,October 04 2017 - 08:49,"<p>- 뉴욕에 왔으니 쉑익쉑, 근데 마치 강남점에서 먹는 것 같은 기분은..우리 포함 맨하탄 한국 관광객들 점심 식사는 이것으로 통일한 걸까요 😂</p>",27,2
