user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/17586920_462333787431583_1535754243464495104_n.jpg,http://picbear.com/media/1485707581519573014_3237397568,October 18 2017 - 17:12,April 04 2017 - 21:22,<p>Mi madre at left and her brother Mateo and wife love them so much.</p>,7,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/17268110_725658597603956_6012784318378672128_n.jpg,http://picbear.com/media/1474069748493293231_3237397568,October 18 2017 - 17:12,March 19 2017 - 20:00,,8,1
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/15538182_1280176148694620_9074945517657522176_n.jpg,http://picbear.com/media/1408236378647332415_3237397568,October 18 2017 - 17:12,December 19 2016 - 00:01,<p>;)</p>,1,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/14624601_561338357397487_768340134239141888_n.jpg,http://picbear.com/media/1389528333901672702_3237397568,October 18 2017 - 17:12,November 23 2016 - 04:31,,2,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14272166_288175171567438_8252289268488077312_n.jpg,http://picbear.com/media/1347279003451199813_3237397568,October 18 2017 - 17:12,September 25 2016 - 21:29,,6,1
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/14027220_907039596107626_1462546220_n.jpg,http://picbear.com/media/1318283903915608498_3237397568,October 18 2017 - 17:12,August 16 2016 - 21:21,<p>Love you.</p>,4,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/13181372_1708395702767766_1354359537_n.jpg,http://picbear.com/media/1254766422885147968_3237397568,October 18 2017 - 17:12,May 21 2016 - 06:03,"<p>Tus hermanos Christian,Mayra y Francisco Javier</p>",0,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/13249946_1547170212258985_1813453510_n.jpg,http://picbear.com/media/1254764229977187591_3237397568,October 18 2017 - 17:12,May 21 2016 - 05:59,,0,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/1688266_1805004273051825_848953494_n.jpg,http://picbear.com/media/1254763329258792171_3237397568,October 18 2017 - 17:12,May 21 2016 - 05:57,<p>Christian tú hermano</p>,0,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/13266705_805849422847828_1010839417_n.jpg,http://picbear.com/media/1254761012719527072_3237397568,October 18 2017 - 17:12,May 21 2016 - 05:53,<p>Mayra Martínez y una amiga</p>,0,0
October 18 2017 - 17:11,https://scontent.cdninstagram.com/t51.2885-15/e35/13267508_1030902336988692_1030998834_n.jpg,http://picbear.com/media/1254759959680787584_3237397568,October 18 2017 - 17:12,May 21 2016 - 05:51,<p>Es tu hermana en Cuba</p>,2,0
