user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23416937_295004720998561_6911598635583012864_n.jpg,http://picbear.com/media/1642178133867991526_1560109739,November 07 2017 - 02:07,November 06 2017 - 18:41,"<p><a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> 👸🙋👸🙎👸#selfie</p>",31,0
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101131_1870992419822733_2334252903616741376_n.jpg,http://picbear.com/media/1639811166385290049_1560109739,November 07 2017 - 02:07,November 03 2017 - 12:19,<p>🌸#unumu 💮#eledim 🌼#elegimi 💮#astim 🌸#hihi 🌺#gülümsemek 🌼#şifadır 💮#aşkkkk 🌼#fi 💮#saçlar 🌺#sacaksesuari 🌸#ihanet 🏵️#hayirlisiyla</p>,77,9
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22802658_1943887665860327_8217849583598829568_n.jpg,http://picbear.com/media/1635759692420449208_1560109739,November 07 2017 - 02:07,October 28 2017 - 22:09,<p>😇😇🍂👒🍃🍂👒😇😇</p>,146,18
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.97.780.780/22710981_353792855073285_6685885043182665728_n.jpg,http://picbear.com/media/1633505888912075661_1560109739,November 07 2017 - 02:07,October 25 2017 - 19:31,<p>🐼#siyahelbise🐨#sacaksesuari 🐣#ayakkabi 🐦#hayatımınanlamı 🐼#gulumseaska 🐤#kokoskadinlar 🐨</p>,106,8
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22708818_299132620570144_399166147297017856_n.jpg,http://picbear.com/media/1630707803467186590_1560109739,November 07 2017 - 02:07,October 21 2017 - 22:52,<p>🌹🌼🏵️🌸🌹🌼🏵️🌸🌹🌼</p>,98,7
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22709079_123443688338487_8364170340460396544_n.jpg,http://picbear.com/media/1629151259025971990_1560109739,November 07 2017 - 02:07,October 19 2017 - 19:19,"<p>😄#kim <a href=""http://picbear.com/tag/ne"" title=""posts tagged as ne"">#ne</a> 🐞#derse <a href=""http://picbear.com/tag/desing"" title=""posts tagged as desing"">#desing</a> 🦋#ask <a href=""http://picbear.com/tag/icin"" title=""posts tagged as icin"">#icin</a> 🌷#once <a href=""http://picbear.com/tag/hoş"" title=""posts tagged as hoş"">#hoş</a> 🌻#sonra <a href=""http://picbear.com/tag/boş"" title=""posts tagged as boş"">#boş</a> 🌾#gelir <a href=""http://picbear.com/tag/aşkmı"" title=""posts tagged as aşkmı"">#aşkmı</a> 💐#artik <a href=""http://picbear.com/tag/eski"" title=""posts tagged as eski"">#eski</a>🍃<a href=""http://picbear.com/tag/türkfilmleri"" title=""posts tagged as türkfilmleri"">#türkfilmleri</a> 🦋#kaldi <a href=""http://picbear.com/tag/hayirlisi"" title=""posts tagged as hayirlisi"">#hayirlisi</a> 😄</p>",125,5
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427049_1945910015629267_3493905322056089600_n.jpg,http://picbear.com/media/1624772170173170021_1560109739,November 07 2017 - 02:07,October 13 2017 - 18:19,"<p>👩‍❤️‍👩💕👩‍❤️‍👩💕👩‍❤️‍👩💕👩‍❤️‍👩#senicokseviyorum <a href=""http://picbear.com/tag/yigenlerinentatlisi"" title=""posts tagged as yigenlerinentatlisi"">#yigenlerinentatlisi</a> <a href=""http://picbear.com/tag/askbuya"" title=""posts tagged as askbuya"">#askbuya</a> <a href=""http://picbear.com/tag/ensevdigim"" title=""posts tagged as ensevdigim"">#ensevdigim</a> <a href=""http://picbear.com/tag/sacaksesuarı"" title=""posts tagged as sacaksesuarı"">#sacaksesuarı</a> <a href=""http://picbear.com/tag/doya"" title=""posts tagged as doya"">#doya</a> <a href=""http://picbear.com/tag/doya"" title=""posts tagged as doya"">#doya</a> <a href=""http://picbear.com/tag/öpücükler"" title=""posts tagged as öpücükler"">#öpücükler</a> 👩‍❤️‍👩💕👩‍❤️‍👩💕👩‍❤️‍👩💕👩‍❤️‍👩💕👩‍❤️‍👩</p>",111,12
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22280966_431675570563568_6174343309968801792_n.jpg,http://picbear.com/media/1622620639349125588_1560109739,November 07 2017 - 02:07,October 10 2017 - 19:04,"<p><a href=""http://picbear.com/tag/hayat"" title=""posts tagged as hayat"">#hayat</a> <a href=""http://picbear.com/tag/seni"" title=""posts tagged as seni"">#seni</a> <a href=""http://picbear.com/tag/seviyorum"" title=""posts tagged as seviyorum"">#seviyorum</a> <a href=""http://picbear.com/tag/çünkü"" title=""posts tagged as çünkü"">#çünkü</a> <a href=""http://picbear.com/tag/sevdiklerim"" title=""posts tagged as sevdiklerim"">#sevdiklerim</a> <a href=""http://picbear.com/tag/cok"" title=""posts tagged as cok"">#cok</a> <a href=""http://picbear.com/tag/buhayatta"" title=""posts tagged as buhayatta"">#buhayatta</a> ❇️🔯❇️✡️❇️⚛️❇️✡️❇️✳️❇️🔯❇️</p>",127,7
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22278345_2039270216292854_8773676617227567104_n.jpg,http://picbear.com/media/1619716424330996210_1560109739,November 07 2017 - 02:07,October 06 2017 - 18:54,"<p>😄#kardesim 😇#iyiki <a href=""http://picbear.com/tag/doğdun"" title=""posts tagged as doğdun"">#doğdun</a> 🎂#iyikivarsin 🎈🎇#nice <a href=""http://picbear.com/tag/mutluluk"" title=""posts tagged as mutluluk"">#mutluluk</a> 🎁🎈🎇#doluyıllar 🎂🎉🎆#diliyorum🙏 <a href=""http://picbear.com/tag/centilmen"" title=""posts tagged as centilmen"">#centilmen</a> <a href=""http://picbear.com/tag/adamgibiadam"" title=""posts tagged as adamgibiadam"">#adamgibiadam</a> 🎈🎉🎇#seniseviyoruz 🎆🎈🙏🎉🎂🎁</p>",102,18
November 07 2017 - 02:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.65.1080.1080/22158053_708987492629757_762421360067608576_n.jpg,http://picbear.com/media/1617551473386474766_1560109739,November 07 2017 - 02:07,October 03 2017 - 19:13,"<p>🍀🍁☘️🍁🍀🍁☘️🍁#renk <a href=""http://picbear.com/tag/renkliolsun"" title=""posts tagged as renkliolsun"">#renkliolsun</a> <a href=""http://picbear.com/tag/renklielbise"" title=""posts tagged as renklielbise"">#renklielbise</a> <a href=""http://picbear.com/tag/gülümse"" title=""posts tagged as gülümse"">#gülümse</a> <a href=""http://picbear.com/tag/hayırlısıolsun"" title=""posts tagged as hayırlısıolsun"">#hayırlısıolsun</a> <a href=""http://picbear.com/tag/sevmek"" title=""posts tagged as sevmek"">#sevmek</a> <a href=""http://picbear.com/tag/ask"" title=""posts tagged as ask"">#ask</a> <a href=""http://picbear.com/tag/nefret"" title=""posts tagged as nefret"">#nefret</a> <a href=""http://picbear.com/tag/dugundernek"" title=""posts tagged as dugundernek"">#dugundernek</a></p>",130,10
