user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22352070_278424632647904_967801765539872768_n.jpg,http://picbear.com/media/1623911009281799001_4869049719,October 23 2017 - 11:49,October 12 2017 - 13:48,<p>💓</p>,26,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22344879_140240596709026_6795499274365829120_n.jpg,http://picbear.com/media/1622398166963287982_4869049719,October 23 2017 - 11:49,October 10 2017 - 11:42,,33,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22220902_1662043017152900_2401103283599966208_n.jpg,http://picbear.com/media/1620282854079867849_4869049719,October 23 2017 - 11:49,October 07 2017 - 13:39,<p>ท้องฟ้ายังกว้ากว่าใจเธอ😂😂😂</p>,15,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22280708_274656486357002_3696492023100997632_n.jpg,http://picbear.com/media/1620240216152716329_4869049719,October 23 2017 - 11:49,October 07 2017 - 12:15,<p>บอกตัวเองว่าพอแล้ว บอกว่าพอแล้ว เจ็บเกินจะทนแล้ว แค่กอดยังทำไม่ได้🎶🎶🎶</p>,26,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158800_335852630159436_8980161645338689536_n.jpg,http://picbear.com/media/1618852631153034909_4869049719,October 23 2017 - 11:49,October 05 2017 - 14:18,<p>ไม่สวยอะพอรู้ ที่มีอยู่อะพอแล้ว😆😆😆</p>,19,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22220728_316086352191099_5013229309863657472_n.jpg,http://picbear.com/media/1618174689968211157_4869049719,October 23 2017 - 11:49,October 04 2017 - 15:51,<p>ไอดอล😋😋😋</p>,15,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688655_1947408865495881_6454376749626032128_n.jpg,http://picbear.com/media/1578685809129026923_4869049719,October 23 2017 - 11:49,August 11 2017 - 04:13,,19,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/20635478_515856965423583_6107773528788959232_n.jpg,http://picbear.com/media/1576029036404386171_4869049719,October 23 2017 - 11:49,August 07 2017 - 12:15,"<p>คิดถึงไอ่ตัวเล็ก <a href=""http://picbear.com/tag/ไตเต"" title=""posts tagged as ไตเต"">#ไตเต</a>ิ้ล😘😘😘😘</p>",34,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20583058_253571651815844_2002966386560729088_n.jpg,http://picbear.com/media/1573714577069530322_4869049719,October 23 2017 - 11:49,August 04 2017 - 07:36,,33,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/20582987_110743326255764_6240191326189518848_n.jpg,http://picbear.com/media/1571597236861071581_4869049719,October 23 2017 - 11:49,August 01 2017 - 09:30,<p>ชูนิ้วกลางให้กับความรัก😘😘😘</p>,31,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c60.0.360.360/20482430_2052081711745097_4423334664362524672_n.jpg,http://picbear.com/media/1571442199908129152_4869049719,October 23 2017 - 11:49,August 01 2017 - 04:22,,31,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c109.0.240.240/20398778_284615525280165_6663799638446833664_n.jpg,http://picbear.com/media/1570085021901134252_4869049719,October 23 2017 - 11:49,July 30 2017 - 07:25,,23,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19050426_448428112203986_420362390723362816_n.jpg,http://picbear.com/media/1535492914234771268_4869049719,October 23 2017 - 11:49,June 12 2017 - 13:57,<p>จะเป็นอะไรมันก็เรื่องของกู!!!!</p>,24,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18299863_1017804261656078_5500897261204275200_n.jpg,http://picbear.com/media/1508473866313599952_4869049719,October 23 2017 - 11:49,May 06 2017 - 07:15,,31,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/18160849_317474862005191_2422164033693024256_n.jpg,http://picbear.com/media/1504109749012469718_4869049719,October 23 2017 - 11:49,April 30 2017 - 06:44,,38,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/18011215_630166093854575_111098043599683584_n.jpg,http://picbear.com/media/1501393306667930873_4869049719,October 23 2017 - 11:50,April 26 2017 - 12:47,,32,0
October 23 2017 - 11:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.480.480/17437497_633363333528650_2588324258107097088_n.jpg,http://picbear.com/media/1475890903327704002_4869049719,October 23 2017 - 11:50,March 22 2017 - 08:18,<p>J💗f</p>,26,0
