user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.719.719/22500431_535720176779849_813050284229001216_n.jpg,http://picbear.com/media/1626922075619216740_322350365,October 25 2017 - 15:56,October 16 2017 - 17:30,"<p>Start the day with a smile and end it with champagne. <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/mondaymotivation"" title=""posts tagged as mondaymotivation"">#mondaymotivation</a></p>",71,2
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c229.0.621.621/22159397_294984100985408_5505251597833207808_n.jpg,http://picbear.com/media/1619092137729906605_322350365,October 25 2017 - 15:56,October 05 2017 - 22:14,"<p>Life happens, even when you not ready. But sometimes you get magic moments like this with salty hair and beach skin 🐚🐋🐳</p>",93,11
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.114.915.915/21985083_269019376939918_2552418997232467968_n.jpg,http://picbear.com/media/1612580550059778559_322350365,October 25 2017 - 15:56,September 26 2017 - 22:36,"<p>Bottled Rose Poetry - The art of relaxation 🌹. <a href=""http://picbear.com/tag/fashionphotography"" title=""posts tagged as fashionphotography"">#fashionphotography</a> <a href=""http://picbear.com/tag/fashionweek"" title=""posts tagged as fashionweek"">#fashionweek</a> <a href=""http://picbear.com/tag/elitemodelmanagement"" title=""posts tagged as elitemodelmanagement"">#elitemodelmanagement</a> <a href=""http://picbear.com/tag/cataphil"" title=""posts tagged as cataphil"">#cataphil</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a></p>",89,7
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878845_171471306750075_8889242826974429184_n.jpg,http://picbear.com/media/1606757548952989346_322350365,October 25 2017 - 15:56,September 18 2017 - 21:47,"<p>It's always the simple things in life. Lace top by Tallyweijlsa. Chihuahua - <a href=""http://picbear.com/tag/adoptdontshop"" title=""posts tagged as adoptdontshop"">#adoptdontshop</a>🐾 <a href=""http://picbear.com/tag/happylife"" title=""posts tagged as happylife"">#happylife</a> <a href=""http://picbear.com/tag/chihuahualife"" title=""posts tagged as chihuahualife"">#chihuahualife</a></p>",133,20
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.5.1080.1080/20838230_372444226506545_6878266352176463872_n.jpg,http://picbear.com/media/1582729388968147342_322350365,October 25 2017 - 15:56,August 16 2017 - 18:07,"<p>Shenanigans in the mornings <a href=""http://picbear.com/tag/traveller"" title=""posts tagged as traveller"">#traveller</a> <a href=""http://picbear.com/tag/wonderlust"" title=""posts tagged as wonderlust"">#wonderlust</a> <a href=""http://picbear.com/tag/bossgirl"" title=""posts tagged as bossgirl"">#bossgirl</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/naturelover"" title=""posts tagged as naturelover"">#naturelover</a> <a href=""http://picbear.com/tag/proudlysouthafrican"" title=""posts tagged as proudlysouthafrican"">#proudlysouthafrican</a></p>",225,15
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837337_332909357157140_7974222228067713024_n.jpg,http://picbear.com/media/1581889446037790799_322350365,October 25 2017 - 15:57,August 15 2017 - 14:18,"<p>Tuesday massage with a view <a href=""http://picbear.com/tag/wonderlust"" title=""posts tagged as wonderlust"">#wonderlust</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/timamoon"" title=""posts tagged as timamoon"">#timamoon</a> <a href=""http://picbear.com/tag/travelporn"" title=""posts tagged as travelporn"">#travelporn</a></p>",115,1
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.107.1080.1080/20686482_299523057188227_1754503142667452416_n.jpg,http://picbear.com/media/1577009527172618955_322350365,October 25 2017 - 15:57,August 08 2017 - 20:43,"<p>There are so many beautiful reasons to be happy <a href=""http://picbear.com/tag/happylife"" title=""posts tagged as happylife"">#happylife</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/lingerie"" title=""posts tagged as lingerie"">#lingerie</a> <a href=""http://picbear.com/tag/fullmoon"" title=""posts tagged as fullmoon"">#fullmoon</a> <a href=""http://picbear.com/tag/fitgirls"" title=""posts tagged as fitgirls"">#fitgirls</a></p>",131,17
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19955012_770503179791039_6014409869010927616_n.jpg,http://picbear.com/media/1555761877718850176_322350365,October 25 2017 - 15:57,July 10 2017 - 13:08,"<p>It is not enough to just show up, you have to live it happily and love it! ♥️ <a href=""http://picbear.com/tag/happymonday"" title=""posts tagged as happymonday"">#happymonday</a> <a href=""http://picbear.com/tag/happylife"" title=""posts tagged as happylife"">#happylife</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/bossgirl"" title=""posts tagged as bossgirl"">#bossgirl</a> <a href=""http://picbear.com/tag/wonderlust"" title=""posts tagged as wonderlust"">#wonderlust</a> <a href=""http://picbear.com/tag/unicornsandtattoos"" title=""posts tagged as unicornsandtattoos"">#unicornsandtattoos</a></p>",160,17
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19533938_785477401630044_505392774565068800_n.jpg,http://picbear.com/media/1548533438087667692_322350365,October 25 2017 - 15:57,June 30 2017 - 13:46,"<p>Our trip was amazing with more fun than what the photos can portray.  <a href=""http://picbear.com/tag/travelwriter"" title=""posts tagged as travelwriter"">#travelwriter</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/instatravel"" title=""posts tagged as instatravel"">#instatravel</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/instago"" title=""posts tagged as instago"">#instago</a> <a href=""http://picbear.com/tag/passportready"" title=""posts tagged as passportready"">#passportready</a> <a href=""http://picbear.com/tag/travelblogger"" title=""posts tagged as travelblogger"">#travelblogger</a> <a href=""http://picbear.com/tag/instatravelling"" title=""posts tagged as instatravelling"">#instatravelling</a> <a href=""http://picbear.com/tag/wonderlust"" title=""posts tagged as wonderlust"">#wonderlust</a> <a href=""http://picbear.com/tag/shipsomnia2017"" title=""posts tagged as shipsomnia2017"">#shipsomnia2017</a></p>",122,2
October 25 2017 - 15:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19227045_1850921261840531_2985819341003423744_n.jpg,http://picbear.com/media/1539503499807882111_322350365,October 25 2017 - 15:57,June 18 2017 - 02:45,"<p>A dancer and a performer at the <a href=""http://picbear.com/tag/shipsomniaball"" title=""posts tagged as shipsomniaball"">#shipsomniaball</a> <a href=""http://picbear.com/tag/wonderlust"" title=""posts tagged as wonderlust"">#wonderlust</a> <a href=""http://picbear.com/tag/shipsomnia2017"" title=""posts tagged as shipsomnia2017"">#shipsomnia2017</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/instatravel"" title=""posts tagged as instatravel"">#instatravel</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/tourism"" title=""posts tagged as tourism"">#tourism</a> <a href=""http://picbear.com/tag/instago"" title=""posts tagged as instago"">#instago</a> <a href=""http://picbear.com/tag/passportready"" title=""posts tagged as passportready"">#passportready</a> <a href=""http://picbear.com/tag/travelblogger"" title=""posts tagged as travelblogger"">#travelblogger</a> <a href=""http://picbear.com/tag/instatravelling"" title=""posts tagged as instatravelling"">#instatravelling</a></p>",138,9
