user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c4.0.632.632/22710861_305331739946478_6845054460998189056_n.jpg,http://picbear.com/media/1633483076914894620_3747503190,November 06 2017 - 16:38,October 25 2017 - 18:46,<p>🌈🌈🌈</p>,179,6
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710185_398323987252008_1468105884327477248_n.jpg,http://picbear.com/media/1633427858567055885_3747503190,November 06 2017 - 16:38,October 25 2017 - 16:56,<p>🐳🐋🐳</p>,198,5
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710455_122700231742027_1021999386617446400_n.jpg,http://picbear.com/media/1633360079226833585_3747503190,November 06 2017 - 16:38,October 25 2017 - 14:41,<p>🍂🍂🍂</p>,233,12
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708935_640580392755576_6962289566187257856_n.jpg,http://picbear.com/media/1633253782711962265_3747503190,November 06 2017 - 16:38,October 25 2017 - 11:10,<p>🍁🍁🍁</p>,232,9
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c11.0.698.698/22708787_1525178810908544_5503476694008201216_n.jpg,http://picbear.com/media/1632904840300323247_3747503190,November 06 2017 - 16:38,October 24 2017 - 23:37,<p>🎾🎾🎾</p>,214,10
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708888_707581352780694_778530077292888064_n.jpg,http://picbear.com/media/1632817669887297046_3747503190,November 06 2017 - 16:38,October 24 2017 - 20:44,<p>🐬🐬🐬</p>,218,3
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710728_123181288376400_4476264007367393280_n.jpg,http://picbear.com/media/1632743946446613329_3747503190,November 06 2017 - 16:38,October 24 2017 - 18:17,<p>🐼🐼🐼</p>,221,15
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.27.640.640/22793957_142572003041220_2786115387647852544_n.jpg,http://picbear.com/media/1632673072750138640_3747503190,November 06 2017 - 16:38,October 24 2017 - 15:56,<p>🍀🍀🍀</p>,199,7
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793914_149245039143770_7551217676543066112_n.jpg,http://picbear.com/media/1632608121545032762_3747503190,November 06 2017 - 16:38,October 24 2017 - 13:47,<p>🐧🐧🐧</p>,238,11
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793910_132004864221209_5111092042373529600_n.jpg,http://picbear.com/media/1632513182157069861_3747503190,November 06 2017 - 16:38,October 24 2017 - 10:39,<p>🍋🍋🍋</p>,237,8
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709223_292553487927830_8861787665146576896_n.jpg,http://picbear.com/media/1632352756689779222_3747503190,November 06 2017 - 16:38,October 24 2017 - 05:20,<p>🍕🌭🌮</p>,177,3
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793877_1934956683438552_6964869965358825472_n.jpg,http://picbear.com/media/1632179333074122542_3747503190,November 06 2017 - 16:38,October 23 2017 - 23:36,<p>☄☄☄</p>,191,2
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639475_125239834860492_371885983911641088_n.jpg,http://picbear.com/media/1632104014480903327_3747503190,November 06 2017 - 16:38,October 23 2017 - 21:06,<p>🐞🐞🐞</p>,216,10
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793916_1388643784518130_8560812531889733632_n.jpg,http://picbear.com/media/1632032497260678448_3747503190,November 06 2017 - 16:38,October 23 2017 - 18:44,<p>🐬🐬🐬</p>,202,4
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793774_844209269074626_681300285523492864_n.jpg,http://picbear.com/media/1631942613946739765_3747503190,November 06 2017 - 16:38,October 23 2017 - 15:45,<p>🦄🦄🦄</p>,238,11
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639500_202057613670872_3616669488969154560_n.jpg,http://picbear.com/media/1631889069956847867_3747503190,November 06 2017 - 16:38,October 23 2017 - 13:59,<p>🐙🐙🐙</p>,253,5
October 25 2017 - 17:03,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710145_2026922100855026_5932081577944154112_n.jpg,http://picbear.com/media/1631827149052474252_3747503190,November 06 2017 - 16:38,October 23 2017 - 11:56,<p>🙈🙉🙊</p>,245,5
