user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.800.800/23099306_127107107933731_2344917835693686784_n.jpg,http://picbear.com/media/1639517930620648749_291516050,November 07 2017 - 03:02,November 03 2017 - 02:36,"<p>.: - 🏝☀️ <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/miliecoconut"" title=""posts tagged as miliecoconut"">#miliecoconut</a> <a href=""http://picbear.com/tag/playa"" title=""posts tagged as playa"">#playa</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/sunrise"" title=""posts tagged as sunrise"">#sunrise</a> <a href=""http://picbear.com/tag/lavieestbelle"" title=""posts tagged as lavieestbelle"">#lavieestbelle</a> <a href=""http://picbear.com/tag/onapasletempsnous"" title=""posts tagged as onapasletempsnous"">#onapasletempsnous</a> <a href=""http://picbear.com/tag/back"" title=""posts tagged as back"">#back</a> <a href=""http://picbear.com/tag/likeforlife"" title=""posts tagged as likeforlife"">#likeforlife</a> <a href=""http://picbear.com/tag/peaceandlove"" title=""posts tagged as peaceandlove"">#peaceandlove</a></p>",54,1
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22860650_295003447679758_5747408996512301056_n.jpg,http://picbear.com/media/1638485111018590707_291516050,November 07 2017 - 03:02,November 01 2017 - 16:24,"<p>.: - Le temps s’envole, et s’enfuit sans retour <a href=""http://picbear.com/tag/holidays"" title=""posts tagged as holidays"">#holidays</a> <a href=""http://picbear.com/tag/goodtimes"" title=""posts tagged as goodtimes"">#goodtimes</a> <a href=""http://picbear.com/tag/goodfriends"" title=""posts tagged as goodfriends"">#goodfriends</a> <a href=""http://picbear.com/tag/ibz"" title=""posts tagged as ibz"">#ibz</a> <a href=""http://picbear.com/tag/playa"" title=""posts tagged as playa"">#playa</a> <a href=""http://picbear.com/tag/2k17"" title=""posts tagged as 2k17"">#2k17</a>🔜 <a href=""http://picbear.com/tag/pictures"" title=""posts tagged as pictures"">#pictures</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/sunshine"" title=""posts tagged as sunshine"">#sunshine</a> ☀️🏝</p>",89,8
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/22861121_1494077390677502_1398041365568290816_n.jpg,http://picbear.com/media/1637106012043763110_291516050,November 07 2017 - 03:03,October 30 2017 - 18:44,"<p>.: -  Tu sais quoi la vie ? Je te tire la langue. Je te défis, et je me moque ouvertement de toi. Aujourd’hui j’ai 24 ans et je ne sais pas de quoi demain sera fait. Je l’accepte, j’en rigole. Je ne sais pas ce que tu me réserve mais fait vite. Tu sais que je ne suis pas patiente, tu sais que j’aime pas quand ça fonctionne pas. Tu sais que je ne supporte pas que les choses ne se passent pas à ma manière. Et rien que pour ça je t’emmerde pour les coups durs, mais je te remercie aussi pour les moments magiques. On me dit que j’ai toute la vie devant moi, mais moi c’est maintenant que je veux tout. Et je compte bien faire en sorte que ça arrive. Tu verras la vie, on va être heureuse toi et moi... 🤞🏼</p>",58,1
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802860_2050244348540859_7513371090450644992_n.jpg,http://picbear.com/media/1635747374855231736_291516050,November 07 2017 - 03:03,October 28 2017 - 21:45,"<p>.: - ➰ Never Regret, 0nly Positive ➰ <a href=""http://picbear.com/tag/quote"" title=""posts tagged as quote"">#quote</a> <a href=""http://picbear.com/tag/quotesgram"" title=""posts tagged as quotesgram"">#quotesgram</a> <a href=""http://picbear.com/tag/quoteoftheday"" title=""posts tagged as quoteoftheday"">#quoteoftheday</a> ...</p>",59,4
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.111.898.898/22638939_262119930979745_2733736672335233024_n.jpg,http://picbear.com/media/1631409205875699202_291516050,November 07 2017 - 03:03,October 22 2017 - 22:05,"<p>. : - « La plus grosse erreur que tu peux faire, c’est de penser que quelqu’un peu changer grâce à toi, de croire que la personne qui t’a fais souffrir ne le refera plus. C’est si facile de ce faire des faux espoirs, mais si difficile d’y renoncer. » ..</p>",99,6
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.898.898/22639476_2154616331230684_2434247464618819584_n.jpg,http://picbear.com/media/1630442793195303692_291516050,November 07 2017 - 03:03,October 21 2017 - 14:05,"<p>.: - Bon Week End IG <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a> <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/happyweekend"" title=""posts tagged as happyweekend"">#happyweekend</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/goodmoment"" title=""posts tagged as goodmoment"">#goodmoment</a> <a href=""http://picbear.com/tag/goodtimes"" title=""posts tagged as goodtimes"">#goodtimes</a> <a href=""http://picbear.com/tag/plesure"" title=""posts tagged as plesure"">#plesure</a> <a href=""http://picbear.com/tag/home"" title=""posts tagged as home"">#home</a> <a href=""http://picbear.com/tag/homesweethome"" title=""posts tagged as homesweethome"">#homesweethome</a> <a href=""http://picbear.com/tag/myhome"" title=""posts tagged as myhome"">#myhome</a> <a href=""http://picbear.com/tag/deco"" title=""posts tagged as deco"">#deco</a> <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a></p>",69,3
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22636877_1661841057208211_8224241757655662592_n.jpg,http://picbear.com/media/1629033800854319923_291516050,November 07 2017 - 03:03,October 19 2017 - 15:26,"<p>.:📍C A P I T A L E 🇫🇷 <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/capitale"" title=""posts tagged as capitale"">#capitale</a> <a href=""http://picbear.com/tag/france"" title=""posts tagged as france"">#france</a> <a href=""http://picbear.com/tag/frenchcapitale"" title=""posts tagged as frenchcapitale"">#frenchcapitale</a> <a href=""http://picbear.com/tag/eiffeltower"" title=""posts tagged as eiffeltower"">#eiffeltower</a> <a href=""http://picbear.com/tag/arrondissement"" title=""posts tagged as arrondissement"">#arrondissement</a> <a href=""http://picbear.com/tag/arcdetriomphe"" title=""posts tagged as arcdetriomphe"">#arcdetriomphe</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/photop"" title=""posts tagged as photop"">#photop</a> <a href=""http://picbear.com/tag/nosjoursheureux"" title=""posts tagged as nosjoursheureux"">#nosjoursheureux</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/goodtime"" title=""posts tagged as goodtime"">#goodtime</a> <a href=""http://picbear.com/tag/goodfriends"" title=""posts tagged as goodfriends"">#goodfriends</a> <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> 🔵⚪️🔴</p>",98,3
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c92.0.565.565/22427021_511488612552168_5769290914287583232_n.jpg,http://picbear.com/media/1625560785231359137_291516050,November 07 2017 - 03:03,October 14 2017 - 20:26,<p>.: - Ne cours pas après celui qui sait où te trouver..</p>,90,3
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.55.847.847/22280969_283876048774902_2667256613022203904_n.jpg,http://picbear.com/media/1620649123437016255_291516050,November 07 2017 - 03:03,October 08 2017 - 01:47,"<p>.: - Quoi que vous fassiez, faites le avec passion. Vivez avec passion. Christian Dior.</p>",79,0
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221109_1871264672898657_8517940091031650304_n.jpg,http://picbear.com/media/1616758605619607080_291516050,November 07 2017 - 03:03,October 02 2017 - 16:57,"<p>.: - Elle chuchote ses sentiments tout bas je sais qu’elle a peur de tomber. Au fond j’suis piqué mais j’l'avoue pas j’comprends qu’elle fait que douter. On t’attend au tournant, te loupe pas au final j’sais plus sur qui compter. Tu sais, on m’a fait tellement de coups bas  pas si facile de me dompter.. _*</p>",138,3
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c104.0.541.541/21984897_2050457788507234_9017448893545185280_n.jpg,http://picbear.com/media/1613842481068231335_291516050,November 07 2017 - 03:03,September 28 2017 - 16:23,"<p>Carrousel Nantais ®🦄 <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/miliecoconut"" title=""posts tagged as miliecoconut"">#miliecoconut</a> <a href=""http://picbear.com/tag/carrousel"" title=""posts tagged as carrousel"">#carrousel</a> <a href=""http://picbear.com/tag/carrousselkids"" title=""posts tagged as carrousselkids"">#carrousselkids</a> <a href=""http://picbear.com/tag/carrouselnantes"" title=""posts tagged as carrouselnantes"">#carrouselnantes</a> <a href=""http://picbear.com/tag/nantes"" title=""posts tagged as nantes"">#nantes</a> <a href=""http://picbear.com/tag/nantais"" title=""posts tagged as nantais"">#nantais</a> <a href=""http://picbear.com/tag/44"" title=""posts tagged as 44"">#44</a> <a href=""http://picbear.com/tag/goodmoments"" title=""posts tagged as goodmoments"">#goodmoments</a> <a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/koople"" title=""posts tagged as koople"">#koople</a> <a href=""http://picbear.com/tag/cetaitchouette"" title=""posts tagged as cetaitchouette"">#cetaitchouette</a></p>",90,4
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.898.898/21980201_320189231787527_7725750527383830528_n.jpg,http://picbear.com/media/1611906693824832178_291516050,November 07 2017 - 03:03,September 26 2017 - 00:17,"<p>.: - À un moment donné, il faut accepter que certaines personnes doivent rester dans votre cœur mais plus dans votre vie _* <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/mimicoconut"" title=""posts tagged as mimicoconut"">#mimicoconut</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instagramer"" title=""posts tagged as instagramer"">#instagramer</a> <a href=""http://picbear.com/tag/foliedusoir"" title=""posts tagged as foliedusoir"">#foliedusoir</a> <a href=""http://picbear.com/tag/foliedusoirbonsoir"" title=""posts tagged as foliedusoirbonsoir"">#foliedusoirbonsoir</a> <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/crazy"" title=""posts tagged as crazy"">#crazy</a> <a href=""http://picbear.com/tag/forgot"" title=""posts tagged as forgot"">#forgot</a> 🤜🏼🤛🏼</p>",118,0
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c237.0.606.606/21909430_270312073482993_8484094528968458240_n.jpg,http://picbear.com/media/1611199221552244105_291516050,November 07 2017 - 03:03,September 25 2017 - 00:52,"<p>Pique-Nique en bord de Maine 🐥🦆 <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/lulu"" title=""posts tagged as lulu"">#lulu</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/goodweekend"" title=""posts tagged as goodweekend"">#goodweekend</a> <a href=""http://picbear.com/tag/goodtime"" title=""posts tagged as goodtime"">#goodtime</a> <a href=""http://picbear.com/tag/aveclameilleure"" title=""posts tagged as aveclameilleure"">#aveclameilleure</a> <a href=""http://picbear.com/tag/panorama"" title=""posts tagged as panorama"">#panorama</a> <a href=""http://picbear.com/tag/paisible"" title=""posts tagged as paisible"">#paisible</a> <a href=""http://picbear.com/tag/angers"" title=""posts tagged as angers"">#angers</a> <a href=""http://picbear.com/tag/angersmaville"" title=""posts tagged as angersmaville"">#angersmaville</a> <a href=""http://picbear.com/tag/angerscity"" title=""posts tagged as angerscity"">#angerscity</a> <a href=""http://picbear.com/tag/chateau"" title=""posts tagged as chateau"">#chateau</a> <a href=""http://picbear.com/tag/bellevue"" title=""posts tagged as bellevue"">#bellevue</a> <a href=""http://picbear.com/tag/bateau"" title=""posts tagged as bateau"">#bateau</a> <a href=""http://picbear.com/tag/maine"" title=""posts tagged as maine"">#maine</a> ✌🏼</p>",85,2
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.111.898.898/21827195_176655092880276_6082560816630988800_n.jpg,http://picbear.com/media/1607212619771620931_291516050,November 07 2017 - 03:03,September 19 2017 - 12:51,"<p>Bonne Fête à toutes les Emilie 😍 <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/miliecoconut"" title=""posts tagged as miliecoconut"">#miliecoconut</a> <a href=""http://picbear.com/tag/fete"" title=""posts tagged as fete"">#fete</a> <a href=""http://picbear.com/tag/19september"" title=""posts tagged as 19september"">#19september</a> <a href=""http://picbear.com/tag/bonnefete"" title=""posts tagged as bonnefete"">#bonnefete</a> <a href=""http://picbear.com/tag/goodday"" title=""posts tagged as goodday"">#goodday</a></p>",157,3
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.737.737/21688510_2028015024151799_2555870475901206528_n.jpg,http://picbear.com/media/1605241882106075426_291516050,November 07 2017 - 03:03,September 16 2017 - 19:36,"<p>.: - Chaque perte, annonce un Gain 💏 <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/cie"" title=""posts tagged as cie"">#cie</a> <a href=""http://picbear.com/tag/s"" title=""posts tagged as s"">#s</a> <a href=""http://picbear.com/tag/attente"" title=""posts tagged as attente"">#attente</a> <a href=""http://picbear.com/tag/patience"" title=""posts tagged as patience"">#patience</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/keepsmile"" title=""posts tagged as keepsmile"">#keepsmile</a> <a href=""http://picbear.com/tag/lipstick"" title=""posts tagged as lipstick"">#lipstick</a> <a href=""http://picbear.com/tag/toutvientapointaquisaitattendre"" title=""posts tagged as toutvientapointaquisaitattendre"">#toutvientapointaquisaitattendre</a> <a href=""http://picbear.com/tag/lavieestbelle"" title=""posts tagged as lavieestbelle"">#lavieestbelle</a> <a href=""http://picbear.com/tag/angers"" title=""posts tagged as angers"">#angers</a> <a href=""http://picbear.com/tag/ouailleur"" title=""posts tagged as ouailleur"">#ouailleur</a> 🙏🏼</p>",179,7
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576438_1793871297577487_6748684654825439232_n.jpg,http://picbear.com/media/1604238953723003006_291516050,November 07 2017 - 03:03,September 15 2017 - 10:23,"<p>.: - 📍Paris 🇫🇷 <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/milieandcie"" title=""posts tagged as milieandcie"">#milieandcie</a> <a href=""http://picbear.com/tag/paris"" title=""posts tagged as paris"">#paris</a> <a href=""http://picbear.com/tag/parisbynight"" title=""posts tagged as parisbynight"">#parisbynight</a> <a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/weekendheureux"" title=""posts tagged as weekendheureux"">#weekendheureux</a> <a href=""http://picbear.com/tag/notredamedeparis"" title=""posts tagged as notredamedeparis"">#notredamedeparis</a> <a href=""http://picbear.com/tag/eiffeltower"" title=""posts tagged as eiffeltower"">#eiffeltower</a> <a href=""http://picbear.com/tag/capitale"" title=""posts tagged as capitale"">#capitale</a> <a href=""http://picbear.com/tag/french"" title=""posts tagged as french"">#french</a> <a href=""http://picbear.com/tag/luxury"" title=""posts tagged as luxury"">#luxury</a> <a href=""http://picbear.com/tag/visite"" title=""posts tagged as visite"">#visite</a> <a href=""http://picbear.com/tag/touristeunjourtouristetoujours"" title=""posts tagged as touristeunjourtouristetoujours"">#touristeunjourtouristetoujours</a> <a href=""http://picbear.com/tag/goodtime"" title=""posts tagged as goodtime"">#goodtime</a> <a href=""http://picbear.com/tag/goodmoment"" title=""posts tagged as goodmoment"">#goodmoment</a> <a href=""http://picbear.com/tag/goodfriends"" title=""posts tagged as goodfriends"">#goodfriends</a> <a href=""http://picbear.com/tag/parisjetaime"" title=""posts tagged as parisjetaime"">#parisjetaime</a> <a href=""http://picbear.com/tag/cetaitchouette"" title=""posts tagged as cetaitchouette"">#cetaitchouette</a> ♥️</p>",105,1
November 07 2017 - 03:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.898.898/21435631_1226944834083879_3068855047543586816_n.jpg,http://picbear.com/media/1601006188512910864_291516050,November 07 2017 - 03:03,September 10 2017 - 23:20,"<p>My Home, SweetHome <a href=""http://picbear.com/tag/mimi"" title=""posts tagged as mimi"">#mimi</a> <a href=""http://picbear.com/tag/milie"" title=""posts tagged as milie"">#milie</a> <a href=""http://picbear.com/tag/home"" title=""posts tagged as home"">#home</a> <a href=""http://picbear.com/tag/goodflat"" title=""posts tagged as goodflat"">#goodflat</a> <a href=""http://picbear.com/tag/homedecor"" title=""posts tagged as homedecor"">#homedecor</a> <a href=""http://picbear.com/tag/homesweethome"" title=""posts tagged as homesweethome"">#homesweethome</a> <a href=""http://picbear.com/tag/homestudio"" title=""posts tagged as homestudio"">#homestudio</a> <a href=""http://picbear.com/tag/homedesign"" title=""posts tagged as homedesign"">#homedesign</a> <a href=""http://picbear.com/tag/miror"" title=""posts tagged as miror"">#miror</a> <a href=""http://picbear.com/tag/cactus"" title=""posts tagged as cactus"">#cactus</a> <a href=""http://picbear.com/tag/pimkiehome"" title=""posts tagged as pimkiehome"">#pimkiehome</a> <a href=""http://picbear.com/tag/addict"" title=""posts tagged as addict"">#addict</a> <a href=""http://picbear.com/tag/deco"" title=""posts tagged as deco"">#deco</a> <a href=""http://picbear.com/tag/homestyle"" title=""posts tagged as homestyle"">#homestyle</a> #🍍 <a href=""http://picbear.com/tag/maisondumonde"" title=""posts tagged as maisondumonde"">#maisondumonde</a> <a href=""http://picbear.com/tag/coconing"" title=""posts tagged as coconing"">#coconing</a> <a href=""http://picbear.com/tag/coconingtime"" title=""posts tagged as coconingtime"">#coconingtime</a> <a href=""http://picbear.com/tag/bienchezsoi"" title=""posts tagged as bienchezsoi"">#bienchezsoi</a> 😘</p>",118,3
