user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164685_945661062259461_3015226067251101696_n.jpg,http://picbear.com/media/1642275748810502608_5809777697,November 07 2017 - 05:46,November 06 2017 - 21:55,<p>let it sparkle✨</p>,22,1
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099056_150048272277695_5523437172264271872_n.jpg,http://picbear.com/media/1639609252279871495_5809777697,November 07 2017 - 05:46,November 03 2017 - 05:37,<p>need a break?</p>,31,6
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857947_298598210641012_1891882258655084544_n.jpg,http://picbear.com/media/1637503457992000145_5809777697,November 07 2017 - 05:46,October 31 2017 - 07:54,<p>trick_or_treat 2017🎃</p>,26,6
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.130.1080.1080/22860640_1231820783628301_5766194616529321984_n.jpg,http://picbear.com/media/1637494615769906115_5809777697,November 07 2017 - 05:46,October 31 2017 - 07:36,<p>love this place: by Chloe</p>,21,2
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099159_1971759383064866_903835889887608832_n.jpg,http://picbear.com/media/1636079055828027894_5809777697,November 07 2017 - 05:46,October 29 2017 - 08:44,<p>DIZZINESS 🏁🌪</p>,24,4
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639441_225063734695326_8710223071044173824_n.jpg,http://picbear.com/media/1633080260311821812_5809777697,November 07 2017 - 05:46,October 25 2017 - 05:25,<p>but first coffee☕️</p>,32,2
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499766_296836884164799_8980122762999758848_n.jpg,http://picbear.com/media/1627176098717777928_5809777697,November 07 2017 - 05:46,October 17 2017 - 01:55,<p>stay warm🎃🍃</p>,21,3
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.69.1080.1080/22352297_151744258760521_1714194646961225728_n.jpg,http://picbear.com/media/1623746831355066212_5809777697,November 07 2017 - 05:46,October 12 2017 - 08:22,"<p>workworkworkworkwork <a href=""http://picbear.com/tag/work"" title=""posts tagged as work"">#work</a></p>",17,3
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22344865_1206844012793102_6922031854174339072_n.jpg,http://picbear.com/media/1620806736188602991_5809777697,November 07 2017 - 05:46,October 08 2017 - 07:00,<p>lovely weekend in nyc</p>,21,4
November 07 2017 - 05:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22069323_144032629449345_1920760708220321792_n.jpg,http://picbear.com/media/1612123309008745752_5809777697,November 07 2017 - 05:46,September 26 2017 - 07:28,<p>red velvet or chocolate?</p>,31,2
