user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.119.957.957/23279345_1543397022420357_6157087376913989632_n.jpg,http://picbear.com/media/1641351434325645436_4188681658,November 06 2017 - 19:25,November 05 2017 - 15:19,"<p>I Love You Brother ☺ <a href=""http://picbear.com/tag/apreciationpost"" title=""posts tagged as apreciationpost"">#apreciationpost</a></p>",75,1
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23279345_124911784844508_6212607671825072128_n.jpg,http://picbear.com/media/1640122453324628290_4188681658,November 06 2017 - 19:25,November 03 2017 - 22:37,"<p>Thank you <a href=""http://picbear.com/thexkueen"" title=""thexkueen instagram profile"">@thexkueen</a> ♡ <a href=""http://picbear.com/tag/smok"" title=""posts tagged as smok"">#smok</a> <a href=""http://picbear.com/tag/vape"" title=""posts tagged as vape"">#vape</a> <a href=""http://picbear.com/tag/nails"" title=""posts tagged as nails"">#nails</a></p>",47,1
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164325_856317504529827_3329224610796273664_n.jpg,http://picbear.com/media/1639414661026595423_4188681658,November 06 2017 - 19:25,November 02 2017 - 23:11,<p>Major throwback to 2016</p>,70,0
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/23161443_172984363280135_6256989673428615168_n.jpg,http://picbear.com/media/1637880522884268492_4188681658,November 06 2017 - 19:25,October 31 2017 - 20:23,<p>Funnymoods</p>,79,0
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22710380_1635293166522625_5852439372309200896_n.jpg,http://picbear.com/media/1633680528799197776_4188681658,November 06 2017 - 19:25,October 26 2017 - 01:18,<p>Sweetypie♡</p>,89,2
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.581.581/22639314_552620058422940_8626371763099402240_n.jpg,http://picbear.com/media/1632482781941283498_4188681658,November 06 2017 - 19:25,October 24 2017 - 09:38,<p>Creating a short film with Nick Cannons producer</p>,30,0
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580154_416821675387114_4765922915411558400_n.jpg,http://picbear.com/media/1628492501101624287_4188681658,November 06 2017 - 19:26,October 18 2017 - 21:30,,59,0
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499653_369439333492854_3716213525081751552_n.jpg,http://picbear.com/media/1626719157457197539_4188681658,November 06 2017 - 19:26,October 16 2017 - 10:47,,65,1
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22582473_1543706549047079_4606020643031351296_n.jpg,http://picbear.com/media/1625200110244678916_4188681658,November 06 2017 - 19:26,October 14 2017 - 08:29,,67,2
November 06 2017 - 19:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.74.592.592/22220804_136909323611673_4233307890800132096_n.jpg,http://picbear.com/media/1617662576606129308_4188681658,November 06 2017 - 19:26,October 03 2017 - 22:53,,40,1
