user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22500628_509906159372896_1942662958370783232_n.jpg,http://picbear.com/media/1628214826742611197_4068117733,October 18 2017 - 17:00,October 18 2017 - 12:19,<p>I quite like this sunglass filter or whatever its name is.</p>,2,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22069497_119804348699414_7989463894475145216_n.jpg,http://picbear.com/media/1615732943396266944_4068117733,October 18 2017 - 17:00,October 01 2017 - 06:59,<p>With Friends</p>,14,2
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22069408_690385447821367_2587069015260135424_n.jpg,http://picbear.com/media/1613849935378468823_4068117733,October 18 2017 - 17:00,September 28 2017 - 16:38,,10,1
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21980714_119741465401065_7184241523150553088_n.jpg,http://picbear.com/media/1612352070533750764_4068117733,October 18 2017 - 17:00,September 26 2017 - 15:02,<p>Random photography</p>,9,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20905119_112435359481192_6283520047193260032_n.jpg,http://picbear.com/media/1584105201898775097_4068117733,October 18 2017 - 17:00,August 18 2017 - 15:41,<p>Sometime evening bore the best colours</p>,13,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/e35/20905656_1477067382374718_5172801518302134272_n.jpg,http://picbear.com/media/1583224712824437451_4068117733,October 18 2017 - 17:00,August 17 2017 - 10:31,<p>Just trying different filters</p>,11,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/e35/20839020_1738980379462581_3111646034346901504_n.jpg,http://picbear.com/media/1583224494863293417_4068117733,October 18 2017 - 17:00,August 17 2017 - 10:31,,12,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/e35/20838142_117549415566561_4338032086968434688_n.jpg,http://picbear.com/media/1583223685907812932_4068117733,October 18 2017 - 17:00,August 17 2017 - 10:29,,8,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20760022_1475587229193933_8401758378111533056_n.jpg,http://picbear.com/media/1581256301789695369_4068117733,October 18 2017 - 17:00,August 14 2017 - 17:21,,9,0
October 18 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20482686_132221504051105_8777864957665476608_n.jpg,http://picbear.com/media/1571777159524463309_4068117733,October 18 2017 - 17:00,August 01 2017 - 15:27,<p>Wanna sleep more</p>,10,0
