user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351597_159390777982174_7096794537305047040_n.jpg,http://picbear.com/media/1621212783386792138_485874984,October 25 2017 - 15:39,October 08 2017 - 20:27,"<p>La finestra sull’oasi <a href=""http://picbear.com/tag/opendaydynamocamp"" title=""posts tagged as opendaydynamocamp"">#opendaydynamocamp</a> <a href=""http://picbear.com/tag/dynamobenecomune"" title=""posts tagged as dynamobenecomune"">#dynamobenecomune</a></p>",81,0
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21981040_144501966158562_310940917672443904_n.jpg,http://picbear.com/media/1611117707813724845_485874984,October 25 2017 - 15:39,September 24 2017 - 22:10,"<p>It's only Rock'n'Roll but I like it <a href=""http://picbear.com/tag/epic"" title=""posts tagged as epic"">#epic</a> <a href=""http://picbear.com/tag/rollingstones"" title=""posts tagged as rollingstones"">#rollingstones</a></p>",51,2
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902422_109836003066446_5597201247003213824_n.jpg,http://picbear.com/media/1583517756615299463_485874984,October 25 2017 - 15:39,August 17 2017 - 20:14,"<p><a href=""http://picbear.com/tag/gothamcity"" title=""posts tagged as gothamcity"">#gothamcity</a> 🇺🇸🦇</p>",117,5
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759810_137061996894207_983873868168953856_n.jpg,http://picbear.com/media/1580625959933389571_485874984,October 25 2017 - 15:39,August 13 2017 - 20:28,"<p>Limitless to Freedom <a href=""http://picbear.com/tag/911"" title=""posts tagged as 911"">#911</a> <a href=""http://picbear.com/tag/neverforget"" title=""posts tagged as neverforget"">#neverforget</a> 🇺🇸</p>",69,1
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759870_314765902327337_6298139179565973504_n.jpg,http://picbear.com/media/1578509067626024180_485874984,October 25 2017 - 15:39,August 10 2017 - 22:22,<p>🇺🇸</p>,85,4
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17933779_1627400220621791_566437535585140736_n.jpg,http://picbear.com/media/1494400721046739644_485874984,October 25 2017 - 15:39,April 16 2017 - 21:14,"<p>Waiting for <a href=""http://picbear.com/tag/mcrolexmasters"" title=""posts tagged as mcrolexmasters"">#mcrolexmasters</a> <a href=""http://picbear.com/tag/easterandvolleys"" title=""posts tagged as easterandvolleys"">#easterandvolleys</a></p>",127,5
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16124064_1172324326222410_2622910474395582464_n.jpg,http://picbear.com/media/1438430486031856296_485874984,October 25 2017 - 15:39,January 29 2017 - 15:51,"<p>I LOVE U SWISS MAESTRO <a href=""http://picbear.com/tag/bel18eve"" title=""posts tagged as bel18eve"">#bel18eve</a> <a href=""http://picbear.com/tag/ausopen"" title=""posts tagged as ausopen"">#ausopen</a></p>",84,2
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15801954_230313437411005_562684215204773888_n.jpg,http://picbear.com/media/1417468261247009165_485874984,October 25 2017 - 15:39,December 31 2016 - 17:43,"<p>New Year's Plannings <a href=""http://picbear.com/tag/backtobasics"" title=""posts tagged as backtobasics"">#backtobasics</a> 🇨🇭🎈</p>",109,7
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15046982_673663589478547_468797492834598912_n.jpg,http://picbear.com/media/1390069290283315203_485874984,October 25 2017 - 15:39,November 23 2016 - 22:26,"<p>Morning meetings (come piacciono tanto a <a href=""http://picbear.com/luca4sc"" title=""luca4sc instagram profile"">@luca4sc</a>) <a href=""http://picbear.com/tag/amala"" title=""posts tagged as amala"">#amala</a> <a href=""http://picbear.com/tag/fcim"" title=""posts tagged as fcim"">#fcim</a> <a href=""http://picbear.com/tag/likedisneyland"" title=""posts tagged as likedisneyland"">#likedisneyland</a></p>",37,4
October 25 2017 - 15:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14705070_740946822721995_118905396495646720_n.jpg,http://picbear.com/media/1372714903752040753_485874984,October 25 2017 - 15:39,October 30 2016 - 23:46,"<p>Forza FC ⚫️🔵🇳🇱 <a href=""http://picbear.com/tag/amala"" title=""posts tagged as amala"">#amala</a> <a href=""http://picbear.com/tag/mi9"" title=""posts tagged as mi9"">#mi9</a></p>",30,6
