user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500192_307591479716568_3337036761170706432_n.jpg,http://picbear.com/media/1626161949623864614_2598554795,November 07 2017 - 02:43,October 15 2017 - 16:20,,146,22
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500133_138997566723236_1486421626332381184_n.jpg,http://picbear.com/media/1626160401825070136_2598554795,November 07 2017 - 02:43,October 15 2017 - 16:17,,104,4
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582655_343345882780007_1166378126771486720_n.jpg,http://picbear.com/media/1626157918285218979_2598554795,November 07 2017 - 02:43,October 15 2017 - 16:12,,64,1
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344283_250099172182473_3104123910229065728_n.jpg,http://picbear.com/media/1601008045567348162_2598554795,November 07 2017 - 02:43,September 10 2017 - 23:24,,553,27
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352302_135416403853182_8513179313057562624_n.jpg,http://picbear.com/media/1601002811235255046_2598554795,November 07 2017 - 02:43,September 10 2017 - 23:13,,163,4
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22429671_868370873333868_8995210347455447040_n.jpg,http://picbear.com/media/1601001833987637792_2598554795,November 07 2017 - 02:43,September 10 2017 - 23:11,,116,5
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352292_120845018596527_7040311061618098176_n.jpg,http://picbear.com/media/1600453772454656723_2598554795,November 07 2017 - 02:43,September 10 2017 - 05:02,,64,0
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352282_487704881600489_5545209383689912320_n.jpg,http://picbear.com/media/1600372432870749055_2598554795,November 07 2017 - 02:43,September 10 2017 - 02:21,<p>💙</p>,76,1
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351715_318403225304394_2206538443297652736_n.jpg,http://picbear.com/media/1600372111855505331_2598554795,November 07 2017 - 02:43,September 10 2017 - 02:20,<p>🌸💅💞</p>,71,1
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344463_151966835405221_5359544200956215296_n.jpg,http://picbear.com/media/1600371387432109770_2598554795,November 07 2017 - 02:43,September 10 2017 - 02:19,,41,1
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351685_947599452045730_6199297447915683840_n.jpg,http://picbear.com/media/1599626193803783781_2598554795,November 07 2017 - 02:43,September 09 2017 - 01:38,,52,3
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344283_122682728450627_2936425254299369472_n.jpg,http://picbear.com/media/1599625841197162246_2598554795,November 07 2017 - 02:43,September 09 2017 - 01:38,,61,2
November 07 2017 - 02:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.707.707/22352421_1953764658230880_7455482237039935488_n.jpg,http://picbear.com/media/1595743520207280303_2598554795,November 07 2017 - 02:43,September 03 2017 - 17:04,,63,0
