user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157292_1441318249256468_6123722048029065216_n.jpg,http://picbear.com/media/1615824855621704865_1832260153,November 06 2017 - 19:49,October 01 2017 - 10:02,"<p><a href=""http://picbear.com/tag/celebratelife"" title=""posts tagged as celebratelife"">#celebratelife</a> Caleb Logan Leblanc</p>",16,1
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.135.1080.1080/22070646_150705252195382_2737907850083827712_n.jpg,http://picbear.com/media/1615540254328450452_1832260153,November 06 2017 - 19:49,October 01 2017 - 00:37,"<p><a href=""http://picbear.com/tag/celebratelife"" title=""posts tagged as celebratelife"">#celebratelife</a></p>",12,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19051668_643098335884117_3982704241364959232_n.jpg,http://picbear.com/media/1536872351797444076_1832260153,November 06 2017 - 19:50,June 14 2017 - 11:38,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a></p>",18,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/19051741_1410244452376149_162139722708156416_n.jpg,http://picbear.com/media/1536872098897846457_1832260153,November 06 2017 - 19:50,June 14 2017 - 11:37,"<p><a href=""http://picbear.com/tag/dutchbros"" title=""posts tagged as dutchbros"">#dutchbros</a></p>",12,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18888472_766494516851845_6715026709818638336_n.jpg,http://picbear.com/media/1530268031823991218_1832260153,November 06 2017 - 19:50,June 05 2017 - 08:56,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a></p>",13,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18879251_427623537616623_3043571979526340608_n.jpg,http://picbear.com/media/1528716916372452239_1832260153,November 06 2017 - 19:50,June 03 2017 - 05:34,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a> with friend</p>",12,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18879023_441643356203693_8151489718945579008_n.jpg,http://picbear.com/media/1527724175433808812_1832260153,November 06 2017 - 19:50,June 01 2017 - 20:42,<p>Since my birthday</p>,11,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18723615_797693683735326_1729525820487106560_n.jpg,http://picbear.com/media/1527401636518160086_1832260153,November 06 2017 - 19:50,June 01 2017 - 10:01,<p>🎉🎁It's My Birthday Today!🎁🎉</p>,12,2
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18721750_113796722541245_8868441295337553920_n.jpg,http://picbear.com/media/1525921311858275955_1832260153,November 06 2017 - 19:50,May 30 2017 - 09:00,<p>🇺🇸Happy Memorial Day!🇺🇸</p>,9,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18722061_247569455721328_3969289228843483136_n.jpg,http://picbear.com/media/1523053321181576671_1832260153,November 06 2017 - 19:50,May 26 2017 - 10:02,<p>🎁🎉Happy Birthday Mom!🎉🎁</p>,14,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18579834_275029946290793_772324416485851136_n.jpg,http://picbear.com/media/1519943808975097411_1832260153,November 06 2017 - 19:50,May 22 2017 - 03:04,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a></p>",16,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/18580492_1954021308167457_7634686625024311296_n.jpg,http://picbear.com/media/1519426533205401444_1832260153,November 06 2017 - 19:50,May 21 2017 - 09:56,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a> in Seaside</p>",13,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/18444290_1399972576764249_1307922678136438784_n.jpg,http://picbear.com/media/1516501426115845379_1832260153,November 06 2017 - 19:50,May 17 2017 - 09:04,<p>Yesterday was good</p>,10,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c54.0.212.212/18443219_1876224359322967_3819426416747872256_n.jpg,http://picbear.com/media/1515028690285753444_1832260153,November 06 2017 - 19:50,May 15 2017 - 08:18,<p>Happy Mother's Day Mom!</p>,15,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18443998_1381651935205788_9172574689845837824_n.jpg,http://picbear.com/media/1514313379630770201_1832260153,November 06 2017 - 19:50,May 14 2017 - 08:37,,12,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18382268_825373490960880_6933680204913049600_n.jpg,http://picbear.com/media/1514313229659161067_1832260153,November 06 2017 - 19:50,May 14 2017 - 08:37,,16,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18382502_800998753388284_3857732508506390528_n.jpg,http://picbear.com/media/1514313028768762372_1832260153,November 06 2017 - 19:50,May 14 2017 - 08:36,,11,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18512774_1902113236722959_8595072369318428672_n.jpg,http://picbear.com/media/1514312693283219469_1832260153,November 06 2017 - 19:50,May 14 2017 - 08:36,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a> with @its._.evelina</p>",11,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18445018_358512917878695_7134324489818472448_n.jpg,http://picbear.com/media/1514010445890130227_1832260153,November 06 2017 - 19:50,May 13 2017 - 22:35,<p>For my mom</p>,12,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/18443817_1783439411950649_6245089216699564032_n.jpg,http://picbear.com/media/1513535067023023357_1832260153,November 06 2017 - 19:50,May 13 2017 - 06:51,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a></p>",11,0
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18382376_1315878728481917_6963514937536675840_n.jpg,http://picbear.com/media/1513534729624781690_1832260153,November 06 2017 - 19:50,May 13 2017 - 06:50,"<p><a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a> with <a href=""http://picbear.com/madiey16"" title=""madiey16 instagram profile"">@madiey16</a></p>",15,1
November 06 2017 - 19:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18380699_2065585626907797_7711236312472223744_n.jpg,http://picbear.com/media/1513400020617992434_1832260153,November 06 2017 - 19:50,May 13 2017 - 02:22,,11,0
