user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164712_1707789029231414_1773893631518703616_n.jpg,http://picbear.com/media/1642256710361845543_2042962650,November 06 2017 - 20:48,November 06 2017 - 21:17,<p>Kamu hadir disaat aku sudah mencintai orang lain! Karmaa~</p>,7,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164429_2006323159651758_8343025082590822400_n.jpg,http://picbear.com/media/1641419687547686080_2042962650,November 06 2017 - 20:48,November 05 2017 - 17:34,<p>Izinkan aku bahagia dengan dia because kamu bukan siapa* aku again!</p>,36,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793771_166813297238700_8756817324402540544_n.jpg,http://picbear.com/media/1634605837922004072_2042962650,November 06 2017 - 20:48,October 27 2017 - 07:57,<p>kalo udah jadi mantan pliss yah jangan fake!</p>,53,4
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159196_141599049790476_9011324553648930816_n.jpg,http://picbear.com/media/1616796078103598636_2042962650,November 06 2017 - 20:48,October 02 2017 - 18:12,<p>Inget yang terbaik gakan pergi!</p>,46,11
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909717_1089697094499157_5513447348916715520_n.jpg,http://picbear.com/media/1609500931674466008_2042962650,November 06 2017 - 20:48,September 22 2017 - 16:38,<p>Mana ada berlian dipinggir jalan👯</p>,45,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879327_575983956094375_3876229382167068672_n.jpg,http://picbear.com/media/1608618544568715886_2042962650,November 06 2017 - 20:48,September 21 2017 - 11:24,<p>Persib❤</p>,40,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041703_354414101654379_9072044387508158464_n.jpg,http://picbear.com/media/1589793145923476677_2042962650,November 06 2017 - 20:48,August 26 2017 - 12:02,<p>❤❤❤</p>,30,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041032_646186405591346_2469985299078316032_n.jpg,http://picbear.com/media/1589790261643251437_2042962650,November 06 2017 - 20:48,August 26 2017 - 11:56,<p>Aku pernah berjuang</p>,35,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20394257_715987178599155_164070628335288320_n.jpg,http://picbear.com/media/1583574044158890359_2042962650,November 06 2017 - 20:48,August 17 2017 - 22:05,,32,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c71.0.480.480/19955121_316923385400060_4057469357016481792_n.jpg,http://picbear.com/media/1558593606499701603_2042962650,November 06 2017 - 20:48,July 14 2017 - 10:54,<p>Tribun bareng🎶🎺</p>,27,0
November 06 2017 - 20:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19764993_694184397433367_1752086282965614592_n.jpg,http://picbear.com/media/1552349226067183157_2042962650,November 06 2017 - 20:48,July 05 2017 - 20:07,<p>Nikamti hidup. Indonesia luas~</p>,30,0
