user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23347517_191000301462625_3903730147957669888_n.jpg,http://picbear.com/media/1642363540417265456_5667899616,November 07 2017 - 03:36,November 07 2017 - 00:50,,82,28
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23161255_1504913829544274_4968272873564143616_n.jpg,http://picbear.com/media/1641906492764081448_5667899616,November 07 2017 - 03:36,November 06 2017 - 09:42,,113,27
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164173_226694134533773_5958311935358271488_n.jpg,http://picbear.com/media/1641474366709261125_5667899616,November 07 2017 - 03:36,November 05 2017 - 19:23,,143,38
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161394_155926595143883_2941264308052426752_n.jpg,http://picbear.com/media/1641126331257020936_5667899616,November 07 2017 - 03:36,November 05 2017 - 07:52,,129,25
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161369_119337055502502_8389345712172695552_n.jpg,http://picbear.com/media/1641005779896843288_5667899616,November 07 2017 - 03:36,November 05 2017 - 03:52,,137,29
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23160988_1625558227467413_9067188012151996416_n.jpg,http://picbear.com/media/1640861416550070956_5667899616,November 07 2017 - 03:36,November 04 2017 - 23:05,,131,20
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161135_309914062823849_5086471065039798272_n.jpg,http://picbear.com/media/1640769581928487323_5667899616,November 07 2017 - 03:36,November 04 2017 - 20:03,,120,25
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161251_879395682241808_2713160424617934848_n.jpg,http://picbear.com/media/1640725700683980903_5667899616,November 07 2017 - 03:36,November 04 2017 - 18:36,<p>Monumento a Los Niños Heroes</p>,123,31
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23101041_2038136589754577_3008736947192463360_n.jpg,http://picbear.com/media/1640213263505361368_5667899616,November 07 2017 - 03:36,November 04 2017 - 01:37,,130,27
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164355_129498877758960_5804410960651223040_n.jpg,http://picbear.com/media/1640174702391428318_5667899616,November 07 2017 - 03:36,November 04 2017 - 00:21,,154,35
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.73.581.581/23098928_123433101684228_5489866217525084160_n.jpg,http://picbear.com/media/1639702222258135267_5667899616,November 07 2017 - 03:36,November 03 2017 - 08:42,<p>Toto  Vampiro</p>,156,71
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857515_1972617283025629_841000900599218176_n.jpg,http://picbear.com/media/1638814679144769680_5667899616,November 07 2017 - 03:36,November 02 2017 - 03:19,,139,37
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099150_256443731549301_7178350309784158208_n.jpg,http://picbear.com/media/1638778736064939212_5667899616,November 07 2017 - 03:36,November 02 2017 - 02:07,,141,30
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101603_328870300918894_8538759541272084480_n.jpg,http://picbear.com/media/1638679645549025868_5667899616,November 07 2017 - 03:36,November 01 2017 - 22:50,<p>Feliz día de los muertos</p>,143,29
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.98.1080.1080/22858189_291042074734461_4664038238086758400_n.jpg,http://picbear.com/media/1638277491797580611_5667899616,November 07 2017 - 03:36,November 01 2017 - 09:31,,152,28
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098503_124864681514329_2228642136004231168_n.jpg,http://picbear.com/media/1637347082310114103_5667899616,November 07 2017 - 03:36,October 31 2017 - 02:43,,143,39
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793924_1979192045690963_9111797191755694080_n.jpg,http://picbear.com/media/1636070896942605771_5667899616,November 07 2017 - 03:36,October 29 2017 - 08:27,<p>Frida</p>,161,62
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.30.480.480/22857772_380767039026127_6888956538661109760_n.jpg,http://picbear.com/media/1635768750405689814_5667899616,November 07 2017 - 03:36,October 28 2017 - 22:27,<p>Goya</p>,176,60
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.899.899/22794551_1871181263211390_7807729495875518464_n.jpg,http://picbear.com/media/1635267326144014052_5667899616,November 07 2017 - 03:36,October 28 2017 - 05:51,<p>Toto bien peinado</p>,165,48
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22711055_122570691770944_5800054051336880128_n.jpg,http://picbear.com/media/1634877826674945633_5667899616,November 07 2017 - 03:36,October 27 2017 - 16:57,<p>Alebrijes</p>,150,13
November 07 2017 - 03:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860259_139217720055946_6014862751837454336_n.jpg,http://picbear.com/media/1637956991716349794_5667899616,November 07 2017 - 03:36,October 31 2017 - 22:55,,128,46
