user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099213_470384493354986_9157562310267502592_n.jpg,http://picbear.com/media/1640096995477426140_275269523,November 07 2017 - 05:41,November 03 2017 - 21:46,"<p>💇🏼#mossi 😍#newlook <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> @poseidon.cdb</p>",264,20
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/23098599_321569298253335_7156773815723229184_n.jpg,http://picbear.com/media/1638125885651191256_275269523,November 07 2017 - 05:41,November 01 2017 - 04:30,"<p>🎃👻💀🕸 <a href=""http://picbear.com/tag/happyhalloween"" title=""posts tagged as happyhalloween"">#happyhalloween</a> 👁🍭🍬#friends <a href=""http://picbear.com/tag/halloweencostume"" title=""posts tagged as halloweencostume"">#halloweencostume</a> 🥀🖤🥀🖤🥀🖤👁</p>",330,8
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c153.0.774.774/22858075_298905893930499_8331107287078797312_n.jpg,http://picbear.com/media/1637350586181426533_275269523,November 07 2017 - 05:41,October 31 2017 - 02:50,"<p>🎈🤡#pennywise <a href=""http://picbear.com/tag/it"" title=""posts tagged as it"">#it</a> <a href=""http://picbear.com/tag/youllfloattoo"" title=""posts tagged as youllfloattoo"">#youllfloattoo</a> #🎃👻💀🕸</p>",315,18
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.34.1080.1080/22794543_154153055322064_6176214953637183488_n.jpg,http://picbear.com/media/1635581952454989835_275269523,November 07 2017 - 05:41,October 28 2017 - 16:16,"<p>My cousin's wedding <a href=""http://picbear.com/tag/pink"" title=""posts tagged as pink"">#pink</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> 👩🏼#matrimonio <a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/ihate"" title=""posts tagged as ihate"">#ihate</a>👠</p>",357,15
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c41.0.998.998/22710172_2015112175374499_3631697377674395648_n.jpg,http://picbear.com/media/1631875482911602656_275269523,November 07 2017 - 05:41,October 23 2017 - 13:32,"<p>🍿#movie 🤡 <a href=""http://picbear.com/tag/pennywise"" title=""posts tagged as pennywise"">#pennywise</a> <a href=""http://picbear.com/tag/it"" title=""posts tagged as it"">#it</a> 🎈#youllfloattoo great movie 🎥</p>",337,14
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22637143_813474978830465_2177510657719533568_n.jpg,http://picbear.com/media/1629697955975879306_275269523,November 07 2017 - 05:41,October 20 2017 - 13:25,"<p>☀️good Morning ☀️#today <a href=""http://picbear.com/tag/nomakeup"" title=""posts tagged as nomakeup"">#nomakeup</a> <a href=""http://picbear.com/tag/wakeupearly"" title=""posts tagged as wakeupearly"">#wakeupearly</a> <a href=""http://picbear.com/tag/niceday"" title=""posts tagged as niceday"">#niceday</a> 🙃 <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> <a href=""http://picbear.com/tag/dailylook"" title=""posts tagged as dailylook"">#dailylook</a> 😍🌺❤️</p>",356,20
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582336_1982891108662304_5900162033835311104_n.jpg,http://picbear.com/media/1627586896057968917_275269523,November 07 2017 - 05:41,October 17 2017 - 15:31,"<p>☺️🍿#bladerunner2049 <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> <a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a> <a href=""http://picbear.com/tag/jaredleto"" title=""posts tagged as jaredleto"">#jaredleto</a> <a href=""http://picbear.com/tag/harrisonford"" title=""posts tagged as harrisonford"">#harrisonford</a> <a href=""http://picbear.com/tag/rayngosling"" title=""posts tagged as rayngosling"">#rayngosling</a> <a href=""http://picbear.com/tag/wallace"" title=""posts tagged as wallace"">#wallace</a> 😍great Movie</p>",354,18
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344877_372374983183516_7639642428873375744_n.jpg,http://picbear.com/media/1624109375895365833_275269523,November 07 2017 - 05:41,October 12 2017 - 20:22,"<p>☀️Sunny day ☀️#beautifulsunset <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/dailylook"" title=""posts tagged as dailylook"">#dailylook</a></p>",424,23
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.37.1080.1080/22159430_139128376707954_207310056968945664_n.jpg,http://picbear.com/media/1619111429340625535_275269523,November 07 2017 - 05:41,October 05 2017 - 22:52,"<p>☁️#nofilter <a href=""http://picbear.com/tag/awlab"" title=""posts tagged as awlab"">#awlab</a> 🙃#pink 🌳🌱🌿#ootd <a href=""http://picbear.com/tag/dailyoutfit"" title=""posts tagged as dailyoutfit"">#dailyoutfit</a> <a href=""http://picbear.com/tag/stylish"" title=""posts tagged as stylish"">#stylish</a></p>",418,21
November 07 2017 - 05:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069440_123607441673063_7865127975690174464_n.jpg,http://picbear.com/media/1615569645192628712_275269523,November 07 2017 - 05:41,October 01 2017 - 01:35,"<p>Happy Saturday 🕐#sonno😴 <a href=""http://picbear.com/tag/snakaway"" title=""posts tagged as snakaway"">#snakaway</a> 😋🍨#nofilter</p>",388,23
