user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22278216_1697006570343979_1817876149624111104_n.jpg,http://picbear.com/media/1624224240927267187_5864252386,October 18 2017 - 17:16,October 13 2017 - 00:10,<p>Kewajiban🍃🙏</p>,14,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/e35/21827110_693570090832782_7433015267409526784_n.jpg,http://picbear.com/media/1606600750846603083_5864252386,October 18 2017 - 17:16,September 18 2017 - 16:35,"<p>😆 <a href=""http://picbear.com/tag/teman"" title=""posts tagged as teman"">#teman</a> <a href=""http://picbear.com/tag/thuglife"" title=""posts tagged as thuglife"">#thuglife</a>😎  <a href=""http://picbear.com/tag/guaemanggitu"" title=""posts tagged as guaemanggitu"">#guaemanggitu</a> <a href=""http://picbear.com/tag/orang"" title=""posts tagged as orang"">#orang</a> <a href=""http://picbear.com/tag/anime"" title=""posts tagged as anime"">#anime</a> <a href=""http://picbear.com/tag/lover"" title=""posts tagged as lover"">#lover</a> <a href=""http://picbear.com/tag/spamlike"" title=""posts tagged as spamlike"">#spamlike</a> <a href=""http://picbear.com/tag/coment"" title=""posts tagged as coment"">#coment</a> <a href=""http://picbear.com/tag/bahagiaitusederhana"" title=""posts tagged as bahagiaitusederhana"">#bahagiaitusederhana</a></p>",15,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/e35/21479654_115287582522580_618383451338309632_n.jpg,http://picbear.com/media/1598971049432372413_5864252386,October 18 2017 - 17:16,September 08 2017 - 03:57,"<p>We Love Anime.. Iam Love Anime... And you love anime..so..??? <a href=""http://picbear.com/tag/animeindonesia"" title=""posts tagged as animeindonesia"">#animeindonesia</a> <a href=""http://picbear.com/tag/anime"" title=""posts tagged as anime"">#anime</a> <a href=""http://picbear.com/tag/animelover"" title=""posts tagged as animelover"">#animelover</a> <a href=""http://picbear.com/tag/animejepang"" title=""posts tagged as animejepang"">#animejepang</a> <a href=""http://picbear.com/tag/lovers"" title=""posts tagged as lovers"">#lovers</a></p>",13,2
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21148023_1956889627925732_1009544801797799936_n.jpg,http://picbear.com/media/1590505811993213438_5864252386,October 18 2017 - 17:16,August 27 2017 - 11:38,"<p>Kemarin..... <a href=""http://picbear.com/tag/lapser"" title=""posts tagged as lapser"">#lapser</a> <a href=""http://picbear.com/tag/fesrida2017"" title=""posts tagged as fesrida2017"">#fesrida2017</a> <a href=""http://picbear.com/tag/fesrida2"" title=""posts tagged as fesrida2"">#fesrida2</a> <a href=""http://picbear.com/tag/pestamalam"" title=""posts tagged as pestamalam"">#pestamalam</a> <a href=""http://picbear.com/tag/malming"" title=""posts tagged as malming"">#malming</a> <a href=""http://picbear.com/tag/thuglife"" title=""posts tagged as thuglife"">#thuglife</a></p>",10,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/e35/20838787_1985876861642795_3584590030342979584_n.jpg,http://picbear.com/media/1584546210684855512_5864252386,October 18 2017 - 17:16,August 19 2017 - 06:17,"<p>Masa"" smp😅 <a href=""http://picbear.com/tag/kangen"" title=""posts tagged as kangen"">#kangen</a>_</p>",10,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20905835_1852917928370292_4889931484674129920_n.jpg,http://picbear.com/media/1583661465146821103_5864252386,October 18 2017 - 17:16,August 18 2017 - 00:59,<p>😐😆</p>,17,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20688176_124169184881452_8653033485553893376_n.jpg,http://picbear.com/media/1579028780269113742_5864252386,October 18 2017 - 17:16,August 11 2017 - 15:35,<p>.</p>,10,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22580179_1662797923770402_3537550496250200064_n.jpg,http://picbear.com/media/1628260664068091615_5864252386,October 18 2017 - 17:16,October 18 2017 - 13:52,"<p>Hahaha ketikung ea😅 _________________  Lucu ngk lucu,bagus ngk bagus,jlek ngk jlek..masih newbie✌  Tanks: <a href=""http://picbear.com/tag/kinemaster"" title=""posts tagged as kinemaster"">#kinemaster</a> <a href=""http://picbear.com/tag/thuglife"" title=""posts tagged as thuglife"">#thuglife</a>  Lokasi: <a href=""http://picbear.com/tag/kalisada"" title=""posts tagged as kalisada"">#kalisada</a> <a href=""http://picbear.com/tag/seririt"" title=""posts tagged as seririt"">#seririt</a> <a href=""http://picbear.com/tag/buleleng"" title=""posts tagged as buleleng"">#buleleng</a> <a href=""http://picbear.com/tag/bali"" title=""posts tagged as bali"">#bali</a>  Tag pad: <a href=""http://picbear.com/tag/ordinarysebet"" title=""posts tagged as ordinarysebet"">#ordinarysebet</a>  #dr.drethenextepisode  Grup: <a href=""http://picbear.com/tag/indovigram"" title=""posts tagged as indovigram"">#indovigram</a> <a href=""http://picbear.com/tag/musically"" title=""posts tagged as musically"">#musically</a> <a href=""http://picbear.com/tag/nonono"" title=""posts tagged as nonono"">#nonono</a></p>",6,4
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22351989_121566285191639_5312407918430126080_n.jpg,http://picbear.com/media/1624217903652803247_5864252386,October 18 2017 - 17:16,October 12 2017 - 23:59,"<p>Buat lucu""an.....😅 _________________________Lucu apa ngk nya gak masalah😊 _________________________masih pemula👍  Tanks:  <a href=""http://picbear.com/tag/kinemaster"" title=""posts tagged as kinemaster"">#kinemaster</a> <a href=""http://picbear.com/tag/editing"" title=""posts tagged as editing"">#editing</a>  So??? <a href=""http://picbear.com/tag/thuglife"" title=""posts tagged as thuglife"">#thuglife</a> <a href=""http://picbear.com/tag/nakbali"" title=""posts tagged as nakbali"">#nakbali</a> <a href=""http://picbear.com/tag/anakediting"" title=""posts tagged as anakediting"">#anakediting</a>  Grup:: <a href=""http://picbear.com/tag/kinemaster"" title=""posts tagged as kinemaster"">#kinemaster</a> <a href=""http://picbear.com/tag/indovigram"" title=""posts tagged as indovigram"">#indovigram</a> <a href=""http://picbear.com/tag/musically"" title=""posts tagged as musically"">#musically</a></p>",5,5
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22158856_557856044605719_8017411585972633600_n.jpg,http://picbear.com/media/1617404700150514509_5864252386,October 18 2017 - 17:16,October 03 2017 - 14:21,"<p>Masih pemula😊  Tanks:: <a href=""http://picbear.com/tag/kinemaster"" title=""posts tagged as kinemaster"">#kinemaster</a> <a href=""http://picbear.com/tag/editing"" title=""posts tagged as editing"">#editing</a>  Post:: <a href=""http://picbear.com/tag/house"" title=""posts tagged as house"">#house</a> <a href=""http://picbear.com/tag/tempatku"" title=""posts tagged as tempatku"">#tempatku</a> <a href=""http://picbear.com/tag/kalisada"" title=""posts tagged as kalisada"">#kalisada</a> <a href=""http://picbear.com/tag/seririt"" title=""posts tagged as seririt"">#seririt</a> <a href=""http://picbear.com/tag/buleleng"" title=""posts tagged as buleleng"">#buleleng</a> <a href=""http://picbear.com/tag/bali"" title=""posts tagged as bali"">#bali</a>  Grup:: <a href=""http://picbear.com/tag/indovigram"" title=""posts tagged as indovigram"">#indovigram</a> <a href=""http://picbear.com/tag/kinemaster"" title=""posts tagged as kinemaster"">#kinemaster</a> <a href=""http://picbear.com/tag/musically"" title=""posts tagged as musically"">#musically</a> <a href=""http://picbear.com/tag/v"" title=""posts tagged as v"">#v</a>  Tema:: Jack ü</p>",11,8
