user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069871_473779273005444_6554985117289283584_n.jpg,http://picbear.com/media/1614107480492020701_4763953968,November 06 2017 - 20:30,September 29 2017 - 01:10,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069331_283407232154658_6173527201758052352_n.jpg,http://picbear.com/media/1614107053100668127_4763953968,November 06 2017 - 20:30,September 29 2017 - 01:09,,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069108_1831857346843393_2955343979647860736_n.jpg,http://picbear.com/media/1614105704850055209_4763953968,November 06 2017 - 20:30,September 29 2017 - 01:06,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069509_1228600427316893_7643679809800765440_n.jpg,http://picbear.com/media/1614103795082780808_4763953968,November 06 2017 - 20:30,September 29 2017 - 01:03,,1,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21984775_314458482295808_4070306202515406848_n.jpg,http://picbear.com/media/1614099428720114539_4763953968,November 06 2017 - 20:30,September 29 2017 - 00:54,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909721_1121435324656943_1079260629342093312_n.jpg,http://picbear.com/media/1611089834255156793_4763953968,November 06 2017 - 20:30,September 24 2017 - 21:14,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980708_1455910887830695_2177127512276992000_n.jpg,http://picbear.com/media/1610700712659341417_4763953968,November 06 2017 - 20:30,September 24 2017 - 08:21,,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879178_126655921410877_1835680300894519296_n.jpg,http://picbear.com/media/1608820641661041470_4763953968,November 06 2017 - 20:30,September 21 2017 - 18:06,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827720_154464808473569_7498705830129172480_n.jpg,http://picbear.com/media/1608818024985774425_4763953968,November 06 2017 - 20:30,September 21 2017 - 18:01,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21911052_1952868321668511_1845395336529444864_n.jpg,http://picbear.com/media/1608817649016838891_4763953968,November 06 2017 - 20:30,September 21 2017 - 18:00,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21909946_316815995457165_5909498223289958400_n.jpg,http://picbear.com/media/1608817250423547817_4763953968,November 06 2017 - 20:30,September 21 2017 - 17:59,,5,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827677_1960543887500564_1711936267257643008_n.jpg,http://picbear.com/media/1608815180928856477_4763953968,November 06 2017 - 20:30,September 21 2017 - 17:55,<p>Babama ölmeden önce ftiha  indiriyom</p>,3,1
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21568582_541291239549910_7003448280734498816_n.jpg,http://picbear.com/media/1602464315187942672_4763953968,November 06 2017 - 20:31,September 12 2017 - 23:37,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224785_168977700339386_5051429547858198528_n.jpg,http://picbear.com/media/1593685508058594009_4763953968,November 06 2017 - 20:31,August 31 2017 - 20:55,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227266_229260300931570_3102253396137082880_n.jpg,http://picbear.com/media/1593684955626816161_4763953968,November 06 2017 - 20:31,August 31 2017 - 20:54,,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21148093_163975034159167_865146008441454592_n.jpg,http://picbear.com/media/1593596277973852198_4763953968,November 06 2017 - 20:31,August 31 2017 - 17:58,,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294788_943074339151255_6926445899438620672_n.jpg,http://picbear.com/media/1593595522361841774_4763953968,November 06 2017 - 20:31,August 31 2017 - 17:56,,1,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294670_301834263558366_3304227536061333504_n.jpg,http://picbear.com/media/1593593856845581021_4763953968,November 06 2017 - 20:31,August 31 2017 - 17:53,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041043_226438044550535_4464372222177312768_n.jpg,http://picbear.com/media/1587936985593931328_4763953968,November 06 2017 - 20:31,August 23 2017 - 22:34,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905060_286822575133515_1424865927412842496_n.jpg,http://picbear.com/media/1585799194227247054_4763953968,November 06 2017 - 20:31,August 20 2017 - 23:46,,6,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968597_1649976028359945_402901153936834560_n.jpg,http://picbear.com/media/1585798639253923404_4763953968,November 06 2017 - 20:31,August 20 2017 - 23:45,,6,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905374_1893558200911096_7764485119439536128_n.jpg,http://picbear.com/media/1585797417184671618_4763953968,November 06 2017 - 20:31,August 20 2017 - 23:43,,8,1
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902446_166995303869409_8891127686257180672_n.jpg,http://picbear.com/media/1585796776605394446_4763953968,November 06 2017 - 20:31,August 20 2017 - 23:42,,7,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902448_409754199422531_7595754013501423616_n.jpg,http://picbear.com/media/1585729100612658704_4763953968,November 06 2017 - 20:31,August 20 2017 - 21:27,<p>Bugün kınadayız</p>,7,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905762_255234448317436_2543020470622486528_n.jpg,http://picbear.com/media/1585728161491307811_4763953968,November 06 2017 - 20:31,August 20 2017 - 21:25,,6,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20633706_162003554361332_5161362989600735232_n.jpg,http://picbear.com/media/1576428874102181537_4763953968,November 06 2017 - 20:31,August 08 2017 - 01:29,,5,1
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20478942_483184908705209_3078713792784236544_n.jpg,http://picbear.com/media/1571227256330979200_4763953968,November 06 2017 - 20:31,July 31 2017 - 21:15,,8,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398369_1427681810661338_2749645291329159168_n.jpg,http://picbear.com/media/1566965870511903655_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:08,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20213881_1045000235636923_6398657395865681920_n.jpg,http://picbear.com/media/1566965570115776365_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:07,,8,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20393503_1007969925972785_5023739906585788416_n.jpg,http://picbear.com/media/1566965204598929721_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:07,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225555_106183056729989_2297233313477165056_n.jpg,http://picbear.com/media/1566964080441809715_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:04,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20347564_882223421931790_1174802537618866176_n.jpg,http://picbear.com/media/1566963312808523469_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:03,,6,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225497_128336571106013_5760668221980016640_n.jpg,http://picbear.com/media/1566963055076858853_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:02,,5,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20226026_1916496131932846_2707986509444677632_n.jpg,http://picbear.com/media/1566961754842650954_4763953968,November 06 2017 - 20:31,July 26 2017 - 00:00,,3,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20065311_182943405575071_1787958618620952576_n.jpg,http://picbear.com/media/1557521805991044126_4763953968,November 06 2017 - 20:31,July 12 2017 - 23:24,,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19932857_461998610844762_4377775154525110272_n.jpg,http://picbear.com/media/1557521197573837700_4763953968,November 06 2017 - 20:31,July 12 2017 - 23:23,,4,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955707_307505362993341_2736966754029797376_n.jpg,http://picbear.com/media/1557520603173732734_4763953968,November 06 2017 - 20:31,July 12 2017 - 23:22,,5,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955454_121985575078497_5609928300253151232_n.jpg,http://picbear.com/media/1557519638139861305_4763953968,November 06 2017 - 20:31,July 12 2017 - 23:20,,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17587502_112593822626272_4217830220234752000_n.jpg,http://picbear.com/media/1491879255418949285_4763953968,November 06 2017 - 20:31,April 13 2017 - 09:44,,7,1
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435861_336357650124112_7456356567827349504_n.jpg,http://picbear.com/media/1597128016017140471_4763953968,November 06 2017 - 20:31,September 05 2017 - 14:55,,10,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21041781_113194612735113_6488101142071869440_n.jpg,http://picbear.com/media/1587926282543659350_4763953968,November 06 2017 - 20:31,August 23 2017 - 22:13,<p>Bektaş babanın oğlunun düğünü</p>,2,0
November 06 2017 - 20:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/20905526_111345659543740_9117543187982843904_n.jpg,http://picbear.com/media/1585838110129060096_4763953968,November 06 2017 - 20:31,August 21 2017 - 01:04,,5,0
