user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22581998_378900395873515_2571690777482625024_n.jpg,http://picbear.com/media/1628360651762223126_297455775,October 18 2017 - 17:01,October 18 2017 - 17:08,"<p>Being happy and being in peace is the most difficult thing to achieve.  If we want to be happy, we have to follow it and conquer it.. ✌✌ Pic from memories.. 2011.🔶 <a href=""http://picbear.com/tag/ktm"" title=""posts tagged as ktm"">#ktm</a> <a href=""http://picbear.com/tag/bikeride"" title=""posts tagged as bikeride"">#bikeride</a> <a href=""http://picbear.com/tag/bike"" title=""posts tagged as bike"">#bike</a> <a href=""http://picbear.com/tag/ducati"" title=""posts tagged as ducati"">#ducati</a> <a href=""http://picbear.com/tag/yamaha"" title=""posts tagged as yamaha"">#yamaha</a> <a href=""http://picbear.com/tag/honda"" title=""posts tagged as honda"">#honda</a> <a href=""http://picbear.com/tag/friendship"" title=""posts tagged as friendship"">#friendship</a> <a href=""http://picbear.com/tag/night"" title=""posts tagged as night"">#night</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/potrait"" title=""posts tagged as potrait"">#potrait</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> <a href=""http://picbear.com/tag/brand"" title=""posts tagged as brand"">#brand</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/recentforrecent"" title=""posts tagged as recentforrecent"">#recentforrecent</a> <a href=""http://picbear.com/tag/likeforlike"" title=""posts tagged as likeforlike"">#likeforlike</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/gym"" title=""posts tagged as gym"">#gym</a> <a href=""http://picbear.com/tag/workout"" title=""posts tagged as workout"">#workout</a> <a href=""http://picbear.com/tag/goodnight"" title=""posts tagged as goodnight"">#goodnight</a> <a href=""http://picbear.com/tag/stars"" title=""posts tagged as stars"">#stars</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/superbike"" title=""posts tagged as superbike"">#superbike</a> <a href=""http://picbear.com/tag/motogp"" title=""posts tagged as motogp"">#motogp</a> <a href=""http://picbear.com/tag/f1"" title=""posts tagged as f1"">#f1</a> <a href=""http://picbear.com/tag/exotic"" title=""posts tagged as exotic"">#exotic</a> <a href=""http://picbear.com/tag/instafamous"" title=""posts tagged as instafamous"">#instafamous</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a></p>",38,0
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22637784_289829878179744_4981908196433068032_n.jpg,http://picbear.com/media/1628325188787521594_297455775,October 18 2017 - 17:01,October 18 2017 - 15:58,"<p>I know I already crossed my teenage : I have completed more than half of my life : I don't know when and how I met u first, u will be my first and last crush with whom I wish to live with [ BIKES] 💟💟 <a href=""http://picbear.com/tag/bikeride"" title=""posts tagged as bikeride"">#bikeride</a> <a href=""http://picbear.com/tag/bike"" title=""posts tagged as bike"">#bike</a> <a href=""http://picbear.com/tag/helmet"" title=""posts tagged as helmet"">#helmet</a> <a href=""http://picbear.com/tag/jacket"" title=""posts tagged as jacket"">#jacket</a> <a href=""http://picbear.com/tag/ktm"" title=""posts tagged as ktm"">#ktm</a> <a href=""http://picbear.com/tag/yamaha"" title=""posts tagged as yamaha"">#yamaha</a> <a href=""http://picbear.com/tag/ducati"" title=""posts tagged as ducati"">#ducati</a> <a href=""http://picbear.com/tag/honda"" title=""posts tagged as honda"">#honda</a> <a href=""http://picbear.com/tag/superbike"" title=""posts tagged as superbike"">#superbike</a> <a href=""http://picbear.com/tag/f1"" title=""posts tagged as f1"">#f1</a> <a href=""http://picbear.com/tag/motogp"" title=""posts tagged as motogp"">#motogp</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a> <a href=""http://picbear.com/tag/potrait"" title=""posts tagged as potrait"">#potrait</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/sexy"" title=""posts tagged as sexy"">#sexy</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/workout"" title=""posts tagged as workout"">#workout</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/couples"" title=""posts tagged as couples"">#couples</a> <a href=""http://picbear.com/tag/gym"" title=""posts tagged as gym"">#gym</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/recentforrecent"" title=""posts tagged as recentforrecent"">#recentforrecent</a></p>",54,0
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22581775_709384512588125_8850105281087012864_n.jpg,http://picbear.com/media/1628251776069222324_297455775,October 18 2017 - 17:01,October 18 2017 - 13:32,"<p>Brother from another mother.. 💟 <a href=""http://picbear.com/tag/bangalore"" title=""posts tagged as bangalore"">#bangalore</a> <a href=""http://picbear.com/tag/india"" title=""posts tagged as india"">#india</a> <a href=""http://picbear.com/tag/ride"" title=""posts tagged as ride"">#ride</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/training"" title=""posts tagged as training"">#training</a> <a href=""http://picbear.com/tag/beard"" title=""posts tagged as beard"">#beard</a> <a href=""http://picbear.com/tag/haircut"" title=""posts tagged as haircut"">#haircut</a> <a href=""http://picbear.com/tag/hairstyles"" title=""posts tagged as hairstyles"">#hairstyles</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a></p>",64,0
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582201_1660757733977131_6834916083321798656_n.jpg,http://picbear.com/media/1628191447205421205_297455775,October 18 2017 - 17:01,October 18 2017 - 11:32,"<p>Everything happens for a reason.. And we will be  behind all those directly or Indirectly.  <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/rain"" title=""posts tagged as rain"">#rain</a> <a href=""http://picbear.com/tag/camera"" title=""posts tagged as camera"">#camera</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a></p>",53,2
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22638651_156718521591017_6565465941298118656_n.jpg,http://picbear.com/media/1628099556346616404_297455775,October 18 2017 - 17:01,October 18 2017 - 08:30,"<p>The days starting with rides will be the best days in my life  <a href=""http://picbear.com/tag/ktm"" title=""posts tagged as ktm"">#ktm</a> <a href=""http://picbear.com/tag/duke"" title=""posts tagged as duke"">#duke</a> <a href=""http://picbear.com/tag/ride"" title=""posts tagged as ride"">#ride</a> <a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/diwali"" title=""posts tagged as diwali"">#diwali</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/holiday"" title=""posts tagged as holiday"">#holiday</a> <a href=""http://picbear.com/tag/helmet"" title=""posts tagged as helmet"">#helmet</a> <a href=""http://picbear.com/tag/superbike"" title=""posts tagged as superbike"">#superbike</a></p>",48,2
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580527_2054581481432322_3502027766637789184_n.jpg,http://picbear.com/media/1627686606171473557_297455775,October 18 2017 - 17:01,October 17 2017 - 18:49,"<p>A bike, an empty road.. It will be Awesome.. But if there is companions to join life will be super Awesome.  <a href=""http://picbear.com/tag/night"" title=""posts tagged as night"">#night</a> <a href=""http://picbear.com/tag/goodnight"" title=""posts tagged as goodnight"">#goodnight</a> <a href=""http://picbear.com/tag/ktm"" title=""posts tagged as ktm"">#ktm</a> <a href=""http://picbear.com/tag/bikeride"" title=""posts tagged as bikeride"">#bikeride</a> <a href=""http://picbear.com/tag/superbike"" title=""posts tagged as superbike"">#superbike</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a></p>",77,6
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500454_1464718866908795_3495191896689475584_n.jpg,http://picbear.com/media/1627326523503752135_297455775,October 18 2017 - 17:01,October 17 2017 - 06:54,"<p>My best buddy ✌✌ <a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/tuesday"" title=""posts tagged as tuesday"">#tuesday</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/sunrise"" title=""posts tagged as sunrise"">#sunrise</a> <a href=""http://picbear.com/tag/positivevibes"" title=""posts tagged as positivevibes"">#positivevibes</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a></p>",66,0
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500584_846044512241118_2860482261046788096_n.jpg,http://picbear.com/media/1626878815223427923_297455775,October 18 2017 - 17:01,October 16 2017 - 16:04,"<p>My love towards u is Infinity ✌💟 <a href=""http://picbear.com/tag/duke"" title=""posts tagged as duke"">#duke</a> <a href=""http://picbear.com/tag/ktm"" title=""posts tagged as ktm"">#ktm</a> <a href=""http://picbear.com/tag/superbike"" title=""posts tagged as superbike"">#superbike</a> <a href=""http://picbear.com/tag/exotic"" title=""posts tagged as exotic"">#exotic</a></p>",63,5
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582710_1856412184374505_7325235481182994432_n.jpg,http://picbear.com/media/1626255395074868037_297455775,October 18 2017 - 17:01,October 15 2017 - 19:26,<p>Pic from long tym back.. 2010</p>,47,1
October 18 2017 - 17:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430125_125879304798337_4843304061283336192_n.jpg,http://picbear.com/media/1626086979114568691_297455775,October 18 2017 - 17:01,October 15 2017 - 13:51,"<p>Beast in peace.. <a href=""http://picbear.com/tag/duke"" title=""posts tagged as duke"">#duke</a> <a href=""http://picbear.com/tag/ktm"" title=""posts tagged as ktm"">#ktm</a> <a href=""http://picbear.com/tag/rider"" title=""posts tagged as rider"">#rider</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/superbike"" title=""posts tagged as superbike"">#superbike</a> <a href=""http://picbear.com/tag/exotic"" title=""posts tagged as exotic"">#exotic</a> <a href=""http://picbear.com/tag/rain"" title=""posts tagged as rain"">#rain</a> <a href=""http://picbear.com/tag/snow"" title=""posts tagged as snow"">#snow</a> <a href=""http://picbear.com/tag/beast"" title=""posts tagged as beast"">#beast</a> <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/machine"" title=""posts tagged as machine"">#machine</a> <a href=""http://picbear.com/tag/recentforrecent"" title=""posts tagged as recentforrecent"">#recentforrecent</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/likeforlike"" title=""posts tagged as likeforlike"">#likeforlike</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a> <a href=""http://picbear.com/tag/engine"" title=""posts tagged as engine"">#engine</a> <a href=""http://picbear.com/tag/couple"" title=""posts tagged as couple"">#couple</a> <a href=""http://picbear.com/tag/sexy"" title=""posts tagged as sexy"">#sexy</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/babe"" title=""posts tagged as babe"">#babe</a> <a href=""http://picbear.com/tag/baby"" title=""posts tagged as baby"">#baby</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/motocross"" title=""posts tagged as motocross"">#motocross</a> <a href=""http://picbear.com/tag/drift"" title=""posts tagged as drift"">#drift</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/car"" title=""posts tagged as car"">#car</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a></p>",61,0
