user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500042_170061013572010_712579776426016768_n.jpg,http://picbear.com/media/1627312801670605524_3715879708,October 18 2017 - 11:58,October 17 2017 - 06:27,"<p>Нет времени редактировать фотки <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a><a href=""http://picbear.com/tag/чоппушка"" title=""posts tagged as чоппушка"">#чоппушка</a></p>",82,1
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/e35/22157223_342774146166373_4624753267446906880_n.jpg,http://picbear.com/media/1616783461014943292_3715879708,October 18 2017 - 11:58,October 02 2017 - 17:47,"<p>я верю, что каждый человек заслуживает любовь. каждый человек заслуживает заботу, нежность и доброту.  вы заслужили человека, который будет греть вас в своих объятиях, будет вытирать ваши слёзы ( и не допускать, чтобы ваши щёки были мокрыми от них ). будет рядом вне зависимости от того, сколько у него важных дел в какой-либо день, вне зависимости от своего самочувствия, ведь для него вы - будете являться воплощением счастья и спокойствия.  вы будете хотеть видеть его так же часто рядом с собой, как и он сам. он будет для вас чем-то большим, чем-то</p>",167,0
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21910715_118915372150825_4423845864254996480_n.jpg,http://picbear.com/media/1609783666618547220_3715879708,October 18 2017 - 11:58,September 23 2017 - 01:59,"<p>Once upon o time, an angel and a devil fell in love💕. <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a></p>",165,3
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21480526_2194891447469308_4334884962567192576_n.jpg,http://picbear.com/media/1602207693199089919_3715879708,October 18 2017 - 11:58,September 12 2017 - 15:07,"<p>Сделай свою жизнь историей, которую стоит рассказать☝. <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a><a href=""http://picbear.com/tag/чоппушка"" title=""posts tagged as чоппушка"">#чоппушка</a></p>",195,2
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/e35/21479903_169439550272800_5877751104938180608_n.jpg,http://picbear.com/media/1600798518480985705_3715879708,October 18 2017 - 11:58,September 10 2017 - 16:27,"<p>Сегодня чудесный день!😇А знаете почему? Потому что сегодня <a href=""http://picbear.com/tag/ДеньРождения"" title=""posts tagged as ДеньРождения"">#ДеньРождения</a> моего города!👏 <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a> <a href=""http://picbear.com/tag/Якутск"" title=""posts tagged as Якутск"">#Якутск</a><a href=""http://picbear.com/tag/Якутия"" title=""posts tagged as Якутия"">#Якутия</a><a href=""http://picbear.com/tag/385"" title=""posts tagged as 385"">#385</a><a href=""http://picbear.com/tag/385якутск"" title=""posts tagged as 385якутск"">#385якутск</a></p>",181,0
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21435970_1520032814754601_2138252324466851840_n.jpg,http://picbear.com/media/1599369357669324625_3715879708,October 18 2017 - 11:58,September 08 2017 - 17:08,"<p>А девочка танцует, Девочка смеётся, Она тебя забудет И больше не вернётся.💔 <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a><a href=""http://picbear.com/tag/чоппушка"" title=""posts tagged as чоппушка"">#чоппушка</a></p>",195,4
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21224077_1850762055238403_8073747709921591296_n.jpg,http://picbear.com/media/1593511648268927420_3715879708,October 18 2017 - 11:59,August 31 2017 - 15:10,"<p>Доброту души моей за слабость принимали🌸💫. <a href=""http://picbear.com/tag/arcticvoice"" title=""posts tagged as arcticvoice"">#arcticvoice</a><a href=""http://picbear.com/tag/snowvoice"" title=""posts tagged as snowvoice"">#snowvoice</a> <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a></p>",209,1
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20901881_1956195911293018_5997416014860517376_n.jpg,http://picbear.com/media/1593284009876985391_3715879708,October 18 2017 - 11:59,August 31 2017 - 07:37,"<p>Не замерзайте душой💕💫. <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a></p>",152,2
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21042458_701426866723270_2233817704739897344_n.jpg,http://picbear.com/media/1591320026584400791_3715879708,October 18 2017 - 11:59,August 28 2017 - 14:35,"<p>Твоя улыбка сносит мне голову💫. <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a></p>",169,0
October 18 2017 - 11:58,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21042283_335953253511182_396019426622701568_n.jpg,http://picbear.com/media/1590696320359068846_3715879708,October 18 2017 - 11:59,August 27 2017 - 17:56,"<p>Не люблю делиться любимыми людьми. <a href=""http://picbear.com/tag/chupikarbuz"" title=""posts tagged as chupikarbuz"">#chupikarbuz</a><a href=""http://picbear.com/tag/чоппушка"" title=""posts tagged as чоппушка"">#чоппушка</a></p>",180,5
