user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22580436_154099548522030_4960363154417647616_n.jpg,http://picbear.com/media/1628082567948094754_25025320,October 18 2017 - 14:34,October 18 2017 - 07:56,"<p>Photo by <a href=""http://picbear.com/manumanuti"" title=""manumanuti instagram profile"">@manumanuti</a> For Manu Espinosa Nevraumont (@manumanuti), weekends are spent taking photos with friends — and colorful backdrops. “I wanted to express how important photography is to me, and how it’s a part of my everyday life,” says Manu. “This photo includes one of my favorite places in the city and one of my closest friends.” <a href=""http://picbear.com/tag/whpmyeveryday"" title=""posts tagged as whpmyeveryday"">#whpmyeveryday</a></p>",630354,4056
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582199_1716698461736291_1479839528821719040_n.jpg,http://picbear.com/media/1627966441427628404_25025320,October 18 2017 - 14:34,October 18 2017 - 04:05,"<p>Photo by <a href=""http://picbear.com/shaina_sullivan"" title=""shaina_sullivan instagram profile"">@shaina_sullivan</a> After becoming a stay-at-home mom, Shaina Sullivan (@shaina_sullivan) focused more on capturing everyday moments with her camera, like this one between her son and his great-grandmother. “Never did I imagine life every day with a child, but now that it’s here, I can’t picture life any other way.” ❤️📷 <a href=""http://picbear.com/tag/whpmyeveryday"" title=""posts tagged as whpmyeveryday"">#whpmyeveryday</a></p>",538781,4108
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500421_1497515343674457_8415846137130385408_n.jpg,http://picbear.com/media/1627775212932552188_25025320,October 18 2017 - 14:34,October 17 2017 - 21:45,"<p>Photo by <a href=""http://picbear.com/artdr3am"" title=""artdr3am instagram profile"">@artdr3am</a> Comfortable, secure, confident in your own skin — this is what body positivity means to Leia Immanuel (@artdr3am). For the past three years, Leia has dealt with hormonal acne. “I used to try and cover it all up with makeup,” says the eighth-grade student from New York. “Slowly, I began to accept that my acne is natural. I’ve grown more comfortable in my skin and body, and it’s changed the way I’ve seen people and the world.” Her advice to others? “Self-confidence comes differently for everyone. Being confident in your skin takes time and learning. Stay true to yourself and most importantly, keep an open mind. People are different, and when you accept that, you can accept your differences.” <a href=""http://picbear.com/tag/nationalbodyconfidenceday"" title=""posts tagged as nationalbodyconfidenceday"">#nationalbodyconfidenceday</a></p>",684282,8110
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22639445_301907936953523_4365355565098991616_n.jpg,http://picbear.com/media/1627251831984736360_25025320,October 18 2017 - 14:34,October 17 2017 - 04:25,"<p>Photo by <a href=""http://picbear.com/kutovakika"" title=""kutovakika instagram profile"">@kutovakika</a> “Fragmented” was the word that came to mind for Veronika (@kutovakika) when describing her day-to-day life. “Thus, a picture of a puzzle,” she writes in her caption. “Every day might not be a dance on roses, but sometimes the puzzle comes together just right.” 🌹 <a href=""http://picbear.com/tag/whpmyeveryday"" title=""posts tagged as whpmyeveryday"">#whpmyeveryday</a></p>",722682,4145
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582200_217476572125531_3969058361466421248_n.jpg,http://picbear.com/media/1627177261059640059_25025320,October 18 2017 - 14:35,October 17 2017 - 01:57,"<p>Photo by <a href=""http://picbear.com/its_me_zazie"" title=""its_me_zazie instagram profile"">@its_me_zazie</a> Lines from a poem by Australian poet Erin Hanson provide daily inspiration for Alessandra (@its_me_zazie) and her children: “And you ask, ‘What if I fall?’/ Oh, but my darling,/ What if you fly?” 🕊 <a href=""http://picbear.com/tag/whpmyeveryday"" title=""posts tagged as whpmyeveryday"">#whpmyeveryday</a></p>",900614,3223
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580313_121197811909097_4334938168622055424_n.jpg,http://picbear.com/media/1627154498966092970_25025320,October 18 2017 - 14:35,October 17 2017 - 01:12,"<p>Photo by <a href=""http://picbear.com/vineet_vohra"" title=""vineet_vohra instagram profile"">@vineet_vohra</a> Every morning for the past five years, photographer Vineet Vohra (@vineet_vohra) visits the bus terminal to observe “different people, buses, changes of weather and changes of mood.” 🚌 Follow along to see more of our favorites from last weekend’s hashtag project, #whpmyeveryday.</p>",393498,1548
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430397_124657868240648_5644062243600465920_n.jpg,http://picbear.com/media/1627047818328743516_25025320,October 18 2017 - 14:35,October 16 2017 - 21:40,"<p>Photo by <a href=""http://picbear.com/milkwood_permaculture"" title=""milkwood_permaculture instagram profile"">@milkwood_permaculture</a> From the golden pellets of sprouted grain they feed their chickens to the ingredients that make it to their kitchen table for supper, nearly every bite of food Kirsten Bradley and her family eats is grown on the sustainable farm where they live in Victoria, Australia. “Homegrown food tends to be very delicious,” she says. Kirsten is part of Milkwood (@milkwood_permaculture), a school where people can learn how to build sustainable farm systems. Along with an extended community of educators, Milkwood offers courses on everything from natural beekeeping and mushroom cultivation to biointensive growing, an organic vegetable growing method designed to maximize harvest in small spaces. Soon it’ll be growing season in Australia, so Kirsten's family is busy planting tomato, pepper and eggplant seedlings and making sure the bees pollinate their fruit trees in hopes of a big summer bounty. And then? They wait. “Growing of food is not an instant process,</p>",976385,3991
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22430074_724364277757217_7058150594829090816_n.jpg,http://picbear.com/media/1626372597552670972_25025320,October 18 2017 - 14:35,October 15 2017 - 23:19,"<p>Photo by <a href=""http://picbear.com/kyyyyyyyyyyyyyyyyyyyyle"" title=""kyyyyyyyyyyyyyyyyyyyyle instagram profile"">@kyyyyyyyyyyyyyyyyyyyyle</a> Round and round we go. 🌀 <a href=""http://picbear.com/tag/theweekoninstagram"" title=""posts tagged as theweekoninstagram"">#theweekoninstagram</a></p>",727739,5145
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430149_745057929027291_8750594243208151040_n.jpg,http://picbear.com/media/1626358010619039424_25025320,October 18 2017 - 14:35,October 15 2017 - 22:50,"<p>Photo by <a href=""http://picbear.com/ayane7628"" title=""ayane7628 instagram profile"">@ayane7628</a> It only took 20 or so jumps for Ayane Motomitsu (@ayane7628) to perfect her form in front of this art exhibit in Japan. 🏊‍♀️ <a href=""http://picbear.com/tag/theweekoninstagram"" title=""posts tagged as theweekoninstagram"">#theweekoninstagram</a></p>",1158542,4115
October 18 2017 - 14:34,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22430511_164283767487996_5176805046297296896_n.jpg,http://picbear.com/media/1626322484276801726_25025320,October 18 2017 - 14:35,October 15 2017 - 21:39,"<p>Photo by <a href=""http://picbear.com/cocodavez"" title=""cocodavez instagram profile"">@cocodavez</a> Artist Coco Dávez’s (@cocodavez) “faceless faces” give pop culture icons a new feel. “I started with a portrait of Patti Smith. I was going to throw it away, but before doing that, I had so much paint left over that I did a brushstroke on the face to fill in all of that,” says the artist from Madrid of discovering her signature style. “A lightbulb went off.” When she was 21, Coco went to live in London with the intention of studying photography, but painting still called to her. Her inspiration? “Artists from the 20th century like Jackson Pollock, Alexander Calder and David Hockney.” Get to know Coco’s world and colorful style on today’s Instagram story. 🎨</p>",841809,3351
