user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580883_1576894569042839_7337909216708919296_n.jpg,http://picbear.com/media/1627262916833245260_460563723,October 18 2017 - 14:41,October 17 2017 - 04:47,<p>Momma and I</p>,4512399,31603
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22429995_1937153266610741_2236234530081996800_n.jpg,http://picbear.com/media/1625826669778642975_460563723,October 18 2017 - 14:42,October 15 2017 - 05:14,"<p>Join all of us right now!!! <a href=""http://picbear.com/telemundo"" title=""telemundo instagram profile"">@telemundo</a> <a href=""http://picbear.com/univision"" title=""univision instagram profile"">@univision</a> and on <a href=""http://picbear.com/nbc"" title=""nbc instagram profile"">@nbc</a> -we are one</p>",1002744,15854
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21826971_269717303540426_1539794729653239808_n.jpg,http://picbear.com/media/1606703638129113070_460563723,October 18 2017 - 14:42,September 18 2017 - 20:00,"<p>Officially a part of the fam <a href=""http://picbear.com/puma"" title=""puma instagram profile"">@puma</a> <a href=""http://picbear.com/tag/pumapartner"" title=""posts tagged as pumapartner"">#pumapartner</a></p>",5498276,172097
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21568797_1440693976045979_5030382846603165696_n.jpg,http://picbear.com/media/1603596743973508509_460563723,October 18 2017 - 14:42,September 14 2017 - 13:07,"<p>I’m very aware some of my fans had noticed I was laying low for part of the summer and questioning why I wasn’t promoting my new music, which I was extremely proud of.  So I found out I needed to get a kidney transplant due to my Lupus and was recovering. It was what I needed to do for my overall health. I honestly look forward to sharing with you, soon my journey through these past several months as I have always wanted to do with you. Until then I want to publicly thank my family and incredible team of doctors for everything they have done for me prior to and post-surgery.  And finally, there aren’t words to describe how I can possibly thank my beautiful friend Francia Raisa. She gave me the ultimate gift and sacrifice by donating her kidney to me. I am incredibly blessed. I love you so much sis.  Lupus continues to be very misunderstood but progress is being made. For more information regarding Lupus please go to the Lupus Research Alliance website: www.lupusresearch.org/</p>",9895471,250251
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21373340_799273070278518_5197467498303193088_n.jpg,http://picbear.com/media/1599445514636523920_460563723,October 18 2017 - 14:42,September 08 2017 - 19:39,,1164572,32499
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21435555_162616640956009_2866195100126412800_n.jpg,http://picbear.com/media/1598768708849772637_460563723,October 18 2017 - 14:42,September 07 2017 - 21:15,"<p>Sometimes it's incredibly difficult to wake up every day knowing there is so much going on in the world. At times I feel selfish, I ask why, I ask how can this change? Will it actually ever change? I try to contribute my heart before anything because it can be so easy to lose the desire to have hope when sometimes all I want to be is angry. When I read about the beautiful women who wake up consciously every day to make a change, it inspires me to want to do so much more. Not really sure how I got so lucky <a href=""http://picbear.com/time"" title=""time instagram profile"">@time</a> but thank you for highlighting the power of what we can and will always strive to be. I believe in the goodness in the land of the living. I hope this is just the beginning of more change.</p>",3292356,44027
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21372578_1413420332111528_6500579426521055232_n.jpg,http://picbear.com/media/1597428203419548859_460563723,October 18 2017 - 14:42,September 06 2017 - 00:51,"<p>Thank you <a href=""http://picbear.com/bof"" title=""bof instagram profile"">@bof</a> for letting me be apart of the 5th annual <a href=""http://picbear.com/tag/bof500"" title=""posts tagged as bof500"">#bof500</a> print edition. Very grateful</p>",2311437,27252
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21371720_338094556634933_6987352134878494720_n.jpg,http://picbear.com/media/1596984048771813898_460563723,October 18 2017 - 14:42,September 05 2017 - 10:09,,6051003,62590
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21148177_1450345835057105_1341409228178325504_n.jpg,http://picbear.com/media/1590159757384101559_460563723,October 18 2017 - 14:42,August 27 2017 - 00:10,,2156447,71120
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/e35/21149366_1349086851875459_4524736080557113344_n.jpg,http://picbear.com/media/1590159698102052865_460563723,October 18 2017 - 14:42,August 27 2017 - 00:10,,1538796,11255
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21107410_1889932857890448_1818154871526785024_n.jpg,http://picbear.com/media/1575566048793613083_460563723,October 18 2017 - 14:42,August 06 2017 - 20:55,"<p>It’s been so much fun working with <a href=""http://picbear.com/coach"" title=""coach instagram profile"">@coach</a> and <a href=""http://picbear.com/stuartvevers"" title=""stuartvevers instagram profile"">@stuartvevers</a> on designing my very own bag: the Selena Grace. Come see it and meet me at Coach House New York on Sept. 13! <a href=""http://picbear.com/tag/coachxselena"" title=""posts tagged as coachxselena"">#coachxselena</a> <a href=""http://picbear.com/tag/coachny"" title=""posts tagged as coachny"">#coachny</a></p>",3527729,107689
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21224302_264103210751080_8425971608430051328_n.jpg,http://picbear.com/media/1573522109232313203_460563723,October 18 2017 - 14:42,August 04 2017 - 01:14,"<p>Also so stoked I got to show you a sneak peak at my <a href=""http://picbear.com/coach"" title=""coach instagram profile"">@coach</a> bag I designed</p>",4858489,58188
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21147747_124063991575556_704456919527456768_n.jpg,http://picbear.com/media/1573520347834150527_460563723,October 18 2017 - 14:42,August 04 2017 - 01:11,"<p><a href=""http://picbear.com/instylemagazine"" title=""instylemagazine instagram profile"">@instylemagazine</a></p>",5157655,45353
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21148902_1428414840547245_7944254115234709504_n.jpg,http://picbear.com/media/1573520124428906996_460563723,October 18 2017 - 14:42,August 04 2017 - 01:10,"<p>Ahhh!💕thank you Instyle!! wearing <a href=""http://picbear.com/coach"" title=""coach instagram profile"">@coach</a> dress for the <a href=""http://picbear.com/instylemagazine"" title=""instylemagazine instagram profile"">@instylemagazine</a> September cover!  Photograph by <a href=""http://picbear.com/philpoynter"" title=""philpoynter instagram profile"">@philpoynter</a>; Story by <a href=""http://picbear.com/laurabrown99"" title=""laurabrown99 instagram profile"">@laurabrown99</a>; Hair <a href=""http://picbear.com/officialdanilohair"" title=""officialdanilohair instagram profile"">@officialdanilohair</a> for <a href=""http://picbear.com/pantene"" title=""pantene instagram profile"">@pantene</a>; Makeup <a href=""http://picbear.com/hungvanngo"" title=""hungvanngo instagram profile"">@hungvanngo</a>  fashion Editor <a href=""http://picbear.com/kateyoung"" title=""kateyoung instagram profile"">@kateyoung</a>; Manicure: <a href=""http://picbear.com/tombachik"" title=""tombachik instagram profile"">@tombachik</a> (basically the entire squad)</p>",3020887,19418
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21147325_471970533180823_1873459614914183168_n.jpg,http://picbear.com/media/1566194105288041676_460563723,October 18 2017 - 14:42,July 24 2017 - 22:35,"<p>Fetish Video directed by <a href=""http://picbear.com/petrafcollins"" title=""petrafcollins instagram profile"">@petrafcollins</a> and ft. <a href=""http://picbear.com/laflare1017"" title=""laflare1017 instagram profile"">@laflare1017</a> coming Wednesday.</p>",2898366,21719
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21147382_1930651340538048_4199070627719544832_n.jpg,http://picbear.com/media/1566192853036727859_460563723,October 18 2017 - 14:42,July 24 2017 - 22:32,"<p>Fetish Video directed by <a href=""http://picbear.com/petrafcollins"" title=""petrafcollins instagram profile"">@petrafcollins</a> and ft. <a href=""http://picbear.com/laflare1017"" title=""laflare1017 instagram profile"">@laflare1017</a> coming Wednesday.</p>",3668223,14920
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149729_1955988781338464_4357581167487090688_n.jpg,http://picbear.com/media/1565053200611134916_460563723,October 18 2017 - 14:42,July 23 2017 - 08:48,<p>My people</p>,5882729,68902
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21107204_166571593904124_5666677015940431872_n.jpg,http://picbear.com/media/1565052536652720468_460563723,October 18 2017 - 14:42,July 23 2017 - 08:47,<p>My Petra 💕</p>,2987548,11596
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21107632_126170048013129_4946610205279387648_n.jpg,http://picbear.com/media/1565052043494706279_460563723,October 18 2017 - 14:42,July 23 2017 - 08:46,<p>Thank you for all of my bday love. I couldn't be more blessed. A lot of you don't realize how much you mean to me. I. Love. You. --think 25 is going to be epic. xo</p>,7024238,100561
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21107269_1632686760136564_1708398219228086272_n.jpg,http://picbear.com/media/1563270144283654965_460563723,October 18 2017 - 14:42,July 20 2017 - 21:45,"<p>I'm not surprised, I sympathize.</p>",3258997,108962
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21108065_116421429021419_5902793285419663360_n.jpg,http://picbear.com/media/1563266974807726975_460563723,October 18 2017 - 14:42,July 20 2017 - 21:39,"<p>I'm not surprised, I sympathize.</p>",3631182,17073
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21224204_331315303947623_7605699379642499072_n.jpg,http://picbear.com/media/1556782137435434309_460563723,October 18 2017 - 14:42,July 11 2017 - 22:55,<p>Fetish. Thursday.</p>,5203475,35633
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20986820_1354795334633249_2767996694447521792_n.jpg,http://picbear.com/media/1556780849624682511_460563723,October 18 2017 - 14:42,July 11 2017 - 22:52,<p>Fetish. Thursday.</p>,4146489,22339
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21107217_781521908687206_5724099569046781952_n.jpg,http://picbear.com/media/1553906900511480033_460563723,October 18 2017 - 14:42,July 07 2017 - 23:42,<p>JULY 13</p>,4896647,52421
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21147680_1147363495365254_2855701713338236928_n.jpg,http://picbear.com/media/1553906475032773070_460563723,October 18 2017 - 14:42,July 07 2017 - 23:41,<p>JULY 13</p>,3446484,24850
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149270_119006512093585_8754620354141356032_n.jpg,http://picbear.com/media/1553905937415214758_460563723,October 18 2017 - 14:42,July 07 2017 - 23:40,<p>JULY 13</p>,3615319,17119
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/e35/21107473_337707990008749_3848529342778834944_n.jpg,http://picbear.com/media/1553102344219077331_460563723,October 18 2017 - 14:42,July 06 2017 - 21:04,<p>FETISH</p>,1967210,10621
October 18 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/e35/21224160_1946634405549439_1501041866806657024_n.jpg,http://picbear.com/media/1553101953293266266_460563723,October 18 2017 - 14:42,July 06 2017 - 21:03,<p>FETISH</p>,4238099,28066
