user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18950273_1314389085344014_827201698958147584_n.jpg,http://picbear.com/media/1535558453001593424_1681815864,October 18 2017 - 16:27,June 12 2017 - 16:07,"<p>Cái cảm giác có ai đó nhìn thấu tâm can thực sự rất tệ. - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a> - <a href=""http://picbear.com/tag/thailand"" title=""posts tagged as thailand"">#thailand</a></p>",57,12
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/18808753_676412782548607_3207586768991813632_n.jpg,http://picbear.com/media/1526880523396523198_1681815864,October 18 2017 - 16:27,May 31 2017 - 16:46,"<p>Không thấy - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a> <a href=""http://picbear.com/tag/dalat"" title=""posts tagged as dalat"">#dalat</a> <a href=""http://picbear.com/tag/langdatset"" title=""posts tagged as langdatset"">#langdatset</a></p>",58,3
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/15306607_1760556250936026_7813971724034113536_n.jpg,http://picbear.com/media/1402114133461132596_1681815864,October 18 2017 - 16:27,December 10 2016 - 13:17,"<p>I have a special affection for you, idiot. - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a></p>",68,0
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/15251808_735474966602223_4817743117471973376_n.jpg,http://picbear.com/media/1401931196467926634_1681815864,October 18 2017 - 16:27,December 10 2016 - 07:14,"<p>Let's play - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a></p>",50,0
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14659397_522195861307218_284642450666946560_n.jpg,http://picbear.com/media/1363568318254005412_1681815864,October 18 2017 - 16:27,October 18 2016 - 08:53,"<p>Súc sinh - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a></p>",237,35
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14350760_1174820645919685_8261569709267222528_n.jpg,http://picbear.com/media/1349070295268488082_1681815864,October 18 2017 - 16:27,September 28 2016 - 08:48,"<p>Súc vật - - - - - <a href=""http://picbear.com/tag/iooioote"" title=""posts tagged as iooioote"">#iooioote</a></p>",71,3
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14309931_1801660473447378_6373276703241797632_n.jpg,http://picbear.com/media/1343976165312164268_1681815864,October 18 2017 - 16:27,September 21 2016 - 08:07,"<p>Từ lúc nào mà chúng ta ngay cả đi chung một con đường cũng trở nên khó thở? - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a></p>",75,0
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14279143_191867327892244_1196879365_n.jpg,http://picbear.com/media/1333838668842032116_1681815864,October 18 2017 - 16:27,September 07 2016 - 08:26,"<p>Hoá ra không chỉ mình mình cảm thấy lạc lõng như vậy. - - - - - <a href=""http://picbear.com/tag/intheyearsofyouth"" title=""posts tagged as intheyearsofyouth"">#intheyearsofyouth</a></p>",66,0
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/14099876_1098497003574909_2077103632_n.jpg,http://picbear.com/media/1332447507451484337_1681815864,October 18 2017 - 16:27,September 05 2016 - 10:22,"<p>Có những nỗi buồn như thuốc độc, không ngừng lan tràn và mục rữa bên trong, đến khi có thể thốt thành lời thì người ta đã chết đi một nửa mất rồi. - - - - - <a href=""http://picbear.com/tag/iooiootee"" title=""posts tagged as iooiootee"">#iooiootee</a></p>",82,0
October 18 2017 - 16:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14128904_1737038073224193_1373267021_n.jpg,http://picbear.com/media/1327341341285304897_1681815864,October 18 2017 - 16:27,August 29 2016 - 09:17,"<p>Tôi sẽ không có bồ đâu, nên các ông đừng có trêu nữa, dù trêu tới năm sau thì không có bồ chính là không có bồ. Lời hứa nước mía còn lâu lắm hj :) - - - - - <a href=""http://picbear.com/tag/intheyearsofyouth"" title=""posts tagged as intheyearsofyouth"">#intheyearsofyouth</a></p>",75,1
