user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582346_1940907616131819_717866868282490880_n.jpg,http://picbear.com/media/1628334681187268188_3889703197,October 18 2017 - 17:07,October 18 2017 - 16:17,,4,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22499974_1468239706574414_1916081590459432960_n.jpg,http://picbear.com/media/1626183291241463471_3889703197,October 18 2017 - 17:07,October 15 2017 - 17:02,,11,3
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22352250_1544999792222816_2425973781353725952_n.jpg,http://picbear.com/media/1621062751086293316_3889703197,October 18 2017 - 17:07,October 08 2017 - 15:29,,20,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22220608_307169403096889_2694129325745111040_n.jpg,http://picbear.com/media/1620430483523273897_3889703197,October 18 2017 - 17:07,October 07 2017 - 18:33,,81,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22221386_157196281533901_7219071775185829888_n.jpg,http://picbear.com/media/1618210063176726681_3889703197,October 18 2017 - 17:07,October 04 2017 - 17:01,,16,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22158682_1579266672139497_5555370919829962752_n.jpg,http://picbear.com/media/1617637578479822894_3889703197,October 18 2017 - 17:07,October 03 2017 - 22:04,,11,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22070006_296165430789893_6197477906495569920_n.jpg,http://picbear.com/media/1616088609337465814_3889703197,October 18 2017 - 17:07,October 01 2017 - 18:46,,18,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21985209_172144176696985_2629194913492762624_n.jpg,http://picbear.com/media/1613843635132794320_3889703197,October 18 2017 - 17:07,September 28 2017 - 16:26,,10,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22157495_149898915614259_5570140779784962048_n.jpg,http://picbear.com/media/1613842983665102298_3889703197,October 18 2017 - 17:07,September 28 2017 - 16:24,,12,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21911229_1949811388627893_5513659129459113984_n.jpg,http://picbear.com/media/1611774960955542102_3889703197,October 18 2017 - 17:07,September 25 2017 - 19:56,,18,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/21910068_1900202520242859_4626267947793383424_n.jpg,http://picbear.com/media/1608940667560479821_3889703197,October 18 2017 - 17:07,September 21 2017 - 22:04,,66,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/21820241_1682842911788385_7498541843982843904_n.jpg,http://picbear.com/media/1605714259975536676_3889703197,October 18 2017 - 17:07,September 17 2017 - 11:14,,13,3
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/21827157_479676352404345_4602567291756871680_n.jpg,http://picbear.com/media/1605110076901596849_3889703197,October 18 2017 - 17:07,September 16 2017 - 15:14,,13,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149437_1892915424360361_3016285399459823616_n.jpg,http://picbear.com/media/1590865913553109135_3889703197,October 18 2017 - 17:07,August 27 2017 - 23:33,,165,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20766329_134255200521676_3971925763237609472_n.jpg,http://picbear.com/media/1581785783790913894_3889703197,October 18 2017 - 17:08,August 15 2017 - 10:53,,71,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20634727_840149692816328_5975166241726267392_n.jpg,http://picbear.com/media/1576720790758317900_3889703197,October 18 2017 - 17:08,August 08 2017 - 11:09,,128,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/19984896_1215682205221987_2847149531508768768_n.jpg,http://picbear.com/media/1557224315972146116_3889703197,October 18 2017 - 17:08,July 12 2017 - 13:33,,256,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/19436373_1876779912646772_4329423958894968832_n.jpg,http://picbear.com/media/1546710897229843834_3889703197,October 18 2017 - 17:08,June 28 2017 - 01:25,,230,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19226991_1496657417022156_5713762377334259712_n.jpg,http://picbear.com/media/1540500146240693714_3889703197,October 18 2017 - 17:08,June 19 2017 - 11:45,,208,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/18809313_140084079873521_7098559919187558400_n.jpg,http://picbear.com/media/1528944300095976298_3889703197,October 18 2017 - 17:08,June 03 2017 - 13:06,,206,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18646085_111904579398544_1832552602630356992_n.jpg,http://picbear.com/media/1524616264588690582_3889703197,October 18 2017 - 17:08,May 28 2017 - 13:47,,180,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/18645808_1554926347885956_7034483168954548224_n.jpg,http://picbear.com/media/1522740081173440152_3889703197,October 18 2017 - 17:08,May 25 2017 - 23:39,,210,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/18579463_1836089950045835_2742777660097691648_n.jpg,http://picbear.com/media/1520295255546959191_3889703197,October 18 2017 - 17:08,May 22 2017 - 14:42,,282,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/18645739_1931770473778711_1747826740559872000_n.jpg,http://picbear.com/media/1520149529823240247_3889703197,October 18 2017 - 17:08,May 22 2017 - 09:52,,210,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/18514198_668637753327330_8756872123890270208_n.jpg,http://picbear.com/media/1518780340839409484_3889703197,October 18 2017 - 17:08,May 20 2017 - 12:32,,55,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18380088_448582632151505_6576920331313741824_n.jpg,http://picbear.com/media/1510877378456661569_3889703197,October 18 2017 - 17:08,May 09 2017 - 14:50,,51,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18011361_827806747367894_3726469739480875008_n.jpg,http://picbear.com/media/1497040277402109320_3889703197,October 18 2017 - 17:08,April 20 2017 - 12:38,,57,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17662497_1651524254887650_5118561299738918912_n.jpg,http://picbear.com/media/1491199789537297371_3889703197,October 18 2017 - 17:08,April 12 2017 - 11:14,,61,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17881225_776198249206279_5178668443628470272_n.jpg,http://picbear.com/media/1489114127648459789_3889703197,October 18 2017 - 17:08,April 09 2017 - 14:10,,57,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/17662420_1037779919699774_5930668649667887104_n.jpg,http://picbear.com/media/1486218998709447422_3889703197,October 18 2017 - 17:08,April 05 2017 - 14:18,,57,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17586687_640156649501800_1795642950768656384_n.jpg,http://picbear.com/media/1479656924973968064_3889703197,October 18 2017 - 17:08,March 27 2017 - 13:01,,41,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/17493930_442922516053290_2501386801411784704_n.jpg,http://picbear.com/media/1479652202951091704_3889703197,October 18 2017 - 17:08,March 27 2017 - 12:51,,77,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17267608_266489013798664_2186391460381720576_n.jpg,http://picbear.com/media/1471652599090133599_3889703197,October 18 2017 - 17:08,March 16 2017 - 11:58,,53,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/16906269_1020949361382319_6428242861472350208_n.jpg,http://picbear.com/media/1460895238612492097_3889703197,October 18 2017 - 17:08,March 01 2017 - 15:45,,57,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/15276645_344232245946810_3798445845104295936_n.jpg,http://picbear.com/media/1399308850087259854_3889703197,October 18 2017 - 17:08,December 06 2016 - 16:23,,79,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/15253316_1181624108587925_6732165639374372864_n.jpg,http://picbear.com/media/1397087590150191632_3889703197,October 18 2017 - 17:08,December 03 2016 - 14:50,,75,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/15099496_1784267991826745_93841187126902784_n.jpg,http://picbear.com/media/1391214154844668499_3889703197,October 18 2017 - 17:08,November 25 2016 - 12:21,,60,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/14596645_370177623316675_1847775736253906944_n.jpg,http://picbear.com/media/1387600627194039090_3889703197,October 18 2017 - 17:08,November 20 2016 - 12:41,,50,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14736303_188348814956340_8084216215964221440_n.jpg,http://picbear.com/media/1380314509356479191_3889703197,October 18 2017 - 17:08,November 10 2016 - 11:25,,55,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/14659412_660665100759754_4030908682257563648_n.jpg,http://picbear.com/media/1375611776464501767_3889703197,October 18 2017 - 17:08,November 03 2016 - 23:42,,46,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14712138_1053358731449627_4360063727303655424_n.jpg,http://picbear.com/media/1359009538833005671_3889703197,October 18 2017 - 17:08,October 12 2016 - 01:56,,66,1
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14310836_1287242941287313_7506749998931902464_n.jpg,http://picbear.com/media/1345826115310312171_3889703197,October 18 2017 - 17:08,September 23 2016 - 21:23,,51,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/14334272_1073796769408748_2464892601736626176_n.jpg,http://picbear.com/media/1345128989597010209_3889703197,October 18 2017 - 17:08,September 22 2016 - 22:18,,52,2
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/e35/14280356_1782063448699704_92623538128683008_n.jpg,http://picbear.com/media/1344934743216716748_3889703197,October 18 2017 - 17:08,September 22 2016 - 15:52,,49,0
October 18 2017 - 17:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14099806_192412217846508_586768181_n.jpg,http://picbear.com/media/1334619685928436884_3889703197,October 18 2017 - 17:08,September 08 2016 - 10:18,,68,0
