username,media_scrape_dt,media_url,medadata_scrape,likes,comments
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1535558453001593424_1681815864,2017-10-18 15:23:23.563878,"['hwmimihouse_83', 'dongholuciovn', 'obaallen', 'banbietchuapage', '__tissooooo__', 'duhacoffeeshop', 'conghoangluu1504', 'trungkien_20', 'chi.u7', 'congauongtra', 'mymyxxz', 'bn___28', 'kanicakery', 'nuochoa_xinh', 'vic_cosmetic']","['_phglnh_', 'truyennguoc.vn', 'taamnh25', 'ciiaytee', 'ngkhgduy', 'iooiootee']"
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1526880523396523198_1681815864,2017-10-18 15:23:24.606992,"['hwmimihouse_83', 'dongholuciovn', 'tuatvong', 'banbietchuapage', 'ngocthaov_', 'duhacoffeeshop', 'conghoangluu1504', 'g.khanh145', 'chi.u7', 'congauongtra', 'huyenntrang__', '_huyngo27_', 'bn___28', 'h.htta29', 'ngkhgduy']","['wonjinbeauty_korea', 'pam.qang_1710', 'keatherus']"
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1402114133461132596_1681815864,2017-10-18 15:23:26.571504,"['tuatvong', 'huy9908', '_dungpham_282', 'corgipride', 'trtr.1409', 'dun.glasses', 'kitty.xau.xi.lam.long', 'chi.u7', 'congauongtra', 'nguyen.hoang.oanh', 'bn___28', 'tuico3nganmo', 'mhuyen37', 'bichngoc_52', 'corgis.feed']",[]
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1401931196467926634_1681815864,2017-10-18 15:23:27.774723,"['ngocthaov_', 'huy9908', '_dungpham_282', 'corgipride', 'hiimcmn', 'chi.u7', 'maiam.food', 'dacthuanh', 'bii_traii', 'nguyen.hoang.oanh', 'thieu.hoang.nguyen', 'bn___28', 'mhuyen37', 'bichngoc_52', 'fitstupid']",[]
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1363568318254005412_1681815864,2017-10-18 15:23:29.384131,"['_dungpham_282', 'phthao.1907', 'thieunu.ngoanhien', 'mariomarquesz', '_cngan_', 'fitstupid', 'chi.u7', 'thinhleba', 'congauongtra', 'nguyen.hoang.oanh', 'trananhtu2308', 'pyrotechnobug', 'ojspikes', 'tuan.minh.le', 'keatherus']","['fastfootcrew', 'centeepede', 'kyndallnixole', 'iooiootee', 'keatherus', 'benjaammiinn']"
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1349070295268488082_1681815864,2017-10-18 15:23:31.211829,"['huy9908', 'duhacoffeeshop', '_ddihu_', 'conghoangluu1504', 'haonguyena', 'chi.u7', 'thinhleba', 'huynh_kha_tuu', 'h.htta29', 'nguyen.hoang.oanh', 'huyenntrang__', 'mageomarl', 'flawolfie', 'quoccdatt_', 'fitstupid']",['phuonggmaii_']
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1343976165312164268_1681815864,2017-10-18 15:23:32.375383,"['mitihouse', 'huy9908', 'nenetheless', 'trtr.1409', '_ddihu_', 'dee_knows', 'myvudesign', 'chi.u7', 'thinhleba', 'huynh_kha_tuu', 'taxtra', 'alego.clothing', 'mageomarl', 'vnxk_neylaphan', 'fitstupid']",[]
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1333838668842032116_1681815864,2017-10-18 15:23:34.083428,"['mitihouse', 'huy9908', 'trtr.1409', '_ddihu_', 'dgtienthu', 'kingcase_shop', 'myvudesign', 'chi.u7', 'thinhleba', 'taxtra', 'tiso.boutique', 'congauongtra', 'knh.21', 'pt.209', 'fitstupid']",[]
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1332447507451484337_1681815864,2017-10-18 15:23:35.122837,"['huy9908', 'romandocent', 'duhacoffeeshop', '_ddihu_', 'vietcuteguy', 'mrsmei_', 'kingcase_shop', 'craiggadh', 'chi.u7', 'thinhleba', 'tiso.boutique', 'tranthailinh', 'alego.clothing', 'pt.209', 'fitstupid']",[]
iooiootee,2017-10-18 15:23:19.900519,http://picbear.com/media/1327341341285304897_1681815864,2017-10-18 15:23:36.110285,"['fabuluexland', 'huy9908', 'domi.cosmetics.store', '_ddihu_', 'kingcase_shop', 'kymco', 'chi.u7', 'thinhleba', 'tiso.boutique', 'theleafcake', 'alego.clothing', 'knh.21', 'zil_house', 'pt.209', 'fitstupid']",['sleepwalkinggardens']
