user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/e35/22344598_180654152498677_4985712498075238400_n.jpg,http://picbear.com/media/1621852235599589557_2202031635,October 18 2017 - 17:12,October 09 2017 - 17:37,,14,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22157768_347300559043980_5329988503767875584_n.jpg,http://picbear.com/media/1617995603203577694_2202031635,October 18 2017 - 17:12,October 04 2017 - 09:55,,10,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22158034_1502835109762272_5795776603212480512_n.jpg,http://picbear.com/media/1615457624761296643_2202031635,October 18 2017 - 17:12,September 30 2017 - 21:52,,9,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/e35/22071250_1772281536119787_3789376205615005696_n.jpg,http://picbear.com/media/1615355809868587395_2202031635,October 18 2017 - 17:12,September 30 2017 - 18:30,,11,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21688582_739753146225144_6346094151578157056_n.jpg,http://picbear.com/media/1604281630465540732_2202031635,October 18 2017 - 17:12,September 15 2017 - 11:48,,13,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21576478_353756535062149_1993007972309008384_n.jpg,http://picbear.com/media/1604280633026594111_2202031635,October 18 2017 - 17:12,September 15 2017 - 11:46,,15,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21569254_227915481072610_8284221890772336640_n.jpg,http://picbear.com/media/1604280218511764151_2202031635,October 18 2017 - 17:12,September 15 2017 - 11:45,,10,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21690322_119024692101421_6075717597993631744_n.jpg,http://picbear.com/media/1604279849698261025_2202031635,October 18 2017 - 17:12,September 15 2017 - 11:44,,6,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21689197_1458350214241070_8203686963300007936_n.jpg,http://picbear.com/media/1604277506927965343_2202031635,October 18 2017 - 17:12,September 15 2017 - 11:40,,10,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21690227_118465412229475_7446409646908112896_n.jpg,http://picbear.com/media/1604276682143233244_2202031635,October 18 2017 - 17:12,September 15 2017 - 11:38,,8,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21569414_207154563154843_72075169044103168_n.jpg,http://picbear.com/media/1603097192669899915_2202031635,October 18 2017 - 17:13,September 13 2017 - 20:34,,11,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21568726_803930179784926_7678285439341428736_n.jpg,http://picbear.com/media/1601636061765730977_2202031635,October 18 2017 - 17:13,September 11 2017 - 20:11,,10,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21479749_465216453860180_1421293468105310208_n.jpg,http://picbear.com/media/1597812898071568685_2202031635,October 18 2017 - 17:13,September 06 2017 - 13:36,,10,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21480200_104233490318678_531891004794470400_n.jpg,http://picbear.com/media/1597811791395984968_2202031635,October 18 2017 - 17:13,September 06 2017 - 13:33,,4,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21435782_425087154553004_2026022256336961536_n.jpg,http://picbear.com/media/1597811476999340236_2202031635,October 18 2017 - 17:13,September 06 2017 - 13:33,,7,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21479917_117570155611198_6961982329996705792_n.jpg,http://picbear.com/media/1597811036186363466_2202031635,October 18 2017 - 17:13,September 06 2017 - 13:32,<p>##*</p>,9,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21373296_299318987142714_4135904363308646400_n.jpg,http://picbear.com/media/1597809486458088017_2202031635,October 18 2017 - 17:13,September 06 2017 - 13:29,<p>Office  time</p>,7,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21371654_378651669218427_7212076171108810752_n.jpg,http://picbear.com/media/1597223317349591045_2202031635,October 18 2017 - 17:13,September 05 2017 - 18:04,,8,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21435383_1754828254817996_5807828393114206208_n.jpg,http://picbear.com/media/1597221945250040571_2202031635,October 18 2017 - 17:13,September 05 2017 - 18:01,,7,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21372327_345694225869461_7790482500647649280_n.jpg,http://picbear.com/media/1597207635442285177_2202031635,October 18 2017 - 17:13,September 05 2017 - 17:33,,9,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21433910_1945653429015512_1919114146608054272_n.jpg,http://picbear.com/media/1597206903603528495_2202031635,October 18 2017 - 17:13,September 05 2017 - 17:32,,10,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21372203_136929283587766_930001968821174272_n.jpg,http://picbear.com/media/1597206036045136446_2202031635,October 18 2017 - 17:13,September 05 2017 - 17:30,,9,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21372595_1413361565448895_8566758145311899648_n.jpg,http://picbear.com/media/1597204949980666617_2202031635,October 18 2017 - 17:13,September 05 2017 - 17:28,,4,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/e35/21433292_1077908605673160_3733648725776531456_n.jpg,http://picbear.com/media/1596382567258724087_2202031635,October 18 2017 - 17:13,September 04 2017 - 14:14,,13,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/e35/21372859_265193890637284_3567044479053463552_n.jpg,http://picbear.com/media/1596382180728484979_2202031635,October 18 2017 - 17:13,September 04 2017 - 14:13,<p>Jai Ho Bhole Nath Manimahesh</p>,13,0
October 18 2017 - 17:12,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21147354_1938781526376924_2631288100164206592_n.jpg,http://picbear.com/media/1591928693521208693_2202031635,October 18 2017 - 17:13,August 29 2017 - 10:45,,14,0
