user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/22639007_2002853286667115_5486213605537873920_n.jpg,http://picbear.com/media/1628359759157484684_3634632543,October 18 2017 - 17:10,October 18 2017 - 17:07,"<p><a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a></p>",1,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/21435389_115287725856738_2138764782784741376_n.jpg,http://picbear.com/media/1599284328550842635_3634632543,October 18 2017 - 17:10,September 08 2017 - 14:19,,0,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/21436001_272717779910259_5190742794993401856_n.jpg,http://picbear.com/media/1599281782381615922_3634632543,October 18 2017 - 17:10,September 08 2017 - 14:14,"<p>University of oxieford <a href=""http://picbear.com/tag/pritch"" title=""posts tagged as pritch"">#pritch</a></p>",0,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/21479835_232125547314079_4874220004679090176_n.jpg,http://picbear.com/media/1599275005837831312_3634632543,October 18 2017 - 17:10,September 08 2017 - 14:00,,2,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/21480019_913635568820489_2264111900079947776_n.jpg,http://picbear.com/media/1599274413778023633_3634632543,October 18 2017 - 17:10,September 08 2017 - 13:59,<p>Hala#madrid</p>,2,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/21042473_1603165526401254_4948602829586563072_n.jpg,http://picbear.com/media/1591235893813658437_3634632543,October 18 2017 - 17:10,August 28 2017 - 11:48,<p>هلُا مٌدِرَيَدِ#</p>,0,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/20582862_108156463216571_8594938022741409792_n.jpg,http://picbear.com/media/1574207797508120392_3634632543,October 18 2017 - 17:10,August 04 2017 - 23:56,,4,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/20479228_1671467169582995_4117783827567345664_n.jpg,http://picbear.com/media/1571011386385645145_3634632543,October 18 2017 - 17:10,July 31 2017 - 14:06,,0,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/20478691_1946601585556562_5712385243315437568_n.jpg,http://picbear.com/media/1571009129195943128_3634632543,October 18 2017 - 17:10,July 31 2017 - 14:01,,4,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20398997_1530118663677850_672023315077922816_n.jpg,http://picbear.com/media/1570147226038947736_3634632543,October 18 2017 - 17:11,July 30 2017 - 09:29,<p>Wiendos7 eXeplorels#</p>,1,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/20180762_114792692498038_6681686738420629504_n.jpg,http://picbear.com/media/1564400607888801431_3634632543,October 18 2017 - 17:11,July 22 2017 - 11:11,,2,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/19955713_463336837351135_751833041617289216_n.jpg,http://picbear.com/media/1553902203320598783_3634632543,October 18 2017 - 17:11,July 07 2017 - 23:33,,3,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/19623684_239239929922216_492405158534184960_n.jpg,http://picbear.com/media/1548115803103011863_3634632543,October 18 2017 - 17:11,June 29 2017 - 23:56,<p>kíńg the foot bølè</p>,4,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/19228849_805482452976258_3221760801018740736_n.jpg,http://picbear.com/media/1541554606085918401_3634632543,October 18 2017 - 17:11,June 20 2017 - 22:40,<p>I am madridy foreva</p>,6,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/18646631_1319579318137914_687672479392464896_n.jpg,http://picbear.com/media/1525572474622772739_3634632543,October 18 2017 - 17:11,May 29 2017 - 21:27,,3,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/17817431_444172889270040_5635213176451629056_n.jpg,http://picbear.com/media/1489390492654406977_3634632543,October 18 2017 - 17:11,April 09 2017 - 23:20,,5,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/17267401_191130244709823_4545452043560550400_n.jpg,http://picbear.com/media/1471922114973036474_3634632543,October 18 2017 - 17:11,March 16 2017 - 20:53,,3,0
October 18 2017 - 17:10,https://scontent.cdninstagram.com/t51.2885-15/e35/16789102_741605939337057_8127608223311069184_n.jpg,http://picbear.com/media/1457366419426768950_3634632543,October 18 2017 - 17:11,February 24 2017 - 18:53,,1,0
