user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639386_843852065786319_5963408940552159232_n.jpg,http://picbear.com/media/1630699163115088564_461189963,October 23 2017 - 11:55,October 21 2017 - 22:35,,78,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22344384_891060921052745_2633803705459146752_n.jpg,http://picbear.com/media/1624705331630401876_461189963,October 23 2017 - 11:55,October 13 2017 - 16:06,<p>✊</p>,91,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c193.0.694.694/22352232_1832610580383617_5076204216301649920_n.jpg,http://picbear.com/media/1624093599580980035_461189963,October 23 2017 - 11:55,October 12 2017 - 19:51,,84,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.725.725/22426702_900469980105902_2799230087466057728_n.jpg,http://picbear.com/media/1623398017456309728_461189963,October 23 2017 - 11:55,October 11 2017 - 20:49,<p>don't sit and wait. feel life</p>,88,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.725.725/22277686_122412968399391_7132348847811985408_n.jpg,http://picbear.com/media/1621116867202651506_461189963,October 23 2017 - 11:55,October 08 2017 - 17:16,,75,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.67.540.540/22280066_1948920708710335_2316704878426062848_n.jpg,http://picbear.com/media/1619795301453834298_461189963,October 23 2017 - 11:55,October 06 2017 - 21:31,<p>твоё безумие самое притягательное💫</p>,93,2
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159289_2192256767667606_7237203348993081344_n.jpg,http://picbear.com/media/1617619295825799519_461189963,October 23 2017 - 11:55,October 03 2017 - 21:27,,113,2
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.725.725/22277929_121345791882934_1566115650747760640_n.jpg,http://picbear.com/media/1617510802342961338_461189963,October 23 2017 - 11:55,October 03 2017 - 17:52,"<p>самые лучшие праздники - те, что происходят внутри нас.</p>",84,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22069706_1401640293276233_1474464939891490816_n.jpg,http://picbear.com/media/1616141353262250841_461189963,October 23 2017 - 11:55,October 01 2017 - 20:31,<p>слишком люблю😻😻😻</p>,109,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21985317_1831487687162634_6069399494942785536_n.jpg,http://picbear.com/media/1615016548831917225_461189963,October 23 2017 - 11:55,September 30 2017 - 07:16,"<p>С твоим днем, киса❤💕</p>",106,1
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.118.949.949/21879697_491604247871267_1079066385151164416_n.jpg,http://picbear.com/media/1610272873342155418_461189963,October 23 2017 - 11:55,September 23 2017 - 18:11,,75,3
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879447_298157017328359_8851150804975878144_n.jpg,http://picbear.com/media/1608903916001523846_461189963,October 23 2017 - 11:55,September 21 2017 - 20:51,,76,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.725.725/21827033_176930369520070_775722298257702912_n.jpg,http://picbear.com/media/1608713249040255103_461189963,October 23 2017 - 11:55,September 21 2017 - 14:33,,107,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827679_1988356508116347_1926385612139528192_n.jpg,http://picbear.com/media/1608470311127473549_461189963,October 23 2017 - 11:55,September 21 2017 - 06:30,,114,0
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c177.0.725.725/21910757_1907000336293607_7427302243646308352_n.jpg,http://picbear.com/media/1608166197956866616_461189963,October 23 2017 - 11:55,September 20 2017 - 20:26,,118,4
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.14.540.540/21689949_137632440187870_938435966035558400_n.jpg,http://picbear.com/media/1606499703049153825_461189963,October 23 2017 - 11:55,September 18 2017 - 13:15,,106,2
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879626_1800436446663907_7514191592412938240_n.jpg,http://picbear.com/media/1606012559041928448_461189963,October 23 2017 - 11:56,September 17 2017 - 21:07,,116,2
October 23 2017 - 11:54,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21148038_1506323876092847_527041136313761792_n.jpg,http://picbear.com/media/1594200179878177071_461189963,October 23 2017 - 11:56,September 01 2017 - 13:58,<p>Мои😍</p>,139,0
