user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22157814_1756324574661586_1647699791485861888_n.jpg,http://picbear.com/media/1615481175224496258_4338165561,October 23 2017 - 11:48,September 30 2017 - 22:39,<p>Little house#house#home#cloudy#sun#lollipop#photograph#okok</p>,44,1
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373527_1855321851161168_2453168565084225536_n.jpg,http://picbear.com/media/1598780247968806580_4338165561,October 23 2017 - 11:48,September 07 2017 - 21:37,"<p><a href=""http://picbear.com/tag/sunacrosstheclouds"" title=""posts tagged as sunacrosstheclouds"">#sunacrosstheclouds</a><a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a><a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a>#<a href=""http://picbear.com/tag/cloudy"" title=""posts tagged as cloudy"">#cloudy</a><a href=""http://picbear.com/tag/lol"" title=""posts tagged as lol"">#lol</a><a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a><a href=""http://picbear.com/tag/lollerlollipoploli"" title=""posts tagged as lollerlollipoploli"">#lollerlollipoploli</a><a href=""http://picbear.com/tag/spaaaß"" title=""posts tagged as spaaaß"">#spaaaß</a><a href=""http://picbear.com/tag/ok"" title=""posts tagged as ok"">#ok</a>?!</p>",40,2
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21149739_129380107610196_7799047777832402944_n.jpg,http://picbear.com/media/1590621109652814365_4338165561,October 23 2017 - 11:48,August 27 2017 - 15:27,"<p><a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a><a href=""http://picbear.com/tag/holiday"" title=""posts tagged as holiday"">#holiday</a><a href=""http://picbear.com/tag/iffeldorf"" title=""posts tagged as iffeldorf"">#iffeldorf</a><a href=""http://picbear.com/tag/see"" title=""posts tagged as see"">#see</a><a href=""http://picbear.com/tag/osterseen"" title=""posts tagged as osterseen"">#osterseen</a><a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a><a href=""http://picbear.com/tag/freetime"" title=""posts tagged as freetime"">#freetime</a><a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a><a href=""http://picbear.com/tag/backhome"" title=""posts tagged as backhome"">#backhome</a><a href=""http://picbear.com/tag/schwerin"" title=""posts tagged as schwerin"">#schwerin</a><a href=""http://picbear.com/tag/erstmalsnacken"" title=""posts tagged as erstmalsnacken"">#erstmalsnacken</a> <a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a></p>",52,1
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.1079.1079/20838164_826123627561863_3211829079988764672_n.jpg,http://picbear.com/media/1582548579427721878_4338165561,October 23 2017 - 11:48,August 16 2017 - 12:08,"<p><a href=""http://picbear.com/tag/schmetterling"" title=""posts tagged as schmetterling"">#schmetterling</a> <a href=""http://picbear.com/tag/schmetterlingstag"" title=""posts tagged as schmetterlingstag"">#schmetterlingstag</a> <a href=""http://picbear.com/tag/urlaub"" title=""posts tagged as urlaub"">#urlaub</a><a href=""http://picbear.com/tag/bayern"" title=""posts tagged as bayern"">#bayern</a> <a href=""http://picbear.com/tag/see"" title=""posts tagged as see"">#see</a><a href=""http://picbear.com/tag/schön"" title=""posts tagged as schön"">#schön</a> <a href=""http://picbear.com/tag/leidergeil"" title=""posts tagged as leidergeil"">#leidergeil</a> <a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a><a href=""http://picbear.com/tag/lolli"" title=""posts tagged as lolli"">#lolli</a> <a href=""http://picbear.com/tag/lol"" title=""posts tagged as lol"">#lol</a><a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a><a href=""http://picbear.com/tag/freedom"" title=""posts tagged as freedom"">#freedom</a></p>",47,1
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20633281_1746787742285906_4456968029271490560_n.jpg,http://picbear.com/media/1573187895665468166_4338165561,October 23 2017 - 11:48,August 03 2017 - 14:10,"<p><a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a><a href=""http://picbear.com/tag/freetime"" title=""posts tagged as freetime"">#freetime</a><a href=""http://picbear.com/tag/holidays"" title=""posts tagged as holidays"">#holidays</a><a href=""http://picbear.com/tag/butterfly"" title=""posts tagged as butterfly"">#butterfly</a><a href=""http://picbear.com/tag/schmetterling"" title=""posts tagged as schmetterling"">#schmetterling</a> <a href=""http://picbear.com/tag/schmetterlingstag"" title=""posts tagged as schmetterlingstag"">#schmetterlingstag</a> <a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a> <a href=""http://picbear.com/tag/biken"" title=""posts tagged as biken"">#biken</a> <a href=""http://picbear.com/tag/naklaro"" title=""posts tagged as naklaro"">#naklaro</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/sn"" title=""posts tagged as sn"">#sn</a> <a href=""http://picbear.com/tag/schwerin"" title=""posts tagged as schwerin"">#schwerin</a> <a href=""http://picbear.com/tag/bestestadtschwerin"" title=""posts tagged as bestestadtschwerin"">#bestestadtschwerin</a> <a href=""http://picbear.com/tag/bestcity"" title=""posts tagged as bestcity"">#bestcity</a> <a href=""http://picbear.com/tag/ö"" title=""posts tagged as ö"">#ö</a> <a href=""http://picbear.com/tag/lila"" title=""posts tagged as lila"">#lila</a><a href=""http://picbear.com/tag/purple"" title=""posts tagged as purple"">#purple</a> <a href=""http://picbear.com/tag/bunt"" title=""posts tagged as bunt"">#bunt</a> <a href=""http://picbear.com/tag/sommer"" title=""posts tagged as sommer"">#sommer</a> <a href=""http://picbear.com/tag/sommermitregen"" title=""posts tagged as sommermitregen"">#sommermitregen</a> <a href=""http://picbear.com/tag/istmiregal"" title=""posts tagged as istmiregal"">#istmiregal</a> <a href=""http://picbear.com/tag/spaß"" title=""posts tagged as spaß"">#spaß</a> <a href=""http://picbear.com/tag/cool"" title=""posts tagged as cool"">#cool</a> <a href=""http://picbear.com/tag/funny"" title=""posts tagged as funny"">#funny</a> <a href=""http://picbear.com/tag/fritzcola"" title=""posts tagged as fritzcola"">#fritzcola</a> <a href=""http://picbear.com/tag/amstart"" title=""posts tagged as amstart"">#amstart</a> <a href=""http://picbear.com/tag/bikeparkschwerin"" title=""posts tagged as bikeparkschwerin"">#bikeparkschwerin</a> <a href=""http://picbear.com/tag/vielevielehashtags"" title=""posts tagged as vielevielehashtags"">#vielevielehashtags</a> <a href=""http://picbear.com/tag/istmiregal"" title=""posts tagged as istmiregal"">#istmiregal</a> <a href=""http://picbear.com/tag/hashtagzweimalverwendet"" title=""posts tagged as hashtagzweimalverwendet"">#hashtagzweimalverwendet</a></p>",46,2
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20067268_115400705762357_5935668000190365696_n.jpg,http://picbear.com/media/1560162916967410628_4338165561,October 23 2017 - 11:48,July 16 2017 - 14:52,"<p>Darkness can't exist if the Light doesnt​ exists.Darkness can't be without Light. <a href=""http://picbear.com/tag/lol"" title=""posts tagged as lol"">#lol</a><a href=""http://picbear.com/tag/dark"" title=""posts tagged as dark"">#dark</a><a href=""http://picbear.com/tag/darklight"" title=""posts tagged as darklight"">#darklight</a><a href=""http://picbear.com/tag/schwarzbunt"" title=""posts tagged as schwarzbunt"">#schwarzbunt</a><a href=""http://picbear.com/tag/lost"" title=""posts tagged as lost"">#lost</a><a href=""http://picbear.com/tag/freedom"" title=""posts tagged as freedom"">#freedom</a><a href=""http://picbear.com/tag/nacht"" title=""posts tagged as nacht"">#nacht</a><a href=""http://picbear.com/tag/night"" title=""posts tagged as night"">#night</a><a href=""http://picbear.com/tag/nightmight"" title=""posts tagged as nightmight"">#nightmight</a><a href=""http://picbear.com/tag/stop"" title=""posts tagged as stop"">#stop</a> <a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a><a href=""http://picbear.com/tag/simplelife"" title=""posts tagged as simplelife"">#simplelife</a> <a href=""http://picbear.com/tag/norules"" title=""posts tagged as norules"">#norules</a><a href=""http://picbear.com/tag/can"" title=""posts tagged as can"">#can</a>'tholdusback<a href=""http://picbear.com/tag/gofastorgohome"" title=""posts tagged as gofastorgohome"">#gofastorgohome</a> <a href=""http://picbear.com/tag/94"" title=""posts tagged as 94"">#94</a><a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a><a href=""http://picbear.com/tag/lolli"" title=""posts tagged as lolli"">#lolli</a> <a href=""http://picbear.com/tag/leidergeil"" title=""posts tagged as leidergeil"">#leidergeil</a><a href=""http://picbear.com/tag/habhunger"" title=""posts tagged as habhunger"">#habhunger</a><a href=""http://picbear.com/tag/hashtaghaufen"" title=""posts tagged as hashtaghaufen"">#hashtaghaufen</a></p>",49,1
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984588_1371718996256668_8998081120775962624_n.jpg,http://picbear.com/media/1557358258595093749_4338165561,October 23 2017 - 11:48,July 12 2017 - 17:59,"<p><a href=""http://picbear.com/tag/schelfkirche"" title=""posts tagged as schelfkirche"">#schelfkirche</a><a href=""http://picbear.com/tag/schelfstadt"" title=""posts tagged as schelfstadt"">#schelfstadt</a><a href=""http://picbear.com/tag/schwerin"" title=""posts tagged as schwerin"">#schwerin</a><a href=""http://picbear.com/tag/schelfgemeinde"" title=""posts tagged as schelfgemeinde"">#schelfgemeinde</a><a href=""http://picbear.com/tag/allesdasgleiche"" title=""posts tagged as allesdasgleiche"">#allesdasgleiche</a><a href=""http://picbear.com/tag/egal"" title=""posts tagged as egal"">#egal</a><a href=""http://picbear.com/tag/essen"" title=""posts tagged as essen"">#essen</a><a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a><a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/erstmalfoto"" title=""posts tagged as erstmalfoto"">#erstmalfoto</a><a href=""http://picbear.com/tag/abend"" title=""posts tagged as abend"">#abend</a><a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a><a href=""http://picbear.com/tag/englisch"" title=""posts tagged as englisch"">#englisch</a><a href=""http://picbear.com/tag/lol"" title=""posts tagged as lol"">#lol</a> <a href=""http://picbear.com/tag/freetime"" title=""posts tagged as freetime"">#freetime</a><a href=""http://picbear.com/tag/dirtjump"" title=""posts tagged as dirtjump"">#dirtjump</a><a href=""http://picbear.com/tag/aufsmaul"" title=""posts tagged as aufsmaul"">#aufsmaul</a><a href=""http://picbear.com/tag/fliiiiiiiiegen"" title=""posts tagged as fliiiiiiiiegen"">#fliiiiiiiiegen</a><a href=""http://picbear.com/tag/upsi"" title=""posts tagged as upsi"">#upsi</a><a href=""http://picbear.com/tag/egal"" title=""posts tagged as egal"">#egal</a><a href=""http://picbear.com/tag/hattichschonmal"" title=""posts tagged as hattichschonmal"">#hattichschonmal</a><a href=""http://picbear.com/tag/sinnlosehashtags"" title=""posts tagged as sinnlosehashtags"">#sinnlosehashtags</a><a href=""http://picbear.com/tag/istmiregal"" title=""posts tagged as istmiregal"">#istmiregal</a><a href=""http://picbear.com/tag/leidergeil"" title=""posts tagged as leidergeil"">#leidergeil</a><a href=""http://picbear.com/tag/jajaja"" title=""posts tagged as jajaja"">#jajaja</a><a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a><a href=""http://picbear.com/tag/photograph"" title=""posts tagged as photograph"">#photograph</a><a href=""http://picbear.com/tag/freedom"" title=""posts tagged as freedom"">#freedom</a><a href=""http://picbear.com/tag/ownworld"" title=""posts tagged as ownworld"">#ownworld</a><a href=""http://picbear.com/tag/lolli"" title=""posts tagged as lolli"">#lolli</a><a href=""http://picbear.com/tag/bestestadtschwerin"" title=""posts tagged as bestestadtschwerin"">#bestestadtschwerin</a></p>",57,0
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985208_1417656278316262_7879586364616867840_n.jpg,http://picbear.com/media/1555107375287295401_4338165561,October 23 2017 - 11:48,July 09 2017 - 15:27,"<p>Noice ....#photo#friends#ornot#biken#idiot#kran#blau#blauerkran#sn#schwerin#ziegelsee <a href=""http://picbear.com/tag/ziegelseeschwerin"" title=""posts tagged as ziegelseeschwerin"">#ziegelseeschwerin</a> <a href=""http://picbear.com/tag/bestestadtschwerin"" title=""posts tagged as bestestadtschwerin"">#bestestadtschwerin</a> <a href=""http://picbear.com/tag/jajaja"" title=""posts tagged as jajaja"">#jajaja</a><a href=""http://picbear.com/tag/lollipop"" title=""posts tagged as lollipop"">#lollipop</a><a href=""http://picbear.com/tag/mtb"" title=""posts tagged as mtb"">#mtb</a><a href=""http://picbear.com/tag/freedom"" title=""posts tagged as freedom"">#freedom</a><a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a><a href=""http://picbear.com/tag/insta"" title=""posts tagged as insta"">#insta</a><a href=""http://picbear.com/tag/photograph"" title=""posts tagged as photograph"">#photograph</a></p>",43,0
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/19761923_1721879178111278_3237158610962219008_n.jpg,http://picbear.com/media/1553044042371423787_4338165561,October 23 2017 - 11:48,July 06 2017 - 19:08,"<p>Religion Ausfall!😋 <a href=""http://picbear.com/tag/ichliebees"" title=""posts tagged as ichliebees"">#ichliebees</a> <a href=""http://picbear.com/tag/lol"" title=""posts tagged as lol"">#lol</a><a href=""http://picbear.com/tag/rundebiken"" title=""posts tagged as rundebiken"">#rundebiken</a> <a href=""http://picbear.com/tag/hafen"" title=""posts tagged as hafen"">#hafen</a><a href=""http://picbear.com/tag/boote"" title=""posts tagged as boote"">#boote</a><a href=""http://picbear.com/tag/see"" title=""posts tagged as see"">#see</a><a href=""http://picbear.com/tag/schwerin"" title=""posts tagged as schwerin"">#schwerin</a><a href=""http://picbear.com/tag/bestestadtschwerin"" title=""posts tagged as bestestadtschwerin"">#bestestadtschwerin</a> #schwerinersee#schwerinerschloss#edeka#lolipop#lalala#lifestyle.</p>",37,1
October 23 2017 - 11:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19534616_1842933492701323_1159004273514643456_n.jpg,http://picbear.com/media/1546923540238146636_4338165561,October 23 2017 - 11:48,June 28 2017 - 08:27,"<p>Tickeldietack.....#clock#friends#notmine <a href=""http://picbear.com/tag/tick"" title=""posts tagged as tick"">#tick</a><a href=""http://picbear.com/tag/tack"" title=""posts tagged as tack"">#tack</a> #nice#cool#design#watchmaker#lolipop....</p>",43,0
