user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22637264_1738247632853276_5811043403768528896_n.jpg,http://picbear.com/media/1630234389134815259_3872301879,October 23 2017 - 12:05,October 21 2017 - 07:11,"<p>やっぱこのメンバー最高w 8月 One of my favorite ""purikura"" <a href=""http://picbear.com/tag/unthereign"" title=""posts tagged as unthereign"">#unthereign</a></p>",13,0
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22582438_343417989403366_1828134910938841088_n.jpg,http://picbear.com/media/1629903409769386114_3872301879,October 23 2017 - 12:05,October 20 2017 - 20:14,"<p>I feel loneliness so often nowadays on SNS, in my room or even while chatting with my friends. Feeling like there is nobody who could understand each other because I'm afraid of someone getting know me. I'm so weak enough. I'm so weak enough... <a href=""http://picbear.com/tag/つぶやき"" title=""posts tagged as つぶやき"">#つぶやき</a><a href=""http://picbear.com/tag/tweet"" title=""posts tagged as tweet"">#tweet</a><a href=""http://picbear.com/tag/tweets"" title=""posts tagged as tweets"">#tweets</a><a href=""http://picbear.com/tag/lonliness"" title=""posts tagged as lonliness"">#lonliness</a><a href=""http://picbear.com/tag/urban"" title=""posts tagged as urban"">#urban</a></p>",5,2
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c111.0.858.858/22581948_801697536669129_7149030818617229312_n.jpg,http://picbear.com/media/1629889500182417662_3872301879,October 23 2017 - 12:05,October 20 2017 - 19:46,"<p>牛カツ定食@牛かつもと村 ガジャマダ大学の学生さんと食べたお昼ご飯。死ぬほど美味かった😍大阪駅ルクア10Fよ♫オススメ <a href=""http://picbear.com/tag/牛カツ定食"" title=""posts tagged as 牛カツ定食"">#牛カツ定食</a><a href=""http://picbear.com/tag/オススメ定食"" title=""posts tagged as オススメ定食"">#オススメ定食</a><a href=""http://picbear.com/tag/牛かつもと村"" title=""posts tagged as 牛かつもと村"">#牛かつもと村</a><a href=""http://picbear.com/tag/美味い"" title=""posts tagged as 美味い"">#美味い</a><a href=""http://picbear.com/tag/japanesefood"" title=""posts tagged as japanesefood"">#japanesefood</a><a href=""http://picbear.com/tag/delicious"" title=""posts tagged as delicious"">#delicious</a><a href=""http://picbear.com/tag/ガジャマダ大学"" title=""posts tagged as ガジャマダ大学"">#ガジャマダ大学</a></p>",20,0
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22500210_529232577429051_7430384041594978304_n.jpg,http://picbear.com/media/1627289041365907398_3872301879,October 23 2017 - 12:05,October 17 2017 - 05:39,"<p>ころうどん。 <a href=""http://picbear.com/tag/ゼミ旅行"" title=""posts tagged as ゼミ旅行"">#ゼミ旅行</a><a href=""http://picbear.com/tag/うどん"" title=""posts tagged as うどん"">#うどん</a><a href=""http://picbear.com/tag/lunch"" title=""posts tagged as lunch"">#lunch</a><a href=""http://picbear.com/tag/japanesefood"" title=""posts tagged as japanesefood"">#japanesefood</a><a href=""http://picbear.com/tag/delicious"" title=""posts tagged as delicious"">#delicious</a><a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a></p>",16,1
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22499719_495476194171131_4189731856989552640_n.jpg,http://picbear.com/media/1626216729824732326_3872301879,October 23 2017 - 12:05,October 15 2017 - 18:09,"<p>味噌カツ丼。 <a href=""http://picbear.com/tag/ゼミ旅行"" title=""posts tagged as ゼミ旅行"">#ゼミ旅行</a><a href=""http://picbear.com/tag/味噌カツ丼"" title=""posts tagged as 味噌カツ丼"">#味噌カツ丼</a><a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a><a href=""http://picbear.com/tag/miso"" title=""posts tagged as miso"">#miso</a><a href=""http://picbear.com/tag/delicious"" title=""posts tagged as delicious"">#delicious</a><a href=""http://picbear.com/tag/lunch"" title=""posts tagged as lunch"">#lunch</a></p>",12,0
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.86.687.687/22426669_1782822735351768_44772985361399808_n.jpg,http://picbear.com/media/1623296580654233133_3872301879,October 23 2017 - 12:05,October 11 2017 - 17:27,"<p>なんだろうこの、ほっこりもっこり… 悪くない。 邦画はつまらないとずっと敬遠してきたけど、うん。 『セトウツミ』と並んで演技わざとらしくない感じ、日常の感じ、でもドラマな感じ良い、うん。 <a href=""http://picbear.com/tag/japanesemovie"" title=""posts tagged as japanesemovie"">#japanesemovie</a><a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a><a href=""http://picbear.com/tag/ハルフウェイ"" title=""posts tagged as ハルフウェイ"">#ハルフウェイ</a><a href=""http://picbear.com/tag/映画"" title=""posts tagged as 映画"">#映画</a><a href=""http://picbear.com/tag/オススメ映画"" title=""posts tagged as オススメ映画"">#オススメ映画</a></p>",6,6
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1080.1080/22071022_353935278388553_4228025115385790464_n.jpg,http://picbear.com/media/1615227839555102925_3872301879,October 23 2017 - 12:05,September 30 2017 - 14:16,"<p>菜奈ちゃんと。。 <a href=""http://picbear.com/tag/かき氷"" title=""posts tagged as かき氷"">#かき氷</a><a href=""http://picbear.com/tag/mango"" title=""posts tagged as mango"">#mango</a><a href=""http://picbear.com/tag/まち歩き"" title=""posts tagged as まち歩き"">#まち歩き</a></p>",16,1
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21980290_178311699392318_287822143805194240_n.jpg,http://picbear.com/media/1612743179818271694_3872301879,October 23 2017 - 12:05,September 27 2017 - 03:59,"<p>オススメ。アマゾンプライムでオススメされたから、何にも期待しないで観たけど、良い。だから期待しないで観るんやで。期待したらあかんで。 <a href=""http://picbear.com/tag/セトウツミ"" title=""posts tagged as セトウツミ"">#セトウツミ</a><a href=""http://picbear.com/tag/映画"" title=""posts tagged as 映画"">#映画</a><a href=""http://picbear.com/tag/オススメの映画"" title=""posts tagged as オススメの映画"">#オススメの映画</a><a href=""http://picbear.com/tag/movie"" title=""posts tagged as movie"">#movie</a><a href=""http://picbear.com/tag/japanesemovie"" title=""posts tagged as japanesemovie"">#japanesemovie</a></p>",17,2
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909574_1303689066419814_6731537693680861184_n.jpg,http://picbear.com/media/1611511383936046323_3872301879,October 23 2017 - 12:05,September 25 2017 - 11:12,"<p>私は寝っ転がっています。 I'm lying now. <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a><a href=""http://picbear.com/tag/lying"" title=""posts tagged as lying"">#lying</a></p>",17,1
October 23 2017 - 12:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/21690687_1630898530315697_8188540005216419840_n.jpg,http://picbear.com/media/1603940867046092868_3872301879,October 23 2017 - 12:05,September 15 2017 - 00:31,<p>街で見つけたストリートアート。 関係ないけど私の中でBritish accent耳心地良すぎてヤバイ。英語圏に住むなら絶対ロンドンがいい。思えば大阪弁が聞きたくて19で大阪に移り住んだ私。ヘンタイやな笑#streetart#art</p>,14,1
