top_user_date,username,rank (follower_count),media_scrape_dt,media_url,medadata_scrape,likes,comments
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1631367033533620541_25025320,2017-10-23 10:51:46.932316,"['meltembirogul_', 'sak.ira15', 'lkbakes_', 'praneetmoun', 'george_ritisan', '077haya', 'not_alvinkch', '_astya__', 'nc_pacheco', 'jeffswifelisa', 'wizard25g', 'chandanarora1415', 'next_eye', 'afidahdzikra', 'heila.liaa']","['mildoney', 'aestheticwithdepression', 'bercandajaa', 'ahan_ibrahim', 'renzjohn14', 'oci_028', 'assyifa46']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1631320339378973427_25025320,2017-10-23 10:51:48.455472,"['songhyerin8022', 'sovkovavika', 'bayu_ark', 'ketanov', 'mikikondooooo', 'virwaniankita', 'hzf_noor', 'estellecsa', 'dipanitamalik', 'meerabagot', 'taniak168168', 'nadyaendika', 'nurhaeni22', 'aaishu_ashish_pawar', 'lila_sundari_devidasi']","['inarahayu2016', 'tu_secreto165', 'honeyradi95', 'vorobev83official', 'mata_ceper9', 'bercandajaa', 'badalrajput9042', 'renzjohn14', 'donny_u', 'mr.f_a_s_h']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1630435448349216348_25025320,2017-10-23 10:51:50.935785,"['hiz.bulls', 'suzieindiani', 'manolisfragiadoulis', 'b4nanasquad', 'chaoscomdeytheory', 'appz_n', 'mongolian_k', 'zefl._', 'amandabscruz', 'imolisiomalley', 'mhd_shahbaz', 'busra_2167', 'jaypanchal_jerry_', 'raining_nowadays', 'maina_maich']","['selfi_zt', 'oci_028', 'sunny_aimy', 'taeb_ayub98', 'ismail_94z', 'altrabala7mr']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1630021304500263853_25025320,2017-10-23 10:51:52.807786,"['kamble_yogesh_', 'ahmedelazzazy093', 'taufiqurrhman', 'jubkanlaya2546', 'metehanunall0', 'aisthrol_sa', 'the_bean_girl', 'evaelle.r', 'aashna_kaul', 'flair_chick', 'maryjanekinney', 'fiona_your_moon', 'brodes000', 'asmanm96', 'bennypoon113']","['maryamesamir', 'frosildapolena', 'bryan.ellery', 'dilsh3ikh', 'bercandajaa', 'ismail_94z', 'altrabala7mr', 'bananonaruto']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1629258778665182873_25025320,2017-10-23 10:51:54.347084,"['ella_stoof', '_ffilatova_', 'nanisravan7001', 'grishkevichmariia', 'sai.pratap', 'metehanunall0', 'flaviavanesabeltrame', 'ge3542', 'mkhawar786', 'alexandermauritz13', 'zainy_space', 'bennypoon113', 'marioiulianserban', 'janaw197', 'alirezaon']","['richardyolijacky', 'shahnaz9265', 'frosildapolena', 'agnesfauchon', 'habibabdolkhani2558', 'coolnewsbro', 'stanreyjkuja', 'photoshop.creation', 'so4iko']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1628518219600785359_25025320,2017-10-23 10:51:56.046765,"['manavkhatri11', 'jb_jackbirong04', 'nikhil_4u_', 'metehanunall0', 'philong4481', 'aaor_ta', 'vladasavchyk', 'star_laura_k', 'keepcalmandreadall', 'sainankitkumar', '_ikawidi', 'akshay_nikam98', 'tanzie_fj', 'hythm7593', 'm.ehsan20']","['frosildapolena', 'masoodsalimi48', 'ismail_94z', 'douuaalarabaji', 'skhan_salam']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1628082567948094754_25025320,2017-10-23 10:51:58.501989,"['khaledmaoulana', 'luanaanselmoralph', 'danilsaharov', 'jiemei.56', 'yenningtotravel', 'matin6175', 'metehanunall0', 'mongolian_k', 'sidharth5509', 'recky__jiang', 'star_laura_k', 'gokhan_414141', 'edwinwidodo39', 'stevenfilbert_111', 'shabnam_mt']","['nayrakasem', 'cielpluie', 'arunyobzz', 'frosildapolena', 'ojunseo9750', '__graffik__', 'make_imagine', 'i_em_ak__', 'maht_thew']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1630659347754009760_25025320,2017-10-23 10:52:01.502435,"['ayham_kasser', 'zaxar177342017', 'ashu_tembhare', 'songhyerin8022', 'reet_barik', 'gunjan_chawla13', 'gautam_rudani', 'yayayzahwa_29', 'kiiimkiiim', 'mongolian_k', 'roesmawatidewi', 'oznurss', 'kingsley.osagie.1690', 'cccsz87', 'ashutoshkhedkar']","['gouravsharma4073', 'chinwendummuojeke', 'ismail_94z', 'so4iko', 'taeb_ayub98', 'jinendrabhadoriya', 'renzjohn14', 'rickbultoriginal', 'vivianlai.music', 'altrabala7mr']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1630108353983046526_25025320,2017-10-23 10:52:03.428461,"['kamble_yogesh_', 'fardad.eb', 'tofcia_photo', 'daphs124', 'sid_sorout', 'manonlaronche', 'jeet_manghani', 'bowvy_nutjaree21', 'aisthrol_sa', 'mongolian_k', 'metehanunall0', 'rizkyptrs', 'chenwcz', 'lord._.helmchen', 'sbhn7893']","['andreea_amy2', 'fyrwzlkndr8303', 'frosildapolena', 'bensammoum', 'amirabbas.ghaffari', 'dulce_mara_', 'ismail_94z', 'so4iko', 'altrabala7mr', 'bananonaruto']"
2017-10-23,instagram,1 (227053559),2017-10-23 10:51:41.291174,http://picbear.com/media/1629936205024911290_25025320,2017-10-23 10:52:04.919214,"['harman36689153', 'sbhn7893', 'vivekraj2595', 'metehanunall0', 'ulusalatiye', 'jagerhlt', 'sidharth5509', 'phim.phimmmmmmmmm', 'marywambo52', 'suhas_acharya0501', 'dor_yakovv', 'bennypoon113', 'chenwcz', 'hope_dyocesa', 'mostafa921988']","['cevdettcann', 'frosildapolena', 'bonnie_little_9', 'abdob_mk', 'angel_bleisha', 'dewistyrni', 'arundev3709', 'pats3r', 'simaxtrish']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1629342406728083985_460563723,2017-10-23 10:52:09.414821,"['purvi_basnet', 'evieannarian', 'renee_guelcan', 'jk5637', 'luna.brignano', 'michellebrouwers', '_tine_.pt', '_.shahnoosh_.ab', 'misanparal', 'ssatxrno', 'joohsniper', 'leonciniisabelle', 'ada_sobanska', 'kshirsagaraparna', 'thaaiss_domingues']","['mildoney', 'aestheticwithdepression', 'fuckingchica', 'selenagomezeus', 'weed2k18', 'therealmami.g', 'annahagebakken']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1627262916833245260_460563723,2017-10-23 10:52:11.555718,"['waniekayleighgomez', 'evieannarian', 'ritamarediedericks001', 'elinorhull', 'jk5637', 'angelina_sky159', 'tanvir6827', 'sahiranabila00', 'rasimakurmanova', 'whdhajjww', 'ssatxrno', 'ezwolker', 'whydontwe4ever__', 'anupam5414', 'kimtiah']","['anclaren', 'maryyyt6', 'inssaf_frh', '0fficial.eli', 'tinna47', 'patricia_cards12', 'annahagebakken', 'so4iko']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1625826669778642975_460563723,2017-10-23 10:52:12.937885,"['sheynbacani', 'arpit_025', '__nikki__bhaskar__', 'saeidfaramarzi64', 'aleeyanadira.ashraf', 'divyaraj_pankaj', 'christian.kolb1001', 'isi_ibarraaa', 'xmelaniesu', 'annu_upadhyay', 'celebrties_of_pakistan', '_sila_._shn', 'maryamberdouni', 'bullhan14', 'm.h.neloy']","['mohsenmohebi698616', 'anindtputr', 'ibocan78s', 'adrianborges7', 'esha.ll', 'dr.nus', 'renzjohn14', 'laurazavalad', 'iraqi_47', 'make1upx']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1606703638129113070_460563723,2017-10-23 10:52:15.015776,"['pppaaannndddaaaa', 'yazzeka', 'manoz_jr_s', 'tetei_belieber', 'sheynbacani', 'saeidfaramarzi64', '_gianfry_04', 'rociesc01', 'ste_p_hanie', 'jer6692', 'vinaykumarsingh142', 'masoud_zahraei.81', 'n__7oo', 'weddingcool12', 'harshveer_hrv']","['anclaren', 'viidii_re7796', 'ankushpk', 'inssaf_frh', 'ftmhonly._', 'so4iko']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1603596743973508509_460563723,2017-10-23 10:52:17.418842,"['ila.andi.50', 'serene6046', 'fatemehhasanzadehh9247', 'ry4n1506', '_dan810', 'saeidfaramarzi64', 'dilatt1997', '_ohonaa_', 'rosi_d22', 'nazekind', 'jaquellineramos', 'zhafirahma', 'maahdtna', 'deshintaaisyara2297', 'pinnkyyy_21']","['noa_kanal', 'selenmarie92', '0_0h.o.n.e.y0_0', 'tinna47', 'purplehanah', 'allysonoliver', 'raphtp', 'layane.lc', 'barqafida', 'thinkabout._you']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1599445514636523920_460563723,2017-10-23 10:52:19.451336,"['leesa.aurita__', 'sheynbacani', 'aleeyanadira.ashraf', 'isadoraribeiro_730', 'intan_ara05', 'sihle.jacobs', '_its__jojo__', 'nabanita.guha.5836', 'nada_b2736', 'bullhan14', 'therealmami.g', 'zahirah.zlkrn', 'sasan.tanha.222', '_aydan_49', 'priyanka271']","['xulasz', 'superduperdoglover', 'adrianborges7', 'kaan_turhan38', 'free_follow_71', 'dr.nus', 'douglas.sat4', 'jennadupuy', 'roozbeh.sh95', 'cassandraa.lim']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1598768708849772637_460563723,2017-10-23 10:52:20.712478,"['abdullaah_saleem', 'leesa.aurita__', 'aleeyanadira.ashraf', 'rociesc01', 'iam.duri_', 'prisca.burke', 'sara_tomanova', 'isadoraribeiro_730', 'nazekind', 'nada_b2736', 'bullhan14', 'weddingcool12', 'therealmami.g', 'fasterinthesoul', 'deshintaaisyara2297']","['mohsenmohebi698616', 'inayatbest30', 'yogeshpatil19970', 'bollywood.actorss', 'adrianborges7', 'dannaaapaolaaa', 'audreymoako', 'saim_ul_sameer', 'wildan_alim96', 'pamefloy']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1627258096076239689_460563723,2017-10-23 10:52:22.344907,"['_dinara_99_', 'evieannarian', 'elinorhull', 'jk5637', 'tank.sanju', 'whdhajjww', 'zinora_04.04', 'chrissbob', 'fundoopedia', 'so_whit3', 'audreykyokajoly', 'rasimakurmanova', 'whydontwe4ever__', 'anupam5414', 'akshay_pandit_008']","['originalam', 'zerstoerte.kleine.welt', 'hei_bita', 'resadbv', 'songandfeel', '_agustinesekar14', 'renzjohn14', 'shopcutiethings', 'kim_wilke', 'annahagebakken']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1603273045903100103_460563723,2017-10-23 10:52:24.270916,"['_dinara_99_', 'abdullaah_saleem', 'maryyyt6', 'prathyusha_varma_', 'nazninfrz.pv', 'lucy.as_', 'mohit_kohli20', 'nazekind', 'tiffanyhoyaux', 'heloiza_drew_bieber', 'nouran.dhabia', 'armin_flei', 'bullhan14', 'deshintaaisyara2297', 'cherry_blush_._']","['inayatbest30', 'simina.beatrice', 'aretha_5h', 'your_crazy_chica', 'dr.nus', 'audreymoako', 'becgouveia', 'luissotoc_']"
2017-10-23,selenagomez,2 (128641923),2017-10-23 10:52:04.925557,http://picbear.com/media/1602322357089744053_460563723,2017-10-23 10:52:26.246478,"['deshintaaisyara2297', 'sheynbacani', 'leesa.aurita__', 'isadoraribeiro_730', 'afepm', 'sihle.jacobs', '_its__jojo__', 'flamingo_aimee123', 'namirathalia_', 'nada_b2736', 'bullhan14', 'therealmami.g', '_inesbyr_', '_fatima.im_', 'heloiza_drew_bieber']","['sashadavliatshin007', 'posh.cherry', 'originalam', 'dannaaapaolaaa', 'audreymoako', 'carolinlima', 'mabruka_____', 'donnalolla_alessandra', 'rubenjame_instabackups']"
2017-10-23,arianagrande,3 (114926078),2017-10-23 10:52:26.253206,http://picbear.com/media/1627893137376322452_7719696,2017-10-23 10:52:30.096341,"['lar_wilson07', 'mlag_a', 'sarahcait99', 'nat_bat_', 'alicedufty', 'moonlightarifeed', '_sila_._shn', 'cavalcanti3411', 'feli_and_lilly', 'so_whit3', 'cicilia.christin', 'j.louvre', 'bonti1408', 'sajrakeranovic', '_.sohan_.shashi._']","['mlag_a', 'aestheticwithdepression', 'marilynmonroe2968', 'sevallaa', 'reasonsforgrande', 'nilerraaa', 'avianagrcnde']"
2017-10-23,arianagrande,3 (114926078),2017-10-23 10:52:26.253206,http://picbear.com/media/1627245651410469708_7719696,2017-10-23 10:52:31.265467,"['showmanis1', 'elizabethlee12', 'adindanimaz', 'ylonagrandeeee', 'levelyn240', '_sila_._shn', 'tutii_lustiia', 'giovanni_angelico', 'tomke1818', 'jellaredubla_', 'cicilia.christin', 'sara_tomanova', 'haruna.ria', 'radicleonarda', 'lulinda03']","['eliifcvs', 'pandit_shubham_bhardwaj', 'gulsen.demirli', 'arianatorsbyarii', 'hafizh.panjianom', 'pa.le.ko', 'kabirmehta1', 'reasonsforgrande', 'giannarbarone']"
2017-10-23,arianagrande,3 (114926078),2017-10-23 10:52:26.253206,http://picbear.com/media/1625591317031489900_7719696,2017-10-23 10:52:32.989455,"['goodremer', 'tonivalchev2k3', 'i.jahe', 'sajrakeranovic', 'ugyen_3', '_.xsabrinaaa', 'sara_tomanova', 'aisha.lexa', '_sila_._shn', 'sandra_lupsa', 'rodi_681752', 'cicilia.christin', 'junreyhalili', '_.caim._', 'dudapaganelli']","['ruthelaizetiples', 'pandit_shubham_bhardwaj', 'merilibam', 'joefinarts_music', 'panosgourzou', 'valbungau', 'harveyhales', 'ariantors15', 'queenbroyals5747']"
2017-10-23,arianagrande,3 (114926078),2017-10-23 10:52:26.253206,http://picbear.com/media/1625576307714494485_7719696,2017-10-23 10:52:34.362192,"['rambuhtan', 'zanett_aleksandrova', 'regitalv', 'aisha.lexa', '0547_karlijn', 'tleubayevaaa', 'nadeywalsh1', '_sila_._shn', 'karina_rabbit02', 'radicleonarda', 'so_whit3', 'cicilia.christin', 'mariclenygomes', 'labojohnberto', 'dudapaganelli']","['rusty_howard', 'noemi_pizza', 'the_official_scum', '11.12_think_now', 'davistrevimo', '_suursuz_manda', 'didis3321', 'mariah01begay', 'evaa_dinkic', 'bocxa.babiiiee_']"
2017-10-23,arianagrande,3 (114926078),2017-10-23 10:52:26.253206,http://picbear.com/media/1624252001978031275_7719696,2017-10-23 10:52:35.772472,"['ninimini2005', 'annlab99', 'i.jahe', 'joanna_2415', 'rambuhtan', 'levelyn240', 'mhsnkzmhydr', 'kevin.nguyen123', '_sila_._shn', 'jaunenforce', 'kksputra', 'cicilia.christin', 'sara_tomanova', '98_fuuri', 'rofa_sheckoo']","['tr121572', 'juventus.realmadrid', 'karim__kay', 'kaushikdho', 'harveyhales', 'jessicaalison02', 'paigeee_x1', 'tkrc7000', 'dbsfun53']"
