user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22277484_148187982458643_4280430992071589888_n.jpg,http://picbear.com/media/1618169268629115480_4792108425,November 06 2017 - 17:45,October 04 2017 - 15:40,"<p>Seneng bngt liat moment Cinta yg lgi d kereta ini, apalgi pas Cinta duduk sambil senyum2 itu gemesin bngt ekspresinya Cintaa😍, Makin Sukses Cinta <a href=""http://picbear.com/tag/cintaxexo"" title=""posts tagged as cintaxexo"">#cintaxexo</a> <a href=""http://picbear.com/tag/giveawaycintakuya"" title=""posts tagged as giveawaycintakuya"">#giveawaycintakuya</a> <a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a> <a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a>💛</p>",19,8
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149299_1888395544813224_5618352874309287936_n.jpg,http://picbear.com/media/1591324658195871279_4792108425,November 06 2017 - 17:45,August 28 2017 - 14:45,"<p>Kenapa zombie klo nyerang brng-brng??, klo nyerangnya sndrian itu nmnya zomblo😅😂 <a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a><a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a><a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a></p>",31,0
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19437071_1910899369150553_2462206786887745536_n.jpg,http://picbear.com/media/1548504671421073022_4792108425,November 06 2017 - 17:45,June 30 2017 - 12:49,"<p><a href=""http://picbear.com/mimi_99boutique"" title=""mimi_99boutique instagram profile"">@mimi_99boutique</a></p>",25,1
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18444601_436879900024398_2080325043983745024_n.jpg,http://picbear.com/media/1512858159785830136_4792108425,November 06 2017 - 17:45,May 12 2017 - 08:26,<p>The togetherness  we are that makes us happy</p>,36,1
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18013640_1428614330511184_4558361212013772800_n.jpg,http://picbear.com/media/1498596008183245102_4792108425,November 06 2017 - 17:45,April 22 2017 - 16:09,<p>Kartini day</p>,37,3
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/17662539_329410517461933_4702738122511745024_n.jpg,http://picbear.com/media/1483080092335030894_4792108425,November 06 2017 - 17:45,April 01 2017 - 06:22,<p>With you I happy💕😘</p>,52,4
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17493770_1662590194043472_7630742732650053632_n.jpg,http://picbear.com/media/1478276104129381455_4792108425,November 06 2017 - 17:45,March 25 2017 - 15:17,,29,1
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17333381_1614680198546791_8120550475352244224_n.jpg,http://picbear.com/media/1473909974451590168_4792108425,November 06 2017 - 17:45,March 19 2017 - 14:43,"<p>"" karena hatiku mengatakan kamu, yang paling mengerti diantara yang mengerti ""😌😊</p>",32,1
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17332557_648025078722513_7428895500419465216_n.jpg,http://picbear.com/media/1471080918206994309_4792108425,November 06 2017 - 17:45,March 15 2017 - 17:02,,26,0
November 06 2017 - 17:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c8.0.1064.1064/17332682_207040389778141_3142957299417481216_n.jpg,http://picbear.com/media/1470335833202832175_4792108425,November 06 2017 - 17:45,March 14 2017 - 16:21,"<p>This is a beef crispy.....hahaha😀😋 <a href=""http://picbear.com/tag/sok"" title=""posts tagged as sok"">#sok</a> inggris wkwkwk#</p>",23,1
