user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638726_139846436653804_7340731787611471872_n.jpg,http://picbear.com/media/1631571792912194878_4376048244,October 25 2017 - 15:42,October 23 2017 - 03:28,<p>80's Vibes 💋💗</p>,391,35
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351864_350790128695411_964732899737731072_n.jpg,http://picbear.com/media/1622135879224379587_4376048244,October 25 2017 - 15:42,October 10 2017 - 03:01,"<p><a href=""http://picbear.com/tag/tb"" title=""posts tagged as tb"">#tb</a> to <a href=""http://picbear.com/mosaicclothing"" title=""mosaicclothing instagram profile"">@mosaicclothing</a> Fall Runway Show💋</p>",462,13
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22220762_169124097001046_7397336394261069824_n.jpg,http://picbear.com/media/1619249075508921964_4376048244,October 25 2017 - 15:42,October 06 2017 - 03:25,<p>The city💋</p>,507,13
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c2.0.1076.1076/22277614_143508736266006_2790347081485647872_n.jpg,http://picbear.com/media/1617791200525775528_4376048244,October 25 2017 - 15:42,October 04 2017 - 03:09,<p>🌈</p>,751,49
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21984539_133576270705182_5805175159887233024_n.jpg,http://picbear.com/media/1613467319467809706_4376048244,October 25 2017 - 15:42,September 28 2017 - 03:58,<p>Taylor Swift vibes today! ❤️💄</p>,345,29
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879591_1943802015834569_3572702505760456704_n.jpg,http://picbear.com/media/1610569753201952439_4376048244,October 25 2017 - 15:42,September 24 2017 - 04:01,<p>Feeling this outfit🌃</p>,286,41
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879763_1763333587298874_1195138430376345600_n.jpg,http://picbear.com/media/1609107058778924770_4376048244,October 25 2017 - 15:42,September 22 2017 - 03:35,<p>Can we all appreciate this goodness?😍</p>,157,7
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827565_129329907714651_1971886985299623936_n.jpg,http://picbear.com/media/1606904543404378823_4376048244,October 25 2017 - 15:42,September 19 2017 - 02:39,<p>Missing NYC and the frozen hot chocolate!💋</p>,252,55
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21689283_175232503045268_5679046156680691712_n.jpg,http://picbear.com/media/1606186692813118751_4376048244,October 25 2017 - 15:42,September 18 2017 - 02:53,<p>The beautiful Victoria Secret runway attire🌃</p>,158,33
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21820157_507434896257313_1019329484622397440_n.jpg,http://picbear.com/media/1605341416800060692_4376048244,October 25 2017 - 15:42,September 16 2017 - 22:53,<p>Only looking forward in life🌃</p>,177,4
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21568825_1443358425783412_3789938107596406784_n.jpg,http://picbear.com/media/1603288080848448001_4376048244,October 25 2017 - 15:42,September 14 2017 - 02:54,<p>New York City✈️🍎</p>,213,53
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576915_187600401782031_4350965079605248000_n.jpg,http://picbear.com/media/1602561559942365373_4376048244,October 25 2017 - 15:42,September 13 2017 - 02:50,<p>Be Bold👄</p>,231,55
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576649_358771544554743_7469775755057037312_n.jpg,http://picbear.com/media/1601654351054423673_4376048244,October 25 2017 - 15:42,September 11 2017 - 20:48,<p>NYFW 2017🌃👄</p>,224,70
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479772_2011880262417575_8090613994953375744_n.jpg,http://picbear.com/media/1600218918172987052_4376048244,October 25 2017 - 15:42,September 09 2017 - 21:16,<p>5th Ave doesn't disappoint.💍</p>,174,52
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435610_1272404779572003_3275460519422590976_n.jpg,http://picbear.com/media/1598155986132398425_4376048244,October 25 2017 - 15:42,September 07 2017 - 00:57,<p>Only two more days till NYFW🌃💗</p>,211,32
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21296090_127136041254121_6228819232042254336_n.jpg,http://picbear.com/media/1595322385762113706_4376048244,October 25 2017 - 15:42,September 03 2017 - 03:07,<p>The beautiful Cap Juluca🌞</p>,176,5
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149188_260331144457743_3740199809328349184_n.jpg,http://picbear.com/media/1593823186910570765_4376048244,October 25 2017 - 15:42,September 01 2017 - 01:29,<p>The countdown for NYFW is on! 🌃🍎</p>,234,20
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227772_117086108955097_52593137259905024_n.jpg,http://picbear.com/media/1593130785627958705_4376048244,October 25 2017 - 15:42,August 31 2017 - 02:33,"<p>Classy and timeless Rolls-Royce in Charleston, South Carolina!💍</p>",159,10
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147692_587673914955848_1516775397163794432_n.jpg,http://picbear.com/media/1589452050508801114_4376048244,October 25 2017 - 15:42,August 26 2017 - 00:44,<p>Island Time🌊</p>,215,11
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905702_138317413356743_478512077497958400_n.jpg,http://picbear.com/media/1586588924847267616_4376048244,October 25 2017 - 15:42,August 22 2017 - 01:56,<p>Range Rover❤️</p>,174,11
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20839058_1125544050880296_4206951068073984000_n.jpg,http://picbear.com/media/1585072936523721337_4376048244,October 25 2017 - 15:42,August 19 2017 - 23:44,<p>🎓senior year here we go!</p>,152,5
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20838528_120708178583183_7445995878348750848_n.jpg,http://picbear.com/media/1583749031427170042_4376048244,October 25 2017 - 15:42,August 18 2017 - 03:53,<p>Wishing I was back in Charleston!🌈</p>,136,2
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20766733_110672326282673_5379493894549405696_n.jpg,http://picbear.com/media/1581316009855685914_4376048244,October 25 2017 - 15:42,August 14 2017 - 19:19,<p>Charleston loving!❤️</p>,174,5
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759619_463892720633828_9210642307840212992_n.jpg,http://picbear.com/media/1579868911398405800_4376048244,October 25 2017 - 15:42,August 12 2017 - 19:24,<p>The beautiful and historic Charleston!🌾</p>,148,6
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20633738_309127649553880_9111044520211906560_n.jpg,http://picbear.com/media/1576239975795842191_4376048244,October 25 2017 - 15:43,August 07 2017 - 19:14,<p>Bikini season don't leave🌞👙</p>,225,16
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20634879_1999045000315257_1035769313761427456_n.jpg,http://picbear.com/media/1575546608615391669_4376048244,October 25 2017 - 15:43,August 06 2017 - 20:16,"<p>Fun and flirty in this dress from <a href=""http://picbear.com/shopdressup"" title=""shopdressup instagram profile"">@shopdressup</a> 🤘🏻💋</p>",167,12
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20582826_223155631542005_687497833137307648_n.jpg,http://picbear.com/media/1574330525837399171_4376048244,October 25 2017 - 15:43,August 05 2017 - 04:00,<p>Shop till ya drop!💗</p>,137,3
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20482459_109135939754592_779122142829608960_n.jpg,http://picbear.com/media/1572728110356692506_4376048244,October 25 2017 - 15:43,August 02 2017 - 22:57,<p>Reminiscing on vacation at Rainbow Cafe! 🌈</p>,144,7
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20589409_1728932494074526_6253039029365768192_n.jpg,http://picbear.com/media/1572137935050113043_4376048244,October 25 2017 - 15:43,August 02 2017 - 03:24,<p>Living life on the bold side❤️💄</p>,161,10
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20479352_331185187312304_4213418386878627840_n.jpg,http://picbear.com/media/1569119213880582537_4376048244,October 25 2017 - 15:43,July 28 2017 - 23:26,"<p>Even the architecture is amazing!🌺 <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/capjuluca"" title=""posts tagged as capjuluca"">#capjuluca</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/anguilla"" title=""posts tagged as anguilla"">#anguilla</a> <a href=""http://picbear.com/tag/carribeanlife"" title=""posts tagged as carribeanlife"">#carribeanlife</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/outdoors"" title=""posts tagged as outdoors"">#outdoors</a> <a href=""http://picbear.com/tag/islands"" title=""posts tagged as islands"">#islands</a> <a href=""http://picbear.com/tag/islandgirl"" title=""posts tagged as islandgirl"">#islandgirl</a> <a href=""http://picbear.com/tag/lovinglife"" title=""posts tagged as lovinglife"">#lovinglife</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/summertime"" title=""posts tagged as summertime"">#summertime</a> <a href=""http://picbear.com/tag/carribean"" title=""posts tagged as carribean"">#carribean</a> <a href=""http://picbear.com/tag/belmond"" title=""posts tagged as belmond"">#belmond</a></p>",174,7
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20393563_110950079566390_2846546857402826752_n.jpg,http://picbear.com/media/1567840781129371145_4376048244,October 25 2017 - 15:43,July 27 2017 - 05:06,"<p>Just some snapshots from Vacation, in this amazing suit from <a href=""http://picbear.com/aerie"" title=""aerie instagram profile"">@aerie</a>!💗 <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/anguilla"" title=""posts tagged as anguilla"">#anguilla</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/capjuluca"" title=""posts tagged as capjuluca"">#capjuluca</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/sunglasses"" title=""posts tagged as sunglasses"">#sunglasses</a> <a href=""http://picbear.com/tag/bikini"" title=""posts tagged as bikini"">#bikini</a> <a href=""http://picbear.com/tag/aerie"" title=""posts tagged as aerie"">#aerie</a> <a href=""http://picbear.com/tag/aeriereal"" title=""posts tagged as aeriereal"">#aeriereal</a> <a href=""http://picbear.com/tag/aerieswim"" title=""posts tagged as aerieswim"">#aerieswim</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/summertime"" title=""posts tagged as summertime"">#summertime</a> <a href=""http://picbear.com/tag/carribeanlife"" title=""posts tagged as carribeanlife"">#carribeanlife</a> <a href=""http://picbear.com/tag/carribean"" title=""posts tagged as carribean"">#carribean</a> <a href=""http://picbear.com/tag/islands"" title=""posts tagged as islands"">#islands</a> <a href=""http://picbear.com/tag/islandgirl"" title=""posts tagged as islandgirl"">#islandgirl</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/baemodelsinternational"" title=""posts tagged as baemodelsinternational"">#baemodelsinternational</a></p>",200,33
October 25 2017 - 15:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20180573_1880678445581154_8520596627088474112_n.jpg,http://picbear.com/media/1561053462514735874_4376048244,October 25 2017 - 15:43,July 17 2017 - 20:21,"<p>Just another day in Paradise!🌞 <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/anguilla"" title=""posts tagged as anguilla"">#anguilla</a> <a href=""http://picbear.com/tag/capjuluca"" title=""posts tagged as capjuluca"">#capjuluca</a> <a href=""http://picbear.com/tag/lovinglife"" title=""posts tagged as lovinglife"">#lovinglife</a> <a href=""http://picbear.com/tag/britishwestindies"" title=""posts tagged as britishwestindies"">#britishwestindies</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/carribean"" title=""posts tagged as carribean"">#carribean</a> <a href=""http://picbear.com/tag/traveltodaytv"" title=""posts tagged as traveltodaytv"">#traveltodaytv</a></p>",204,6
