user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c100.0.600.600/22708933_155389621734245_4007567686782418944_n.jpg,http://picbear.com/media/1633303160347240262_2018215050,October 25 2017 - 16:57,October 25 2017 - 12:48,"<p>Tidak perlu malu saat kalian terlihat miskin malulah saat kalian berpura pura kaya 😉  <a href=""http://picbear.com/tag/missmoment"" title=""posts tagged as missmoment"">#missmoment</a> <a href=""http://picbear.com/tag/throwback"" title=""posts tagged as throwback"">#throwback</a> <a href=""http://picbear.com/tag/edisikangen"" title=""posts tagged as edisikangen"">#edisikangen</a></p>",16,0
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580109_1463023650400577_3595669199130722304_n.jpg,http://picbear.com/media/1627305048852093105_2018215050,October 25 2017 - 16:57,October 17 2017 - 06:11,"<p>Kehidupan ini sperti bangunan yang tak utuh, perlu keihlasan untuk membangun bagian yang tak utuh tersebut, butuh usaha dan kerja keras untuk membuatnya indah. Oleh karna itu, cuman ada satu untuk memberikan keberkahan dari bangunan atau kehidupan itu sendiri yaitu selalu Ikhlas dan Ihsan. <a href=""http://picbear.com/tag/janganlupabersyukur"" title=""posts tagged as janganlupabersyukur"">#janganlupabersyukur</a> <a href=""http://picbear.com/tag/semangatt"" title=""posts tagged as semangatt"">#semangatt</a> <a href=""http://picbear.com/tag/jalani"" title=""posts tagged as jalani"">#jalani</a>_nikmati_syukuri <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/alhamdulillahforeverything"" title=""posts tagged as alhamdulillahforeverything"">#alhamdulillahforeverything</a></p>",23,8
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580319_521130711577092_9147378865499275264_n.jpg,http://picbear.com/media/1626026856375671965_2018215050,October 25 2017 - 16:57,October 15 2017 - 11:52,"<p>3F (Fatih-Filsa-Faisha) <a href=""http://picbear.com/fauzhiafadil"" title=""fauzhiafadil instagram profile"">@fauzhiafadil</a> <a href=""http://picbear.com/febrianti_suciramadani"" title=""febrianti_suciramadani instagram profile"">@febrianti_suciramadani</a> <a href=""http://picbear.com/febriantiachmad"" title=""febriantiachmad instagram profile"">@febriantiachmad</a> <a href=""http://picbear.com/fhatmandha"" title=""fhatmandha instagram profile"">@fhatmandha</a></p>",7,0
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c158.0.763.763/22427095_937505183067367_3269399264005980160_n.jpg,http://picbear.com/media/1625076022280360436_2018215050,October 25 2017 - 16:58,October 14 2017 - 04:22,"<p>This is a buckwun 😋😋 <a href=""http://picbear.com/tag/happysaturday"" title=""posts tagged as happysaturday"">#happysaturday</a></p>",18,8
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352292_1662266250472104_5496076894853922816_n.jpg,http://picbear.com/media/1624018667627218624_2018215050,October 25 2017 - 16:58,October 12 2017 - 17:22,"<p>Good night.. Have a nice dream.. 😉😉 . . . . . . . . . . . <a href=""http://picbear.com/tag/pengabdisetanmovie"" title=""posts tagged as pengabdisetanmovie"">#pengabdisetanmovie</a> <a href=""http://picbear.com/tag/kekinian"" title=""posts tagged as kekinian"">#kekinian</a> <a href=""http://picbear.com/tag/peace"" title=""posts tagged as peace"">#peace</a> <a href=""http://picbear.com/tag/dapetsalamdariibu"" title=""posts tagged as dapetsalamdariibu"">#dapetsalamdariibu</a></p>",12,0
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22430199_629538900766961_8219490669127794688_n.jpg,http://picbear.com/media/1622976565644529391_2018215050,October 25 2017 - 16:58,October 11 2017 - 06:51,"<p>Ada cogan 😍😍😍 <a href=""http://picbear.com/febrianti_suciramadani"" title=""febrianti_suciramadani instagram profile"">@febrianti_suciramadani</a> <a href=""http://picbear.com/tag/cowoganteng"" title=""posts tagged as cowoganteng"">#cowoganteng</a> <a href=""http://picbear.com/tag/fatihrizkimubarak"" title=""posts tagged as fatihrizkimubarak"">#fatihrizkimubarak</a> <a href=""http://picbear.com/tag/senyumterus"" title=""posts tagged as senyumterus"">#senyumterus</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a></p>",10,2
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280307_280977459078269_5884069671845494784_n.jpg,http://picbear.com/media/1622546260974446770_2018215050,October 25 2017 - 16:58,October 10 2017 - 16:36,"<p>👭👭 with <a href=""http://picbear.com/rycha_sn"" title=""rycha_sn instagram profile"">@rycha_sn</a> @yenitasya.putri <a href=""http://picbear.com/yuyunzahiraputri"" title=""yuyunzahiraputri instagram profile"">@yuyunzahiraputri</a> <a href=""http://picbear.com/tag/mysister"" title=""posts tagged as mysister"">#mysister</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/missingyou"" title=""posts tagged as missingyou"">#missingyou</a> <a href=""http://picbear.com/tag/happyme"" title=""posts tagged as happyme"">#happyme</a> <a href=""http://picbear.com/tag/memoriam"" title=""posts tagged as memoriam"">#memoriam</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/wonderwomen"" title=""posts tagged as wonderwomen"">#wonderwomen</a> <a href=""http://picbear.com/tag/alhamdulillah"" title=""posts tagged as alhamdulillah"">#alhamdulillah</a> <a href=""http://picbear.com/tag/supermom"" title=""posts tagged as supermom"">#supermom</a></p>",9,0
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221104_282872695542510_6585114634993270784_n.jpg,http://picbear.com/media/1619974125672379442_2018215050,October 25 2017 - 16:58,October 07 2017 - 03:26,"<p>Miss Moment  Kangen Kaliaan 😖😖 <a href=""http://picbear.com/tag/miss"" title=""posts tagged as miss"">#miss</a> <a href=""http://picbear.com/tag/temanseperjuangan"" title=""posts tagged as temanseperjuangan"">#temanseperjuangan</a> <a href=""http://picbear.com/tag/stressbareng"" title=""posts tagged as stressbareng"">#stressbareng</a> <a href=""http://picbear.com/tag/lemburbareng"" title=""posts tagged as lemburbareng"">#lemburbareng</a> <a href=""http://picbear.com/tag/istirahatbareng"" title=""posts tagged as istirahatbareng"">#istirahatbareng</a> <a href=""http://picbear.com/tag/mejakantorjadimejamakankaloistirahat"" title=""posts tagged as mejakantorjadimejamakankaloistirahat"">#mejakantorjadimejamakankaloistirahat</a> <a href=""http://picbear.com/tag/liburanbareng"" title=""posts tagged as liburanbareng"">#liburanbareng</a> <a href=""http://picbear.com/tag/futsalbareng"" title=""posts tagged as futsalbareng"">#futsalbareng</a> <a href=""http://picbear.com/tag/sedihh"" title=""posts tagged as sedihh"">#sedihh</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/samasama"" title=""posts tagged as samasama"">#samasama</a> <a href=""http://picbear.com/tag/temanterbaik"" title=""posts tagged as temanterbaik"">#temanterbaik</a></p>",16,0
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22158994_1495428400551865_5728163587361341440_n.jpg,http://picbear.com/media/1618188847370498251_2018215050,October 25 2017 - 16:58,October 04 2017 - 16:19,"<p>Ketika perjalanan hidup terasa Membosankan, Maka Allah menyuruh kita untuk banyak Bersyukur 😇😇 <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/bersyukur"" title=""posts tagged as bersyukur"">#bersyukur</a> <a href=""http://picbear.com/tag/alhamdulillah"" title=""posts tagged as alhamdulillah"">#alhamdulillah</a> <a href=""http://picbear.com/tag/goodnight"" title=""posts tagged as goodnight"">#goodnight</a> <a href=""http://picbear.com/tag/wednesday"" title=""posts tagged as wednesday"">#wednesday</a> <a href=""http://picbear.com/tag/sweetdreams"" title=""posts tagged as sweetdreams"">#sweetdreams</a></p>",18,0
October 25 2017 - 16:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22159521_1904861886500617_2385233452455690240_n.jpg,http://picbear.com/media/1617491801885909912_2018215050,October 25 2017 - 16:58,October 03 2017 - 17:14,"<p>Gaya tangannya sama dengan boneka nya 😂😂 <a href=""http://picbear.com/tag/fatihrizkimubarak"" title=""posts tagged as fatihrizkimubarak"">#fatihrizkimubarak</a></p>",11,7
