user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980773_1796259737332356_8166885798017236992_n.jpg,http://picbear.com/media/1609615264985652453_1806184853,October 25 2017 - 16:43,September 22 2017 - 20:25,"<p><a href=""http://picbear.com/tag/car"" title=""posts tagged as car"">#car</a> <a href=""http://picbear.com/tag/ford"" title=""posts tagged as ford"">#ford</a> f 100 .54</p>",47,4
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372030_855639377945605_8586704737938702336_n.jpg,http://picbear.com/media/1597049582960075132_1806184853,October 25 2017 - 16:43,September 05 2017 - 12:19,"<p><a href=""http://picbear.com/tag/car"" title=""posts tagged as car"">#car</a></p>",59,2
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19429117_1854981988155557_8409109992027717632_n.jpg,http://picbear.com/media/1545420067582528941_1806184853,October 25 2017 - 16:43,June 26 2017 - 06:40,"<p><a href=""http://picbear.com/tag/motorcycle"" title=""posts tagged as motorcycle"">#motorcycle</a></p>",87,3
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19428778_115810415694948_7684034175757713408_n.jpg,http://picbear.com/media/1544000584808689959_1806184853,October 25 2017 - 16:43,June 24 2017 - 07:40,"<p><a href=""http://picbear.com/tag/car"" title=""posts tagged as car"">#car</a></p>",57,1
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19379637_1876255545925755_766834670892482560_n.jpg,http://picbear.com/media/1543010413586058863_1806184853,October 25 2017 - 16:43,June 22 2017 - 22:53,"<p><a href=""http://picbear.com/tag/window"" title=""posts tagged as window"">#window</a> <a href=""http://picbear.com/tag/airplane"" title=""posts tagged as airplane"">#airplane</a> <a href=""http://picbear.com/tag/lasvegas"" title=""posts tagged as lasvegas"">#lasvegas</a></p>",50,1
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19367636_525592500898044_6161477035353964544_n.jpg,http://picbear.com/media/1540490505967011449_1806184853,October 25 2017 - 16:43,June 19 2017 - 11:26,,41,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19120991_1894378247445651_1959711169627291648_n.jpg,http://picbear.com/media/1538312912459215532_1806184853,October 25 2017 - 16:43,June 16 2017 - 11:20,"<p><a href=""http://picbear.com/tag/london"" title=""posts tagged as london"">#london</a> <a href=""http://picbear.com/tag/airplane"" title=""posts tagged as airplane"">#airplane</a> <a href=""http://picbear.com/tag/window"" title=""posts tagged as window"">#window</a></p>",43,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18949709_396898294044389_1617096543184093184_n.jpg,http://picbear.com/media/1531579526831098001_1806184853,October 25 2017 - 16:43,June 07 2017 - 04:22,"<p><a href=""http://picbear.com/tag/airplane"" title=""posts tagged as airplane"">#airplane</a> <a href=""http://picbear.com/tag/dubai"" title=""posts tagged as dubai"">#dubai</a></p>",47,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18513904_1911527349116940_6869571036266889216_n.jpg,http://picbear.com/media/1514888631050218440_1806184853,October 25 2017 - 16:43,May 15 2017 - 03:40,,51,2
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.828.828/18513817_161371631063552_2759498152464613376_n.jpg,http://picbear.com/media/1514870166767692073_1806184853,October 25 2017 - 16:43,May 15 2017 - 03:03,,33,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/18381009_1343089392394260_2212090229693612032_n.jpg,http://picbear.com/media/1512540941175827652_1806184853,October 25 2017 - 16:43,May 11 2017 - 21:55,,41,1
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/18443503_423449134695000_2866483674684063744_n.jpg,http://picbear.com/media/1510008237574106606_1806184853,October 25 2017 - 16:43,May 08 2017 - 10:03,,38,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18160522_309534362793322_1769851392983302144_n.jpg,http://picbear.com/media/1500412538444352622_1806184853,October 25 2017 - 16:43,April 25 2017 - 04:18,,41,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/17438496_1917037815198729_5628098228118355968_n.jpg,http://picbear.com/media/1477412479796954992_1806184853,October 25 2017 - 16:43,March 24 2017 - 10:41,,109,4
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17438285_1298224470257651_730541578765991936_n.jpg,http://picbear.com/media/1475073788818696420_1806184853,October 25 2017 - 16:43,March 21 2017 - 05:15,,46,1
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/17267924_1815373988717386_5094231714461384704_n.jpg,http://picbear.com/media/1470741793678356392_1806184853,October 25 2017 - 16:43,March 15 2017 - 05:48,,22,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16228591_954217831380186_1322778312883306496_n.jpg,http://picbear.com/media/1439300100995392622_1806184853,October 25 2017 - 16:43,January 30 2017 - 20:39,,38,5
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15802347_1280313912047873_6195610605039124480_n.jpg,http://picbear.com/media/1421771872961343495_1806184853,October 25 2017 - 16:43,January 06 2017 - 16:13,,18,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15877141_1257900474293598_5663975962547585024_n.jpg,http://picbear.com/media/1421771729440733714_1806184853,October 25 2017 - 16:43,January 06 2017 - 16:13,,16,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c209.0.661.661/15624536_1326690987396876_7649122774610345984_n.jpg,http://picbear.com/media/1417531099134846421_1806184853,October 25 2017 - 16:43,December 31 2016 - 19:48,,18,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13671716_672211402934603_772660319_n.jpg,http://picbear.com/media/1319737578882165357_1806184853,October 25 2017 - 16:43,August 18 2016 - 21:30,,19,1
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/11377695_566249190182191_1007049684_n.jpg,http://picbear.com/media/1010170858004273788_1806184853,October 25 2017 - 16:43,June 18 2015 - 18:36,,23,3
