user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22793947_145344972743504_2964506265876692992_n.jpg,http://picbear.com/media/1633301693565683656_646652893,October 25 2017 - 14:28,October 25 2017 - 12:45,"<p>Jepang-jepangan <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/kodakultramax400"" title=""posts tagged as kodakultramax400"">#kodakultramax400</a></p>",157,16
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709535_990842891056366_7490657770086072320_n.jpg,http://picbear.com/media/1633044751182082842_646652893,October 25 2017 - 14:28,October 25 2017 - 04:15,<p>Motion</p>,176,16
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22711107_1961446844136912_665053644013436928_n.jpg,http://picbear.com/media/1632660335721160949_646652893,October 25 2017 - 14:28,October 24 2017 - 15:31,"<p>Catfie  <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/kodakultramax400"" title=""posts tagged as kodakultramax400"">#kodakultramax400</a></p>",199,13
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22709400_359622024460380_1822778403820929024_n.jpg,http://picbear.com/media/1632576017887699763_646652893,October 25 2017 - 14:28,October 24 2017 - 12:44,<p>Coffee please</p>,151,2
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22802749_2041954756023458_3909003757911801856_n.jpg,http://picbear.com/media/1632288666649112053_646652893,October 25 2017 - 14:28,October 24 2017 - 03:13,"<p>Good morning Bandung <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a></p>",224,11
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639436_360590937720194_8530424551643807744_n.jpg,http://picbear.com/media/1631898645257612755_646652893,October 25 2017 - 14:28,October 23 2017 - 14:18,"<p>Man in Black <a href=""http://picbear.com/tag/jakartathroughthelens"" title=""posts tagged as jakartathroughthelens"">#jakartathroughthelens</a></p>",200,13
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22636927_1911472019113005_5977524122937196544_n.jpg,http://picbear.com/media/1630175581394374342_646652893,October 25 2017 - 14:28,October 21 2017 - 05:14,"<p>Without newspaper <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a></p>",232,8
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.70.1080.1080/22582672_1503342633092990_8497383239386660864_n.jpg,http://picbear.com/media/1627548153941361046_646652893,October 25 2017 - 14:28,October 17 2017 - 14:14,"<p>Dad <a href=""http://picbear.com/tag/jakartathroughthelens"" title=""posts tagged as jakartathroughthelens"">#jakartathroughthelens</a></p>",233,14
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c179.0.722.722/22580453_180782529153960_989740724775813120_n.jpg,http://picbear.com/media/1627201103219596874_646652893,October 25 2017 - 14:28,October 17 2017 - 02:45,"<p>White neck <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/kodakcolorplus200"" title=""posts tagged as kodakcolorplus200"">#kodakcolorplus200</a></p>",176,3
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22430131_419768228425951_3146178928616407040_n.jpg,http://picbear.com/media/1626836759180988500_646652893,October 25 2017 - 14:28,October 16 2017 - 14:41,"<p>Sceptic <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/jakartathroughthelens"" title=""posts tagged as jakartathroughthelens"">#jakartathroughthelens</a></p>",215,9
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22427318_286389285198420_2330088481851703296_n.jpg,http://picbear.com/media/1625925874623103717_646652893,October 25 2017 - 14:28,October 15 2017 - 08:31,"<p>Which one are you? <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a></p>",219,7
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499967_1697078467020112_2127432077782548480_n.jpg,http://picbear.com/media/1624541665434257678_646652893,October 25 2017 - 14:28,October 13 2017 - 10:41,"<p>Family <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/bandungthroughthelens"" title=""posts tagged as bandungthroughthelens"">#bandungthroughthelens</a></p>",195,7
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22351648_119184918837901_5517526094674132992_n.jpg,http://picbear.com/media/1623954335174239062_646652893,October 25 2017 - 14:28,October 12 2017 - 15:14,"<p>Breaktime <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a> <a href=""http://picbear.com/tag/expiredfilm"" title=""posts tagged as expiredfilm"">#expiredfilm</a></p>",184,4
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351936_273322053176223_4989344893651386368_n.jpg,http://picbear.com/media/1623689991773628789_646652893,October 25 2017 - 14:28,October 12 2017 - 06:29,"<p><a href=""http://picbear.com/tag/getclosewithmultiple"" title=""posts tagged as getclosewithmultiple"">#getclosewithmultiple</a> <a href=""http://picbear.com/ijoeel"" title=""ijoeel instagram profile"">@ijoeel</a> [Swipe Left]</p>",166,19
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22351946_111652199592582_8192684859110457344_n.jpg,http://picbear.com/media/1622930359572507267_646652893,October 25 2017 - 14:28,October 11 2017 - 05:19,"<p>Texting <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a></p>",172,9
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22344672_342351342858205_5166314739000672256_n.jpg,http://picbear.com/media/1622357720265323437_646652893,October 25 2017 - 14:28,October 10 2017 - 10:22,"<p>Stressed out <a href=""http://picbear.com/tag/jakartathroughthelens"" title=""posts tagged as jakartathroughthelens"">#jakartathroughthelens</a></p>",191,25
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22351841_867170986778739_739953329580277760_n.jpg,http://picbear.com/media/1621696466152528598_646652893,October 25 2017 - 14:28,October 09 2017 - 12:28,"<p>Blue <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/kodakcolorplus200"" title=""posts tagged as kodakcolorplus200"">#kodakcolorplus200</a></p>",148,5
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c102.0.875.875/22277952_145084552895955_8545574808262279168_n.jpg,http://picbear.com/media/1621453479216640234_646652893,October 25 2017 - 14:28,October 09 2017 - 04:25,"<p><a href=""http://picbear.com/tag/jakartathroughthelens"" title=""posts tagged as jakartathroughthelens"">#jakartathroughthelens</a></p>",187,7
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22344434_1935364526737661_2391024872256962560_n.jpg,http://picbear.com/media/1621081824204015279_646652893,October 25 2017 - 14:28,October 08 2017 - 16:07,"<p>Boy will understand <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a> <a href=""http://picbear.com/tag/expiredfilm"" title=""posts tagged as expiredfilm"">#expiredfilm</a></p>",262,26
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158829_2030496387170362_9171593118020009984_n.jpg,http://picbear.com/media/1620950818423795156_646652893,October 25 2017 - 14:28,October 08 2017 - 11:46,"<p><a href=""http://picbear.com/tag/peopleoftasik"" title=""posts tagged as peopleoftasik"">#peopleoftasik</a></p>",171,3
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22277478_1962253327391657_6037848467617873920_n.jpg,http://picbear.com/media/1620781241639264535_646652893,October 25 2017 - 14:28,October 08 2017 - 06:10,"<p>Passion // Grey <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a> <a href=""http://picbear.com/tag/expiredfilm"" title=""posts tagged as expiredfilm"">#expiredfilm</a></p>",193,6
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c78.0.924.924/22220771_132984807427921_8346096095876612096_n.jpg,http://picbear.com/media/1620329570136074189_646652893,October 25 2017 - 14:28,October 07 2017 - 15:12,"<p><a href=""http://picbear.com/tag/peopleoftasik"" title=""posts tagged as peopleoftasik"">#peopleoftasik</a></p>",168,5
October 25 2017 - 14:27,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22221128_154668175124022_8479154844131655680_n.jpg,http://picbear.com/media/1620195001277837868_646652893,October 25 2017 - 14:28,October 07 2017 - 10:45,"<p>Newspaper with music  <a href=""http://picbear.com/tag/yashicaelectro35"" title=""posts tagged as yashicaelectro35"">#yashicaelectro35</a> <a href=""http://picbear.com/tag/fujic200"" title=""posts tagged as fujic200"">#fujic200</a> <a href=""http://picbear.com/tag/expiredfilm"" title=""posts tagged as expiredfilm"">#expiredfilm</a></p>",188,9
