user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500085_377677622672516_1363490904882544640_n.jpg,http://picbear.com/media/1625862652169218637_145038012,November 06 2017 - 17:26,October 15 2017 - 06:25,"<p>❤️💛💚All beauty, no brains💙💜🖤💗 <a href=""http://picbear.com/tag/jellyfish"" title=""posts tagged as jellyfish"">#jellyfish</a> <a href=""http://picbear.com/tag/chineselanternfestival"" title=""posts tagged as chineselanternfestival"">#chineselanternfestival</a> <a href=""http://picbear.com/tag/dsbg"" title=""posts tagged as dsbg"">#dsbg</a> <a href=""http://picbear.com/tag/belmont"" title=""posts tagged as belmont"">#belmont</a> <a href=""http://picbear.com/tag/nc"" title=""posts tagged as nc"">#nc</a></p>",19,0
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21878871_1889283211321029_1292208161599520768_n.jpg,http://picbear.com/media/1609392068321257335_145038012,November 06 2017 - 17:26,September 22 2017 - 13:01,"<p>""What the hell do you think Leona really puts in that pizza?"" <a href=""http://picbear.com/tag/mysticpizza"" title=""posts tagged as mysticpizza"">#mysticpizza</a> <a href=""http://picbear.com/tag/ct"" title=""posts tagged as ct"">#ct</a> <a href=""http://picbear.com/tag/pizza"" title=""posts tagged as pizza"">#pizza</a> <a href=""http://picbear.com/tag/asliceofheaven"" title=""posts tagged as asliceofheaven"">#asliceofheaven</a></p>",22,0
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1080.1080/21820492_1930012803943583_8504432019453771776_n.jpg,http://picbear.com/media/1608383681873741966_145038012,November 06 2017 - 17:26,September 21 2017 - 03:38,"<p>Harbor views <a href=""http://picbear.com/tag/boats"" title=""posts tagged as boats"">#boats</a> <a href=""http://picbear.com/tag/lighthouse"" title=""posts tagged as lighthouse"">#lighthouse</a> <a href=""http://picbear.com/tag/lobster"" title=""posts tagged as lobster"">#lobster</a> <a href=""http://picbear.com/tag/newlondon"" title=""posts tagged as newlondon"">#newlondon</a> <a href=""http://picbear.com/tag/thamesriver"" title=""posts tagged as thamesriver"">#thamesriver</a> <a href=""http://picbear.com/tag/ct"" title=""posts tagged as ct"">#ct</a></p>",24,7
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.117.937.937/21827693_516079348734986_1247118074507689984_n.jpg,http://picbear.com/media/1606202765470419588_145038012,November 06 2017 - 17:26,September 18 2017 - 03:25,"<p>Make a wish for peace✌🏼🙏🏼🌎#911memorial <a href=""http://picbear.com/tag/nyc"" title=""posts tagged as nyc"">#nyc</a> <a href=""http://picbear.com/tag/oneworld"" title=""posts tagged as oneworld"">#oneworld</a> <a href=""http://picbear.com/tag/oneworldtradecenter"" title=""posts tagged as oneworldtradecenter"">#oneworldtradecenter</a> <a href=""http://picbear.com/tag/1111"" title=""posts tagged as 1111"">#1111</a> <a href=""http://picbear.com/tag/makeawish"" title=""posts tagged as makeawish"">#makeawish</a> <a href=""http://picbear.com/tag/peace"" title=""posts tagged as peace"">#peace</a></p>",23,0
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21827348_470264776691196_3494124734755373056_n.jpg,http://picbear.com/media/1605886093958276919_145038012,November 06 2017 - 17:26,September 17 2017 - 16:56,"<p>Early hours NYC <a href=""http://picbear.com/tag/bar"" title=""posts tagged as bar"">#bar</a> <a href=""http://picbear.com/tag/nyc"" title=""posts tagged as nyc"">#nyc</a> <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a></p>",16,0
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21688800_469336600117958_4644771293969776640_n.jpg,http://picbear.com/media/1605531805763499018_145038012,November 06 2017 - 17:26,September 17 2017 - 05:12,<p>I❤️NY</p>,29,0
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21433844_1581305055222982_1239849495194238976_n.jpg,http://picbear.com/media/1600272747670245867_145038012,November 06 2017 - 17:26,September 09 2017 - 23:03,"<p>good vibrations <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/waves"" title=""posts tagged as waves"">#waves</a></p>",16,3
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968573_113455892711117_8926004100600954880_n.jpg,http://picbear.com/media/1585221622269102701_145038012,November 06 2017 - 17:26,August 20 2017 - 04:39,"<p>De-stressing <a href=""http://picbear.com/tag/breathe"" title=""posts tagged as breathe"">#breathe</a> <a href=""http://picbear.com/tag/painting"" title=""posts tagged as painting"">#painting</a></p>",14,2
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184827_148847985667629_1341816214984327168_n.jpg,http://picbear.com/media/1564575844794352754_145038012,November 06 2017 - 17:26,July 22 2017 - 16:59,"<p>Day in the life of all things green 🌿 <a href=""http://picbear.com/tag/herbaliciousdelicious"" title=""posts tagged as herbaliciousdelicious"">#herbaliciousdelicious</a> <a href=""http://picbear.com/tag/chimmichurri"" title=""posts tagged as chimmichurri"">#chimmichurri</a></p>",18,2
November 06 2017 - 17:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/19932656_327710540984423_7457158777523929088_n.jpg,http://picbear.com/media/1553310903864924725_145038012,November 06 2017 - 17:26,July 07 2017 - 03:58,"<p>Sunset boat ride. So peaceful! <a href=""http://picbear.com/tag/lkn"" title=""posts tagged as lkn"">#lkn</a></p>",28,0
