user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/23416831_709986409192815_5765221668997824512_n.jpg,http://picbear.com/media/1641887070433806765_422378529,November 06 2017 - 18:12,November 06 2017 - 09:03,"<p><a href=""http://picbear.com/tag/mondaymotivation"" title=""posts tagged as mondaymotivation"">#mondaymotivation</a> 🙌🏻 Have faith in yourself. It doesn’t matter how big is the goal, or how difficult the path seems, if you really believe in yourself and you are aware that you can do whatever you commit yourself to do, you’ve already won, the rest is just a matter of time. Don’t be scared of aiming too high, most people fail in life not because they aim too high and miss, but because they aim too low and hit.  Keep your goals out of your reach but not out of your sight 💯 - <a href=""http://picbear.com/tag/motivationmonday"" title=""posts tagged as motivationmonday"">#motivationmonday</a> 🙌🏻 Ten fe en ti mismo.  No importa lo grande que sea el objetivo, ni lo difícil que parezca el camino, si de verdad crees en ti mismo y ers consciente de que puedes hacer cualquier cosa a la que te comprometas, ya has ganado, lo demás es solo cuestión de tiempo.  No tengas miedo de apuntar muy alto, mucha gente fracasa en la vida no porque apuntan muy alto y fallan, sino porque apuntan muy bajo y aciertan.  Mantén objetivos fuera de tu alcance pero no los pierdas de</p>",196,34
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.1080.1080/23160995_155639545171319_7053690159623045120_n.jpg,http://picbear.com/media/1641176222006413652_422378529,November 06 2017 - 18:12,November 05 2017 - 09:31,"<p><a href=""http://picbear.com/tag/physique"" title=""posts tagged as physique"">#physique</a> update!! 💪🏻 Alright so this was me yesterday at 7:30 am, as always first thing in the morning and on an empty stomach, weighing 70,2kg 🙌🏻 I know I’ve already said it one thousand times but...this year’s bulk is going incredibly well😳😳🙏🏻😈 I’m stronger than ever, I’m growing very decently and I’ve not become a ball yet lol I mean, I’m not super lean but hey I’m not a 🐷 neither so pretty happy 😂😂 Current macros: 210 gr protein/410gr CH/92 gr fat (approximately 3300kcal/day) and trying to at least drink 3,5l of water a day.  Just as a reminder, I’m training 6 days week, doing 0 cardio and on a 300/400kcal surplus.  I’ve been bulking for 7 weeks now and honestly I couldn’t be happier with the result😊😊🙈 Need help with your diet and training?! DM me 📩😜 - Actualización del físico!! 💪🏻 Bueno pues este soy yo, foto de ayer a las 7:30 am, como siempre a primera hora de la mañana y con el estómago vacío,</p>",252,51
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.823.823/23164624_137452563577331_62065399868424192_n.jpg,http://picbear.com/media/1640451169560075958_422378529,November 06 2017 - 18:12,November 04 2017 - 09:30,"<p><a href=""http://picbear.com/tag/motivation"" title=""posts tagged as motivation"">#motivation</a> 🙌🏻 “Obstacles don’t have to stop you. If run into a wall, don’t turn around and give up. Figure out how to climb it, go though it or work around it.” - Michael Jordan. Life is supposed to be full of obstacles and challenges. That’s life. Without them it would be called paradise.  As I’ve already said on other posts, it is not what happens to you what matters the most, but how you react to it and what you do when it happens.  Don’t expect to avoid obstacles, train to beat them 💯 - <a href=""http://picbear.com/tag/motivacion"" title=""posts tagged as motivacion"">#motivacion</a> 🙌🏻 “Los obstáculos no te tienen que parar. Si te tropiezas con una pared, no te des la vuelta y te rindas. Encuentra la manera de escalarla, pasar atreves de ella o trabajar con ella.” - Michael Jordan. La vida está llena de obstáculos y desafíos. Así es la vida. Sin ellos le llamaríamos paraíso.  Como ya he dicho en otros posts, lo importante no es lo que te ocurre, si no como reaccionas y que haces cuando ocurre. No esperes poder evitar los</p>",215,40
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c70.0.940.940/23098768_2099298303632185_4344453681551245312_n.jpg,http://picbear.com/media/1639726554915420841_422378529,November 06 2017 - 18:12,November 03 2017 - 09:30,"<p><a href=""http://picbear.com/tag/flexfriday"" title=""posts tagged as flexfriday"">#flexfriday</a> 🙌🏻🙌🏻 Daamn feeling so good at the gym lately...😈💥 Been very worried this week about my lower back again...it started hurting me on Tuesday (warming up for squats lol) and it has been killing me with certain movements, but I’ve been very cautious on every exercise and I’ve been even able to pass the 100kg line on deadlifts again without any pain in that area and moving like nothing so I’m really excited about it 😊🙌🏻 last year my deadlift PR was 160kg...I think this year I’m going to be able to lift a little bit more 😏😏 Hope you have a fantastic weekend fam!! Any interesting plans?! 🙂⬇️ - <a href=""http://picbear.com/tag/flexfriday"" title=""posts tagged as flexfriday"">#flexfriday</a> 🙌🏻🙌🏻 Uffff que bien me siento últimamente en el gimnasio...😈💥 He estado bastante preocupado esta semana por mi zona lumbar de nuevo...me empezó a doler el martes (calentando para hacer Sentadillas lol) y me ha estado matando con ciertos movimientos, pero he tenido much cuidado con todos los ejercicios e incluso</p>",192,21
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c189.0.701.701/23161736_129704567736352_1857682301660430336_n.jpg,http://picbear.com/media/1638988176049771704_422378529,November 06 2017 - 18:12,November 02 2017 - 09:03,"<p>Crunches = abs ?! ‼️🤔 We all do them...it is the most performed ab exercise all over the world, but are they really worth the effort? I’m going to keep it very simple 😉 ➖ 🤔Now before I give you my opinion, you need to understand that it doesn’t exist an  exercise that burns the fat in your stomach, it just doesn’t work like that. If you want to see your abs you have to eliminate the fat that is covering them and you do that mostly by dieting on a calorie deficit (and some other factors). What abs exercises do is training your abdominal muscles, same as bench press does for chest, curls for biceps or squats for legs, but that’s it 🤷🏼‍♂️ ➖ ❓That being said, should you do crunches?! The answer is YES and NO. YES, because it’s an ab exercise and you don’t have to avoid it if you don’t want to; and NO, because there are tons of other abs exercises that are better than regular crunches: hanging leg raises, plank, reverse crunch, weighted decline</p>",237,46
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c19.0.1041.1041/23101758_288454541669091_1492449591457480704_n.jpg,http://picbear.com/media/1638263472082933765_422378529,November 06 2017 - 18:12,November 01 2017 - 09:04,"<p><a href=""http://picbear.com/tag/tb"" title=""posts tagged as tb"">#tb</a> to when the shreds where still loyal 😪😪 I’m on full bulk mode right now 😂😂and btw my deload week has worked perfectly!!! I feel so much fresh, my body is not as exhausted as it was a couple of weeks ago and I’m already moving more weight than ever 💥💥🙌🏻 This is getting pretty interesting 😏😏 can’t wait to see the final numbers of this season 😈 What about you guys? Are you bulking/cutting? Let me know ⬇️😊 - <a href=""http://picbear.com/tag/tb"" title=""posts tagged as tb"">#tb</a> a cuando la definición aún se mantenía 😪😪 Ahora estoy de lleno ya en volumen 😂😂🐷 y por cierto, la semana de descarga ha funcionado a la perfección!! Me siento mucho más fresco, mi cuerpo no está tan agitado como lo estaba hace un par de semanas y ya estoy moviendo más peso que nunca 💥💥🙌🏻 Esto se está poniendo interesante 😏😏 estoy deseando ver los números finales de esta temporada 😈 Y vosotros que? Estáis en volumen/definición? Contadme ⬇️😊</p>",240,38
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c73.0.933.933/23099328_2174787289213953_6940542480320299008_n.jpg,http://picbear.com/media/1637538669524996027_422378529,November 06 2017 - 18:12,October 31 2017 - 09:04,"<p>It’s official!!! I’m getting married ❤️❤️😍 Ever since I meet you I immediately fell in love with you. You are the last thing I think of when I go to sleep and the first thing that comes to my mind when I wake up. You gave sense to my life and I cannot see a future without... Fam, I just wanted to let you know about it 😊 We wish you a fantastic day!! - Marc &amp; Gains (M&amp;G;) ➖➖➖ 😂😂😂😂😂😂 you really thought I was getting married?! I don’t even have a girlfriend lol 😂😂 Did you think I was serious? ⬇️ be honest!! 😜😂 - Es oficial!!! Me caso ❤️❤️😍 Desde que te conocí me enamoré de ti al momento. Eres lo ultimo en lo que pienso cuando me voy a dormir y lo primero que me viene a la cabeza cuando me levanto. Le diste sentido a mi vida y no concibo un futuro sin ti... Fam, solo quería informaros de la noticia 😊 Os deseamos un día fantástico!! - Marc &amp; Gains (M&amp;G;) ➖➖➖ 😂😂😂😂😂😂 De verdad habéis</p>",193,50
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.81.1080.1080/22858040_162242721032302_7164815360300941312_n.jpg,http://picbear.com/media/1636814573338326245_422378529,November 06 2017 - 18:12,October 30 2017 - 09:05,"<p><a href=""http://picbear.com/tag/mondaymotivation"" title=""posts tagged as mondaymotivation"">#mondaymotivation</a> 🙌🏻 The more you think about it, the more obsessed you become with it.  A lot of people think obsession is something bad, even something unhealthy. I don’t. In fact, I think that finding your passion and being obsessed about it is the purpose of life and the key to being successful in any field.  Find your passion, set your priorities, make the sacrifices and go after it. It’s easy: if you don’t go after what you want, you’ll never have it. When you become obsessed with your passion, you become equally obsessed with making it work and seeing it succeed 💯 - <a href=""http://picbear.com/tag/motivationmonday"" title=""posts tagged as motivationmonday"">#motivationmonday</a> 🙌🏻 Cuanto más piensas en ello, más te obsesionas. Mucha gente cree que la obsesión es algo malo, incluso poco saludable. Yo no. De hecho, encontrar tu pasión y obsesionarte con ella es el objetivo de la vida y la clave para tener éxito en cualquier ámbito.  Encuentra tu pasión, prioriza, haz los sacrificios que tengas que hacer y ve a por ello. Es muy fácil: si no</p>",253,49
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.46.1080.1080/22860408_1596136237115703_6535917700173004800_n.jpg,http://picbear.com/media/1636102814528880345_422378529,November 06 2017 - 18:12,October 29 2017 - 09:31,"<p>Deep inside you are resilient, brave and so much stronger and more powerful than your fears.  Keep your head cold and be aware that your are capable of anything. Believe in yourself, cause no one else will.  Time to put in some work 💯💪🏻 Hope you are having a fantastic weekend fam!! 😊 - En tu interior eres fuerte, valiente y mucho más duro y poderoso que tus miedos. Mantén la cabeza fría y se consciente de que eres capaz de cualquier cosa. Cree en ti mismo, porque nadie más lo va a hacer. Hora de currar un poco 💯💪🏻 Espero que estéis teniendo un finde estupendo fam!! 😊</p>",234,42
November 06 2017 - 18:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22794221_124248684921981_5980319609775980544_n.jpg,http://picbear.com/media/1635347912361874080_422378529,November 06 2017 - 18:12,October 28 2017 - 08:31,"<p>Will I compete one day?! 🤔🤔 I’ve been into fitness for a while now (I’ve been taking it seriously since 2015) and I’ve been wondering if I should compete or not for a long time now 🤷🏼‍♂️ I always say that the only person you have to be better than is the person you were yesterday, but that doesn’t change the fact that being on stage is something that I feel that every fitness passionate should have.  I get chills just by visualizing me on stage 🙈🙈😊😊 so you know my answer to that question is hell yes 😈😈 What about you? Do you want to compete one day?! Let me know in the comments ⬇️😉😉 - Competiré algún día?! 🤔😈 Ya llevo en el fitness durante un tiempo (me lo llevo tomando en serio desde el 2015) y llevo pensando sobre si debería competir o no durante bastante tiempo 🤷🏼‍♂️ Siempre digo que la única que persona a la que tienes que superar es a la persona que eras ayer, pero eso no cambia el hecho de que subirte</p>",224,34
