user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161669_1469665609768928_5737131242852188160_n.jpg,http://picbear.com/media/1641651889425900815_1916295492,November 06 2017 - 17:16,November 06 2017 - 01:16,"<p>..... 👀 <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a> <a href=""http://picbear.com/tag/art"" title=""posts tagged as art"">#art</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/animal"" title=""posts tagged as animal"">#animal</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/look"" title=""posts tagged as look"">#look</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/cat"" title=""posts tagged as cat"">#cat</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a></p>",26,5
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280141_886914398144049_3205193677638991872_n.jpg,http://picbear.com/media/1640923832188767673_1916295492,November 06 2017 - 17:16,November 05 2017 - 01:09,"<p>....readyyy  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a>  <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/face"" title=""posts tagged as face"">#face</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/italy"" title=""posts tagged as italy"">#italy</a> <a href=""http://picbear.com/tag/shadow"" title=""posts tagged as shadow"">#shadow</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/eyes"" title=""posts tagged as eyes"">#eyes</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a></p>",29,5
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23161036_128757204491854_5767351504625205248_n.jpg,http://picbear.com/media/1640181844141278385_1916295492,November 06 2017 - 17:16,November 04 2017 - 00:35,"<p>.....light  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/earthfocus"" title=""posts tagged as earthfocus"">#earthfocus</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/island"" title=""posts tagged as island"">#island</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/moon"" title=""posts tagged as moon"">#moon</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a></p>",38,6
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23099096_521101888256556_2319166702140522496_n.jpg,http://picbear.com/media/1639455632884312480_1916295492,November 06 2017 - 17:16,November 03 2017 - 00:32,"<p>.......hiii  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a>  <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/white"" title=""posts tagged as white"">#white</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/face"" title=""posts tagged as face"">#face</a> <a href=""http://picbear.com/tag/shadow"" title=""posts tagged as shadow"">#shadow</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/blackandwhite"" title=""posts tagged as blackandwhite"">#blackandwhite</a> <a href=""http://picbear.com/tag/italy"" title=""posts tagged as italy"">#italy</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a></p>",34,8
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23099208_2023870891181778_4632675021091766272_n.jpg,http://picbear.com/media/1638722348999046047_1916295492,November 06 2017 - 17:16,November 02 2017 - 00:15,"<p>.....view  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/clouds"" title=""posts tagged as clouds"">#clouds</a> <a href=""http://picbear.com/tag/moon"" title=""posts tagged as moon"">#moon</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a></p>",60,6
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860226_305232923292759_5800073477473959936_n.jpg,http://picbear.com/media/1637996877583946989_1916295492,November 06 2017 - 17:16,November 01 2017 - 00:14,"<p>...🎃🎃🎃 <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a>  <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/halloween"" title=""posts tagged as halloween"">#halloween</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/black"" title=""posts tagged as black"">#black</a> <a href=""http://picbear.com/tag/day"" title=""posts tagged as day"">#day</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/face"" title=""posts tagged as face"">#face</a> <a href=""http://picbear.com/tag/shadow"" title=""posts tagged as shadow"">#shadow</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/blackandwhite"" title=""posts tagged as blackandwhite"">#blackandwhite</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a></p>",35,4
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23098705_311746585972577_5172187724525862912_n.jpg,http://picbear.com/media/1637298921776015236_1916295492,November 06 2017 - 17:16,October 31 2017 - 01:07,"<p>......light  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a>  <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/earthfocus"" title=""posts tagged as earthfocus"">#earthfocus</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/shadow"" title=""posts tagged as shadow"">#shadow</a> <a href=""http://picbear.com/tag/street"" title=""posts tagged as street"">#street</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a></p>",30,2
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857771_100793550692148_5897728221897555968_n.jpg,http://picbear.com/media/1636574063282832358_1916295492,November 06 2017 - 17:16,October 30 2017 - 01:07,"<p>No one ever became extremely wicked suddenly  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a>  <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/foliage"" title=""posts tagged as foliage"">#foliage</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/island"" title=""posts tagged as island"">#island</a></p>",41,6
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793980_132573474166776_4250804745750446080_n.jpg,http://picbear.com/media/1635818278424516429_1916295492,November 06 2017 - 17:16,October 29 2017 - 00:05,"<p>.....sea <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a></p>",48,5
November 06 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793655_182260409005438_3661864669615751168_n.jpg,http://picbear.com/media/1635080310248282351_1916295492,November 06 2017 - 17:16,October 27 2017 - 23:39,"<p>....hiii  <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/tbt"" title=""posts tagged as tbt"">#tbt</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a>  <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/light"" title=""posts tagged as light"">#light</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/tag/face"" title=""posts tagged as face"">#face</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/blackandwhite"" title=""posts tagged as blackandwhite"">#blackandwhite</a> <a href=""http://picbear.com/tag/eyes"" title=""posts tagged as eyes"">#eyes</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/photo"" title=""posts tagged as photo"">#photo</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a></p>",29,3
