user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22709122_1948150835472251_4136018618028654592_n.jpg,http://picbear.com/media/1630585315646739182_2957424517,October 25 2017 - 14:17,October 21 2017 - 18:48,"<p><a href=""http://picbear.com/tag/zulugirl"" title=""posts tagged as zulugirl"">#zulugirl</a> <a href=""http://picbear.com/tag/joburg"" title=""posts tagged as joburg"">#joburg</a></p>",77,1
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22580392_922452451254454_1690874572271779840_n.jpg,http://picbear.com/media/1628440441744891345_2957424517,October 25 2017 - 14:17,October 18 2017 - 19:47,"<p>Random Snap <a href=""http://picbear.com/tag/zulugirl"" title=""posts tagged as zulugirl"">#zulugirl</a> <a href=""http://picbear.com/tag/black"" title=""posts tagged as black"">#black</a> <a href=""http://picbear.com/tag/yellowbone"" title=""posts tagged as yellowbone"">#yellowbone</a> LoL <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a></p>",55,0
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22580738_1127698024033408_1448255129600917504_n.jpg,http://picbear.com/media/1628270792558324635_2957424517,October 25 2017 - 14:17,October 18 2017 - 14:10,<p>I Love Me... 💞</p>,91,4
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22580358_1903854629630959_1607559130216660992_n.jpg,http://picbear.com/media/1627540423236297348_2957424517,October 25 2017 - 14:18,October 17 2017 - 13:59,"<p><a href=""http://picbear.com/tag/melody"" title=""posts tagged as melody"">#melody</a></p>",86,0
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.67.540.540/22427310_156982018128883_6430561632711081984_n.jpg,http://picbear.com/media/1625613633974547402_2957424517,October 25 2017 - 14:18,October 14 2017 - 22:11,"<p>My African Ego <a href=""http://picbear.com/tag/zulugirl"" title=""posts tagged as zulugirl"">#zulugirl</a> <a href=""http://picbear.com/tag/africanhair"" title=""posts tagged as africanhair"">#africanhair</a> <a href=""http://picbear.com/tag/afro"" title=""posts tagged as afro"">#afro</a> <a href=""http://picbear.com/tag/natural"" title=""posts tagged as natural"">#natural</a></p>",54,0
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280969_908043316009475_576226483312263168_n.jpg,http://picbear.com/media/1622781116397457718_2957424517,October 25 2017 - 14:18,October 11 2017 - 00:23,"<p><a href=""http://picbear.com/tag/zulugirl"" title=""posts tagged as zulugirl"">#zulugirl</a></p>",54,6
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/22280161_680449578746142_9136445485081427968_n.jpg,http://picbear.com/media/1622038720655240424_2957424517,October 25 2017 - 14:18,October 09 2017 - 23:48,<p>💞</p>,69,1
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.959.959/22280161_277517972759775_738808291299164160_n.jpg,http://picbear.com/media/1622037931337481760_2957424517,October 25 2017 - 14:18,October 09 2017 - 23:46,"<p><a href=""http://picbear.com/tag/zulugirl"" title=""posts tagged as zulugirl"">#zulugirl</a></p>",53,2
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069679_678974525628444_6294863893340618752_n.jpg,http://picbear.com/media/1615292393133089450_2957424517,October 25 2017 - 14:18,September 30 2017 - 16:24,<p>Hellorr 👋</p>,66,0
October 25 2017 - 13:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980604_150280062236829_4160464893272653824_n.jpg,http://picbear.com/media/1613045521442087302_2957424517,October 25 2017 - 14:18,September 27 2017 - 14:00,"<p><a href=""http://picbear.com/tag/lazy"" title=""posts tagged as lazy"">#lazy</a>_day</p>",85,3
