user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.1079.1079/22582417_160649437855888_5903984224016269312_n.jpg,http://picbear.com/media/1628559921879422222_401153553,October 25 2017 - 15:25,October 18 2017 - 23:44,"<p>‘Ellos no van a mirar atrás, somos hijos del mal...’ ❤️😈🎵</p>",377,5
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c148.0.784.784/22636971_135984353716031_4976735045763989504_n.jpg,http://picbear.com/media/1628162943387277686_401153553,October 25 2017 - 15:25,October 18 2017 - 10:36,<p>🤔😎❤️✌️</p>,737,3
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.785.785/22580103_786472231560857_7866224115768623104_n.jpg,http://picbear.com/media/1626357425345796416_401153553,October 25 2017 - 15:25,October 15 2017 - 22:48,"<p>Domingos diferentes en buena compañía. <a href=""http://picbear.com/tag/guerreros"" title=""posts tagged as guerreros"">#guerreros</a> <a href=""http://picbear.com/tag/segovia"" title=""posts tagged as segovia"">#segovia</a> ❤️✌️</p>",322,1
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/22500556_1822447271129245_4974520741014798336_n.jpg,http://picbear.com/media/1624855731327764815_401153553,October 25 2017 - 15:25,October 13 2017 - 21:05,<p>🤔😎❤️✌️</p>,336,9
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c141.0.797.797/22500210_205490183325597_4250330705915019264_n.jpg,http://picbear.com/media/1619900437229372324_401153553,October 25 2017 - 15:25,October 07 2017 - 01:00,<p>¡Sumamos! 2️⃣2️⃣ 🎂❤️</p>,294,62
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582263_1535864339810025_6087328595401768960_n.jpg,http://picbear.com/media/1616749201495912173_401153553,October 25 2017 - 15:25,October 02 2017 - 16:39,<p>🤔👀🏞️</p>,474,9
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22580838_516576095356750_8661418223788359680_n.jpg,http://picbear.com/media/1611617687816857182_401153553,October 25 2017 - 15:25,September 25 2017 - 14:43,<p>Come on guys! 😎❤️💪</p>,309,7
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.479.479/22582296_1514201581967629_1425450206173855744_n.jpg,http://picbear.com/media/1608209422114162487_401153553,October 25 2017 - 15:25,September 20 2017 - 21:52,"<p><a href=""http://picbear.com/tag/segovia"" title=""posts tagged as segovia"">#segovia</a> ❤️🌇🌍💫</p>",316,9
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c175.0.730.730/22500392_384385075329327_135626125085769728_n.jpg,http://picbear.com/media/1607396426546924167_401153553,October 25 2017 - 15:25,September 19 2017 - 18:56,"<p>📸✌️🎤 <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/_melendioficial_"" title=""_melendioficial_ instagram profile"">@_melendioficial_</a> (@get_repost) ・・・ <a href=""http://picbear.com/tag/quítatelasgafastour"" title=""posts tagged as quítatelasgafastour"">#quítatelasgafastour</a> www.melendioficial.com/conciertos</p>",323,1
October 25 2017 - 15:25,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22581819_305971119885572_1226754938772652032_n.jpg,http://picbear.com/media/1605000829726370566_401153553,October 25 2017 - 15:25,September 16 2017 - 11:37,"<p>Hoy toca felicitar a una persona increíble que significa mucho para mí, por sus 18. Amiga, compañera de fiestas, la más guapa de Duruelo y varias cosas más. Las fiestas contigo son de lo mejor, gracias por tanto ¡Muchas felicidades <a href=""http://picbear.com/patriciaripoll_"" title=""patriciaripoll_ instagram profile"">@patriciaripoll_</a> ! Te quiero ❤️</p>",266,1
