user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582456_1777188745907866_5154903178398924800_n.jpg,http://picbear.com/media/1628032593915881625_3517377274,October 25 2017 - 14:46,October 18 2017 - 06:17,<p>Wish all the best</p>,20,3
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227646_119664645431179_3148541414032277504_n.jpg,http://picbear.com/media/1595045966885193720_3517377274,October 25 2017 - 14:46,September 02 2017 - 17:58,"<p>TERLINTAS INGIN LUPA INGATAN AGAR TERLUPAKAN SEMUANYA..!! <a href=""http://picbear.com/tag/fol"" title=""posts tagged as fol"">#fol</a> <a href=""http://picbear.com/tag/r"" title=""posts tagged as r"">#r</a> <a href=""http://picbear.com/tag/b"" title=""posts tagged as b"">#b</a> <a href=""http://picbear.com/tag/m"" title=""posts tagged as m"">#m</a> <a href=""http://picbear.com/tag/a"" title=""posts tagged as a"">#a</a> <a href=""http://picbear.com/tag/b"" title=""posts tagged as b"">#b</a> <a href=""http://picbear.com/tag/g"" title=""posts tagged as g"">#g</a> <a href=""http://picbear.com/tag/i"" title=""posts tagged as i"">#i</a> <a href=""http://picbear.com/tag/j"" title=""posts tagged as j"">#j</a> <a href=""http://picbear.com/tag/l"" title=""posts tagged as l"">#l</a> <a href=""http://picbear.com/tag/m"" title=""posts tagged as m"">#m</a> <a href=""http://picbear.com/tag/n"" title=""posts tagged as n"">#n</a></p>",13,2
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20393846_107761566566621_4536796043781603328_n.jpg,http://picbear.com/media/1570444854127617272_3517377274,October 25 2017 - 14:46,July 30 2017 - 19:20,"<p>Kapanlah???😏😘😘😘😘😘 <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/underwaterphotography"" title=""posts tagged as underwaterphotography"">#underwaterphotography</a> <a href=""http://picbear.com/tag/losangeles"" title=""posts tagged as losangeles"">#losangeles</a> <a href=""http://picbear.com/tag/truelove"" title=""posts tagged as truelove"">#truelove</a> <a href=""http://picbear.com/tag/onlineshopindonesia"" title=""posts tagged as onlineshopindonesia"">#onlineshopindonesia</a> <a href=""http://picbear.com/tag/puertorico"" title=""posts tagged as puertorico"">#puertorico</a> <a href=""http://picbear.com/tag/lovenature"" title=""posts tagged as lovenature"">#lovenature</a> <a href=""http://picbear.com/tag/bestfriend"" title=""posts tagged as bestfriend"">#bestfriend</a> <a href=""http://picbear.com/tag/universalstudios"" title=""posts tagged as universalstudios"">#universalstudios</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/frenchiesofinstagram"" title=""posts tagged as frenchiesofinstagram"">#frenchiesofinstagram</a> <a href=""http://picbear.com/tag/friendshipgoals"" title=""posts tagged as friendshipgoals"">#friendshipgoals</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/followback"" title=""posts tagged as followback"">#followback</a></p>",15,0
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19932898_257882774694018_255119979345608704_n.jpg,http://picbear.com/media/1555854533721025106_3517377274,October 25 2017 - 14:46,July 10 2017 - 16:12,,10,0
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19534802_1782320482058911_9169492604134359040_n.jpg,http://picbear.com/media/1547931852287563697_3517377274,October 25 2017 - 14:46,June 29 2017 - 17:51,<p>Cukup dinikmati ajalah???</p>,19,0
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18723696_135557230335792_8520472992159891456_n.jpg,http://picbear.com/media/1530237157585946957_3517377274,October 25 2017 - 14:47,June 05 2017 - 07:55,<p>Bahagia dengan yang sekarang??</p>,16,0
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17934596_1969020293331271_6726591368824619008_n.jpg,http://picbear.com/media/1512360585667532487_3517377274,October 25 2017 - 14:47,May 11 2017 - 15:57,<p>Cuma segini adanya!!!!no caption</p>,17,0
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15535173_759109837574196_5689264442223624192_n.jpg,http://picbear.com/media/1416074744722433383_3517377274,October 25 2017 - 14:47,December 29 2016 - 19:34,"<p>Waaauuu AMAZING..😊😊😊😊#ik <a href=""http://picbear.com/tag/painting"" title=""posts tagged as painting"">#painting</a> <a href=""http://picbear.com/tag/p"" title=""posts tagged as p"">#p</a> <a href=""http://picbear.com/tag/ikea"" title=""posts tagged as ikea"">#ikea</a> <a href=""http://picbear.com/tag/huntingtonbeach"" title=""posts tagged as huntingtonbeach"">#huntingtonbeach</a> <a href=""http://picbear.com/tag/hungover"" title=""posts tagged as hungover"">#hungover</a> <a href=""http://picbear.com/tag/hungover"" title=""posts tagged as hungover"">#hungover</a> <a href=""http://picbear.com/tag/hungergames"" title=""posts tagged as hungergames"">#hungergames</a> <a href=""http://picbear.com/tag/pencil"" title=""posts tagged as pencil"">#pencil</a> <a href=""http://picbear.com/tag/followback"" title=""posts tagged as followback"">#followback</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/guys"" title=""posts tagged as guys"">#guys</a> <a href=""http://picbear.com/tag/günaydın"" title=""posts tagged as günaydın"">#günaydın</a> <a href=""http://picbear.com/tag/guyswithtattoos"" title=""posts tagged as guyswithtattoos"">#guyswithtattoos</a> <a href=""http://picbear.com/tag/ekploreindonesia"" title=""posts tagged as ekploreindonesia"">#ekploreindonesia</a> <a href=""http://picbear.com/tag/catsofinstagram"" title=""posts tagged as catsofinstagram"">#catsofinstagram</a> <a href=""http://picbear.com/tag/interracial"" title=""posts tagged as interracial"">#interracial</a> <a href=""http://picbear.com/tag/intagram"" title=""posts tagged as intagram"">#intagram</a> <a href=""http://picbear.com/tag/intagood"" title=""posts tagged as intagood"">#intagood</a> <a href=""http://picbear.com/tag/intagramers"" title=""posts tagged as intagramers"">#intagramers</a> <a href=""http://picbear.com/tag/rough"" title=""posts tagged as rough"">#rough</a> <a href=""http://picbear.com/tag/rosherun"" title=""posts tagged as rosherun"">#rosherun</a> <a href=""http://picbear.com/tag/rollercoaster"" title=""posts tagged as rollercoaster"">#rollercoaster</a> <a href=""http://picbear.com/tag/temple"" title=""posts tagged as temple"">#temple</a> <a href=""http://picbear.com/tag/teachersfollowteachers"" title=""posts tagged as teachersfollowteachers"">#teachersfollowteachers</a></p>",26,1
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15802415_1886468421597580_8326913380363272192_n.jpg,http://picbear.com/media/1415366379952397832_3517377274,October 25 2017 - 14:47,December 28 2016 - 20:07,"<p>Pandanglah jauh kedepan.pasti kan kau temukan tujuan hidupmu yang sebenarnya😱😱😱😱😱😱 <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/like4follow"" title=""posts tagged as like4follow"">#like4follow</a> <a href=""http://picbear.com/tag/jalapenopoppers"" title=""posts tagged as jalapenopoppers"">#jalapenopoppers</a> <a href=""http://picbear.com/tag/jalan2"" title=""posts tagged as jalan2"">#jalan2</a> <a href=""http://picbear.com/tag/jalan2man"" title=""posts tagged as jalan2man"">#jalan2man</a> <a href=""http://picbear.com/tag/puppyoftheday"" title=""posts tagged as puppyoftheday"">#puppyoftheday</a> <a href=""http://picbear.com/tag/eksplorindonesia"" title=""posts tagged as eksplorindonesia"">#eksplorindonesia</a> <a href=""http://picbear.com/tag/ekploreindonesia"" title=""posts tagged as ekploreindonesia"">#ekploreindonesia</a> <a href=""http://picbear.com/tag/ekp"" title=""posts tagged as ekp"">#ekp</a> <a href=""http://picbear.com/tag/kanyewest"" title=""posts tagged as kanyewest"">#kanyewest</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/streetphotography"" title=""posts tagged as streetphotography"">#streetphotography</a> <a href=""http://picbear.com/tag/starwars"" title=""posts tagged as starwars"">#starwars</a> <a href=""http://picbear.com/tag/starbucks"" title=""posts tagged as starbucks"">#starbucks</a> <a href=""http://picbear.com/tag/st"" title=""posts tagged as st"">#st</a> <a href=""http://picbear.com/tag/hunting"" title=""posts tagged as hunting"">#hunting</a> <a href=""http://picbear.com/tag/hudabeauty"" title=""posts tagged as hudabeauty"">#hudabeauty</a> <a href=""http://picbear.com/tag/hunterboots"" title=""posts tagged as hunterboots"">#hunterboots</a> <a href=""http://picbear.com/tag/hungover"" title=""posts tagged as hungover"">#hungover</a> <a href=""http://picbear.com/tag/overwatch"" title=""posts tagged as overwatch"">#overwatch</a> <a href=""http://picbear.com/tag/overthekneeboots"" title=""posts tagged as overthekneeboots"">#overthekneeboots</a> <a href=""http://picbear.com/tag/pa"" title=""posts tagged as pa"">#pa</a> <a href=""http://picbear.com/tag/raiders"" title=""posts tagged as raiders"">#raiders</a> <a href=""http://picbear.com/tag/r"" title=""posts tagged as r"">#r</a></p>",33,0
October 25 2017 - 14:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15802162_991693147641743_686037252198891520_n.jpg,http://picbear.com/media/1415306591121804032_3517377274,October 25 2017 - 14:47,December 28 2016 - 18:08,"<p>Keindahan alam yang menakjubkan..😎terimakasih kuasamu ya ALLAH SWT..😇😇😇😇 <a href=""http://picbear.com/tag/lifequotes"" title=""posts tagged as lifequotes"">#lifequotes</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/like4follow"" title=""posts tagged as like4follow"">#like4follow</a> <a href=""http://picbear.com/tag/jalanjalan"" title=""posts tagged as jalanjalan"">#jalanjalan</a> <a href=""http://picbear.com/tag/ceria"" title=""posts tagged as ceria"">#ceria</a> <a href=""http://picbear.com/tag/louistomlinson"" title=""posts tagged as louistomlinson"">#louistomlinson</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/ceritajogja"" title=""posts tagged as ceritajogja"">#ceritajogja</a> <a href=""http://picbear.com/tag/anime"" title=""posts tagged as anime"">#anime</a> <a href=""http://picbear.com/tag/analog"" title=""posts tagged as analog"">#analog</a> <a href=""http://picbear.com/tag/analogphotography"" title=""posts tagged as analogphotography"">#analogphotography</a> <a href=""http://picbear.com/tag/analoguephotography"" title=""posts tagged as analoguephotography"">#analoguephotography</a> <a href=""http://picbear.com/tag/jewelry"" title=""posts tagged as jewelry"">#jewelry</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/günaydın"" title=""posts tagged as günaydın"">#günaydın</a> <a href=""http://picbear.com/tag/gülümse"" title=""posts tagged as gülümse"">#gülümse</a> <a href=""http://picbear.com/tag/kärlek"" title=""posts tagged as kärlek"">#kärlek</a></p>",46,2
