user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.612.612/22580630_1722886104673378_3622750892077350912_n.jpg,http://picbear.com/media/1627570279432573622_6197056951,October 25 2017 - 17:02,October 17 2017 - 14:58,"<p>Follow <a href=""http://picbear.com/chawla_nishtha"" title=""chawla_nishtha instagram profile"">@chawla_nishtha</a></p>",1188,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22637166_290612628106881_8372088688196190208_n.jpg,http://picbear.com/media/1627551564481627776_6197056951,October 25 2017 - 17:02,October 17 2017 - 14:21,<p>Follow @ashish.78</p>,1153,1
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c57.0.498.498/22582125_1028862750587330_4688214952593326080_n.jpg,http://picbear.com/media/1627394784191330771_6197056951,October 25 2017 - 17:02,October 17 2017 - 09:09,<p>Follow @_divyank.sharma</p>,895,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c122.0.396.396/22639035_769999256522733_680432607640420352_n.jpg,http://picbear.com/media/1627070938649361121_6197056951,October 25 2017 - 17:02,October 16 2017 - 22:26,"<p>Follow tyagi boy <a href=""http://picbear.com/sarthak_tyagi12"" title=""sarthak_tyagi12 instagram profile"">@sarthak_tyagi12</a></p>",887,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.80.640.640/22637635_203330960208986_3302151082582474752_n.jpg,http://picbear.com/media/1627016800292968338_6197056951,October 25 2017 - 17:02,October 16 2017 - 20:38,"<p>Follow the beauty 👑 <a href=""http://picbear.com/janita_longiany_"" title=""janita_longiany_ instagram profile"">@janita_longiany_</a></p>",986,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c107.0.426.426/22580960_108510653245207_6399543125496299520_n.jpg,http://picbear.com/media/1626923396011856803_6197056951,October 25 2017 - 17:02,October 16 2017 - 17:33,"<p>Follow <a href=""http://picbear.com/thakral_raghav_2906"" title=""thakral_raghav_2906 instagram profile"">@thakral_raghav_2906</a></p>",883,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c107.0.426.426/22582177_1921288701527797_4137741956476305408_n.jpg,http://picbear.com/media/1626922645575257184_6197056951,October 25 2017 - 17:02,October 16 2017 - 17:31,"<p>Follow afzal boy <a href=""http://picbear.com/hammadafzal59"" title=""hammadafzal59 instagram profile"">@hammadafzal59</a></p>",880,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c107.0.426.426/22638912_311293542680474_3658660190221238272_n.jpg,http://picbear.com/media/1626887837222671848_6197056951,October 25 2017 - 17:02,October 16 2017 - 16:22,"<p>Follow pandit boy <a href=""http://picbear.com/chakshupandit"" title=""chakshupandit instagram profile"">@chakshupandit</a></p>",823,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22582485_1368595023251575_3522438645229289472_n.jpg,http://picbear.com/media/1626858008565665759_6197056951,October 25 2017 - 17:02,October 16 2017 - 15:23,"<p>Follow punjab de putaar <a href=""http://picbear.com/ashmit_singh__"" title=""ashmit_singh__ instagram profile"">@ashmit_singh__</a></p>",904,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c107.0.426.426/22582475_745676835616056_9054137041058529280_n.jpg,http://picbear.com/media/1626857038926342709_6197056951,October 25 2017 - 17:02,October 16 2017 - 15:21,"<p>Follow the photographer <a href=""http://picbear.com/chirag_inst"" title=""chirag_inst instagram profile"">@chirag_inst</a></p>",880,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.80.640.640/22580093_199593537250199_8927912960160956416_n.jpg,http://picbear.com/media/1626836208754530707_6197056951,October 25 2017 - 17:02,October 16 2017 - 14:40,"<p>Follow the shopaholic girl <a href=""http://picbear.com/agarwal__kli"" title=""agarwal__kli instagram profile"">@agarwal__kli</a></p>",906,5
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c35.0.541.541/22580400_178490179378408_8670434107466973184_n.jpg,http://picbear.com/media/1626829036746239068_6197056951,October 25 2017 - 17:02,October 16 2017 - 14:25,"<p>Follow <a href=""http://picbear.com/the_football_loverr_11"" title=""the_football_loverr_11 instagram profile"">@the_football_loverr_11</a> _11</p>",934,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22581979_1941219036138576_9213997746745245696_n.jpg,http://picbear.com/media/1626822157676745035_6197056951,October 25 2017 - 17:02,October 16 2017 - 14:12,"<p>Follow the tyagi boy <a href=""http://picbear.com/rishu_o7_"" title=""rishu_o7_ instagram profile"">@rishu_o7_</a></p>",1341,0
October 25 2017 - 17:02,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22581018_1917820875211117_6394897461235679232_n.jpg,http://picbear.com/media/1626815725652874584_6197056951,October 25 2017 - 17:02,October 16 2017 - 13:59,<p>Follow the stylish boy who looks cute but naughty too❤ @aj.official04</p>,1321,0
