user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23098669_166717133913057_6332792070926761984_n.jpg,http://picbear.com/media/1639225540203176167_4019965102,November 06 2017 - 16:53,November 02 2017 - 16:55,"<p>Shangrilla resorts Skardu |  Land of the Giants. . . . <a href=""http://picbear.com/tag/skardu"" title=""posts tagged as skardu"">#skardu</a> <a href=""http://picbear.com/tag/shangrila"" title=""posts tagged as shangrila"">#shangrila</a> <a href=""http://picbear.com/tag/shangrillaresortskardu"" title=""posts tagged as shangrillaresortskardu"">#shangrillaresortskardu</a> <a href=""http://picbear.com/tag/kachoralake"" title=""posts tagged as kachoralake"">#kachoralake</a> <a href=""http://picbear.com/tag/water"" title=""posts tagged as water"">#water</a> <a href=""http://picbear.com/tag/reflection"" title=""posts tagged as reflection"">#reflection</a> <a href=""http://picbear.com/tag/mountains"" title=""posts tagged as mountains"">#mountains</a> <a href=""http://picbear.com/tag/giants"" title=""posts tagged as giants"">#giants</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/serene"" title=""posts tagged as serene"">#serene</a> <a href=""http://picbear.com/tag/tranquility"" title=""posts tagged as tranquility"">#tranquility</a> <a href=""http://picbear.com/tag/bench"" title=""posts tagged as bench"">#bench</a> <a href=""http://picbear.com/tag/grass"" title=""posts tagged as grass"">#grass</a> <a href=""http://picbear.com/tag/bright"" title=""posts tagged as bright"">#bright</a> <a href=""http://picbear.com/tag/sunlightonmountains"" title=""posts tagged as sunlightonmountains"">#sunlightonmountains</a> <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a> <a href=""http://picbear.com/tag/nabeelkhanphotography"" title=""posts tagged as nabeelkhanphotography"">#nabeelkhanphotography</a></p>",57,5
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23161409_388347651586484_4928806651009433600_n.jpg,http://picbear.com/media/1638616644266706545_4019965102,November 06 2017 - 16:53,November 01 2017 - 20:45,"<p>The most serene place . . . <a href=""http://picbear.com/tag/taobutt"" title=""posts tagged as taobutt"">#taobutt</a> <a href=""http://picbear.com/tag/kahsmir"" title=""posts tagged as kahsmir"">#kahsmir</a> <a href=""http://picbear.com/tag/pakistan"" title=""posts tagged as pakistan"">#pakistan</a> <a href=""http://picbear.com/tag/river"" title=""posts tagged as river"">#river</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/clouds"" title=""posts tagged as clouds"">#clouds</a> <a href=""http://picbear.com/tag/blueksy"" title=""posts tagged as blueksy"">#blueksy</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/rocks"" title=""posts tagged as rocks"">#rocks</a> <a href=""http://picbear.com/tag/besplace"" title=""posts tagged as besplace"">#besplace</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a> <a href=""http://picbear.com/tag/nabeelkhanphotography"" title=""posts tagged as nabeelkhanphotography"">#nabeelkhanphotography</a> <a href=""http://picbear.com/tag/watchfrommyeyes"" title=""posts tagged as watchfrommyeyes"">#watchfrommyeyes</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/instatravel"" title=""posts tagged as instatravel"">#instatravel</a> <a href=""http://picbear.com/tag/bridge"" title=""posts tagged as bridge"">#bridge</a> <a href=""http://picbear.com/tag/woodenbridge"" title=""posts tagged as woodenbridge"">#woodenbridge</a></p>",63,8
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23161431_153152148760510_1873100461158957056_n.jpg,http://picbear.com/media/1638305472569032885_4019965102,November 06 2017 - 16:53,November 01 2017 - 10:27,"<p>Reflections . . . <a href=""http://picbear.com/tag/reflections"" title=""posts tagged as reflections"">#reflections</a> <a href=""http://picbear.com/tag/water"" title=""posts tagged as water"">#water</a> <a href=""http://picbear.com/tag/clearwater"" title=""posts tagged as clearwater"">#clearwater</a> <a href=""http://picbear.com/tag/boats"" title=""posts tagged as boats"">#boats</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/mountains"" title=""posts tagged as mountains"">#mountains</a> <a href=""http://picbear.com/tag/rocks"" title=""posts tagged as rocks"">#rocks</a> <a href=""http://picbear.com/tag/bluesky"" title=""posts tagged as bluesky"">#bluesky</a> <a href=""http://picbear.com/tag/calm"" title=""posts tagged as calm"">#calm</a> <a href=""http://picbear.com/tag/brightsunnyday"" title=""posts tagged as brightsunnyday"">#brightsunnyday</a> <a href=""http://picbear.com/tag/upperkachuralake"" title=""posts tagged as upperkachuralake"">#upperkachuralake</a> <a href=""http://picbear.com/tag/skardu"" title=""posts tagged as skardu"">#skardu</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/pakistan"" title=""posts tagged as pakistan"">#pakistan</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/nabeelkhanphotography"" title=""posts tagged as nabeelkhanphotography"">#nabeelkhanphotography</a> <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a> <a href=""http://picbear.com/tag/instapicture"" title=""posts tagged as instapicture"">#instapicture</a></p>",80,11
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23098521_157467274991898_7362026480278175744_n.jpg,http://picbear.com/media/1637937453875379750_4019965102,November 06 2017 - 16:53,October 31 2017 - 22:16,"<p>Lost in the woods. . . . <a href=""http://picbear.com/tag/nabeelkhanphotography"" title=""posts tagged as nabeelkhanphotography"">#nabeelkhanphotography</a> <a href=""http://picbear.com/tag/lost"" title=""posts tagged as lost"">#lost</a> <a href=""http://picbear.com/tag/woods"" title=""posts tagged as woods"">#woods</a> <a href=""http://picbear.com/tag/hiking"" title=""posts tagged as hiking"">#hiking</a> <a href=""http://picbear.com/tag/blackandwhitephoto"" title=""posts tagged as blackandwhitephoto"">#blackandwhitephoto</a> <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a> <a href=""http://picbear.com/tag/rocks"" title=""posts tagged as rocks"">#rocks</a> <a href=""http://picbear.com/tag/brightsunnyday"" title=""posts tagged as brightsunnyday"">#brightsunnyday</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/panjpeerrocks"" title=""posts tagged as panjpeerrocks"">#panjpeerrocks</a></p>",63,7
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23101164_226657247870685_8914703380220215296_n.jpg,http://picbear.com/media/1637632694362586678_4019965102,November 06 2017 - 16:53,October 31 2017 - 12:10,"<p>Clouds are always best over the mountains <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/mountains"" title=""posts tagged as mountains"">#mountains</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/bluesky"" title=""posts tagged as bluesky"">#bluesky</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/hike"" title=""posts tagged as hike"">#hike</a> <a href=""http://picbear.com/tag/forest"" title=""posts tagged as forest"">#forest</a> <a href=""http://picbear.com/tag/peaks"" title=""posts tagged as peaks"">#peaks</a> <a href=""http://picbear.com/tag/trail"" title=""posts tagged as trail"">#trail</a> <a href=""http://picbear.com/tag/lushgreen"" title=""posts tagged as lushgreen"">#lushgreen</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/watchfrommyeyes"" title=""posts tagged as watchfrommyeyes"">#watchfrommyeyes</a> <a href=""http://picbear.com/tag/nabeelkhanphotography"" title=""posts tagged as nabeelkhanphotography"">#nabeelkhanphotography</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/pakitsan"" title=""posts tagged as pakitsan"">#pakitsan</a></p>",51,3
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22860804_794660150704814_2315725806271201280_n.jpg,http://picbear.com/media/1637607725570452496_4019965102,November 06 2017 - 16:53,October 31 2017 - 11:21,"<p>Let’s walk into the clouds... <a href=""http://picbear.com/tag/mushpuri"" title=""posts tagged as mushpuri"">#mushpuri</a> <a href=""http://picbear.com/tag/clouds"" title=""posts tagged as clouds"">#clouds</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/hike"" title=""posts tagged as hike"">#hike</a> <a href=""http://picbear.com/tag/cloudstouchingmountains"" title=""posts tagged as cloudstouchingmountains"">#cloudstouchingmountains</a> <a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/calm"" title=""posts tagged as calm"">#calm</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a> <a href=""http://picbear.com/tag/mushkpuritop"" title=""posts tagged as mushkpuritop"">#mushkpuritop</a> <a href=""http://picbear.com/tag/nathiagali"" title=""posts tagged as nathiagali"">#nathiagali</a> <a href=""http://picbear.com/tag/pakistan"" title=""posts tagged as pakistan"">#pakistan</a></p>",46,2
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c53.0.973.973/22709582_522461438086391_6293145640134246400_n.jpg,http://picbear.com/media/1633458943022811426_4019965102,November 06 2017 - 16:53,October 25 2017 - 17:58,"<p>Path to heaven :) <a href=""http://picbear.com/tag/hunza"" title=""posts tagged as hunza"">#hunza</a> <a href=""http://picbear.com/tag/valley"" title=""posts tagged as valley"">#valley</a> <a href=""http://picbear.com/tag/street"" title=""posts tagged as street"">#street</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/water"" title=""posts tagged as water"">#water</a> <a href=""http://picbear.com/tag/bluesky"" title=""posts tagged as bluesky"">#bluesky</a> <a href=""http://picbear.com/tag/walkinthestreets"" title=""posts tagged as walkinthestreets"">#walkinthestreets</a> <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/nabeelkhanphotography"" title=""posts tagged as nabeelkhanphotography"">#nabeelkhanphotography</a> <a href=""http://picbear.com/tag/beautifulvalley"" title=""posts tagged as beautifulvalley"">#beautifulvalley</a> <a href=""http://picbear.com/tag/pakistan"" title=""posts tagged as pakistan"">#pakistan</a> <a href=""http://picbear.com/tag/mountains"" title=""posts tagged as mountains"">#mountains</a></p>",30,1
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22710543_1447411282045821_1790050508212273152_n.jpg,http://picbear.com/media/1633449049364206115_4019965102,November 06 2017 - 16:53,October 25 2017 - 17:38,"<p>Evening at rocks <a href=""http://picbear.com/tag/panjpeerrocks"" title=""posts tagged as panjpeerrocks"">#panjpeerrocks</a> <a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/trees"" title=""posts tagged as trees"">#trees</a> <a href=""http://picbear.com/tag/rocks"" title=""posts tagged as rocks"">#rocks</a> <a href=""http://picbear.com/tag/mountains"" title=""posts tagged as mountains"">#mountains</a> <a href=""http://picbear.com/tag/wilderness"" title=""posts tagged as wilderness"">#wilderness</a> <a href=""http://picbear.com/tag/orange"" title=""posts tagged as orange"">#orange</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/myclick"" title=""posts tagged as myclick"">#myclick</a> <a href=""http://picbear.com/tag/nabeekhanphotography"" title=""posts tagged as nabeekhanphotography"">#nabeekhanphotography</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/explorer"" title=""posts tagged as explorer"">#explorer</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/pakitsan"" title=""posts tagged as pakitsan"">#pakitsan</a></p>",37,2
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c35.0.1010.1010/22344629_122288171771045_8784117656954339328_n.jpg,http://picbear.com/media/1623373238825361190_4019965102,November 06 2017 - 16:53,October 11 2017 - 19:59,"<p>RedArrows <a href=""http://picbear.com/tag/redarrows"" title=""posts tagged as redarrows"">#redarrows</a> <a href=""http://picbear.com/tag/redarrowsinpakistan"" title=""posts tagged as redarrowsinpakistan"">#redarrowsinpakistan</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/blue"" title=""posts tagged as blue"">#blue</a> <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/iphonephotography"" title=""posts tagged as iphonephotography"">#iphonephotography</a></p>",26,0
November 06 2017 - 16:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c51.0.977.977/22344780_136410330423486_5025815097344262144_n.jpg,http://picbear.com/media/1622030358747596417_4019965102,November 06 2017 - 16:53,October 09 2017 - 23:31,"<p>Perfectly timed? <a href=""http://picbear.com/tag/redarrows"" title=""posts tagged as redarrows"">#redarrows</a> <a href=""http://picbear.com/tag/airshow"" title=""posts tagged as airshow"">#airshow</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/wonderfull"" title=""posts tagged as wonderfull"">#wonderfull</a> <a href=""http://picbear.com/tag/performance"" title=""posts tagged as performance"">#performance</a> <a href=""http://picbear.com/tag/accuracy"" title=""posts tagged as accuracy"">#accuracy</a> <a href=""http://picbear.com/tag/colors"" title=""posts tagged as colors"">#colors</a> <a href=""http://picbear.com/tag/red"" title=""posts tagged as red"">#red</a> <a href=""http://picbear.com/tag/blue"" title=""posts tagged as blue"">#blue</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/keeponexploring"" title=""posts tagged as keeponexploring"">#keeponexploring</a></p>",24,2
