top_user_date,username,rank (follower_count),media_scrape_dt,media_url,medadata_scrape,likes,comments
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1633128885515054300_25025320,2017-10-25 12:45:15.246799,"['mohameeed.elsayeed', 'marcia4564', 'cantofofana', 'walter.en', 'alisyaannisa', 'neha6122382', 'steliosthanailakis', 'royalangel3979', 'lisaubennett', 'eliane.nobre.7503', 'maggielk28', 'ghaanizade', 'em_max_213', 'paula_759', 'omg_itz_lex']","['fizaali1234', 'latiksaha1', 'blogofmarie', 'sa.ratana', 'noor0k', 'ebuking353', 'fcbarcelona.team1', 'mildoney']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1633043185037951861_25025320,2017-10-25 12:45:17.088262,"['julisouza_', 'pihla_margareeta', 'mehdizadeh72', 'kemal2227580', 'taste_best24', '7amzahammad', 'audreys_been_rushing', 'masoumeh_rostami_96', 'nickdephillips_is_cool', 'mohan_gandhimathi', 'ahmedg542', '_anezka_parezova_', 'helenas.finstaa', 'alice_bogdanova_', 'bethany.casey']","['ivilazellari', 'neha6122382', 'chaimaezghari', 'yokoishimizu', 'cedenoj531', 'nyonyacitra69', 'cary_ashley_', 'sur681', 'reyhan.ndiimis_02']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1633009967316149762_25025320,2017-10-25 12:45:19.645631,"['mr_v.k_bapu', 'bryan.neal_', 'connaporcari', 'dehghan9723', '_drawilo_', 'mhdmhhd', 'eleftheria_prk', 'xandizinho', 'rougimar', 'a_s_h_i_s_h__1705', 'budiawanomank', 'tichoebatb', 'helenas.finstaa', 'snth3537', 'star0213_']","['massitesti', 'lauralichtert', 'xiivooo', 'royal_boy_15', 'nyonyacitra69', 'quacket1407', 'yar_iii', 'fcbarcelona.team1', 'leoschneider_music', 'marc_latre']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1632883099971154377_25025320,2017-10-25 12:45:21.082009,"['rohan9157', 'yaboi_carter', 'schlindx', 'daiiyann', 'mohan_gandhimathi', 'narendrachoudhary12', '_krasnova_rita_', 'jade_aarya', 'avinashpawar5729', 'nimaghods', 'rt_1999555', 'nkapoor__19', 'israilyildizixx', 'amulaya_uppal', 'carlinnsss']","['massitesti', 'official_tushar_modi', 'yokoishimizu', 'mccrackin84', 'nyonyacitra69', 'viko_902', 'srta.mb', 'l.h.a.m.i.d.r.e.z.a.7.7.l']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1632357489230968959_25025320,2017-10-25 12:45:23.533284,"['samsam_da_lil_lai', 'prontodinero_', 'eionafulladosa', 'hilda_lopez_lopez', 'kokolan.ko', 'ynkzll', 'prasetyack', 'sukahatirahman', 'nikholadia', 'mhd_jafri_khan__21', 'doolly002244', 'esterepriede', 'sirinya697', 'miguelgdb', 'clara.brnbl']","['yokoishimizu', 'patricio_nl', 'kianii.zhale5956', 'martimilner', 'yaodave', 'nyonyacitra69', 'ken_hamdine', 'renn.senpai']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1632318316495109161_25025320,2017-10-25 12:45:25.791727,"['favas_rj_0077', 'misqhunalfian29', 'inoxent4364', 'cepedalibia', 'tudorpetrica', 'bomb_13s', 'ksk33_', 'jiaqiix', 'adriana_perez.r', 'anna_gistrova', 'mikki_katsura', 'fierceflipper30', 'itsahneemay', 'aswin_raj_jp', '_hyojin_1003']","['yokoishimizu', 'kianii.zhale5956', 'f_akhari', 'salsabilla.sk', 'zehrabasboyaci', 'mehmetakdemir8774', 'unicornghost6229', 'bugeceninfilmi', 'fandnia', 'sugar.yeon']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1632281802486618302_25025320,2017-10-25 12:45:28.145085,"['ogzhndgnx', 'abasahebphukepatil', 'btshbyvspkhn', 'eionafulladosa', 'kokolan.ko', 'eimerhayess', 'camerelamarmotta', 'elodhouru', 'mhd_jafri_khan__21', 'pazarck.iritaf', 'esterepriede', 'miguelgdb', 'wynn_cj', 'helenas.finstaa', 'rajaguru_p']","['melody_patch_music', 'frosildapolena', 'yokoishimizu', 'kianii.zhale5956', 'lunitab', 'fansamchi', 'moha_med_gamal6', 'nyonyacitra69', 'merourstephanie', 'fandnia']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1632117931708986513_25025320,2017-10-25 12:45:29.888946,"['models_shootout04', 'ilias_sklias', 'movilcarlosdelta', 'siripoochom', 'amnd_beria', 'king_amman007', 'mhd_jafri_khan__21', 'vikrant09499', 'pp_1110', 'zkkk_01', 'safaioud', 'olorijoylucky', 'rajaguru_p', 'anyagolova', 'saltanat028']","['skgmoney', 'melody_patch_music', 'gekooking', 'nyonyacitra69', 'gaverfroner', 'v.i.k.t.o.r.__00', 'gugu7136', 'mehmetakdemir8774', 'wkwiatuszek1', 'gorgeous_girl_payal']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1631367033533620541_25025320,2017-10-25 12:45:33.779412,"['helen_brigette_segovia', 'bappy_wahid', '14_karlafuentes', 'eionafulladosa', '_fiddle.stack_', 'tatiananadtoka', 'muaaj_', 'surendar3783', 'evahsieh930105', 'safaioud', 'nabeelkhanphotography', 'sempodvash', 'joeprimewellness', 'abdo_6673', 'raffii2112']","['melody_patch_music', 'frosildapolena', 'iambeauty18', 'heywil', 'nyonyacitra69', 'kiiingrayfi', 'diditdeseventh']"
2017-10-25,instagram,1 (227143561),2017-10-25 12:45:11.924985,http://picbear.com/media/1631320339378973427_25025320,2017-10-25 12:45:35.220223,"['ashuansari50', 'emmvel.__cod', 'eionafulladosa', 'miguelgdb', 'bagirovhamlet1903', 'evahsieh930105', 'babangtan_boys', 'zubararina', 'aryan._15', 'oliverkainde_', 'andjibogic', 'nabeelkhanphotography', 'safaioud', 'jin_zo123', 'leon_konstantin_1703']","['reezyard', 'frosildapolena', 'iambeauty18', 'nyonyacitra69', 'yanlshesap23', 'dahatuiaky_gash', 'nastiadementeva3895']"
2017-10-25,selenagomez,2 (128711368),2017-10-25 12:45:35.226034,http://picbear.com/media/1632797732991296932_460563723,2017-10-25 12:45:37.366343,"['n.ph.trang', 'gala_xies', 'leslysanchezb', 'lea_loewe13', 'anil_1368', 'l_baez021', 'opsbutler', 'nati77001', 'vantyt1', 'allciix_', 'anastasiabtz', 'ahmedt1540', 'intansamanta', 'katie_softball73', 'courtroberds']","['m.erol_bicer', 'kate.belieber', 'lulaisadora', 'meadowsamms', 'cesaarguevara', 'chiqui6633', 'kthoa19', 'jyotishreeh', 'aryan_gupta_2901', 'xarhaxs']"
2017-10-25,selenagomez,2 (128711368),2017-10-25 12:45:35.226034,http://picbear.com/media/1632797119607957041_460563723,2017-10-25 12:45:37.890010,"['amrend04', 'eeli291104', 'angelafranjesevic', 'elinwgmz', 'isaacz14', '23_3booody', 'zlaviniaz', 'bawl_deep_rai', 'muskaangarg7899', 'kiran.aryall', 'malinnnx', 'courtney_prime', 'willwill.s', 'wendys1458', 'chhubbbss']","['remruat_i_', 'vistaa3', 'zeynep_dogan_tr', 'chiqui6633', 'carloselectric1', 'liaali____', 'maryom______99', 'reputation_swiftie_forever', 'whosmarie', 'marti.md']"
2017-10-25,selenagomez,2 (128711368),2017-10-25 12:45:35.226034,http://picbear.com/media/1632796600999020609_460563723,2017-10-25 12:45:38.573336,"['margaux_lgn', 'mhmm28_', 'goldyonashiro', 'quynhnhi_h', 'meviusaddiction', 'beatefischer_', 'dziedzinskakasia', 'sajjadhozuri', 'sueanny_basantes', 'dayra___contreras', 'eu_rit2002', 'bhagyashreedixit18', 'just_edeen', 'brainelpmz', 'lizmartinezx']","['ita.a.w', 'haitrang97', 'salim_huayhua', 'ryota______10969', 'muktaites14', 'm_suranjan', 'al_ex260117', 'keedyperestroika', 'withmyselenita']"
2017-10-25,selenagomez,2 (128711368),2017-10-25 12:45:35.226034,http://picbear.com/media/1632076164015321665_460563723,2017-10-25 12:45:39.615748,"['lily_li22_', 'yulianatencio', 'isabela.karina', 'tonigoldedition', 'jhemis.souza', 'maharjansamik', 'mr.daniyal_arif', 'fitriana_ramadhanti03', 'shambhavi__1503', 'ezaty.shrff', 'karinaigarcia09', 'rachaelcerri_16', 'intansamanta', 'meraryfajardohenrriq', 'ti_amo_andrew']","['haitrang97', 'xavierscars', 'tanvisekhsaria5423', 'goyeenaa', 'juthli', 'jag.alpha', 'jaxtzee', 'marietta.m', 'lidi_ye_abel_']"
2017-10-25,selenagomez,2 (128711368),2017-10-25 12:45:35.226034,http://picbear.com/media/1632075689278785642_460563723,2017-10-25 12:45:41.863883,"['maniarsujai', 'nickycueva23', 'lama.f.r.h', 'kamzunia', 'brandenroggow', 'esra__ergn', 'mr.daniyal_arif', 'anastasiabtz', 'rachelleannetotanes', 'gillianalbert', 'jjio_', 'ripa143begum', 'princey_tyler_junior', 'tubannavigail', 'lyankaryllexoxo']","['clouisesena', 'xavierscars', 'vishal_salve_2000', 'iam_phawaz', 'cansuckx', 'alizaa_j', 'okashlyn', 'janis_benigna_rodrigues', 'lidi_ye_abel_', 'itsmesunshine_']"
