user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500263_1944947699121551_7512007459809001472_n.jpg,http://picbear.com/media/1627753882506261864_1285444713,November 06 2017 - 18:25,October 17 2017 - 21:03,"<p>Viele Marienkäfer = viele Glücksbringer 🐞❤🐞 . . . <a href=""http://picbear.com/tag/octobervibes"" title=""posts tagged as octobervibes"">#octobervibes</a> <a href=""http://picbear.com/tag/herbstsonnegenießen"" title=""posts tagged as herbstsonnegenießen"">#herbstsonnegenießen</a> <a href=""http://picbear.com/tag/marienkäfer"" title=""posts tagged as marienkäfer"">#marienkäfer</a> <a href=""http://picbear.com/tag/sonnetanken"" title=""posts tagged as sonnetanken"">#sonnetanken</a> <a href=""http://picbear.com/tag/glücksbringer"" title=""posts tagged as glücksbringer"">#glücksbringer</a> #🐞🐞🐞 #🐞</p>",19,0
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.96.768.768/22580937_1650245575025862_1317474393344966656_n.jpg,http://picbear.com/media/1626243454236189748_1285444713,November 06 2017 - 18:25,October 15 2017 - 19:02,"<p>Spreewald ♡🌲🌳🍁💚🐸🍂 ... <a href=""http://picbear.com/tag/spreewald"" title=""posts tagged as spreewald"">#spreewald</a> <a href=""http://picbear.com/tag/lübben"" title=""posts tagged as lübben"">#lübben</a> <a href=""http://picbear.com/tag/lübbenau"" title=""posts tagged as lübbenau"">#lübbenau</a> <a href=""http://picbear.com/tag/brandenburg"" title=""posts tagged as brandenburg"">#brandenburg</a> <a href=""http://picbear.com/tag/grünelunge"" title=""posts tagged as grünelunge"">#grünelunge</a> <a href=""http://picbear.com/tag/naturpur"" title=""posts tagged as naturpur"">#naturpur</a> <a href=""http://picbear.com/tag/auszeitfürdieseele"" title=""posts tagged as auszeitfürdieseele"">#auszeitfürdieseele</a> <a href=""http://picbear.com/tag/rausausdergroßstadt"" title=""posts tagged as rausausdergroßstadt"">#rausausdergroßstadt</a> <a href=""http://picbear.com/tag/herbsttage"" title=""posts tagged as herbsttage"">#herbsttage</a> <a href=""http://picbear.com/tag/goldeneroktober"" title=""posts tagged as goldeneroktober"">#goldeneroktober</a></p>",24,0
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21911304_520766278256396_112998850096005120_n.jpg,http://picbear.com/media/1615151544260148487_1285444713,November 06 2017 - 18:25,September 30 2017 - 11:44,"<p>Would you try it? ❔👅❔ ....🌿..... <a href=""http://picbear.com/tag/basilseed"" title=""posts tagged as basilseed"">#basilseed</a> <a href=""http://picbear.com/tag/basilseeds"" title=""posts tagged as basilseeds"">#basilseeds</a> <a href=""http://picbear.com/tag/basilseeddrink"" title=""posts tagged as basilseeddrink"">#basilseeddrink</a> <a href=""http://picbear.com/tag/basilikumsamen"" title=""posts tagged as basilikumsamen"">#basilikumsamen</a> <a href=""http://picbear.com/tag/breakfastgoals"" title=""posts tagged as breakfastgoals"">#breakfastgoals</a> <a href=""http://picbear.com/tag/startyourdayright"" title=""posts tagged as startyourdayright"">#startyourdayright</a>☀️ <a href=""http://picbear.com/tag/tryitnow"" title=""posts tagged as tryitnow"">#tryitnow</a> <a href=""http://picbear.com/tag/foodanddrinks"" title=""posts tagged as foodanddrinks"">#foodanddrinks</a> <a href=""http://picbear.com/tag/drinkporn"" title=""posts tagged as drinkporn"">#drinkporn</a> <a href=""http://picbear.com/tag/noimnotvegetarian"" title=""posts tagged as noimnotvegetarian"">#noimnotvegetarian</a></p>",17,1
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980702_306792429796284_7621139370459791360_n.jpg,http://picbear.com/media/1610957282932994012_1285444713,November 06 2017 - 18:25,September 24 2017 - 16:51,"<p>Bringing the sun on my plate🤗☉🍊💛 <a href=""http://picbear.com/tag/herbst"" title=""posts tagged as herbst"">#herbst</a> <a href=""http://picbear.com/tag/sonntags"" title=""posts tagged as sonntags"">#sonntags</a> <a href=""http://picbear.com/tag/letthesunshine"" title=""posts tagged as letthesunshine"">#letthesunshine</a> <a href=""http://picbear.com/tag/letthesunshineinyourheart"" title=""posts tagged as letthesunshineinyourheart"">#letthesunshineinyourheart</a> <a href=""http://picbear.com/tag/herbstinberlin"" title=""posts tagged as herbstinberlin"">#herbstinberlin</a> <a href=""http://picbear.com/tag/berlintoday"" title=""posts tagged as berlintoday"">#berlintoday</a> <a href=""http://picbear.com/tag/sundaymoodon"" title=""posts tagged as sundaymoodon"">#sundaymoodon</a> <a href=""http://picbear.com/tag/sundaya"" title=""posts tagged as sundaya"">#sundaya</a> <a href=""http://picbear.com/tag/vitamines"" title=""posts tagged as vitamines"">#vitamines</a> <a href=""http://picbear.com/tag/früchtchen"" title=""posts tagged as früchtchen"">#früchtchen</a> <a href=""http://picbear.com/tag/greenorange"" title=""posts tagged as greenorange"">#greenorange</a> <a href=""http://picbear.com/tag/orangejuice"" title=""posts tagged as orangejuice"">#orangejuice</a>🍊 <a href=""http://picbear.com/tag/appelsinen"" title=""posts tagged as appelsinen"">#appelsinen</a></p>",21,3
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910044_543876855964207_6394975260273278976_n.jpg,http://picbear.com/media/1610293959602329819_1285444713,November 06 2017 - 18:25,September 23 2017 - 18:53,"<p>Where is the <a href=""http://picbear.com/tag/repeatbutton"" title=""posts tagged as repeatbutton"">#repeatbutton</a> ?☀💙🌡💦 . . ....#throwbacksaturdays <a href=""http://picbear.com/tag/travelmemories"" title=""posts tagged as travelmemories"">#travelmemories</a> <a href=""http://picbear.com/tag/travelasmuchasyoucan"" title=""posts tagged as travelasmuchasyoucan"">#travelasmuchasyoucan</a> <a href=""http://picbear.com/tag/autumnstarts"" title=""posts tagged as autumnstarts"">#autumnstarts</a> <a href=""http://picbear.com/tag/sunshining"" title=""posts tagged as sunshining"">#sunshining</a> <a href=""http://picbear.com/tag/pool"" title=""posts tagged as pool"">#pool</a> <a href=""http://picbear.com/tag/pooltime"" title=""posts tagged as pooltime"">#pooltime</a> <a href=""http://picbear.com/tag/bestpool"" title=""posts tagged as bestpool"">#bestpool</a> <a href=""http://picbear.com/tag/bestpools"" title=""posts tagged as bestpools"">#bestpools</a> <a href=""http://picbear.com/tag/live"" title=""posts tagged as live"">#live</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/life"" title=""posts tagged as life"">#life</a></p>",27,1
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.71.573.573/21826918_1934202370181008_5770400467548897280_n.jpg,http://picbear.com/media/1607480938551296854_1285444713,November 06 2017 - 18:25,September 19 2017 - 21:44,"<p>🍺 1 Maß Bier ist wie 3 Scheiben Brot . . <a href=""http://picbear.com/tag/oktoberfest2017"" title=""posts tagged as oktoberfest2017"">#oktoberfest2017</a> <a href=""http://picbear.com/tag/wiesn2017"" title=""posts tagged as wiesn2017"">#wiesn2017</a> <a href=""http://picbear.com/tag/beerlifting"" title=""posts tagged as beerlifting"">#beerlifting</a> <a href=""http://picbear.com/tag/dirndltime"" title=""posts tagged as dirndltime"">#dirndltime</a> <a href=""http://picbear.com/tag/dirndl"" title=""posts tagged as dirndl"">#dirndl</a> <a href=""http://picbear.com/tag/biertrinken"" title=""posts tagged as biertrinken"">#biertrinken</a> <a href=""http://picbear.com/tag/oktoberfestberlin"" title=""posts tagged as oktoberfestberlin"">#oktoberfestberlin</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_berlin <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_berlincity <a href=""http://picbear.com/tag/ditisberlin"" title=""posts tagged as ditisberlin"">#ditisberlin</a> <a href=""http://picbear.com/tag/berlintoday"" title=""posts tagged as berlintoday"">#berlintoday</a></p>",70,14
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827826_1442987509113767_5565283566910177280_n.jpg,http://picbear.com/media/1606006217926675584_1285444713,November 06 2017 - 18:25,September 17 2017 - 20:54,"<p>Fishing port Con Dao. Thankyou <a href=""http://picbear.com/sixsensescondao"" title=""sixsensescondao instagram profile"">@sixsensescondao</a> for that intense local life moment. It was  magic ! 🐟 🐟 <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/visitvietnam"" title=""posts tagged as visitvietnam"">#visitvietnam</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_vietnam <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_vietnam_ <a href=""http://picbear.com/tag/fishingport"" title=""posts tagged as fishingport"">#fishingport</a> <a href=""http://picbear.com/tag/fishermen"" title=""posts tagged as fishermen"">#fishermen</a> <a href=""http://picbear.com/tag/localfish"" title=""posts tagged as localfish"">#localfish</a> <a href=""http://picbear.com/tag/localfishing"" title=""posts tagged as localfishing"">#localfishing</a> <a href=""http://picbear.com/tag/sixsensescondao"" title=""posts tagged as sixsensescondao"">#sixsensescondao</a> <a href=""http://picbear.com/tag/sixsensesninhvanbay"" title=""posts tagged as sixsensesninhvanbay"">#sixsensesninhvanbay</a> <a href=""http://picbear.com/tag/lovevietnam"" title=""posts tagged as lovevietnam"">#lovevietnam</a> <a href=""http://picbear.com/tag/travelvietnam"" title=""posts tagged as travelvietnam"">#travelvietnam</a></p>",20,1
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21479952_1596906653694524_4039179612448620544_n.jpg,http://picbear.com/media/1602421018847910358_1285444713,November 06 2017 - 18:25,September 12 2017 - 22:11,"<p>Islands of Con Dao.  Hidden peaceful present against darkest history. Visiting this pearl of nature is a very special experience. <a href=""http://picbear.com/tag/visitvietnam"" title=""posts tagged as visitvietnam"">#visitvietnam</a> <a href=""http://picbear.com/tag/beachesofvietnam"" title=""posts tagged as beachesofvietnam"">#beachesofvietnam</a> <a href=""http://picbear.com/tag/hiddenplace"" title=""posts tagged as hiddenplace"">#hiddenplace</a> <a href=""http://picbear.com/tag/hiddentracks"" title=""posts tagged as hiddentracks"">#hiddentracks</a> <a href=""http://picbear.com/tag/hiddenbeaches"" title=""posts tagged as hiddenbeaches"">#hiddenbeaches</a> <a href=""http://picbear.com/tag/condao"" title=""posts tagged as condao"">#condao</a> <a href=""http://picbear.com/tag/cônđảo"" title=""posts tagged as cônđảo"">#cônđảo</a> <a href=""http://picbear.com/tag/condaoisland"" title=""posts tagged as condaoisland"">#condaoisland</a> <a href=""http://picbear.com/tag/condaoislands"" title=""posts tagged as condaoislands"">#condaoislands</a> <a href=""http://picbear.com/tag/conson"" title=""posts tagged as conson"">#conson</a> <a href=""http://picbear.com/tag/vietnamhistory"" title=""posts tagged as vietnamhistory"">#vietnamhistory</a></p>",30,1
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372920_1986792104873904_162982446831239168_n.jpg,http://picbear.com/media/1598723479070238075_1285444713,November 06 2017 - 18:25,September 07 2017 - 19:45,"<p>Vietnam, Ninh Vân Bay. This is a dream! 💚 <a href=""http://picbear.com/tag/sixsensesninhvanbay"" title=""posts tagged as sixsensesninhvanbay"">#sixsensesninhvanbay</a></p>",21,1
November 06 2017 - 18:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372836_915243615292528_4320449899607883776_n.jpg,http://picbear.com/media/1597258062954995538_1285444713,November 06 2017 - 18:25,September 05 2017 - 19:13,"<p>🛫Exploring some beaches and sunny sites of Vietnam this week. Started today at Nha Trang @ <a href=""http://picbear.com/tag/evasonanamandara"" title=""posts tagged as evasonanamandara"">#evasonanamandara</a> with <a href=""http://picbear.com/tag/beachtime"" title=""posts tagged as beachtime"">#beachtime</a> and <a href=""http://picbear.com/tag/springrolls"" title=""posts tagged as springrolls"">#springrolls</a> cooking🌊☀👙 <a href=""http://picbear.com/tag/traveltovietnam"" title=""posts tagged as traveltovietnam"">#traveltovietnam</a> <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/nhatrang"" title=""posts tagged as nhatrang"">#nhatrang</a> <a href=""http://picbear.com/tag/visitnhatrang"" title=""posts tagged as visitnhatrang"">#visitnhatrang</a> <a href=""http://picbear.com/tag/lovethelifenhatrang"" title=""posts tagged as lovethelifenhatrang"">#lovethelifenhatrang</a> <a href=""http://picbear.com/tag/vietnamesefood"" title=""posts tagged as vietnamesefood"">#vietnamesefood</a> <a href=""http://picbear.com/tag/vietnamese"" title=""posts tagged as vietnamese"">#vietnamese</a> <a href=""http://picbear.com/tag/beachesofvietnam"" title=""posts tagged as beachesofvietnam"">#beachesofvietnam</a> <a href=""http://picbear.com/tag/beachdaysarethebestdays"" title=""posts tagged as beachdaysarethebestdays"">#beachdaysarethebestdays</a> <a href=""http://picbear.com/tag/springrolls"" title=""posts tagged as springrolls"">#springrolls</a> <a href=""http://picbear.com/tag/travelingishappiness"" title=""posts tagged as travelingishappiness"">#travelingishappiness</a> <a href=""http://picbear.com/tag/beautifulvietnam"" title=""posts tagged as beautifulvietnam"">#beautifulvietnam</a></p>",32,1
