user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22710263_1579539922102270_3534682003557318656_n.jpg,http://picbear.com/media/1632148416112202393_358742959,October 25 2017 - 16:44,October 23 2017 - 22:34,"<p>Goofy 📷: <a href=""http://picbear.com/subturat"" title=""subturat instagram profile"">@subturat</a></p>",72,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22709070_2032666606956148_8743089088506101760_n.jpg,http://picbear.com/media/1631351226896811388_358742959,October 25 2017 - 16:44,October 22 2017 - 20:10,<p>Dacia cu numarul 666860.</p>,86,5
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/22636993_181873485702712_196487774470144000_n.jpg,http://picbear.com/media/1630648837801777901_358742959,October 25 2017 - 16:44,October 21 2017 - 20:55,<p>My ladies. 😉</p>,98,1
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22581006_489869074718820_763220640596492288_n.jpg,http://picbear.com/media/1629213754238853849_358742959,October 25 2017 - 16:44,October 19 2017 - 21:23,"<p>When you do this, you feel on edge. Got it?</p>",70,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22637192_183144788908767_5759045016399904768_n.jpg,http://picbear.com/media/1628460766763242416_358742959,October 25 2017 - 16:44,October 18 2017 - 20:27,"<p>E un urs? Nu-mi pasa, vreau sa-l iau acasa.</p>",109,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22430161_185702055321718_7058896939886051328_n.jpg,http://picbear.com/media/1626881503580816722_358742959,October 25 2017 - 16:44,October 16 2017 - 16:10,<p>All the things i love in the same album. 🌇</p>,95,3
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22430386_938650989621989_2867470683938488320_n.jpg,http://picbear.com/media/1626878099164929845_358742959,October 25 2017 - 16:44,October 16 2017 - 16:03,<p>Rollin'</p>,65,1
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22499860_140152016616107_871526818014822400_n.jpg,http://picbear.com/media/1626269341875265140_358742959,October 25 2017 - 16:44,October 15 2017 - 19:53,<p>Am ajuns si aici</p>,99,2
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22500161_1401368199962502_3787395869209264128_n.jpg,http://picbear.com/media/1625557054717890754_358742959,October 25 2017 - 16:44,October 14 2017 - 20:18,"<p>Daca ud caii putere, oare cresc?</p>",97,5
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22351693_121138448642439_1983892544173375488_n.jpg,http://picbear.com/media/1624743558023354276_358742959,October 25 2017 - 16:44,October 13 2017 - 17:22,<p>My head is not that big</p>,77,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22352340_236954730167608_3834104957108224000_n.jpg,http://picbear.com/media/1624727349026409159_358742959,October 25 2017 - 16:44,October 13 2017 - 16:50,<p>Imi plac fetele mai batrane.</p>,97,2
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22344040_125665468187151_5982179407924559872_n.jpg,http://picbear.com/media/1623403065226092218_358742959,October 25 2017 - 16:44,October 11 2017 - 20:59,"<p>You are pretty, but this sunset.. c'mon</p>",70,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22280690_986814474808808_7697141793174847488_n.jpg,http://picbear.com/media/1621981149974207347_358742959,October 25 2017 - 16:44,October 09 2017 - 21:54,<p>Mi s-a facut dor de ea.</p>,78,6
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.898.898/22280157_1523618711030252_1187225447054704640_n.jpg,http://picbear.com/media/1621188894392791832_358742959,October 25 2017 - 16:44,October 08 2017 - 19:39,<p>Cred ca eram prea adormit si am uitat ca am facut poza asta in timp ce mergeam la scoala zilele trecute.</p>,74,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22158919_159055888013871_3797448746971693056_n.jpg,http://picbear.com/media/1619086290644765148_358742959,October 25 2017 - 16:44,October 05 2017 - 22:02,<p>What a day.</p>,180,2
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22220949_1943890485873203_4952767509049638912_n.jpg,http://picbear.com/media/1618372757106859371_358742959,October 25 2017 - 16:44,October 04 2017 - 22:24,<p>🤹🏼‍♂️</p>,95,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22158108_134672207175878_4827339590534692864_n.jpg,http://picbear.com/media/1617545983226654093_358742959,October 25 2017 - 16:44,October 03 2017 - 19:02,"<p>🌊🌊🌊 🎞 <a href=""http://picbear.com/trandafilm"" title=""trandafilm instagram profile"">@trandafilm</a></p>",52,0
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22157708_749135538606394_8667168184270323712_n.jpg,http://picbear.com/media/1616673111394298730_358742959,October 25 2017 - 16:44,October 02 2017 - 14:07,<p>Cred ca e clar cui ii sta mai bine 💁🏼‍♂️</p>,127,1
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22157530_2036776383221801_1745145993772400640_n.jpg,http://picbear.com/media/1616156059566878653_358742959,October 25 2017 - 16:45,October 01 2017 - 21:00,<p>Sunt mai timeless decat The Beatles.</p>,112,4
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22071357_2080234748669061_5057353549004931072_n.jpg,http://picbear.com/media/1615939424151289341_358742959,October 25 2017 - 16:45,October 01 2017 - 13:50,<p>Bucureștii.</p>,96,2
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22069552_439087676491708_7154011009290600448_n.jpg,http://picbear.com/media/1615419687793296741_358742959,October 25 2017 - 16:45,September 30 2017 - 20:37,<p>This is the only correct way to shoot people.</p>,88,2
October 25 2017 - 16:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22071125_854111861424386_4255569045597716480_n.jpg,http://picbear.com/media/1615165733096187915_358742959,October 25 2017 - 16:45,September 30 2017 - 12:13,<p>Pocket rocket 🚀</p>,70,0
