user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794096_282486618924607_4055957266535284736_n.jpg,http://picbear.com/media/1633392169643640259_4064222365,October 25 2017 - 15:49,October 25 2017 - 15:45,<p>Me on a day to day basis</p>,2,5
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22801905_778785582308485_3275735208350973952_n.jpg,http://picbear.com/media/1633368499617388026_4064222365,October 25 2017 - 15:49,October 25 2017 - 14:58,<p>😂😂😂😂</p>,2,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.901.901/22710317_1837139399648782_6653259213176832000_n.jpg,http://picbear.com/media/1633360015999895927_4064222365,October 25 2017 - 15:49,October 25 2017 - 14:41,<p>Plz get me 2 100 plz and thx</p>,2,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709600_125779738140440_9189886616389287936_n.jpg,http://picbear.com/media/1633359983947163775_4064222365,October 25 2017 - 15:49,October 25 2017 - 14:41,<p>At the bus stop bored af  got some maroon on and ready to go</p>,3,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709199_220842258452583_792315612348022784_n.jpg,http://picbear.com/media/1633326375744261399_4064222365,October 25 2017 - 15:49,October 25 2017 - 13:34,<p>My life there</p>,3,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710901_2057818864449536_3469848995482828800_n.jpg,http://picbear.com/media/1633317334636754537_4064222365,October 25 2017 - 15:49,October 25 2017 - 13:17,"<p><a href=""http://picbear.com/tag/missthisshow"" title=""posts tagged as missthisshow"">#missthisshow</a></p>",1,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709487_1390358217753125_111947712684883968_n.jpg,http://picbear.com/media/1633073743830159503_4064222365,October 25 2017 - 15:49,October 25 2017 - 05:13,,5,2
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793720_338408619963225_5000611821229441024_n.jpg,http://picbear.com/media/1633065206559145793_4064222365,October 25 2017 - 15:49,October 25 2017 - 04:56,<p>Most of u are considered considered friends I think to me at least. Tell me some other people that you like and think are cool</p>,5,3
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.1.1080.1080/22709191_1660928487300531_7050110914267185152_n.jpg,http://picbear.com/media/1633062574574589903_4064222365,October 25 2017 - 15:49,October 25 2017 - 04:50,<p>Whenu answer since there is 3 questions u should# them plz and thx</p>,3,1
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710827_121507495209517_7718595764703723520_n.jpg,http://picbear.com/media/1633061668948979088_4064222365,October 25 2017 - 15:49,October 25 2017 - 04:49,<p>I'm gonna be Jack Skelton  what r u?</p>,4,3
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794218_161093031145860_6461938597896388608_n.jpg,http://picbear.com/media/1632988371137837695_4064222365,October 25 2017 - 15:49,October 25 2017 - 02:23,<p>So true</p>,5,1
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794148_562544190748809_3806307443437207552_n.jpg,http://picbear.com/media/1632985617115766187_4064222365,October 25 2017 - 15:49,October 25 2017 - 02:17,<p>I'm snake woman lol😂😂😂😂</p>,4,4
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c127.0.826.826/22709065_144804939599026_9080568613395496960_n.jpg,http://picbear.com/media/1632317985723223104_4064222365,October 25 2017 - 15:49,October 24 2017 - 04:11,<p>Took these this morning got bored</p>,5,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.1.1080.1080/22802602_1836514156389143_2041207873421180928_n.jpg,http://picbear.com/media/1632313423855387031_4064222365,October 25 2017 - 15:49,October 24 2017 - 04:02,,6,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709379_290024511504663_9070691550119329792_n.jpg,http://picbear.com/media/1631317663949063443_4064222365,October 25 2017 - 15:49,October 22 2017 - 19:04,<p>Y don't I have this?</p>,7,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637681_376053039493094_4611228144848863232_n.jpg,http://picbear.com/media/1631269330585118191_4064222365,October 25 2017 - 15:49,October 22 2017 - 17:27,<p>Bored af</p>,7,0
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637223_139144473480629_5322115867369013248_n.jpg,http://picbear.com/media/1630884098627198464_4064222365,October 25 2017 - 15:49,October 22 2017 - 04:42,<p>Working on a sheets Christmas card for a contest</p>,6,2
October 25 2017 - 15:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22636896_137994210178383_2650367762232246272_n.jpg,http://picbear.com/media/1630735239640891348_4064222365,October 25 2017 - 15:50,October 21 2017 - 23:46,,6,0
