user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23347709_804900589693709_7994203240562425856_n.jpg,http://picbear.com/media/1641933627183159268_1525054723,November 06 2017 - 17:23,November 06 2017 - 10:36,"<p>Banana Blueberry Choco chip MUFFINS DAY :)😝😍 Go to <a href=""http://picbear.com/_serenaaas"" title=""_serenaaas instagram profile"">@_serenaaas</a> story to see the process. <a href=""http://picbear.com/tag/hacked"" title=""posts tagged as hacked"">#hacked</a></p>",34,0
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c75.0.453.453/23280057_368795333545614_8290259635537969152_n.jpg,http://picbear.com/media/1641240586218827082_1525054723,November 06 2017 - 17:24,November 05 2017 - 11:39,<p>Happy holidays!!! 😝</p>,53,3
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.91.1080.1080/22580738_482084225510140_7182723153427169280_n.jpg,http://picbear.com/media/1628238787123834974_1525054723,November 06 2017 - 17:24,October 18 2017 - 13:06,<p>🍕🍕👍</p>,124,12
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500288_407982442950432_9031998589181624320_n.jpg,http://picbear.com/media/1628238241411136080_1525054723,November 06 2017 - 17:24,October 18 2017 - 13:05,<p>Wet💦 but fun✨ day 😘😍</p>,97,2
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.53.809.809/22352000_490608987980500_6475869156817240064_n.jpg,http://picbear.com/media/1621850920919226236_1525054723,November 06 2017 - 17:24,October 09 2017 - 17:35,<p>C. O. C. O. N. U. T ~ 🌴</p>,60,4
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c82.0.810.810/21295195_933460773468268_2404814509005864960_n.jpg,http://picbear.com/media/1593897823349587497_1525054723,November 06 2017 - 17:24,September 01 2017 - 03:57,<p>🚴</p>,68,5
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107182_112998932745056_196150357544402944_n.jpg,http://picbear.com/media/1590517868846838410_1525054723,November 06 2017 - 17:24,August 27 2017 - 12:02,<p>Project 📝+ Yamcha ☕</p>,58,0
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20481897_1952360428351190_6843752287043584000_n.jpg,http://picbear.com/media/1572797963183665539_1525054723,November 06 2017 - 17:24,August 03 2017 - 01:15,<p>HOHOHO..... 🎊 HAPIEEE BURFDAY 🎉 To my sista/bff. U are now FIFTEEN but I am still younger than U. 😂 OK. BYE. ILY. 😘😍🎁🎂🍰💝😎😜</p>,43,2
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20181471_253398541824544_8959597616803348480_n.jpg,http://picbear.com/media/1564945002164301614_1525054723,November 06 2017 - 17:24,July 23 2017 - 05:13,"<p>7km🙌 <a href=""http://picbear.com/tag/runforpeace2017"" title=""posts tagged as runforpeace2017"">#runforpeace2017</a></p>",60,0
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20214039_1931325103748395_2841548696586289152_n.jpg,http://picbear.com/media/1561663413032485836_1525054723,November 06 2017 - 17:24,July 18 2017 - 16:33,"<p>Failed👄 <a href=""http://picbear.com/tag/fatheranddaughter"" title=""posts tagged as fatheranddaughter"">#fatheranddaughter</a> <a href=""http://picbear.com/tag/afterschool"" title=""posts tagged as afterschool"">#afterschool</a> <a href=""http://picbear.com/tag/enjoylife"" title=""posts tagged as enjoylife"">#enjoylife</a> <a href=""http://picbear.com/tag/waitingforsister"" title=""posts tagged as waitingforsister"">#waitingforsister</a> <a href=""http://picbear.com/shannprincess"" title=""shannprincess instagram profile"">@shannprincess</a></p>",75,2
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20180648_218430528680667_7995853594630815744_n.jpg,http://picbear.com/media/1560258785468281335_1525054723,November 06 2017 - 17:24,July 16 2017 - 18:02,"<p>🎼🎶PAST TO PRESENT🎻🎺 <a href=""http://picbear.com/tag/yesterday"" title=""posts tagged as yesterday"">#yesterday</a> <a href=""http://picbear.com/tag/kkso"" title=""posts tagged as kkso"">#kkso</a> <a href=""http://picbear.com/tag/kkyo"" title=""posts tagged as kkyo"">#kkyo</a></p>",57,0
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19764659_109746333001235_2489069226048880640_n.jpg,http://picbear.com/media/1553751837646343609_1525054723,November 06 2017 - 17:24,July 07 2017 - 18:34,<p>Love this pic soooo much 💖😘😍 *15/35* BTW Happy birthday to @_rxch.zy 💘🙋😎🎂🍰</p>,69,2
November 06 2017 - 17:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.13.810.810/19624608_801963949968917_340718217993388032_n.jpg,http://picbear.com/media/1549389109742001474_1525054723,November 06 2017 - 17:24,July 01 2017 - 18:06,<p>🐯</p>,69,0
